sentence,topic,document
In het coalitieakkoord is afgesproken dat de aanpak van mensenhandel prioriteit houdt en dat het programma Samen tegen Mensenhandel wordt voortgezet.,Historical_colonialism/Slavery,tk-beslisnota-actieplan-samen-tegen-mensenhandel.pdf
Prioritering Uit de gezamenlijke probleemanalyse blijkt dat de bestrijding van mensenhandel complex is en dat de problemen in de aanpak van mensenhandel soms al jarenlang spelen en ook aan bredere vraagstukken raken.,Historical_colonialism/Slavery,tk-beslisnota-actieplan-samen-tegen-mensenhandel.pdf
over het uitwerken van een plan om de minst zichtbare groep slachtoffers van mensenhandel en uitbuiting beter in beeld te krijgen.,Historical_colonialism/Slavery,tk-beslisnota-actieplan-samen-tegen-mensenhandel.pdf
"• Motie Verkuijlen en Bikker (Kamerstuk 28 638 VI, nr. 230) over het aantoonbaar bevorderen van de bekendheid met de strafbaarstelling van mensenhandel, criminele uitbuiting van minderjarigen in het bijzonder, in de eerste lijn bij opsporings- en handhavingsorganisaties.",Historical_colonialism/Slavery,tk-beslisnota-actieplan-samen-tegen-mensenhandel.pdf
"De strafbaarstelling van mensenhandel heeft als overkoepelende doelstelling om uitbuiting van mensen tegen te gaan, zoals seksuele uitbuiting, arbeidsuitbuiting en criminele uitbuiting.",Historical_colonialism/Slavery,tk-beslisnota-actieplan-samen-tegen-mensenhandel.pdf
"Dit hoeft niet direct te duiden op een verminderde toegankelijkheid of kansenongelijkheid, maar kan ook te maken hebben met een algehele stijging van het opleidingsniveau van ouders.",Legacyof_colonialism/Slavery,monitor-beleidsmaatregelen-hoger-onderwijs-2022-2023.pdf
"Dossiers geven zicht op witwasconstructies, criminele of terroristische netwerken, terrorismefinanciering of andere criminele activiteiten zoals fraude of uitbuiting.",Historical_colonialism/Slavery,tk-bijlage-jaaroverzicht-fiu-nederland-2022.pdf
dat als doel heeft om de financiële sector te mobiliseren tegen moderne slavernij en mensenhandel.,Historical_colonialism/Slavery,tk-bijlage-jaaroverzicht-fiu-nederland-2022.pdf
AST zorgt door het trainen en opleiden van professionals in de financiële sector dat zij doelgericht actie kunnen ondernemen tegen moderne slavernij en mensenhandel vanuit hun poortwachtersrol.,Historical_colonialism/Slavery,tk-bijlage-jaaroverzicht-fiu-nederland-2022.pdf
Ook heeft zij recht op zelfbeschikking en reproductieve autonomie en haar recht op bescherming tegen uitbuiting en andere vormen van dwang rond draagmoederschap.,Historical_colonialism/Slavery,tk-mvt-wetsvoorstel-kind-draagmoederschap-en-afstamming.pdf
"Samen tegen mensenhandel en bloemlezing van citaten over trends, problemen en ambities van de aanpak van mensenhandel bloemlezing - programma samen tegen mensenhandel 2",Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
onvoldoende gezien als mensenhandel 18 2.5 Onvoldoende onderkenning criminele uitbuiting,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
bloemlezing - samen tegen mensenhandel 5 Context en verantwoording bloemlezing - programma samen tegen mensenhandel,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Dat betekent dat wij de opgave om betere bescherming en opvang van slachtoffers van mensenhandel als uitgangspunt hebben genomen en met een breed scala aan belanghebbenden eerst gaan werken aan een probleemverdieping waarmee inzicht ontstaat in problemen en achterliggende oorzaken van de problematiek omtrent mensenhandel.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
bloemlezing - samen tegen mensenhandel 9 1 Trends en ontwikkelingen bloemlezing - programma samen tegen mensenhandel 10 1.1,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
"Criminele uitbuiting ongrijpbaar en bij gemeenten wel sterk op netvlies, aandacht groeit.",Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Toenemende aandacht voor criminele uitbuiting van jongeren.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
"Arbeidsuitbuiting en criminele uitbuiting vragen steeds meer aandacht, echter lastig om zichtbaar/transparant te krijgen (voorheen vooral seksuele uitbuiting).",Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Minder zicht op zorg/opvang voor criminele uitbuiting.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Minder zicht op zorg/opvang voor criminele uitbuiting.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Aandacht voor jeugd en criminele uitbuiting.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
"Bij jongeren met een Nederlandse afkomst is er steeds meer aandacht voor criminele uitbuiting en zijn er steeds meer meldingen (zowel daders als slachtoffers), maar het blijft vaak steken op ernstige afpersing in plaats van mensenhandel.",Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
r is een toename van zorgmeldingen van scholen ten aanzien van criminele uitbuiting van jongeren.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
"r wordt door mensenhandelaren gebruikgemaakt van kwetsbaarheden van jonge mensen (die vaak ook al in de zorg zijn), waardoor uitbuiting snel (online) ontstaat.",Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
In de afgelopen 2-3 jaar is er minder tot geen zicht op seksuele uitbuiting bij jongeren (vooral in de leeftijd 18-27 jaar);,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
"Jongeren of jongvolwassen die slachtoffer zijn van criminele uitbuiting lopen vaak weg of het is bij hen langdurig onduidelijk waar zij verblijven, ze gaan om met nieuwe groepen die geassocieerd worden met het criminele netwerk.",Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Meer jongere slachtoffers van seksuele en criminele uitbuiting.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
We zien steeds meer signalen van criminele uitbuiting in de meldingen.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
r is een toename van arbeidsuitbuiting en criminele uitbuiting en er is onvoldoende internationale info uitwisseling via werving via het digitale domein.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
"We weten dat er veel digitale uitbuiting en onveiligheid is (of moet zijn), maar het is de vraag of de zorg/signalering hierop is toegerust.",Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
T.a.v. seksuele uitbuiting: de slachtoffers worden steeds jonger.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
"Het proces tot aan de uitbuiting gaat sneller, onder andere door gebruik van sociale media.",Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
"Seksuele uitbuiting gebeurt steeds meer achter de schermen, waarmee bedoeld wordt dat dit steeds vaker op het internet plaatsvindt (op het dark web).",Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
1.7 Internationaal Aandacht voor mogelijke uitbuiting van Oekraïense vluchtelingen.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Groei criminele uitbuiting en blinde vlekken.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Ze worden meermaals verkocht of uitgebuit in verschillende vormen van uitbuiting om het volgende ‘ritje’ te betalen.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Met name seksuele en criminele uitbuiting zijn steeds vaker nationaal en zeker internationaal georganiseerd.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
In de sekswerkers branche is er altijd sprake van enige mate van mensenhandel/sekswerk tegen de eigen wil in en uitbuiting.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Criminele uitbuiting in relatie tot drugrunners.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
"Verschuiving van grensoverschrijdende, georganiseerde mensenhandel (o.a. seksuele uitbuiting) naar ‘huis tuin en keuken uitbuiting’ (individuele daders en slachtoffers, minder georganiseerd).",Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
bloemlezing - samen tegen mensenhandel 16 2 Problemen en oorzaken bloemlezing - programma samen tegen mensenhandel,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
Asielzoekers mogen na zes maanden in de procedure werken maar wegens onbekendheid met het Nederlandse systeem zijn zij kwetsbaar voor uitbuiting.,Historical_colonialism/Slavery,tk-bijlage-bloemlezing-programma-samen-tegen-mensenhandel.pdf
37 5.2 Discriminatie in cliëntondersteuning in Nederland 38 5.3 Discriminatie in cliëntondersteuning in omringende landen 40 5.4 Hiaten in onderzoek in Nederland 40 6 Sport,Legacyof_inequality/Racism,discriminatie-in-de-zorg-en-in-de-sport.pdf
"r is op dit moment nog te weinig kennis van discriminatie op de VWS werkterreinen en veel medewerkers geven aan dat kennis en bewustzijn over het voorkomen van discriminatie in onvoldoende mate aanwezig zijn, aldus het ministerie.",Legacyof_inequality/Racism,discriminatie-in-de-zorg-en-in-de-sport.pdf
"Met discriminatie focussen we op de volgende vier vormen van discriminatie: • Discriminatie op grond van afkomst, huidskleur, nationaliteit, en nationale of etnische afstamming (ook wel racisme",Legacyof_inequality/Racism,discriminatie-in-de-zorg-en-in-de-sport.pdf
"‘Wat werkt tegen discriminatie’ (elten & Broekroelofs, 2022), de handreiking ‘Antidiscriminatiebeleid voor gemeenten’ (Movisie, 2022) en het onderzoek dat Movisie en het Verwey-Jonker Instituut momenteel in opdracht van de Staatscommissie tegen discriminatie en racisme uitvoeren naar discriminatie in de zorg.",Legacyof_inequality/Racism,discriminatie-in-de-zorg-en-in-de-sport.pdf
We beginnen met een inleidend hoofdstuk over wat discriminatie is en de verschillende vormen ervan zijn en wat voorspellers zijn van discriminatie.,Legacyof_inequality/Racism,discriminatie-in-de-zorg-en-in-de-sport.pdf
"ALGMN Uit onderzoek van het SCP (Andriessen et al. 2020) naar hoe vaak mensen discriminatie ervaren, komt naar voren dat 27% van de Nederlandse bevolking in 2018 discriminatie ervaarde en dat 11% twijfelde of een incident dat zij meemaakten te maken had met discriminatie.",Legacyof_inequality/Racism,discriminatie-in-de-zorg-en-in-de-sport.pdf
Tussen de 9% en 16% van alle Nederlanders ervaart discriminatie door Movisie • Discriminatie in de zorg en de sport:,Legacyof_inequality/Racism,discriminatie-in-de-zorg-en-in-de-sport.pdf
"Het is uiteindelijk lastig vast te stellen welke vorm van discriminatie uiteindelijk het meest voorkomt, maar uit het onderzoek van het SCP weten we dat mensen met een migratieachtergrond, moslims, jongeren, lesbische vrouwen, homo mannen, biseksuele personen en mensen met een beperking relatief veel discriminatie ervaren.",Legacyof_inequality/Racism,discriminatie-in-de-zorg-en-in-de-sport.pdf
"Maar vergelijkingen over wat het meest voorkomt, zijn lastig, want de discriminatiegronden zijn niet evenredig verdeeld over de bevolking: bijvoorbeeld discriminatie op grond van seksuele oriëntatie komt veel minder voor dan bijvoorbeeld discriminatie op grond van sekse, maar er is ook slechts een klein deel van de bevolking lesbisch, homo of bi.",Legacyof_inequality/Racism,discriminatie-in-de-zorg-en-in-de-sport.pdf
"Ook drukte, het gebrek aan eigenaarschap van de oplossing en gêne bij een zorgverlener als die beschuldigd wordt van discriminatie, leiden ertoe dat discriminatie niet altijd wordt besproken, zo concludeert Pharos (Kolste & Venderbos, 2022).",Legacyof_inequality/Racism,discriminatie-in-de-zorg-en-in-de-sport.pdf
"Ook zijn het afgelopen jaar belangrijke stappen genomen om gelijke kansen te bevorderen en discriminatie tegen te gaan, zoals de publicatie van het Nationaal Programma tegen Discriminatie en Racisme.",Legacyof_inequality/Racism,zevende-nationale-sdg-rapportage-nederland-ontwikkelt-duurzaam.pdf
"Het SCP waarschuwt voor structurele ongelijkheid en wijst op de verschillende aspecten die dit heeft.3 Beide ontwikkelingen raken belangrijke SDG’s zoals armoedebestrijding, niemand achterlaten en het tegengaan van ongelijkheid in al zijn aspecten.",Historical_inequality/Racism,zevende-nationale-sdg-rapportage-nederland-ontwikkelt-duurzaam.pdf
sekswerk tracht de regering dwang en uitbuiting tegen te gaan.,Historical_colonialism/Slavery,tk-bijlage-1-nota-naar-aanleiding-van-het-verslag-behandeling-tk-wet-seksuele-misdrijven-36222.pdf
Hieronder schetsen we enkele voorbeelden die onze gesprekspartners naar voren brachten over de aard van discriminatie op Sint ustatius: - Subtiele discriminatie van andersgezinden,Legacyof_inequality/Racism,verkenning-invoering-gelijkebehandelingswetgeving-op-de-bes.pdf
"- afstemmen met het fenomeen sociaal raadslieden (naar voren gebracht vanuit de vakbonden) - bieden van toegankelijke hulp door deze in vier talen (Papiaments, ngels, Nederlands, Spaans) beschikbaar te stellen - zorgen voor zicht op discriminatie en op de bereidheid om discriminatie te melden (dataverzameling)",Legacyof_inequality/Racism,verkenning-invoering-gelijkebehandelingswetgeving-op-de-bes.pdf
In een kleine gemeenschap als die op Saba is de drempel om discriminatie te melden hoog en is er behoefte aan kennis over discriminatie.,Legacyof_inequality/Racism,verkenning-invoering-gelijkebehandelingswetgeving-op-de-bes.pdf
"De procesvoering namens de regering van het Koninkrijk der Nederlanden (de regering) bij het uropees Hof voor de Rechten van de Mens (HRM), het uropees Comité voor Sociale Rechten (CSR) en verschillende verdragscomités van de Verenigde Naties, waaronder het Mensenrechtencomité (BUPO), het Comité tegen oltering (CAT), het Comité tegen Rassendiscriminatie (CRD) en het Comité voor de Uitbanning van Discriminatie van Vrouwen (CDAW) wordt uitgevoerd door het ministerie van Buitenlandse zaken, in samenspraak met de betrokken departementen.",Legacyof_inequality/Racism,internationale-mensenrechtenprocedures-rapportage-2022.pdf
"Procedures voor de VN-verdragscomités Nederland is partij bij acht mensenrechtenverdragen, te weten het Internationaal Verdrag inzake Burgerrechten en Politieke Rechten (IVBPR), het Internationaal Verdrag inzake conomische, Sociale en Culturele Rechten (IVSCR), het Internationaal Verdrag inzake de Uitbanning van alle vormen van Rassendiscriminatie (CRD), het Internationaal Verdrag voor de Uitbanning van alle vormen van Discriminatie van Vrouwen (CDAW), het Verdrag tegen oltering en andere wrede, onmenselijke of onterende vormen van bestraffing (CAT), het Internationaal Verdrag voor de Rechten van het Kind (IVRK), het Internationaal Verdrag voor de Rechten van Mensen met een Handicap (VN-verdrag handicap) en het Internationaal Verdrag inzake de Bescherming van alle Personen tegen Gedwongen Verdwijning (ICPPD).",Legacyof_inequality/Racism,internationale-mensenrechtenprocedures-rapportage-2022.pdf
