prob__burgerrechten,prob__gezondheidszorg,prob__arbeid,prob__onderwijs,prob__milieu,prob__immigratie,prob__criminaliteit,prob__sociale_zaken,prob__huisvesting,prob__buitenlandse_zaken,prob__ruimtelijke_ordening,prob__Cultuur_en_sport,prob__Ramp_ongeval
0.7833034,0.2756806,0.18373667,0.04367143,0.024621481,0.055453118,0.33978263,0.14783962,0.06421569,0.5006653,0.06626361,0.10364224,0.017920282
0.5966951,0.19946244,0.11900941,0.05253038,0.07085659,0.1836411,0.97194403,0.080810845,0.10170083,0.21739584,0.10071157,0.07036091,0.056673124
0.8163371,0.5515738,0.55627304,0.044521935,0.028298808,0.07693381,0.6871345,0.15097678,0.028898794,0.17218885,0.056227364,0.043063536,0.034139216
0.16749902,0.27973595,0.54205406,0.95457757,0.10758952,0.18514907,0.17321086,0.32980394,0.054627515,0.96659744,0.14421459,0.32308444,0.15618792
0.89979357,0.32719678,0.45595187,0.07856561,0.04337392,0.072743915,0.29109716,0.26038322,0.028522449,0.6180831,0.069739886,0.16166097,0.021637127
0.26415664,0.5017338,0.97644335,0.14589736,0.08703546,0.081350334,0.20583157,0.21871862,0.06073713,0.06439153,0.1344379,0.09299641,0.044402286
0.4735831,0.6226087,0.50989157,0.08394203,0.08454653,0.027258694,0.15715928,0.18300703,0.03479571,0.0712354,0.050180554,0.063157044,0.01399076
0.8402447,0.5866029,0.8335582,0.09490736,0.046929307,0.18364078,0.6562595,0.24883915,0.025731105,0.21049097,0.050911296,0.073291965,0.043596346
0.8898853,0.5890826,0.3073637,0.06917449,0.0444118,0.055435423,0.56896514,0.12826695,0.024163513,0.34255558,0.06268391,0.11036189,0.024107026
0.8193011,0.68367445,0.33305126,0.061241973,0.03952547,0.027658144,0.4167974,0.17156309,0.031037835,0.17981285,0.05274177,0.055713814,0.025464674
0.24038038,0.537882,0.9564812,0.11023977,0.05646282,0.064090885,0.1752282,0.19152728,0.038652346,0.09467775,0.07942686,0.048598066,0.033792075
0.12854913,0.38097817,0.20756894,0.05219022,0.06639742,0.0225662,0.165954,0.20505154,0.1042607,0.14728141,0.06596347,0.061439447,0.017222509
0.6620698,0.70656884,0.15733324,0.041477323,0.09756317,0.03004073,0.19992988,0.31722325,0.039822657,0.216416,0.029089276,0.03837163,0.030356277
0.29106194,0.39185104,0.9636511,0.16487287,0.13990831,0.064763024,0.09901893,0.318833,0.05647128,0.055475663,0.066247396,0.056576453,0.024375293
0.48918265,0.6255221,0.13983181,0.063909695,0.04731329,0.03614634,0.67872065,0.08825011,0.043116514,0.094871365,0.03760251,0.030417355,0.03966322
0.6311119,0.76599044,0.15408893,0.05048845,0.06545653,0.026246708,0.23109321,0.13353798,0.057757635,0.040630177,0.05174664,0.04702478,0.037636
0.8597499,0.37289643,0.5275718,0.0735409,0.9148194,0.07335835,0.067398496,0.32741275,0.114892446,0.08770271,0.05717459,0.11652331,0.027810981
0.5853114,0.7028722,0.18977079,0.042517148,0.07655864,0.039294362,0.30992955,0.0703209,0.03756598,0.10884858,0.04313233,0.026039531,0.017474335
0.11826201,0.2532825,0.78312004,0.092298195,0.30319715,0.120860316,0.11948225,0.41442022,0.9841008,0.08006779,0.0993244,0.067924015,0.058453582
0.1196338,0.3588517,0.22753768,0.056853034,0.95881695,0.06977577,0.082292505,0.13017952,0.042266335,0.18202539,0.08452658,0.032215815,0.029820874
0.28331426,0.5709368,0.23474479,0.029422566,0.6808942,0.044227816,0.15956487,0.061748456,0.042321973,0.12327759,0.045516912,0.02484954,0.015284709
0.19384885,0.67699355,0.378428,0.035344273,0.7330691,0.022559742,0.10921646,0.38807905,0.12922613,0.09663288,0.062117297,0.022627322,0.05722345
0.14626256,0.6350029,0.9695227,0.1378244,0.12306586,0.0738131,0.08502661,0.40572506,0.061925378,0.063127905,0.06128727,0.05212854,0.03886153
0.31554013,0.39360118,0.28037468,0.09859016,0.3580675,0.17117313,0.22914009,0.46125335,0.99657154,0.17472662,0.17044775,0.15507112,0.13462585
0.96069664,0.68318236,0.19853432,0.080581345,0.58300775,0.06513787,0.16985252,0.21387005,0.060355354,0.14725383,0.07242445,0.13034707,0.038826566
0.34122193,0.67437017,0.97128814,0.12650481,0.13413303,0.07061277,0.08697429,0.6228408,0.056949887,0.07143128,0.051272914,0.05458749,0.05341624
0.23869817,0.60829186,0.9749631,0.12222767,0.13018863,0.056005932,0.08402551,0.40484285,0.08192303,0.044599406,0.07196849,0.056803223,0.03427369
0.23668285,0.27957478,0.66576076,0.058701023,0.8246177,0.102333084,0.177122,0.28727505,0.11480262,0.14101292,0.9887686,0.11847256,0.17138171
0.44771075,0.53415793,0.9106604,0.10036498,0.034169346,0.04752348,0.12749194,0.25328285,0.049146954,0.050997782,0.043963984,0.050578896,0.025783073
0.9250795,0.74360955,0.8287665,0.28332323,0.073478065,0.081277005,0.12583314,0.2726275,0.058509726,0.071147405,0.044460714,0.11539654,0.03547017
0.9503726,0.67865276,0.62138224,0.08326873,0.057647966,0.10720274,0.6914074,0.31026784,0.0575162,0.09475334,0.055128057,0.06930688,0.05905434
0.2721213,0.33638948,0.074785784,0.095053196,0.07899167,0.0777536,0.95998716,0.062029283,0.0699504,0.12910254,0.092786714,0.07495771,0.062824994
0.27865463,0.73317724,0.95184594,0.5833947,0.1131086,0.089767516,0.09738298,0.17322475,0.043553054,0.0498685,0.048430804,0.05405482,0.035622615
0.09859388,0.22210619,0.96391565,0.2266437,0.093288966,0.090982065,0.08726919,0.61809325,0.06298934,0.10765359,0.06936961,0.06491402,0.036315437
0.17152,0.58565354,0.9249869,0.9449388,0.09413162,0.15796949,0.120534874,0.28497678,0.054215744,0.043883286,0.07085992,0.07590884,0.055580903
0.56693196,0.65141785,0.9018333,0.34704876,0.035426278,0.026982972,0.114622645,0.5192392,0.042345237,0.055963285,0.032617666,0.15241973,0.03119915
0.91062737,0.57193166,0.7993374,0.11862893,0.11655267,0.16587988,0.16226591,0.7060961,0.7154313,0.08702581,0.05530111,0.059988804,0.045971666
0.89688396,0.53052205,0.9450953,0.11074162,0.14792606,0.115557104,0.09033466,0.51578903,0.09320404,0.09156049,0.06849632,0.09278745,0.04059809
0.30862975,0.3914075,0.8985794,0.06833034,0.1131887,0.076506644,0.13113199,0.97942895,0.08034203,0.06969837,0.062181685,0.054922093,0.051785097
0.21797186,0.45389274,0.09755446,0.04070703,0.9756781,0.10768753,0.16290186,0.10327191,0.040139135,0.45371953,0.20460251,0.038288668,0.06197748
0.2517077,0.44864345,0.070161805,0.0472232,0.94724816,0.08650905,0.2097863,0.16908504,0.041892327,0.64949024,0.23551613,0.03682528,0.16181321
0.33870113,0.57894105,0.15885587,0.041351136,0.9881849,0.13967688,0.0967331,0.094374806,0.07223938,0.12907633,0.23682244,0.050640896,0.05829967
0.11517353,0.55459785,0.0797922,0.055887893,0.98741794,0.11299937,0.19964318,0.113924064,0.10636861,0.12685359,0.5746124,0.04225967,0.32609335
0.21511279,0.5007243,0.9520471,0.10188736,0.118944585,0.07124452,0.14393266,0.94591427,0.07318092,0.06927004,0.065636575,0.046073496,0.06911469
0.23341016,0.34813794,0.32704797,0.18992122,0.38828838,0.98616135,0.15565817,0.44562802,0.104260206,0.9379642,0.094481826,0.10130292,0.14807427
0.21067233,0.9243678,0.2689596,0.09196292,0.66909426,0.041688226,0.08248356,0.31956658,0.04279615,0.26427796,0.0492782,0.059758756,0.07249687
0.23487353,0.14804491,0.27449343,0.10558168,0.10136464,0.07288274,0.09690222,0.98533154,0.107592404,0.10784792,0.07107943,0.10733834,0.06682871
0.3210458,0.2596384,0.4088501,0.101713285,0.092563264,0.06073154,0.10370133,0.9878215,0.08678406,0.08131071,0.056360897,0.099843316,0.061401695
0.52762705,0.56021017,0.2282443,0.04053271,0.038955107,0.022399576,0.18060417,0.26517838,0.038058154,0.072199166,0.040530797,0.04067254,0.017974725
0.15883073,0.18267237,0.85117584,0.102360666,0.040509127,0.05634605,0.11025926,0.9529507,0.11940285,0.059524,0.05882159,0.05319892,0.036199287
0.2715327,0.3401282,0.82669955,0.13642038,0.18055023,0.29230657,0.14266749,0.8938701,0.075502366,0.9769017,0.07690398,0.14322743,0.15806636
0.20878361,0.6384353,0.48526505,0.18641983,0.93028617,0.09583265,0.06400139,0.4340082,0.06458799,0.9263381,0.059433557,0.13453007,0.057160605
0.233997,0.30975568,0.9482965,0.28132057,0.21433882,0.32256988,0.1573677,0.5122016,0.08255703,0.97270864,0.10706886,0.120445125,0.110047944
0.23747046,0.31702816,0.37774408,0.09349493,0.9357564,0.977957,0.18029435,0.2981632,0.1406637,0.49224126,0.19152264,0.093136996,0.08419663
0.89083725,0.5134829,0.2646813,0.09151862,0.8472588,0.16659863,0.14358518,0.3519292,0.07003253,0.97617084,0.10915466,0.16198952,0.09143014
0.9822911,0.6208849,0.37319204,0.060748257,0.1232843,0.16642046,0.48345023,0.21885954,0.09108323,0.25053987,0.06814375,0.10195866,0.045697097
0.20917682,0.40059766,0.40623587,0.06122671,0.07547778,0.029694282,0.12936291,0.31170258,0.045249745,0.039158367,0.052061997,0.034070738,0.016215531
0.37631544,0.3250585,0.47522205,0.93222666,0.069985,0.08883639,0.15581219,0.6347923,0.09473927,0.49417496,0.089318134,0.98131955,0.14744294
0.7429518,0.6938869,0.9192666,0.22489777,0.02930561,0.2017125,0.4048142,0.5697459,0.026617955,0.121961564,0.037607636,0.0962757,0.04260097
0.57752514,0.7651847,0.2113106,0.05400851,0.070020944,0.04994686,0.91722906,0.18429923,0.05310433,0.108008325,0.066042244,0.046103057,0.09254072
0.42043835,0.42785788,0.11288501,0.047399674,0.9462635,0.14554761,0.8350557,0.080160186,0.07616468,0.21942663,0.1225235,0.047137443,0.09161109
0.1805163,0.730038,0.13149783,0.06953741,0.98410344,0.07897977,0.07925325,0.1458982,0.06345051,0.07580445,0.32084528,0.064733885,0.113578685
0.93361074,0.916195,0.16085808,0.2514598,0.09883649,0.09399221,0.20396365,0.20279887,0.075590424,0.11584301,0.062357884,0.14016609,0.10936925
