prob__burgerrechten,prob__gezondheidszorg,prob__arbeid,prob__onderwijs,prob__milieu,prob__immigratie,prob__criminaliteit,prob__sociale_zaken,prob__huisvesting,prob__buitenlandse_zaken,prob__ruimtelijke_ordening,prob__Cultuur_en_sport,prob__Ramp_ongeval
0.8169219,0.3462466,0.20388795,0.061160907,0.0224156,0.050034825,0.38838086,0.1508435,0.06142511,0.35260683,0.13266902,0.11402514,0.02597926
0.54876643,0.23940267,0.12134524,0.08240796,0.06564449,0.10788173,0.9786092,0.093884274,0.060110528,0.17950383,0.08655926,0.07568704,0.08920204
0.89281464,0.5023037,0.34532106,0.04716077,0.028761646,0.074386254,0.7825957,0.14557362,0.042979315,0.21102282,0.0653317,0.0698789,0.03358774
0.24394256,0.2852301,0.3419998,0.96261144,0.12261333,0.17891943,0.20627946,0.3108111,0.07722095,0.975268,0.09566126,0.2894745,0.13111348
0.8979673,0.4136416,0.55652153,0.070205875,0.04175248,0.047743022,0.30631843,0.2287151,0.038234223,0.60401464,0.111042604,0.10949457,0.026832214
0.515618,0.42500424,0.96519697,0.1134409,0.06240306,0.064300224,0.2546009,0.12755264,0.061270587,0.094564304,0.10216759,0.077866755,0.03765915
0.6951148,0.5252296,0.26547092,0.08443641,0.09457714,0.024572745,0.14738299,0.1138816,0.053521037,0.0821078,0.06059435,0.111290835,0.016768893
0.6401073,0.509265,0.96018517,0.078067966,0.08159012,0.07512854,0.5523875,0.1687574,0.049244523,0.10940811,0.09989679,0.060510114,0.04971167
0.9163229,0.6050896,0.28732976,0.067378685,0.049012125,0.037171397,0.4572353,0.11378989,0.04085087,0.27863574,0.084883526,0.10065437,0.021208495
0.8663589,0.6622727,0.27521104,0.074688554,0.05254483,0.028592467,0.43182978,0.08743306,0.03626734,0.15595683,0.07767735,0.069140695,0.024823887
0.41381916,0.42615125,0.9627429,0.11035518,0.081955425,0.058744155,0.19050258,0.10470476,0.06439689,0.10919336,0.08472438,0.06480435,0.041184586
0.12031657,0.24673294,0.15532368,0.07422013,0.0727084,0.025372006,0.08973888,0.37664065,0.3321759,0.13280484,0.16008177,0.07159702,0.021027578
0.84074926,0.6666139,0.11485245,0.037223533,0.07327067,0.04839153,0.260793,0.25358176,0.0556107,0.1926627,0.038874213,0.04327835,0.027654884
0.405604,0.37615073,0.9703963,0.11033551,0.12854087,0.08612376,0.10606675,0.32631683,0.051997017,0.064554594,0.04915423,0.07891769,0.03903922
0.8788299,0.65130144,0.13497533,0.059913993,0.052095942,0.05359207,0.6470578,0.068667926,0.05137692,0.09685145,0.050626926,0.049047653,0.0322957
0.8703681,0.71192473,0.10026802,0.062839486,0.040966082,0.0463625,0.35580856,0.12397086,0.050094366,0.08841463,0.06653361,0.06042827,0.02747673
0.66966635,0.50689965,0.6240757,0.039715715,0.94068146,0.06469032,0.11663757,0.14464387,0.06881671,0.08690633,0.042149566,0.05283752,0.04153199
0.76123506,0.65619314,0.081597246,0.04162295,0.06816147,0.041109428,0.25268635,0.08575596,0.057658147,0.13411142,0.059688836,0.056011193,0.017504144
0.14374933,0.22145039,0.81477976,0.10487057,0.23736502,0.17331102,0.11463172,0.55260503,0.9755397,0.08752076,0.09621013,0.0751743,0.08612687
0.22744931,0.36560884,0.2981987,0.043495364,0.9783025,0.06311795,0.067347005,0.0746916,0.040761184,0.13565077,0.079296775,0.035577063,0.043382376
0.46117303,0.5202955,0.18793225,0.03032129,0.59659046,0.047632564,0.108088516,0.037453037,0.0471666,0.10090609,0.042088255,0.035108566,0.016537325
0.24758653,0.56351435,0.30109805,0.031630494,0.70202255,0.029392963,0.28203583,0.31278536,0.4702586,0.09679109,0.045699287,0.021068785,0.116358526
0.29120755,0.79394764,0.9453738,0.13447872,0.23261131,0.06059841,0.06952484,0.25077537,0.049708445,0.05840639,0.04910671,0.051889647,0.03859437
0.44252905,0.38870326,0.27300104,0.13731846,0.30200544,0.2263745,0.20922561,0.50912976,0.9948614,0.2634751,0.13663286,0.16408469,0.12463834
0.82204384,0.6955021,0.1068833,0.04098884,0.7660397,0.03627846,0.18142714,0.119764656,0.03395651,0.11776941,0.13853444,0.05803033,0.04079195
0.5147037,0.6705547,0.9609676,0.107751906,0.105939634,0.06599506,0.11657953,0.33083534,0.048883446,0.06810363,0.0447687,0.057327542,0.041405328
0.29478487,0.5086107,0.9797956,0.10668087,0.13124466,0.07114044,0.1059917,0.38075316,0.073984146,0.050736062,0.059501696,0.07014264,0.039783563
0.416351,0.39075086,0.70773333,0.08555809,0.86792463,0.13691148,0.13577868,0.33365726,0.10714931,0.16138378,0.99051297,0.16852729,0.27920058
0.71451825,0.5209419,0.8563543,0.11282323,0.033955712,0.08715686,0.140314,0.1496617,0.05306489,0.062558904,0.038921114,0.065501705,0.02776254
0.86928344,0.82840556,0.8167776,0.19879092,0.06745412,0.07554839,0.18740736,0.15675713,0.048695035,0.079424374,0.047796253,0.059015803,0.036639057
