filename,filepath,document_type,year,chunk_num,chunk_text,topic,cosine,cosine_weighted,topic_probs,topic_assigned,cosine_per_topic,labels_raw,chunk_id,labels
jaarverslag-binnenlandse-zaken-2022.100.txt,Policyarchive_text\jaarverslagen\2023\jaarverslag-binnenlandse-zaken-2022\jaarverslag-binnenlandse-zaken-2022.100.txt,2023,jaarverslag-binnenlandse-zaken-2022,0,voorbeeld overheidsvoorzien digital zakendoen ondernemer dagelijk bedrijfsvoer geword rvo kenniscentrum partij geholp aansluit hierbij ingezet innovatie dienstverlen handeld chatbot gebruikersondersteun ruim contact ontving positiev beoordel eidas verzorgt aansluit nisch identiteitsstelsel eid stelsel fas sbir mensgericht blockchain eerst fas nieuw sbir uitgevoerd vijf bedrijv uitgekoz ontwikkel prototyp ubr exploitatiecentrum officiel overheidspublicaties kop ubr ontvang wikkel implementatie platform open overheidsinformatie plooi middel platform bestuursorgan termijn verplicht categorieen document actief open mak verplicht komt voort wet open woo werking getred kop gewerkt technologisch verzwar standaardisatie platform ontwikkel api koppelvlak handmat loket aansluit bestuursorgan mogelijk mak opstell implementatiestrategie middel betrek plooi overgeheveld ander begrotingsartikel eind koer doorontwikkel plooi gewijzigd plaatsgevond aanleid toet acict adviescolleg waarin teerd oplossingsricht passend woo herontwerp aanbevol basis eenvoud oploss waarin aansluitlast bestuursorgan minimal daarnaast kop ontvang kost bekendmakingswet uitvoer beheeropdracht zoekdienst staatscourant officiel publicaties daarnaast verstrekt start register internetdomein rio logius logius ontvang doorontwikkel mijnover central plat dienstverlen informatiepositie burger versterkt politiek toezegg basis betek concret inzag uitgebreid inzag king vanuit brp plaatsvind derd partij inmiddel mogelijk middel mobiel app mijngegeven zien technisch voorbereid getroff gan hoger niveau informatiebeveil twed kamer vergaderjar vii,gezondheidszorg|onderwijs|religie,0.1013958800839164,"[0.030560087644401535, 0.013977108787753195, 0.0661007010039241, 0.008945385920890492, 0.0025834586739210573, 0.040706193646366365]","[False, False, False, True, True, True]","[False, False, False, True, True, True]","[0.1013958800839164, 0.1013958800839164, 0.1013958800839164, 0.1013958800839164, 0.1013958800839164, 0.1013958800839164]","[0, 0, 0, 1, 1, 1]",jaarverslag-binnenlandse-zaken-2022.100.txt__0,"[0, 0, 0, 0, 0, 1]"
jaarverslag-binnenlandse-zaken-2022.40.txt,Policyarchive_text\jaarverslagen\2023\jaarverslag-binnenlandse-zaken-2022\jaarverslag-binnenlandse-zaken-2022.40.txt,2023,jaarverslag-binnenlandse-zaken-2022,0,budgettair gevolg budgettair gevolg beleidsartikel open bestur democratie bedrag realisatie vastgesteld begrot verschil verplicht uitgav bestur regio subsidies regel diver subsidies oorlogsgravensticht ogs bestur regio pok multiproblematiek pok antidiscriminatie pok basisinfrastructur opdracht communicatie kennisdel bestur regio pok multiproblematiek grenstest duitsland pok antidiscriminatie regiodeal diver bijdrag pok antidiscriminatie regiodeal medeover diver bijdrag compensatiepakket zeeland lokal culturel voorzien groeiopgav almer evides regiodeal bevolkingsdal waterschapp gemeent organisaties bijdrag international agentschapp rvb rws begrotingshoofdstuk pok multiproblematiek democratie subsidies regel politiek partij comit prodemos verbind inwoner toerust ondersteun politiek ambtsdrager twed kamer vergaderjar vii,gezondheidszorg|religie,0.1217395285867035,"[0.022704734799521016, 0.07402725148655336, 0.0456734916832989, 0.011256532236232844, 0.0, 0.17333331952274644]","[False, False, False, True, False, True]","[False, False, False, True, False, True]","[0.1217395285867035, 0.1217395285867035, 0.1217395285867035, 0.1217395285867035, 0.1217395285867035, 0.1217395285867035]","[0, 0, 0, 1, 0, 1]",jaarverslag-binnenlandse-zaken-2022.40.txt__0,"[0, 0, 0, 1, 0, 1]"
jaarverslag-szw-2022.158.txt,Policyarchive_text\jaarverslagen\2023\jaarverslag-szw-2022\jaarverslag-szw-2022.158.txt,2023,jaarverslag-szw-2022,0,onderkenn intern corruptierisico vraagt nodig aandacht training gevolgd mak strategisch integriteitsrisicoanalys kennis inzicht corruptierisico verder verbeter misbruik oneigen szw afgelop geinvesteerd onderkenn risico misbruik oneigen betrek regel lat uitvoer desalniettemin koming geconstateerd opzet werking gevoerd ter voorkom bestrijd misbruik oneigen regelgev geval eerder vermeld plicatie tozo tijdelijk regel aanvull crisisdienstverlen beheers regel standaard proces ingericht indien sprak nieuw gewijzigd regelgev maakt szw overleg relevant uitvoerder inschat monitor mitiger risico continu proces elk regel kent minder mat restrisico restrisico ontstan afhank derd beperk control grond algemen verorden gegevensbescherm avg voorlicht szw uitvoerder aanvrager manier beheers verder uitvoerder gemachtigd rechtmat aanvrag vast stell rapporter uitvoerder fraudesignal szw middel tweejar signaleringsbrief fraudefenomen vervolgen twed kamer gedeeld ten slot szw zbo via verantwoordingscyclus zbo geinformeerd geconstateerd overtred financiel benadel lingsbedrag opgelegd boetes waarschuw opgelegd boetebedrag per uitvoerder jaarverslag intern vernieuwd begin vastgesteld kwaliteit verbeter vastgelegd regel verhoogd multidisciplinair team verantwoord mak stand zak omtrent komt expliciet bod periodiek besprek mental risicoanalys bestuursrad noodregel kader coronacrisis hog tijdsdruk stand gekom noodregel nodig uitzonder besluit bijstandsverlen zelfstand besluit opvolger tozo instek all tijd noodregel ondank tijdsdruk rechtmat voer zovel mogelijk voorkom twed kamer middel dilemmabriev geregeld geinformeerd moeilijk afweg crisis moest gemaakt dergelijk briev verstuurd coronacrisis eerst maand rustiger vaarwater kwam noodregel kader coronacrisis specifieker ingegan tozo twed kamer vergaderjar,Bestuur en rechten|onderwijs|religie,0.1541332610012928,"[0.10109313172924643, 0.03758494335614208, 0.09117771460758027, 0.003977671823099739, 0.000503327222635156, 0.02315532975460371]","[True, False, False, False, True, True]","[True, False, False, False, True, True]","[0.1541332610012928, 0.1541332610012928, 0.1541332610012928, 0.1541332610012928, 0.1541332610012928, 0.1541332610012928]","[1, 0, 0, 0, 1, 1]",jaarverslag-szw-2022.158.txt__0,"[1, 0, 0, 0, 0, 1]"
jaarverslag-binnenlandse-zaken-2022.345.txt,Policyarchive_text\jaarverslagen\2023\jaarverslag-binnenlandse-zaken-2022\jaarverslag-binnenlandse-zaken-2022.345.txt,2023,jaarverslag-binnenlandse-zaken-2022,0,omschrijv toezegg vindplat stand zak stasbzk betrek miljard toegezegd geld goed terechtkomt gemeent nodig bericht grot verschill per gemeent tempo waarmee oekrainer ingeschrev volkskrant handel item onafhank gedan mogelijk registratie verplicht kortdur verblijf korter drie maand staatssecretaris zegt toe twed kamer daarover informer plenair debat wijzig wet basisregistratie person verband bevorder goed uitvoer wet enkel onderdel herstell enig omissies alsmed wet basisadministraties persoonsgegeven verband opnem kinder moment geboort lev omtrent akt open licham opgemaakt vermeldt kind ogenblik aangift lev overled ingeschrev handel item afgedan twed kamer per brief geinformeerd kamerstuk betrek twed adres opgenom brp bijdrag oploss knelpunt burger verbeter zicht verblijf person daarbij genoemd knelpunt tijdelijk verblijf buitenland vanweg werkzam staatssecretaris zegt toe casus daarbij bijzonder omstand militair meenem teven ton onderscheid zichtbar immigratie hervest beter onderscheid gecommuniceerd uitleg registratie eerstvolg voortgangsbrief brp twed kamer stand zak verbeter gerapporteerd kamerbrief beantwoord kamervrag militair immigrant geregistreerd stan aanhangsel handel afgedan twed kamer per brief geinformeerd kamerstuk staatssecretaris zegt toe middel volgend voortgangsbrief rond zomer twed kamer hoogt houd nieuw ontwikkel rondom programma verbeter reisdocumentenstelsel vrs kamerbrief voortgangsbrief vrs kamerstuk afgedan twed kamer per brief geinformeerd kamerstuk staatssecretaris zegt twed kamer toe experiment komt melding seintj bewoner nieuw inschrijv adres eerst experiment nieuw experimenteerbepal wet plenair debat wijzig wet basisregistratie person verband bevorder goed uitvoer wet enkel onderdel herstell enig omissies alsmed wet basisadministraties persoonsgegeven verband opnem kinder moment geboort lev omtrent akt open licham opgemaakt vermeldt kind ogenblik aangift lev overled ingeschrev handel item afgedan ontwerp besluit experiment bijhoud basisregistratie person grondslag biedt gevraagd experiment twed kamer gestuurd kamerstuk verkenn bzk vor gekom overheidsbred behoeft generiek kader vital digital overheidsvoorzien kader ontwikkeld opstell kader lop moment twee ten aanzien belangrijkst informatieprocess informatiesystem uniform uniform verantwoord informatieveil zowel eig controler organ interbestur lop eind nadien zull kamerbrief gesteld begrotingsbehandel bzk handel,Bestuur en rechten|Cultuur_en_sport|gezondheidszorg|religie,0.2575440687890541,"[0.270656877410823, 0.07411094335923975, 0.04165941721289305, 0.004815252104659385, 0.0, 0.009789200507136945]","[True, True, False, True, False, True]","[True, True, False, True, False, True]","[0.2575440687890541, 0.2575440687890541, 0.2575440687890541, 0.2575440687890541, 0.2575440687890541, 0.2575440687890541]","[1, 1, 0, 1, 0, 1]",jaarverslag-binnenlandse-zaken-2022.345.txt__0,"[1, 1, 0, 0, 0, 0]"
jaarverslag-onderwijs-cultuur-wetenschap-2022.147.txt,Policyarchive_text\jaarverslagen\2023\jaarverslag-onderwijs-cultuur-wetenschap-2022\jaarverslag-onderwijs-cultuur-wetenschap-2022.147.txt,2023,jaarverslag-onderwijs-cultuur-wetenschap-2022,0,gemiddeld omzet afgelop drie miljoen eig vermog miljoen geoormerkt eventuel verliez innovaties voorzien voorzien bestan voorzien kader personel flexibel pensioen uittred fpu wachtgeld miljoen over miljoen over voorzien opgenom verplicht voortvloei afsprak kader sociaal rijk maatwerkafsprak duo opgenom voorzien miljoen onttrok ten behoev uitker voorzien miljoen gedoteerd nieuw regel nam gevolg gewenst mobiliteit ten slot bedrag miljoen vrijgevall voorzien voorzien bedrag king dotaties vrijval wachtgeld over voorzien lening financien duo wederom gemaakt leenfaciliteit financien betreft lening ten behoev ging systeemlandschap lening miljoen opgenom kortlop lening financien zijnd aflossingsgedeelt lening lening hoofdsom looptijd hel rent begindatum einddatum afloster mijn openstaand leensom crediteur crediteur ultimo bestan openstaand factur cier ontvang factur crediteur miljoen schuld ministeries opgenom wet bzk miljoen jenv miljoen szw miljoen twed kamer vergaderjar viii,Cultuur_en_sport|criminaliteit|religie,0.1937925580499817,"[0.046688258449475724, 0.010959468869047565, 0.022409817529114362, 0.0, 0.00204346745573575, 0.25978468855128656]","[False, True, True, False, False, True]","[False, True, True, False, False, True]","[0.1937925580499817, 0.1937925580499817, 0.1937925580499817, 0.1937925580499817, 0.1937925580499817, 0.1937925580499817]","[0, 1, 1, 0, 0, 1]",jaarverslag-onderwijs-cultuur-wetenschap-2022.147.txt__0,"[0, 1, 1, 0, 0, 1]"
jaarverslag-onderwijs-cultuur-wetenschap-2022.185.txt,Policyarchive_text\jaarverslagen\2023\jaarverslag-onderwijs-cultuur-wetenschap-2022\jaarverslag-onderwijs-cultuur-wetenschap-2022.185.txt,2023,jaarverslag-onderwijs-cultuur-wetenschap-2022,0,thema subthema typ afrond status functioneert blijkt certificat vooral succes zorgsector blijkt verder behor onbek werkgever werkend inzet opleidingstraject certificat vergt invester intern cultur vak gericht diplomagericht traject lev lang ontwikkel beleidsmonitor lev lang ontwikkel llo lopend eerst eind verwacht kwaliteit lerarenbeleid afgerond landelijk medio gedan advies gevraagd passend organisatievorm aanpak tekort advies opgeleverd advies gesprok vorm landelijk realisatie eenheid doorzettingsmacht coordiner stur afsprak mak versnell impact praktijk voorop stell implementatie advies vorm realisatie eenheid gebeur mbo ziet vooralsnog voorzien benodigd docent ligt hand parallell optred sprak tekort vak nederland informatica zowel mbo analog zull tekort bètavak spel waarschijn weerslag technisch vak mbo tekort momentel spel bedrijfslev bijna sector effect tekort beroepsgericht vak mbo lijn gebracht strategisch evaluatie agenda sea opgenom begrot strategisch evaluatie agenda uitwerk strategisch evaluatie agenda domein beroepsonderwijs volwasseneneducatie grondslag gekoz strategisch thema gemeenschapp visie positie beroepsonderwijs samenlev inneemt richting waarin mbo gelet maatschapp uitdag ontwikkel thema innovatie mbo schol mbo innover voortdur drag manier innovatie werkgebied ling branches hoogwaard vakmanschap draagt innovaties maatschapp ontwikkel deerd vakvaard zogenoemd eeuw vaardig samenwerk communicatie flexibiliteit hog niveau beheers daarom gemonitord hoeverr teruggezien mbo thema gelijk kans schol mbo bied gelijk kans jonger person talent burgerschap ontwikkel strom goed positie arbeidsmarkt vervolgopleid mbo hbo mbo daarmee eerst keus aanstaand vakmens biedt optimal toegang arbeidsmarkt mbo onderwijssector jonger uiteenlop talent verschil mak jonger relatief trag start juist jonger gan veelal primair twed kamer vergaderjar viii,gezondheidszorg|onderwijs,0.1677740985615722,"[0.031720554213621875, 0.017772097231827377, 0.03170236774909547, 0.03474525222105226, 0.2544702109437587, 0.05821968508887083]","[False, False, False, True, True, False]","[False, False, False, True, True, False]","[0.1677740985615722, 0.1677740985615722, 0.1677740985615722, 0.1677740985615722, 0.1677740985615722, 0.1677740985615722]","[0, 0, 0, 1, 1, 0]",jaarverslag-onderwijs-cultuur-wetenschap-2022.185.txt__0,"[0, 0, 0, 1, 1, 0]"
jaarverslag-lnv-2022.14.txt,Policyarchive_text\jaarverslagen\2023\jaarverslag-lnv-2022\jaarverslag-lnv-2022.14.txt,2023,jaarverslag-lnv-2022,0,betrok partij handreik gramma nplg spelregel meerjarenprogramma transitie landelijk gebied help hierbij ecologisch autoriteit beoordeelt programma provincies basis rijk goedgekeurd gebiedsplann financier verkrijg transitiefond regieorganisatie transitie landelijk gebied rtlg kort tijd volled nieuw opgezet drag realisatie national programma landelijk gebied rtlg onderscheidt lnv beleidsdg tussenorganisatie uitvoer daarmee bijzonder rol opzet belangrijk afsprak regeerakkoord gerealiseerd namelijk bouw krachtig ondersteun stur war nodig spelregel meerjarenprogramma transitie landelijk gebied vastgesteld spelregelkader decentral over mogelijk aanvrag rijksbijdrag tiefond hiermee draagt ondersteun decentral over realiser national grondbank opgericht aanvull provinciaal grondinstrumentarium grondmobiliteit ten behoev transitie landelijk gebied versnell zover gekoppeld realisatie opgav national programma landelijk gebied nplg gebeurt nauw afstemm provincies voort aanvrag versnellingsaanpak provincial uitvrag genoemd opgepakt goedgekeurd hiermee provincies vooruitlop nplg slag transitie landelijk gebiedhet lnv hiervor extra middel toegek overgemaakt provincies ringskost daarnaast voorschot uitvoeringskost bedoeld voorbereidingskost ten behoev nplg structurel aanpak stikstofproblematiek kabinet vor gehaald twed tranch landelijk beeindigingsregel veehouderij lbv provincies stat stell maatwerk lever versneld legaliser verder kabinet beslot miljoen extra trek schon emissielos bouw miljoen gereserveerd specifiek bovenwet nader bepal gel gebied industrie bouw mobiliteit waaronder industriel piekbelaster verder aanpak piekbelaster aangekondigd eenmal vrijwill regel ondernemer piekbelaster kabinet kort termijn for reductie stikstofneerslag twed kamer vergaderjar xiv,gezondheidszorg|religie,0.1142879188499892,"[0.07845473494621695, 0.02191893773809513, 0.05224007870619608, 0.036015152540894206, 0.0002462389142536769, 0.0702389027634425]","[False, False, False, True, False, True]","[False, False, False, True, False, True]","[0.1142879188499892, 0.1142879188499892, 0.1142879188499892, 0.1142879188499892, 0.1142879188499892, 0.1142879188499892]","[0, 0, 0, 1, 0, 1]",jaarverslag-lnv-2022.14.txt__0,"[0, 0, 0, 1, 0, 1]"
jaarverslag-onderwijs-cultuur-wetenschap-2022.267.txt,Policyarchive_text\jaarverslagen\2023\jaarverslag-onderwijs-cultuur-wetenschap-2022\jaarverslag-onderwijs-cultuur-wetenschap-2022.267.txt,2023,jaarverslag-onderwijs-cultuur-wetenschap-2022,0,omschrijv toezegg vindplat stand zak algemen rekenkamer verzocht vervolgonderzoek mat waarin gedan aanbevel algemen rekenkamer kamerstuk npo opgevolgd debat wetgevingsoverleg media twed kamer brief appreciatie moties wetgevingsoverleg wgo media geinformeerd kamerstuk viii twed kamer snel mogelijk geinformeerd vervolgstapp zomer ontvangt twed kamer reactie reger definitiev advies adviescolleg landelijk omroep reactie neemt reger reactie beleidsdoorlicht media mee debat wetgevingsoverleg media twed kamer brief kadernotitie adviescolleg omroep geinformeerd kamerstuk verkenn opgepakt advies adviescolleg omroep twed kamer eind geinformeerd indicatie kom wanner acm inzak fusie rtl talpa debat wetgevingsoverleg media twed kamer via mediabegrotingsbrief geinformeerd stand zak rondom toezegg eind separat brief verstuurd twed kamer ontvangt voorjar eerst verkenn gericht doorlop coaching kwetsbar jonger relatie arbeidsmarkt aandacht regierol gemeent benodigd regelgev gegevensuitwissel verschuiv budget debat voortijd schoolverlat jonger afstand arbeidsmarkt twed kamer per brief geinformeerd toekomst hoogt gehoud kamerstuk ocw zegt toe twed kamer later informer effect uitbrak aanbod laaggeletterd gemeent debat vso voortgang uitwerk vervolgaanpak laaggeletterd twed kamer geinformeerd per brief kamerstuk lid tiel kamerkenmerk tussenrapportag beleidsmonitor tel mee tal nader onderzocht gevolg pandemie corona tussenrapportag verwacht eind twed kamer voorjaarsreces geinformeerd middel voortgangsrapportag informeert twed kamer twee inwerkingtred zomer tussenrapportag implementatie wetsvoorstel gat daarin wijz waarop omgegan student beperk chronisch ziekt rol debat wijzig wet educatie beroepsonderwijs oog verbeter rechtsbescherm student twed kamer tussenrapportag implementatie wetsvoorstel geinformeerd verplicht leerbedrijv erkenn will krijg cursus discriminatie volg nieuw bedrijv volgen bestaand zoekt even komt twed kamer terug moment terugkomt voorwaard expliciter verbod discriminatie verplicht misschien gan debat begrotingsbehandel ocw plenair behandel voortzet twed kamer per brief voorjaarsreces geinformeerd stagepact zegt toe verkenn start verschill medezeggenschapsregimes mbo debat wet bestur harmonisatie beroepsonderwijs voorjar twed kamer stand zak nakom toezegg geinformeerd komt trouwen zomer ieder geval reces hoofdlijnenbrief mbo zomer komt brief verder werk debat slotwet jaarverslag stat twed kamer per brief geinformeerd kamerstuk zomer,Bestuur en rechten|gezondheidszorg|onderwijs,0.2659494063218548,"[0.4481874587516025, 0.1277549225846517, 0.01620734221260706, 0.006661444812130355, 0.057113923351137914, 0.013237773744910562]","[True, False, False, True, True, False]","[True, False, False, True, True, False]","[0.2659494063218548, 0.2659494063218548, 0.2659494063218548, 0.2659494063218548, 0.2659494063218548, 0.2659494063218548]","[1, 0, 0, 1, 1, 0]",jaarverslag-onderwijs-cultuur-wetenschap-2022.267.txt__0,"[1, 0, 0, 0, 1, 0]"
jaarverslag-lnv-2022.146.txt,Policyarchive_text\jaarverslagen\2023\jaarverslag-lnv-2022\jaarverslag-lnv-2022.146.txt,2023,jaarverslag-lnv-2022,0,verzoekt reger provincies waterschapp hard ambitie vast legg overhevel pijler pijler stapsgewijs lat groei voldoen natuurdoelstell verzoekt teven hiermee gedeg gebiedsgericht aanpak stikstof klimat biodiversiteit programmer europes middel beschik kom gebiedsgericht aanpak cofinancier rijksmiddel stikstof klimat biodiversiteit parlementair agenda tweeminutendebat national strategisch plan uitgaand brief appreciatie observaties europes national strategisch plan verzoekt reger boer additionel natuurdienst lever ruimhartiger belon ecoregel gebiedsgericht werk nsp zodat ecoregel maximal bijdrag opgav gebied stikstof klimat biodiversiteit verzoekt teven beschik middel ecoregel daarbij minimal constant houd ongeacht overhevel pijler parlementair agenda tweeminutendebat national strategisch plan uitgaand brief appreciatie observaties europes national strategisch plan verzoekt reger voorstel werk stapsgewijz verhog eerstepijlergeld twed pijler per uitgangspunt middel maximal bijdrag verdienvermog boer verzoekt reger ecologisch effect national strategisch plan vanaf jaarlijk monitor evaluatie hiervan kamer parlementair agenda tweeminutendebat national strategisch plan uitgaand brief appreciatie observaties europes national strategisch plan verzoekt reger alternatiev plan sector maatwerkaanpak volwaard plek gev definitiev zevend apn hierover twed kamer snel mogelijk informer parlementair agenda tweeminutendebat mestbeleid uitgaand brief aangenom moties reactie vier zienswijz actieprogramma verzoekt reger zevend actieprogramma nitraatrichtlijn nem ingang permanent ingesteld weersomstand gewasontwikkel inzaaidatum vanggewass proactief gat volg monitor tijdig gat adviser zodat boer ruim tijd wet war toe onzeker rond uitstelverzoek beoordel daarvan voorkom parlementair agenda tweeminutendebat mestbeleid uitgaand brief aangenom moties reactie vier zienswijz actieprogramma verzoekt kabinet belang effect toekomstperspectief jong boer mee nem overweg alternatief sector zevend actieprogramma parlementair agenda tweeminutendebat mestbeleid uitgaand brief aangenom moties reactie vier zienswijz actieprogramma verzoekt reger voorgesteld eis minimal rustgewass permanent grasland graasdierbedrijv overleg betrok sector tenminst vorm gev recht gedan lastig positie gemengd bedrijv bedrijv vleesveehouderij ervor zorg zevend actieprogramma nitraatrichtlijn ruimt biedt parlementair agenda tweeminutendebat mestbeleid uitgaand brief aangenom moties reactie vier zienswijz actieprogramma verzoekt reger veengrond zonder verplicht rotatie rustgewass parlementair agenda tweeminutendebat mestbeleid uitgaand brief aangenom moties reactie,Bestuur en rechten|Cultuur_en_sport|gezondheidszorg|onderwijs,0.2209708691207961,"[0.21900473206250656, 0.015071001093066153, 0.014030136423018808, 0.026239723370457522, 0.0002738189392926696, 0.007622412805059204]","[True, True, False, True, True, False]","[True, True, False, True, True, False]","[0.2209708691207961, 0.2209708691207961, 0.2209708691207961, 0.2209708691207961, 0.2209708691207961, 0.2209708691207961]","[1, 1, 0, 1, 1, 0]",jaarverslag-lnv-2022.146.txt__0,"[1, 1, 0, 1, 0, 0]"
jaarverslag-defensie-2022.49.txt,Policyarchive_text\jaarverslagen\2023\jaarverslag-defensie-2022\jaarverslag-defensie-2022.49.txt,2023,jaarverslag-defensie-2022,0,beleidsartikel konink luchtmacht algemen doelstell konink luchtmacht modern technologisch krijgsmachtdel wereldwijd actief luchtmacht ondersteunt bestrijd national onrust biedt hulp ramp zorgt vanuit lucht bewak verded luchtruim hiervor beschikt krijgsmachtdel hooggekwalifi ceerd personel vliegtuig helikopter wapensystem rol verantwoord verantwoord vaststell omvang samenstell luchtstrijdkracht mat gered luchtstrijdkracht commando luchtstrijdkracht clsk verantwoord operationel gereedstell instandhoud grondgebond capaciteit krijgsmacht inzet verded bondgenootschapp grondgebied tionair tak national tak beleidsconclusies eenheid luchtmacht vanaf begin conflict betrok snell adequat navo oorlog oekrain spanning europes oostgren enkel uren binnenvall rusland oekrain jachtvliegtu positie oostgren navo grondgebied vrijwel onz capaciteit situatie ingezet bred scala missies succesvol ingezet enhanced vigilanc activities enhanced air polic activities inmiddel volgend air polic missie pol gestart taskforc oekrain ondersteun meerder vlucht uitgevoerd materieel oekrain transporter stond gered onmiddel ingezet roemenie cougar stond inzet initial forces group nato respon forc mrtt weliswar organiek luchtmacht initial operational capabl ingezet air ingezet boord standing nato maritim group inzet relatie oekrain luchtmacht afwissel belgisch luchtmacht jachtvliegtu beschermd civiel militair vliegtuig waarvan dreiging uitgat onderwijl onderhoud nucleair tak daarna overgenom geoefend verbeter luchtmacht afgelop deelgenom verschill inter national oefen oefen frisian flag werd grootschal formaties getraind daarnaast oefen falcon autumn eenheid defensie helikopter commando air mobility command wer tificeerd grootschal luchtmobiel optred flet officer sea training nieuw succesvol getraind zeebootbestrijd vlootintegratie stationer curaçao verlengd medio waarbij operationel inzet beoogd testactiviteit twed kamer vergaderjar,gezondheidszorg|onderwijs,0.1105541596785133,"[0.02162427203472897, 0.0423667579501232, 0.03475710619656162, 0.026108010372527125, 0.00021948576435909965, 0.006217497296596587]","[False, False, False, True, True, False]","[False, False, False, True, True, False]","[0.1105541596785133, 0.1105541596785133, 0.1105541596785133, 0.1105541596785133, 0.1105541596785133, 0.1105541596785133]","[0, 0, 0, 1, 1, 0]",jaarverslag-defensie-2022.49.txt__0,"[0, 0, 0, 1, 0, 0]"
