filename,filepath,document_type,year,chunk_num,chunk_text,topic,cosine,cosine_weighted,topic_probs,topic_assigned
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.1.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.1.txt,,,0,stat slavernij,,0.1414213562373095,"[0.570900880860945, 0.0, 0.0]","[False, False, False]","[False, False, False]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.109.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.109.txt,,,0,actuel vraagstuk slavernij afschaff doorwerk patricia kaersenhout entangled one zer person serie acht werk ontsnapp onveil verwarr gevoelen ontstan zwart bent overweg wit samenlev ded twijfel eig identiteit plat war thuishoord ontsnapp denkbeeld wereld pas lost grenz toegestan vrijheid realiteit mogelijk via tal verbeeld bevrijd inner ziel gevang zit uiter licham bepaald ras geslacht hierarchie entangled one werk papier,Doorwerking & Raciale Ongelijkheid,0.07330166661378312,"[0.10287490480047942, 0.022687212754866574, 0.011918206675813196]","[False, True, False]","[False, True, False]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.10.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.10.txt,,,0,buitengewon hooglerar cultur gemeenschap geschiedenis universiteit curaçao esther captain historicus senior werkzam konink institut volkenkund kitlv leid expertis laatkoloniaal indonesie revolutie postkoloniaal relatie eiland surinam matthias rossum historicus senior verbond international institut social geschiedenis iisg amsterdam gespecialiseerd geschiedenis slavernij azie verbind atlantisch slavernijverled urwin vyent directeur national nederland slavernijverled erfenis werk ninsee houdt bezig ontwikkel slavernijmuseum amsterdam,Beleidsmaatregelen & Herstel,0.09363291775690445,"[0.10212313968742698, 0.01078123121452563, 0.06448617761272028]","[False, False, True]","[False, False, True]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.105.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.105.txt,,,0,actuel vraagstuk ander vanuit rechtvaard een gat individuen groep ander gehel samenlev behoeft betreft participatie sen rechtsherstel beid nauw verwev toekomst aandacht krijg zodat breder debat herstel gevoerd dichter idee transformativ justic komt namelijk vorm radical participatie slachtofferschap adresseert transformeert zoektocht erkenn aandacht kom machtsvrag bepaalt erkenn herstel inhoudt erkenningskwesties diep verstrengeld machtskwesties grot risico bestaand machtshierarchieen bevest plat verander gevar politiek erkenn gelijktijd bewust onbewust raciaal discour hierarchisch relaties posities superioriteit inferioriteit gereproduceerd belangrijk degen bedoeld degen proces inhoud bepal excuses nodig war eigen gat koloniaal verled schaduwkant geschiedenis zien doorwerk onz leving erkenn naslep kolonial verled vel manier aanwez sommig zichtbar tastbar ander,Doorwerking & Raciale Ongelijkheid|Beleidsmaatregelen & Herstel,0.13770607453181927,"[0.018552359788949684, 0.020591962329174613, 0.22794025931370512]","[False, True, True]","[False, True, True]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.101.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.101.txt,,,0,actuel vraagstuk naslep kolonial hierarchieen verschill gemeenschapp nazat slavernij kolonial mindset gelat racism discriminatie groep leidt extern racism sprak intern racism gemeenschapp zelf families voldoen wit wester norm har gestraight huid gebleekt afkomst ontkend tal ouder sprek verled verzwijg resulter gevoel intern conflict intern racism lang zwijg families wortel kolonien eerst instantie verled gesprok seerd schaamt kolonial verled zwijgcultur hand gewerkt marcel kant auteur boek wortelzucht vertelt kom surinam onderwijzersfamilie daarin vroeger gesprok slavernij pas later zwijg gan begrijp waarom nou taboe daarvor begrijp surinam kolonial,Doorwerking & Raciale Ongelijkheid,0.12004900959975619,"[0.17140907237916192, 0.32994145953053966, 0.04109136378300053]","[False, True, False]","[False, True, False]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.100.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.100.txt,,,0,stat slavernij overgang nieuw term richt claim recht zichtbaarder ruimt daarnaast focus ander soort narratief gelegd woord culturel antropolog francio guadeloup plat trauma slachtofferschap slavernij culturel traumanarratief gebied gebruik strijd vrijheid gelijk system onderdruk central erkenn slavernijverled familieperspectief afgelop decennia belangenorganisaties activist roep plek mak dialog rondom slavernijverled strev gelijkwaard burgerschap person ervar zwart mens leidrad oproep manier transformativ justic belang hiervan beter begrijp belangrijk stil stan ervar nazat leeft families speelt priv gemaakt link sjablon zwart piet racism gemaakt quincy gario recht foto protest zwart piet zwart verdriet bijlmer amsterdam eind negent,Doorwerking & Raciale Ongelijkheid|Beleidsmaatregelen & Herstel,0.14667175952451383,"[0.1603991602743194, 0.12772877897940743, 0.08817374093703234]","[False, True, True]","[False, True, True]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.103.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.103.txt,,,0,actuel vraagstuk onderl relatie relatie zwart soonlijk lat zien term herstel breder opgevat gat herstelbetal vanweg led verled herstel social relaties heden dialog gemeenschapp person ven brek denk essentialism tegenstell open academisch debat rondom politiek erkenn juist dominer reacties excuses vanuit gemeenschapp person verhal mak duidelijk discussie erkenn excuses erkenn scheefheid economisch social system gan economisch tem ontstan ten tijd slavernij sted doorwerkt gat grondstoff war slavernij profiteerd suiker surinam profiteert woordig goud gelijksoort condities ceerd kwam interview vor excuses aanvoer ervor gan zorg surinam mal levensstandaard krijg ooit probeert stot aruba bepaalt geld krijg macht geld jou war komt geld eerst instantie bewustword verander economisch system manier gezien excuses praktijk breng ander slecht los gebar daarbij belangrijk excuses gemaakt partij organisaties bedrijv grootst winst gehaald gat individuel burger verantwoord gedrag degen structurel verantwoord slavernij herstelbetal gezien geld ene partij gat manier economie surinam antill bouw kolonisator slecht achtergelat vorm structurel rechtsherstel belangrijk antill bepal war geld precies bested voormal kolonisator,Koloniaal Verleden & Slavernij|Doorwerking & Raciale Ongelijkheid|Beleidsmaatregelen & Herstel,0.13171055481963492,"[0.16345194869869487, 0.0419982252243736, 0.341481121685362]","[True, True, True]","[True, True, True]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.107.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.107.txt,,,0,wet kom waarom mens verled sprek inhoud tracht gev plat heden aandacht bronn manifesteert actief crer verzamel oral bronn slan databank archiefinstell verschill archiev waarin herinner person kolonial verled vastgelegd beeldmateriaal zie oral history data archiv networked services bekend voorbeeld archief stichting mondel geschiedenis indonesie samenvat sessies mens bevat informatie gev period kolonial aanwez azie curaçao volkenkund paul brenneker elis juliana vanaf grot hoevel mondel verzameld meest hen verzameld informatie databank bestaand lieder verhal levensverhal historical dation stemm afstammel slaafgemaakt bewaard geblev nadat zevent verzameld amerikan journalist vivian graham journalist auteur boi antoin afgelop uitgebreid collectie videoband audiotapes verzameld gedigitaliseerd ontslot archief archivo boneiru institut beeld geluid collectie catalogus opgenom surinam amazon conservation team lokal bevolk middel oral geschiedenis interactiev kaart oud foto archiefstuk historie gemeenschap matawai vastgelegd opslan digital ontsluit oral materiaal stelt bronn veilig nader herinterpretatie analys bronn verifieer ondank toenem belangstell oral geschiedenis kolonial geschiedenis blot legg hel materiaal breder toegank buitengewon hooglerar cultur gemeenschap geschiedenis universiteit curaçao,Beleidsmaatregelen & Herstel,0.07485394338621663,"[0.02920741782178474, 0.011117669192537885, 0.027518463834532925]","[False, False, True]","[False, False, True]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.104.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.104.txt,,,0,stat slavernij gevoel betrek paternalistisch optred overheidsinstanties terug zien stand frustratie reger sommig eiland surinam aanlop excuses rut diver surinam antilliaan organisaties weerstand eerder diver stadsdialog lang excuses rotterdam sted gevoerd war opvat hor zoveelst ker gemeenschap heerst gevoel gemeenschapp betrok debat stadsdialog voeld vel vooral symbolisch participatief proces uiterst selectief war telken dezelfd person stem kond lat hor vervolgen meestal meegewog besluitvorm slot terwijl activistisch kring gemeenschapp bred gesprek reparation gevoerd tiek debat sted beperkt aard gericht symbolisch aspect excuses feestdag komst national slavernijmuseum sted gat dacht middel representatie discriminatie racism institutionel niveau gan excuses nederlandsch bank eig verantwoord verled vergezeld werd turel actiepunt heden veelbelov stap net kondig reger koninkrijk fond tweehonderd miljoen euro komt hop veranderd bewustzijn nieuw creeert gemeenschapp zien duidelijk verbeeld war eigen gat plat nauw debat geassocieerd herstelbetal ligt nadruk gezamen proces besef social relationel component wezen herstel zegg gangbar term herstelbetal gemeenschapp verbred idee rechtsherstel sociaal zelf hak elkar stan een redeneert vanuit schad,Koloniaal Verleden & Slavernij|Doorwerking & Raciale Ongelijkheid|Beleidsmaatregelen & Herstel,0.1327446623199944,"[0.07284933327463218, 0.10950535576013462, 0.25700382196194516]","[True, True, True]","[True, True, True]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.106.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.106.txt,,,0,ros mary all method oral geschiedenis hel lang historici uitgegan geschrev bronn geschiedenis reconstruer vanaf twed helft vorig eeuw bred scala academisch disciplines betekenis waard oral geschiedenis erkend manier stemm herinner individuen achterhal wer gev preter method geeft letter figur stem degen ontbrek dominant sted musea bibliothek buurtgemeenschapp kerk vakbond groep mak bekend mondel overgeleverd geschiedenis oral geschiedenis method oral getuigeniss oral traditie historisch bewijs vastlegt stamt culturel traditie informatie belang volk mondel generatie generatie gev voornam oral cultur war schrift lang onbek werd genealogie etiologisch verhal myth lieder spreekwoord gebed gedicht tonel raadsel verbal doorgegev denk odo spreekwoord gezegd marron wijz eig geschiedenis weergev guritan volkspoezie verhal wayang kulit poppenspel java bali kantika makamba traditionel werklieder curaçao soortgenot shanties song bovenwind eiland daarom beschouwd oudst vorm historisch geschrev woord gebaseerd bestond unesco bijzonder aandacht oral bronn immaterieel culturel erfgoed waardor sted beschermd kennis bewustzijn ervan vergrot oral geschiedenisonderzoek neemt gesprek vorm interview waarbij interviewer verteller ruimt gev lev herinner ervar prat gat vooral historisch thema vak onderbelicht geblev punt war tegenwoord aandacht bested oral historici rol trauma levensverhal vastlegg onbek herinner bronn geschiedschrijv bronn,Doorwerking & Raciale Ongelijkheid|Beleidsmaatregelen & Herstel,0.09607689228305229,"[0.010809847218791972, 0.025653225471644225, 0.026689377727054427]","[False, True, True]","[False, True, True]"
