filename,filepath,document_type,year,chunk_num,chunk_text,topic,cosine,cosine_weighted,topic_probs,topic_assigned,chunk_id,labels
ketenen van het verleden.7.txt,slavery_text\ketenen van het verleden.7.txt,,,0,adviescolleg dialooggroep slavernijverled adviseert wet erkenn slavenhandel slavernij zeventi eeuw direct indirect nederland gezag plaatsgevond misdrijv menselijk daarbij led erkend mens slachtoffer misdrijv geword led afstammel erk strijd success invloed degen lop eeuw heden toe verzet slavernij racism discriminatie voort adviseert adviescolleg stat nederland med rechtsopvolger eerder nederland gezag slavenhandel slavernij direct indirect toegestan mogelijk gemaakt bevorderd bedrev hiervor wet excuses aanbiedt adviescolleg beveelt stat nederland aanbied excuses bereid uitspreekt historisch onrecht heden velerlei vorm ervar discriminatie institutionel racism zovel mogelijk herstell aanbevol excuses namen reger aanbiedt ker koning uitgesprok verled indonesie wilhelmina grot symbolisch betekenis gehad gemeenschap adviescolleg adviseert hierbij volgend acties ondernem vergrot bewustzijn slavernij via kunstzinn national onderzoeksprogramma start slavernijverled hedendag erfeniss doorwerk daarvan waaronder institutionel racism opstell uitvoer zowel nazat totslaafgemaakt participer vanuit perspectief meerstemm ten goed kom geschiedenis slavernij omvat historisch hedendag economisch aspect daarvan bekijk wijz bestaand institut ninsee integral betrok zodat doublures voorkom duurzam gewaarborgd daarbij wijz bestaand initiatiev institut gericht verdiep substantiev burgerschap gecontinueerd geintensiveerd versterkt,Reparations and Remembrance|Modern & Everyday Racism,0.2434322477800738,"[0.15973385579355495, 0.24501407479657733, 0.22295684856066167]","[False, True, True]","[False, True, True]",ketenen van het verleden.7.txt__0,"[0, 1, 1]"
ketenen van het verleden.19.txt,slavery_text\ketenen van het verleden.19.txt,,,0,sociaal culturel planbureau ded social stat constateerd nederlander vaker conflict ervar samenlev zag begin procent conflict voorgelegd bevolkingsgroep procent blek manier menlev enkel meest genoemd maatschapp problem werd ervar burgerperspectiev scp komt vor driekwart lander vindt meningsverschill maatschapp kwesties wijt toenem polarisatie mentaliteit multiculturel samenlev vooral rol social enquêt dagblad trouw peiling research verled aanbied excuses blijkt procent nederlander vindt ernstig hel ernstig rol gespeeld slavernij procent vindt excuses noodzak procent vindt excuses gerechtvaardigd den voorstander excuses gav argument excuses kunt ken verled plaatsgevond polarisatie hand werkt voorstander gav daarmee aangedan led erkend belangrijk bewustword helpt tegengan racism ondank groeiend bewustzijn discriminatie racism heerst heid diver sector samenlev sector samenlev hiervor uiteengezet adviescolleg ter uitvoer opdracht tafel georganiseerd maatschapp sector relevant ontwikkel sector nader toegelicht arbeidsmarkt sociaal culturel planbureau kwam vor kandidat nam kan mak sollicitatieprocedures ongeacht verschill grootst middenfuncties ongelijk schuilt kans kandidat traditionel nam simpelweg vak uitgenodigd wenneker monitor dekker den ridder monitor grootst conflict volgen ondervraagd autochton nederlander mens migratieachtergrond voorbeeld polarisatie discussie zwart piet genoemd dekker den ridder uitgesplitst achtergrond ondervraagd blijkt procent nederlander achtergrond excuses onnod nederlander migratieachtergrond slecht procent engeland andriess,Reparations and Remembrance|Modern & Everyday Racism,0.1223153259450301,"[0.03886147733437775, 0.10179924013007918, 0.1543855562031277]","[False, True, True]","[False, True, True]",ketenen van het verleden.19.txt__0,"[0, 1, 1]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.133.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.133.txt,,,0,laur lauret politiek slavernij negenti eeuw bataf revolutie werd slavenhandel slavernij vraagstuk landelijk politiek twed helft achttiend eeuw morel kritiek slavernij prominent voorgrond getred opinieper filosofisch werk verander geleid stan central politiek omgegan slavernij historici erover geschrev onbeantwoord revolutie restauratie ded radical volksvertegenwoordiger pieter vred oproep national vergader nieuw grondwet verbod slavenhandel slavernij steld dezelfd national vergader bog adviseerd daarover vast legg behoud geblev kolonien nam surinam curaçao goudkust gevar kom wegen gebrek kolonist ord bewar grond bewerk afschaff bovendien stond onrust ontstan santo domingo fran afschaff slavernij iederen helder ogen nadel economisch gevolg jong bataf republiek ondank morel bezwar slavernij leid sche bezwar ertoe nieuw grondwetsontwerp bataf republiek slavernij onbesprok liet oproep vred betrok succesvoll campagn nieuw grondwetsontwerp keur pleegd vervolgen staatsgrep waarna radical nieuw grondwetsontwerp kond opstell ontwerp blef slavernij onbesprok kennelijk thema vred medestander politiek prioriteit kortom gebruikt kret,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance",0.1494035761667992,"[0.2778735449654558, 0.01351358496298856, 0.0005647447567993652]","[True, True, False]","[True, True, False]",Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.133.txt__0,"[1, 1, 0]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.131.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.131.txt,,,0,slavernij afschaff doorwerk surinam antill herinner herdenk nazat slaafgemaakt slavernij verzet veerkracht hel schillend manier hel verschill verhal zwart mens voornam vrouw surinam liaan afkomst afschaff eigendomsslavernij amsterdam herdacht hierna mel verzoek ingedi reger monument richt jaarlijk herdenk domsslavernij activism gelobby monument realiteit daarna volgd zwart bevolk geeist toestemm opricht national institut nederland slavernijverled erfenis ninsee daarbij opgemerkt hiervor bar steun slecht handvol mainstream geschiedkund actiev tuel uitgesprok groep campagn voerd lobbyd monument institut toekomst erfenis slavernij vier zak belang ten eerst herdenk zichtbar nooit onderzocht ten twed zoek gedan vergoed slaafmaker tegenstell verenigd koninkrijk war aard omvang vergoed grondig gedocumenteerd ten derd staatstoezicht matisch onderzocht laatst kwestie gevolg contractarbeidersregim vrijgemaakt voormal gemaakt beter onderzocht belangrijk instell individuen precies zoud uitvoer bestaand universitair slavernij stat bol weglat stiltes omfloerst beschrijv,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance|Modern & Everyday Racism",0.1341640786499873,"[0.2104033433534612, 0.15661721390711256, 0.010603895845575934]","[True, True, True]","[True, True, True]",Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.131.txt__0,"[1, 1, 1]"
Racisme bij het Ministerie van Buitenlandse Zaken. Een verkennend onderzoek.96.txt,slavery_text\Racisme bij het Ministerie van Buitenlandse Zaken. Een verkennend onderzoek.96.txt,,,0,racism buitenland zak verkenn actief uitgedrag bekend helder normstell racism getolereerd racistisch handel medewerker verminder uitdrag norm verantwoord leidinggev respondent aangev belangrijk omstander ingrijp interventies omstander drag namelijk evenen stell social norm waarvan preventiev werking uitgan medewerker indruk collega dergelijk gedrag afkeur gedrag sociaal geaccepteerd zull immer snel schuldig mak racism broekroelof felt crandall esheman brien fermin draagt den dur cultuuromslag social zowel medewerker racism ervar omstander ruimt voel durv sprek racism war racism vooral problem war minderheidsgroep manier vind mee gan verantwoord dominant meerderheidsgroep bestrijd leiding proces stimuler ontwikkel gericht activer omstander basis bevel verder werk inclusiev organisatiecultur druk conformer assimiler beperkt mens zichzelf thuis voel uitdrag norm breder zin belang missie drag rechtvaard wereld kans vrijheid waardig iederen effectiviteit valt stat norm eig praktijk uitdraagt naleeft discrepantie gelijkheidsbeginsel visie enerzijd praktijk alledag racism werkvloer gedicht respondent benadruk juist buitenland zak vanweg diplomatie verschill wereld opkom mensenrecht voorloper stimuler diversiteit inclusie invester training medewerker bekend professionaliser medewerker training opleid belangrijk waarborg bied eerlijk process willekeur ongelijk behandel broeklof felt fermin daarom belangrijk invester ambtelijk vakmanschap respondent pleit gedacht training gericht constructief omgan onbewust vooroordel cultuursensitief werk respectvoll bejegen culturel lokal aangenom medewerker masterclasses aandacht betekenis impact racism zowel slachtoffer,Modern & Everyday Racism,0.3083979403586968,"[0.01857116699031284, 0.0026711252889836746, 0.4260845056340888]","[False, False, True]","[False, False, True]",Racisme bij het Ministerie van Buitenlandse Zaken. Een verkennend onderzoek.96.txt__0,"[0, 0, 1]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.310.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.310.txt,,,0,stat slavernij slaafgemaakt batavia verscheept twed helft zeventi eeuw sted vaker ceylon kaapkolonie lon voerd slaafgemaakt allerlei werk zer gespecialiseerd vakwerk ongeschoold arbeid hel families vakkund wever textielverver werd ingezet nieuw centrum zet jaffna vel werkt land bouw colombo gall jaffna huisslaf vrijburger rijk oorspronk zuidwestkust india malabarkust ander belangrijk slavenhandelsgebied voc bezit voc kust ongetwijfeld grootst aanwinst hel subcontinent voc portugez verslag cochin daardor kond nederlander bezit malabarkust consolider twee grootst kolonial domein hel azie centrum fort cochin par waarvan demografisch beschik bestond bevolk fort cochin vijfendert tweeenveert procent slaafgemaakt overgrot mann twed helft zeventi eeuw stopt voc slaafgemaakt arakan druk gouverneur bengal provincie mughalrijk arakan grensd ongever kertijd vanaf boord voc nieuw bron grootschal venhandel vanuit regio makassar indonesisch archipel wild slavenhandel oostgren halt toeroep med soevereiniteit aantast politiek zer onstabiel regio uiteind leid ertoe voc handel mrauk stopt hielp militair expeditie mrauk ondank verschuiv droogd venhandel vanuit bengal helemal nieuw verkop slaafgemaakt chinsurah achttiend eeuw lat zien voc handel teruggetrok blev particulier handelar nauw band voc onderhield matig meedoen verkop slaafgemaakt bengal kwam overgrot meerder ten chinsurah werd verkocht bengal europes particulier slavenhandelar groeid gek gezien grot verschuiv handelswereld indisch oceaan twed helft zeventi eeuw voc versterkt positie handel bengal coromandelkust,"Colonial Exploitation, Slavery & Economic Inequality",0.2249933545004785,"[0.38312726838235395, 0.0020399843585863983, 0.000637232619597456]","[True, False, False]","[True, False, False]",Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.310.txt__0,"[1, 0, 0]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.440.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.440.txt,,,0,stat slavernij kennis middel toegang wetenschap debat beleidsvorm concret gevolg koninkrijk bestan gebied grot verschill koninkrijk gebrek gedeg infrastructur financiel middel instanties eiland gericht verricht gebied slavernij slavernijverled lokal veelal afhank extern fonds verstrekker subsidies echter eig doelstell geinteresseerd vraagstuk relevant king context mechanism uiteraard invloed kennisproductie totstandkom publicatie den beoogd bundel stell grot diversiteit auteur med afkomst woonacht werkzam surinam indonesie goed geslaagd hoopt hangt bovengenoemd ongelijk verdel kennis middel gang som beoogd auteur onmog kort tijdsbestek tekst schrijv vak doordat bepaald thema ongelijk onvoldo informatie beschik som nam gevraagd auteur sommig lang tijd nauwelijk moeizam helemal toegang academisch bedrijf kreg afstand opdracht vier gevestigd stelling belegd punt aandacht zorg belang vast stell tal mechanism academisch bedrijf leid ontoegank zelf buitensluit person perspectiev degen gevestigd positie schap bestur verantwoord nem barrières slecht open benader iederen bijdraagt zorg uitwissel interpretaties beter gebalanceerd narratiev gebaseerd meerstemm nieuw perspectiev inzicht ten slot stat slavernij biedt ten slot inzicht aanbevel ten aanzien slavernijverled doorwerk daarvan rol stat allereerst constater actief,Reparations and Remembrance|Modern & Everyday Racism,0.144126792057692,"[0.12480152270114744, 0.1195525826420764, 0.03238020925700026]","[False, True, True]","[False, True, True]",Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.440.txt__0,"[0, 1, 1]"
Jouwe e.a. - Slavernij en de stad Utrecht.49.txt,slavery_text\Jouwe e.a. - Slavernij en de stad Utrecht.49.txt,,,0,vred utrecht asiento span kolonien praktĳk vak illegal gehandeld slaafgemaakt ten derd blef vanuit fran engel kolonien nieuw wereld slaafgemaakt toenem sommig handelskr republiek zelf juist kritiek asiento slaafgemaakt rechtstrek vanuit afrika kond vervoerd waarbĳ curaçao period nederlander ongever honderdduiz slaafgemaakt atlantisch oceaan vervoerd willem klooster steld period bovendien amerikan slavenhandel belang slavenhandel wic verschill historici mening henk den heĳer constateerd goudhandel belangrĳker handel slaafgemaakt mens span historicus manuel herrero daarenteg steld wic feit slavenhandelbedrĳf betrok wic venhandel vred utrecht span successieoorlog afslot historisch omslagpunt engels verwierv asiento langer tĳd slot daarbĳ wic aanleid oorlog testament span koning karel kleinzon lodewĳk xiv hertog filip anjou aanwes zĳn universel erfgenam nadat tron besteg filip spanj viel fran troep span nederland zĳn erfenis veilig stell bovendien wes filip asiento toe fran compagnie guinee assient royaum franc republiek engeland keizer steund oostenrĳk aartshertog karel aansprak maakt span tron slot grot alliantie verklaard oorlog spanj frankrĳk vond grot machtsblok ontstan europa woed span sieoorlog geallieerd twee kron europa del uitgevocht overzes kolonien wereldzeeen hoewel frans tĳden conflict asiento had ging wic steun gouverneur curaçao tĳden log gewon handel slaafgemaakt amerika gebeur fran compagnie guinee voldoend slaafgemaakt lever daarom afhankelĳk slavenschep zorgd echter frictie nederlander engel bondgenot,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance",0.1754391474909799,"[0.30406317198729943, 0.006243136864586124, 0.005350462475909797]","[True, True, False]","[True, True, False]",Jouwe e.a. - Slavernij en de stad Utrecht.49.txt__0,"[1, 1, 0]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.356.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.356.txt,,,0,stat slavernij snel belangrijk speler slavenhandel balthazar moucheron nef cornelis pagnieen voc betrok actief handel slaafgemaakt slavenhandelar ximenez liet begin vertegenwoord cornelis pietersz hooft antwerpenar gaspar mer trok pernambuco eigenar suikerrietplantag nabij kap santo agostinho mer crucial strategisch informatie opricht wic leid helas mer den hollander plantag innem nadat pernambuco veroverd voer debat betrok handel ten ded via portuges span kolonial system war eerder commerciel contact mee had zeker vanaf zer kort castiliaan regeerperiod filip schon geopolitiek toegang toe had system had nauwelijk control kond kiez marg daarvan operer echter hel gebeur duidelijker beeld betrok zuidelijk nederland vijftiend zestiend eeuw officiel kolonial system span portuges kron bronn genereerd vak handelar omzeild evident portuges span nam herkenn samenwerk belgisch span portuges historici hiervor nodig wet kom narratiev slaafgemaakt water ontbrek verder uitwijz representatief uitzonder casuss brugg later antwerp fungeerd spil complex commodity chain financieel netwerk vroeg nijgeschiedenis toont grot compagnieen voc wic absolut vereist mogelijk mak handel evenen gan klein expedities kleiner plantages officiel kolonial system moeilijker geschiedenis,"Colonial Exploitation, Slavery & Economic Inequality",0.2236067977499789,"[0.2600707510887934, 0.033871664811447794, 0.004436882789307127]","[True, False, False]","[True, False, False]",Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.356.txt__0,"[1, 0, 0]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.430.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.430.txt,,,0,stat slavernij slavernijverled zien gebied war slaafgemaakt weggehaald werd zogehet plaats making wegvoer madagaskar indonesisch archipel vak gebied war ogenschijn kolonial zeggenschap geclaimd war optred slavenhandel enorm impact sterk gekoloniseerd gebied war slaafgemaakt juist naartoe werd gebracht plaats kolonial slavernij namelijk java banda voormal zien gebied war licht amper slavernij republiek waaruit georganiseerd war profijt slavernij lism grot verander gang zet duidelijk slavenhandel slavernij verbind gebied onderl sterk werd tensiveerd evident gat grootschep verplaats mens vlag kolonial slavenhandel denheid zelf onderl economisch afhank gekoloniseerd gebied blijkt opbrengst cultuurstelstel java eigenar plantages carib financieel compenser vrijmak slaafgemaakt kolonial bestur gebruikt slavernij voorloper cultuurstelsel contractarbeid carib azie los elkar elkar aanvull onderdel veelomvat koloniaal system afschaff slavenhandel later slavernij zet vorm gedwong mobiliteit arbeid verder gang cultuurstelsel verplaats contractarbeider surinam waarmee stat kolonial ondernemer afschaff kond voldoen nieuw plantages zulk verbind werd versterkt nauw uitwissel kolonial bestur aziatisch kolonial rijk had johannes den bosch johan kielstra ervar kolonien azie atlantisch gebied bestur experiment werd toegepast verschill plek kolonial rijk zelf vak verregaand,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance",0.2962421880189655,"[0.3446513756992542, 0.037960494462499994, 0.007696773303067558]","[True, True, False]","[True, True, False]",Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.430.txt__0,"[1, 1, 0]"
