topic,term,cosine,df,keep
Colonialism,kolonie,1.0,150,True
Colonialism,koloniaal,1.0,91,True
Colonialism,voc,1.0,202,True
Colonialism,wic,1.0,129,True
Colonialism,koloniale,0.9781,446,True
Colonialism,voc-,0.9637,19,True
Colonialism,koloniën,0.8776,273,True
Colonialism,postkoloniale,0.8665,18,True
Colonialism,kolonien,0.8633,30,True
Colonialism,kolonisten,0.8612,34,True
Colonialism,postkoloniaal,0.8558,9,True
Colonialism,kaapkolonie,0.8093,15,True
Colonialism,kolonisatie,0.794,22,True
Colonialism,slavenkolonie,0.7626,5,True
Colonialism,voc-imperium,0.7619,6,True
Colonialism,voc-dienaren,0.7582,15,True
Colonialism,voc-gebied,0.7521,5,True
Colonialism,kolonia,0.7501,9,True
Colonialism,kolonialisme,0.7395,162,True
Colonialism,kolonisatoren,0.7183,5,True
Colonialism,landbouwkolonie,0.7154,10,True
Colonialism,kolonisator,0.7128,12,True
Colonialism,voc-schip,0.7046,9,True
Colonialism,gekoloniseerden,0.7042,7,True
Colonialism,slavenkoloniën,0.6993,6,True
Colonialism,voc-schepen,0.6993,6,True
Colonialism,plantagekolonie,0.6802,9,True
Colonialism,uitbuiting,0.6653,22,True
Colonialism,antikoloniale,0.6385,6,True
Colonialism,gekoloniseerde,0.6337,30,True
Colonialism,dekolonisatie,0.5848,17,True
