topic,term,cosine,df,keep
Remembrance,herdenking,1.0,45,True
Remembrance,monument,1.0,43,True
Remembrance,erfgoed,1.0,22,True
Remembrance,museum,1.0,69,True
Remembrance,monuments,0.8949,6,True
Remembrance,rijksmuseum,0.8711,38,True
Remembrance,herdenkingen,0.859,13,True
Remembrance,musea,0.8418,36,True
Remembrance,monumenten,0.799,16,True
Remembrance,historische,0.7806,83,True
Remembrance,ksmuseum,0.7804,5,True
Remembrance,historisch,0.7787,81,True
Remembrance,tropenmuseum,0.7618,14,True
Remembrance,herdenkingsdag,0.7446,10,True
Remembrance,herdenkingsdagen,0.7108,11,True
Remembrance,slavernijmuseum,0.6902,19,True
Remembrance,denkbeeld,0.6676,13,True
Remembrance,heritage,0.6642,23,True
Remembrance,slavernijmonument,0.657,12,True
Remembrance,beschouwing,0.6271,9,True
Remembrance,herinnering,0.625,24,True
Remembrance,herdenken,0.619,22,True
Remembrance,viering,0.6122,21,True
Remembrance,histories,0.6117,9,True
Remembrance,historie,0.6078,7,True
Remembrance,historic,0.5836,7,True
Remembrance,history,0.5804,100,True
Remembrance,archives,0.5757,26,True
Remembrance,herinneringen,0.5754,6,True
Remembrance,erfenis,0.5753,55,True
