topic,term,cosine,df,keep
Reparations,herstelbetalingen,1.0,19,True
Reparations,schadevergoeding,1.0,22,True
Reparations,excuses,1.0,126,True
Reparations,excuus,0.9211,23,True
Reparations,excuus-aanbieding,0.7928,7,True
Reparations,sorry,0.7798,11,True
Reparations,afschaffing,0.7028,219,True
Reparations,schade,0.701,31,True
Reparations,herstel,0.7003,68,True
Reparations,excuseswet,0.6943,5,True
Reparations,teruggave,0.6933,5,True
Reparations,betalingen,0.6731,5,True
Reparations,aansprakelijkheid,0.666,13,True
Reparations,constitutie,0.658,10,True
Reparations,verschaffen,0.6488,6,True
Reparations,eerherstel,0.6494,6,True
Reparations,vergoeding,0.648,33,True
Reparations,vervangen,0.6451,25,True
Reparations,herstelmaatregelen,0.6439,5,True
Reparations,onttrekken,0.6444,5,True
Reparations,verwerven,0.6247,8,True
Reparations,betaling,0.6238,9,True
Reparations,afwijzing,0.6142,6,True
Reparations,verzetten,0.6137,14,True
Reparations,claim,0.6003,5,True
Reparations,rechtsherstel,0.5919,6,True
Reparations,herstellen,0.5845,14,True
Reparations,assimilatie,0.5831,6,True
Reparations,compensation,0.5668,7,True
Reparations,vergoedingen,0.5641,8,True
