text,label,label_id
"UTRECHT ALS CENTRUM VAN HET NEDERLANDSE ABOLITIONISME 
195
nog dwangarbeid moesten leveren. Dankzĳ massale protesten in 
Engeland werd dat apprenticeship in 1839 voortĳdig beëindigd, en 
vanaf 1840 zien we dat Britse abolitionisten hun zendingsveld ver-
legden naar de VS, maar ook naar continentaal Europa. De British 
and Foreign Anti-Slavery Society (bfass) werd hiertoe opgericht, 
en voorzitter George William Alexander en secretaris John Scoble 
reisden vanaf 1840 regelmatig naar Europa, waar ze ook Nederland 
aandeden – tussen 1840 en 1858 brachten bestuurders van de bfass 
achtmaal een bezoek aan Nederland.3 Daarnaast toerde een groep 
quakers regelmatig door Europa, met als boegbeeld Elizabeth Fry, 
vooral bekend als gevangenishervormer. Zĳ en haar broers Samuel 
en Joseph John Gurney spraken overal over drie kwesties die toen 
prominent waren in evangelische kringen in Engeland: gevange-
nishervorming, de afschaffing van slavernĳ en het instellen van 
christelĳk onderwĳs.4 Alleen al omdat het in Nederland volstrekt 
ongebruikelĳk was dat vrouwen in het openbaar spraken, maakte 
zĳ veel indruk. Haar broers, ‘remembering the love of Dutchmen for 
the Money part of the story’, benadrukten tĳdens hun bezoeken aan 
Nederland strategisch dat de afschaffing van slavernĳ niet alleen een 
religieuze en morele plicht was, maar juist ook economische voordelen 
voor Nederland zou opleveren. Waarschĳnlĳk hebben Alexander en Scoble in 1840 ook Ackers-
dĳck en andere Utrechtse abolitionisten ontmoet. Vanaf begin dat 
jaar kwam een kleine groep van Utrechtse ‘slavenvrienden’, zoals 
ze zichzelf noemden, elke maandagavond bĳ elkaar om over dit 
thema te spreken. Ze ontmoetten elkaar bĳ Ackersdĳck thuis aan 
de Oudegracht, op wat tegenwoordig Oudegracht 382 is. Hun bĳeen-
komsten hadden een enigszins informeel karakter, maar Alexander 
beschouwde het wel degelĳk als een vereniging: ‘I was glad to find 
that an Anti-slav[er]y S[ociety] is formed in Utrecht’, schreef hĳ op 
31 maart 1840 aan Ackersdĳck.5 Ook in Amsterdam, Rotterdam, Leiden, 
Den Haag, Groningen en Zwolle waren er lokale ‘kringen’ ontstaan 
van abolitionisten. Een aantal daarvan bestond uit liberalen, en een 
aantal daarvan uit mannen uit het Réveil, de orthodox-protestantse 
opwekkingsbeweging waarvan Groen van Prinsterer de voorman 
was.",Modern racism& inequality,2
"24
5.3.6 Justitie en veiligheid
Etnisch profileren, discriminatie en racisme door en bij de politie hebben in toenemende mate 
aandacht gekregen. In het onderzoek naar institutioneel racisme door KIS51 blijkt dat in de 
handelwijze en politieaanpak onderdelen aanwezig zijn van selectie, vooroordelen en stereo­
typen op grond van etniciteit. Zowel voor politie als voor het Openbaar Ministerie geldt dat 
de organisaties hierop alert moeten zijn en over instrumenten moeten beschikken om te kun­
nen ingrijpen. Op 1 juli werden in de Tweede Kamer tijdens een debat over institutioneel racisme, drie 
moties aangenomen waarin werd verzocht om het instellen van een Nationaal Coördinator 
Racisme en Discriminatie en een staatscommissie Discriminatie en Racisme. Op 15 oktober 
2020 werd in de Tweede Kamer tevens een motie aangenomen waarin werd verzocht om een 
periodiek onderzoek naar de problematiek van racisme, antisemitisme en discriminatie. Op 27 
oktober 2020 werd in de Eerste Kamer een motie aangenomen waarin werd geconstateerd 
dat blijkens diverse rapporten en publicaties discriminatie in Nederland blijft voorkomen, 
niet alleen tussen burgers onderling, maar ook bij overheidsdiensten en binnen sterk door de 
overheid gereguleerde sectoren en breder in de samenleving en dat deze discriminatie soms 
een systemisch karakter heeft. Verzocht werd te verkennen of er een parlementair onderzoek 
moet worden ingericht naar de oorzaken van het verschil tussen de wet op papier en de wet 
in de praktijk en waarom anti-discriminatoire bepalingen in de wetgeving niet voldoende ef­
fectief zijn. Op 10 maart 2021 bood de minister van BZK aan de Kamer een verkenning aan naar een Na­
tionaal Coördinator tegen Racisme en Discriminatie. Verdere rapportage over de voortgang 
van de overige moties volgt voor het zomerreces 2021. In de uitwerking van haar motie over 
discriminatie en wetgeving heeft de Eerste Kamer op 23 maart 2021 de Parlementaire onder­
zoekscommissie Effectiviteit anti-discriminatiewetgeving (POC) ingesteld.",Modern racism& inequality,2
"2
Allen die zich in Nederland bevinden, 
worden in gelijke gevallen gelijk  
behandeld. Discriminatie wegens  
godsdienst, levensovertuiging,  
politieke gezindheid, ras, geslacht,  
handicap, seksuele gerichtheid  
of op welke grond dan ook,  
is niet toegestaan. Artikel 1. Nederlandse Grondwet",Modern racism& inequality,2
"39
BEGRIPPENLIJST 
ZWART MANIFEST
1873
Op 1 juli 1863 werd de slavernij formeel afgeschaft in Suriname en op de zes eilanden in het Caribisch 
gebied (Aruba, Bonaire, Curaçao, Saba, Sint Eustatius Sint Maarten). Het was geen echte bevrijding. De 
mensen werden verplicht nog tien jaar door te werken op de plantages. Dit ter compensatie aan de 
plantagehouders, die inkomensverlies zouden lijden. Dit werd staatstoezicht genoemd door de Neder-
landse regering. In 1873 was de afschaffing van de slavernij pas ‘voltooid’. ACHTERGESTELDE WIJKEN
Wij spreken van achtergestelde wijken, omdat de (meeste) bewoners zich bevinden in een kwetsbare 
sociaal-economische ongelijkheid. De achterstand van de buurten/wijken en/of de mensen die hier 
wonen heeft een historische achtergrond op basis van structurele sociale en economische achter-
stelling. Dit zegt niets over de kracht of weerstand van de groepen die er wonen, maar meer over de 
ongelijke samenleving. AFFINITEIT MET DE DOELGROEP 
Met name, maar niet uitsluitend op leidinggevend niveau moet de uitvoering van dit manifest liggen 
bij organisaties, partijen en individuen die aantoonbare kennis hebben over de problematiek en op 
het dossier en die betrokken zijn bij de doelgroep en het onderwerp.",Historical slavery,1
"290 
NOTEN 
15. Anneke van Baal-de Vries en Fred Vogelzang, ‘Abraham Aboab’, in: Van 
Baal-de Vries et al. (red.), Utrechtse biografieën: De Vechtstreek, 11-16, 
aldaar 12. 16. Ibidem. 17. Dekker, Toestanden en gebeurtenissen, 50. 18. Van Baal-de Vries en Vogelzang, ‘Abraham Aboab’, 12. 19.",Remembrance,3
"TRANSCULTURELE THERAPIE
Problemen staan niet op zichzelf en worden geboren in een bepaalde context of leefomgeving: gezin, 
familie, werk, school, buurt. Problemen kunnen niet opgelost worden zonder naar de context van het 
probleem te kijken: (1) Alle behandelaren zijn transcultureel opgeleid en werkzaam vanuit verschillende 
disciplines. (2) Er is aandacht voor de factoren in het leven en de context die een rol kunnen spelen in het 
ontstaan en in stand houden van de klachten. (3) De behandelaar houdt rekening met het hele wezen 
van de cliënt en de culturele ervaring van de cliënt in de wereld, zowel in het verleden als in het heden. UITSLUITING 
Het niet opnemen van een bepaalde groep of individu op basis van diens kenmerken. Op basis van ste-
reotype beelden onderscheiden mensen de groep waar zij toe behoren, de “wij-groep”, ten opzichte van 
mensen die er niet bij horen, de “zij-groep”. Op basis van deze sociaal geconstrueerde (zelfbedachte) 
grenzen prefereren mensen vaak interactie met de eigen groep en sluiten ze “anderen” uit. VOOROORDELEN  
Een vooroordeel is een mening, verwachting en/of oordeel dat niet op feiten is gebaseerd over ie-
mand of een groep mensen. Vaak zijn vooroordelen het resultaat van (negatieve) stereotyperingen 
(veralgemeniseringen). WETENSCHAPPELIJK RACISME  
Een vorm van racisme waarbij de wetenschap de dehumanisatie van mensen van kleur en Zwarte 
inferioriteit ‘rationaliseert’.",Modern racism& inequality,2
"Ter illustratie, in 1849 bestond het totale 
aantal slaaf-gemaakten in Suriname uit 40.311 personen. In 1859 was dat aantal 
gereduceerd tot 36.501. Dit is een afname van bijna 10% in tien jaar. De Staatscommissie Baud adviseerde daarom de Nederlandse Staat, als die 
Suriname als kolonie wilde behouden, de slavernij af te schaffen. Dit advies leidde 
uiteindelijk tot de afschaffing van de slavernij op 1 juli 1863 in Suriname en de 
voormalige Nederlandse Antillen. We kunnen niet anders dan concluderen dat de slavernij in eerste instantie niet 
werd afgeschaft vanwege humanitaire redenen met betrekking tot de slaaf-gemaakten, 
maar om Suriname als kolonie te behouden. Het concept Ǯslavenǯ 
(et concept Ǯslavenǯ, een begrip dat zijn weg vond naar schoolboeken, komt uit de 
administratie van slavenmakers. Historici namen de schriftelijke documenten uit de 
archieven van de desbetreffende landen over. ǮSlavenǯ heeft betrekking op Afrikanen die geïnterneerd werden in Afrikaanse 
kerkers die eigendom waren van Europeanen. Vervolgens werden zij onder dwang 
getransporteerd naar het Caribisch gebied en Noord-, Midden- en Zuid-Amerika (hierna: 
de AmerikaǯsȌ waar zij tot slaaf werden gemaakt.",Historical slavery,1
"Er kwam meer kritiek op het ontbreken 
van serieus onderzoek naar de door­
werking van slavernij in hedendaags 
racisme en ongelijkheid. De roep om 
afschaffing van de karikaturale figuur 
Zwarte Piet werd vanaf 2011 het jaarlijks 
terugkerende middelpunt van die discussie. Amsterdam gaf gehoor aan de kritiek en 
schafte in 2016 Zwarte Piet af bij de 
stedelijke Sinterklaasintocht. Het Pan 
Asian Collective spande zich in om 
racisme tegen Aziatische Nederlanders 
tijdens de coronapandemie te bestrijden 
en hun zichtbaarheid in de samenleving 
te verbeteren. Verbinding met racisme en 
discriminatie
In 2019 schreef burgemeester Halsema in 
het voorwoord van Karwan Fatah-Blacks 
boek ‘Sociëteit van Suriname’: “Met open 
ogen naar de geschiedenis kijken en de 
doorwerking ervan onderzoeken, zijn de 
basis voor het bestrijden van racisme en 
discriminatie die in Amsterdam nog te 
vaak voorkomen.” 
De discussie over de omgang met het 
slavernijverleden maakt racisme en 
discriminatie juist ook pijnlijk zichtbaar. Slavernij blijft een betwiste geschiedenis, 
omdat het thema verknoopt is met een 
scherp verdeeld debat over Nederlander-
schap. Er zijn nog altijd mensen die 
vinden dat alleen witte mensen ‘echte’ 
Nederlanders kunnen zijn. Zoals ook blijkt 
uit de veelgehoorde opmerking ‘ga terug 
naar je eigen land’ op social media, gericht 
tegen Nederlanders met een donkere 
huidskleur die zich uitspreken. Erkenning en excuses
Wereldwijd groeit de roep om erkenning 
van het slavernijverleden en de door­
werking daarvan in het huidige leven van 
mensen. Ook vragen mensen aandacht 
voor herstel.",Modern racism& inequality,2
"Baarn: Ambo. Essed, Philomena. 1988. Alledaags racisme. Baarn: Ambo. De activiteiten van de jongste 
generatie bestaat uit tal van activiteiten, medemogelijk gemaakt door informatietechnologie, waaronder, talkshows: 
https://melaninfinitymagazine.com/post/adem-afrodutch-powerhouse/, congressen van studentenorganisaties: 
https://rotterdamstudentenstad.nl/nl/studeren/studentenverenigingen/overig/asah, en eigen tijdschriften: 
https://afromagazine.nl/    
32 Mitchell Esajas geïnterviewd door het Parool: https://www.parool.nl/ps/mitchell-esajas-ondanks-het-tolerante-
imago-is-er-nog-steeds-racisme-in-amsterdam~b79d17d0/. Esajas schrijft veel artikelen. Zie zijn stuk over de",Modern racism& inequality,2
"Zĳ 
fluisteren dat zĳ een ‘creoolse’ zou zĳn. Wellicht werd hiermee, in lĳn 
met de wĳze waarop het woord in de toenmalige Franse context werd 
gebruikt, niet bedoeld dat zĳ van Europees-Afrikaanse afkomst was, 
maar enkel dat zĳ een Europese was, geboren in de koloniën.11 Toch wordt 
het uit de roman niet duidelĳk. Constance zelf benadrukt even later dat 
ze in Frankrĳk is geboren, maar dat zĳ in ‘landen met een heet klimaat 
heeft gewoond, en dat heeft er niet weinig toe bĳgedragen dat ik donker 
geworden ben’.12 De geheimzinnige achtergrond van Constance versterkt 
het exotische karakter van het verhaal. Door bovendien te wĳzen op de 
huidskleur van de vrouw wordt Constance wat Felicity Nussbaum een 
spectral presence genoemd heeft: een niet nader genoemde vrouw van 
kleur uit de koloniën die als een geestverschĳning de witte samenleving 
die haar buitensluit achtervolgt en daarmee de culturele norm ter 
discussie stelt.13
In het tĳdens haar leven nooit uitgegeven vervolg op de roman, Suite 
de Trois Femmes, wordt meer over Constance duidelĳk. Het blĳkt dat",Modern racism& inequality,2
