text,label,label_id
"— 105 —
— ACTUELE VRAAGSTUKKEN —
ander vanuit rechtvaardigheid, de één gaat over individuen of groepen en 
de ander over de gehele samenleving. De behoeften voor wat betreft ‘participatie in besluitvormingsproces­
sen’ en ‘rechtsherstel’ (beide zijn nauw verweven) moeten in de toekomst 
meer aandacht krijgen, zodat een breder debat over herstel gevoerd kan 
worden dat dichter bij het idee van ‘transformative justice’ komt: namelijk 
een vorm van radicale participatie die slachtofferschap adresseert maar 
ook transformeert. In deze zoektocht naar erkenning moet er aandacht 
komen voor machtsvragen: wie bepaalt wat erkenning en herstel inhoudt? Erkenningskwesties zijn diep verstrengeld in machtskwesties, met een 
groot risico dat zij bestaande machtshiërarchieën bevestigen in plaats van 
veranderen. Het gevaar is dat in een politiek van erkenning gelijktijdig 
(bewust of onbewust) een raciaal discours, hiërarchische relaties of posities 
van superioriteit en inferioriteit gereproduceerd worden. Het is belangrijk 
dat degenen voor wie de maatregelen bedoeld zijn degenen zijn die het 
proces en de inhoud bepalen. De excuses zijn nodig om het te kunnen hebben over waar het eigenlijk 
om gaat: het koloniaal verleden met al zijn schaduwkanten als onderdeel 
van de Nederlandse geschiedenis zien en de doorwerking in onze samen­
leving erkennen. Want de nasleep van het koloniale verleden is op vele 
manieren aanwezig, zij het voor sommigen meer zichtbaar en tastbaar 
dan voor anderen.",Modern Racism & Inequality,2
"Het opslaan en digitaal ontsluiten van oraal materiaal stelt deze bronnen veilig 
voor nader onderzoek, herinterpretatie en analyse. Deze bronnen worden 
verifieerbaar voor onderzoekers en kunnen ook in het onderwijs worden 
gebruikt. Ondanks de toenemende belangstelling voor orale geschiedenis om 
de Neder­land­se koloniale geschiedenis bloot te leggen, is er heel veel materiaal 
dat voor onderzoekers en het bredere publiek nog niet toegankelijk is. Rose Mary Allen (1950) is cultureel antropoloog. Ze is buitengewoon 
hoogleraar Cultuur, gemeenschap en geschiedenis aan de Universiteit 
van Curaçao.",Colonialism,0
"— ACTUELE VRAAGSTUKKEN —
Deel 2
Slavernij, 
afschaffingen en 
doorwerkingen
patricia kaersenhout
‘Entangled One is een zeer persoonlijke serie van acht 
werken over het kunnen ontsnappen aan de onveilige 
en verwarrende gevoelens die ontstaan als je zwart 
bent in een overwegend witte samenleving. Het deed 
mij twijfelen aan mijn eigen identiteit en aan de plaats 
waar ik thuishoorde. Ik kon alleen ontsnappen aan 
mijn ‘anders’- zijn in een denkbeeldige wereld. Pas 
daar losten alle grenzen op en werd mijn toegestane 
vrijheid een realiteit van mogelijkheden. Via de taal 
van de verbeelding bevrijd ik mijn innerlijke ziel die 
gevangen zit in het uiterlijke lichaam, dat wordt 
bepaald door ras, geslacht en hiërarchie.’
Entangled One nr. 4 (2011)
werk op papier, 48 x 64,5 cm",Modern Racism & Inequality,2
"— 11 —
Rose Mary Allen, Esther Captain,  
Matthias van Rossum en Urwin Vyent
	
	
Het koloniale  
	
slavernijverleden en  
	
doorwerkingen: 
	
	
inleiding
Glimmend van trots liet premier Rutte de Amerikaanse president Barack 
Obama, die in 2014 een bezoek aan Nederland bracht, het Plakkaat van 
Verlatinghe zien. Normaal wordt dat zorgvuldig bewaard in het 
­Nationaal Archief in Den Haag, maar voor deze bijzondere gelegenheid 
lag het document voor Obama klaar op een kussentje in de pronkzaal van 
het Rijksmuseum. Hoewel het er volgens een journalist op televisie ‘niet 
erg aantrekkelijk uitzag’, is het van onschatbare waarde voor Nederland. Het Plakkaat van Verlatinghe is de officiële verklaring van een aantal 
Nederlandse provincies waarin zij in 1581 de Spaanse koning Filips ii 
afzetten als hun heerser en kan als zodanig worden beschouwd als de 
Nederlandse onafhankelijkheidsverklaring. Twee eeuwen later gold het 
document als inspiratiebron voor de Amerikaanse onafhankelijkheids­
verklaring van 1776. Dat is de reden waarom het bij het bezoek van de 
Amerikaanse wereldleider zo prominent werd getoond. Waarschijnlijk is tussen Rutte en Obama niet ter sprake gekomen dat 
het Plakkaat van Verlatinghe een paradox behelst die tot de dag van van­
daag doorwerkt. De Republiek der Verenigde Nederlanden ontstond zoals 
gezegd uit verzet tegen politieke overheersing door een vreemde 
mogendheid, die door tijdgenoten, en ook in het Plakkaat, met ‘slavernij’ 
werd vergeleken. Na de onafhankelijkheidsverklaring groeide Nederland 
echter zelf uit tot een van de grootste koloniale machten. Zo werd een 
land dat zichzelf als vrijhaven bleef zien tegelijkertijd een land dat 
wereldwijd slavernij en andere koloniale machtsmiddelen exploiteerde.",Colonialism,0
"— 111 —
Ellen Klinkers
7. Het kronkelige pad  
	
van slavernij naar 
	
	
‘vrije’ arbeid 
De opheffing van de slavenhandel en de slavernij baande de weg voor vrije 
arbeid, maar sloot nieuwe vormen van dwang niet uit. Slavernij, dwang­
arbeid en contractarbeid bestonden in de Nederlandse koloniën soms 
naast elkaar, of volgden elkaar op. Het bestuderen van slavernij in samen­
hang met dwang- en contractarbeid in een koloniale context die dat legiti­
meerde kan bijdragen tot een beter begrip van de transitie van slavernij 
naar vrije arbeid. De verschillen tussen de voormalige Nederlandse koloniën Suriname, 
de Nederlandse Caribische eilanden en Nederlands-Indië zijn enorm wat 
betreft omvang, ligging, bevolking, economie en samenleving. Het effect 
van de afschaffing van slavernij, het ontstaan en voortbestaan van dwang- 
en contractarbeid in de Nederlandse koloniën kan daarom alleen in hoofd­
lijnen worden besproken. Een grote gemene deler was dat de economieën, 
en daarmee ook de inzet van arbeid, grotendeels in dienst stonden van de 
koloniale machthebbers, die arbeid legitimeerden en controleerden. ◼◼ ◼◼  Het verbod op de trans-Atlantische slavenhandel
In 1845 voer Francis Meynell, een Britse luitenant van de Royal Navy, op 
het marineschip hms Albatross voor de kust van West-Afrika. Hij was op 
weg om de slavenhandel te bestrijden. Op 1 maart van dat jaar overmees­
terde de bemanning van de Albatross het Spaanse schip Albanez, met meer 
dan zevenhonderd slaafgemaakten aan boord.",Historical Slavery,1
"— 114 —
— STAAT EN SLAVERNIJ —
◼◼ ◼◼  De afschaffing van de slavernij
In Nederlands-Indië kwam op 1 januari 1860 formeel een einde aan de 
­slavernij. Recent onderzoek heeft aan het licht gebracht hoe omvangrijk 
en diepgeworteld de slavernij in Nederlands-Indië was. De Verenigde 
Oost-Indische Compagnie (voc) bezat en verhandelde daar al slaafge­
maakten sinds het begin van de zeventiende eeuw. Dat gebeurde op zeer 
grote schaal. De slaafgemaakten kwamen uit Oost-Afrika en verschillende 
landen in Azië. Ze werden ingezet in huishoudens, mijnen, werkplaatsen 
en bij het bouwen van militaire forten.3
Na de afschaffing van de slavernij ontving een klein deel van de eigena­
ren op Java een schadeloosstelling voor hun verloren menselijk ‘bezit’. Buiten Java was dat minder het geval, maar kwam er ondanks het verbod 
ook niet direct een einde aan de slavernij; die werd oogluikend toegestaan, 
onder andere in de vorm van ‘schuldslaven’ (het afbetalen van een schuld 
door middel van arbeid). Naast slavernij kwamen in Nederlands-Indië 
andere vormen van dwang voor die daar na de afschaffing van de slavernij 
bleven bestaan. Ten behoeve van het in 1830 ingevoerde cultuurstelsel 
moesten ­boeren een deel van hun grond gebruiken voor exportproducten,",Colonialism,0
"— 116 —
— STAAT EN SLAVERNIJ —
Ruim drie jaar later dan in Nederlands-Indië werd de slavernij in ­Suriname 
en op de Nederlandse Antillen afgeschaft. Omdat die gebieden werden 
omringd door Britse en Franse koloniën, die in respectievelijk 1834 en 1848 
de slavernij al hadden afgeschaft, was het einde van de ­slavernij in Surina­
me en op de Antillen op den duur onvermijdelijk. Slaafgemaakten ont­
snapten, zij het niet op grote schaal, vanuit het Surinaamse grensgebied 
Nickerie naar Brits Guyana en vanaf Sint-Maarten en Sint-­Eustatius naar 
de Britse eilanden Saint Kitts en Anguilla. De afschaffing van de Franse sla­
vernij leidde op Sint-Maarten tot vluchtpogingen naar het Franse deel van 
het eiland en tot verzet onder de achterblijvers in het Nederlandse deel die 
weigerden nog langer als slaafgemaakten te werken. Het resultaat was dat 
de slavernij op het eiland de facto werd opgeheven. Slavenwetten werden 
opgeheven en er werd loon betaald. Toch duurde het nog tot 1 juli 1863 
voordat de slavernij in Suriname en op de Nederlandse Caribische eilanden 
daadwerkelijk werd afgeschaft – na een lang proces van lobbyen en dralen. In een serie spotprenten liet de schrijver, tekenaar en voormalig 
plantage­opzichter W.E.H. Winkels zien dat de afschaffing van de slavernij 
gedoemd was te mislukken, omdat de voormalige slaafgemaakten niet 
meer voor de planters zouden werken waardoor de economie in het slop 
zou raken. De planters eisten met succes compensatie voor het verlies aan mense­
lijk ‘bezit’.",Historical Slavery,1
"De industrie gaf een enorme impuls 
aan de economie, bracht werkgelegenheid voor velen en trok een stroom 
migranten naar die eilanden. Maar die ongekende economische groei was 
niet voldoende om diepgewortelde raciale barrières te doorbreken. De olie­
maatschappij heeft een stevig fundament in het koloniale verleden. Het in 
1890 opgerichte bedrijf Koninklijke Olie in Nederlands-Indië, later Shell, 
kon in de kolonie bouwen aan de basis voor haar imperium, met gunstige 
voorwaarden voor zichzelf en ongunstige werkomstandigheden voor 
de Chinese en Javaanse contractarbeiders – in die tijd geringschattend 
­‘koelies’genoemd. In Suriname werd in de periode van het staatstoezicht gezocht naar 
nieuwe wegen om de plantages draaiende te houden met behulp van goed­
kope arbeid. Arbeiders kwamen eerst in relatief kleine aantallen uit Madei­
ra, China en de Cariben, maar vanaf 1873 werden zij massaal in Azië 
geworven. Meer dan 34 000 Brits-Indiërs en bijna 33 000 Javanen maakten 
als contractarbeiders de overtocht naar Suriname om daar onder moeilijke 
omstandigheden op de suikerplantages te werken. Iedereen die contract­
breuk pleegde werd strafrechtelijk vervolgd, zoals was vastgelegd in het 
poenale sanctiebeleid.7 Volgend op het slavernijsysteem ontstond zo een 
nieuwe vorm van onvrije arbeid, die tot de Tweede Wereldoorlog bleef 
bestaan. De migratie van contractarbeiders uit Nederlands-Indië naar 
­Suriname laat zien dat het moeilijk was om aan het koloniale regime te 
­ontsnappen.",Historical Slavery,1
"Dankbaarheid jegens de koning werd gebruikt om gehoorzaamheid, 
werkzaamheid, christendom en loyaliteit naar het koloniale gezag te 
­stimuleren. In Nederlands-Indië werd de kroon ingezet om een gevoel 
van eenheid tot stand te brengen tussen ­‘moederland’ en kolonie nadat de 
troepen hun repressieve taken hadden uitgevoerd: Indonesische vorsten 
tekenden loyaliteitsverklaringen en werden uitgenodigd voor koninklijke 
feestdagen.8
Daarnaast werd in Suriname tijdens de periode van het staatstoezicht 
een administratief systeem van districten en districtscommissarissen op 
touw gezet om arbeid te registreren en te controleren. Verordeningen 
tegen landloperij en werkweigering werden uitgevaardigd en konden 
­leiden tot gevangenisstraf of dwangarbeid. Deelname aan ‘heidense riten’, 
oftewel afro-religieuze rituelen, werd verboden om het assimilatieproces 
te bevorderen. In Suriname was de invoering van een politiemacht gekoppeld aan de 
afschaffing van de slavernij: het korps marechaussee werd op 1 juli 1863 
actief. Aan disciplinering en recht moest immers opnieuw vorm worden 
gegeven nu de sociale verhoudingen niet langer werden bepaald door",Colonialism,0
"— 12 —
— STAAT EN SLAVERNIJ —
aan voor haar aandeel in de praktijken die wereldwijd de slavernij in 
stand hielden. Aan dat inzicht en dat berouw is een decennialang proces van 
­bewustwording – op gang gebracht en bevorderd door activisme van 
­herinneringsgemeenschappen – voorafgegaan. Dit is de laatste jaren in 
een stroomversnelling beland. Zo werden in de Tweede Kamer op 8 juli 
2021 maar liefst zes moties ingediend die betrekking hadden op het 
slavernij­verleden. In de betreffende moties werd onder meer opgeroepen 
om excuses aan te bieden voor het slavernijverleden en 1 juli als nationale 
herdenkingsdag en feestdag te erkennen. In een aangenomen motie van 
Don Ceder en anderen werd verzocht om een onafhankelijk onderzoek uit 
te voeren naar het Nederlandse slavernijverleden. Het doel: inzicht krijgen 
in het slavernijverleden en de doorwerkingen ervan (‘wat’), vaststellen wie 
de betrokkenen waren (‘wie’) en welke uiteenlopende effecten slavernij 
had (‘hoe’) om zo ‘te komen tot een proces dat de maatschappelijke een­
heid binnen het Koninkrijk der Nederlanden versterkt’.1  Staat en slavernij: 
het Nederlandse koloniale slavernijverleden en zijn doorwerkingen is het resultaat 
van deze motie. De hier opgenomen teksten laten zien hoe de Nederlandse 
staat en zijn voorlopers betrokken waren bij het koloniale slavernij­
verleden en staat stil bij de doorwerking ervan in het heden. Dit boek brengt de bestaande kennis van het slavernijverleden en zijn 
doorwerkingen samen, weegt deze en houdt ze tegen het licht. Waarom 
weten we over sommige aspecten van het slavernijverleden en zijn door­
werkingen eigenlijk zoveel meer dan over andere?",Historical Slavery,1
