topic,term,cosine,df,keep
Colonialism,koloniaal,1.0,91,True
Colonialism,kolonie,1.0,150,True
Colonialism,gouverneur,1.0,44,True
Colonialism,exploitatie,1.0,18,True
Colonialism,cultuurstelsel,1.0,26,True
Colonialism,west-indische,0.9919,73,True
Colonialism,koloniale,0.9781,446,True
Colonialism,westindische,0.9584,11,True
Colonialism,gouverneur-generaal,0.9164,20,True
Colonialism,wic,0.9135,129,True
Colonialism,koloniën,0.8776,273,True
Colonialism,postkoloniale,0.8665,18,True
Colonialism,kolonien,0.8633,30,True
Colonialism,kolonisten,0.8612,34,True
Colonialism,postkoloniaal,0.8558,9,True
Colonialism,kaapkolonie,0.8093,15,True
Colonialism,kolonisatie,0.794,22,True
Colonialism,slavenkolonie,0.7626,5,True
Colonialism,monopolie,0.7605,13,True
Colonialism,kolonialisme,0.7395,162,True
Colonialism,kolonisatoren,0.7183,5,True
Colonialism,landbouwkolonie,0.7154,10,True
Colonialism,kolonisator,0.7128,12,True
Colonialism,gekoloniseerden,0.7042,7,True
Colonialism,slavenkoloniën,0.6993,6,True
Colonialism,plantagekolonie,0.6802,9,True
Colonialism,uitbuiting,0.6653,22,True
Colonialism,antikoloniale,0.6385,6,True
Colonialism,gekoloniseerde,0.6337,30,True
Colonialism,dekolonisatie,0.5848,17,True
