topic,term,cosine,df
Colonialism,koloniaal,1.0,91
Colonialism,kolonie,1.0,150
Colonialism,gouverneur,1.0,44
Colonialism,exploitatie,1.0,18
Colonialism,cultuurstelsel,1.0,26
Colonialism,west-indische,0.9919,73
Colonialism,koloniale,0.9781,446
Colonialism,westindische,0.9584,11
Colonialism,gouverneur-generaal,0.9164,20
Colonialism,wic,0.9135,129
Colonialism,koloniën,0.8776,273
Colonialism,postkoloniale,0.8665,18
Colonialism,kolonien,0.8633,30
Colonialism,kolonisten,0.8612,34
Colonialism,postkoloniaal,0.8558,9
Colonialism,kaapkolonie,0.8093,15
Colonialism,kolonisatie,0.794,22
Colonialism,slavenkolonie,0.7626,5
Colonialism,monopolie,0.7605,13
Colonialism,kolonialisme,0.7395,162
Colonialism,kolonisatoren,0.7183,5
Colonialism,landbouwkolonie,0.7154,10
Colonialism,kolonisator,0.7128,12
Colonialism,gekoloniseerden,0.7042,7
Colonialism,slavenkoloniën,0.6993,6
Colonialism,plantagekolonie,0.6802,9
Colonialism,uitbuiting,0.6653,22
Colonialism,antikoloniale,0.6385,6
Colonialism,gekoloniseerde,0.6337,30
Colonialism,dekolonisatie,0.5848,17
Historical Slavery,slavernij,1.0,690
Historical Slavery,slavenhandel,1.0,256
Historical Slavery,slavenopstand,1.0,24
Historical Slavery,dwangarbeid,1.0,34
Historical Slavery,plantage-economie,1.0,10
Historical Slavery,trans-atlantisch,1.0,10
Historical Slavery,ketenen,1.0,15
Historical Slavery,zweep,1.0,6
Historical Slavery,marronage,1.0,5
Historical Slavery,slavernij-,0.9593,15
Historical Slavery,slavernijgerelateerde,0.9017,6
Historical Slavery,trans-atlantische,0.8985,86
Historical Slavery,slavenhandelaren,0.8924,15
Historical Slavery,slavenhandelaars,0.8459,5
Historical Slavery,slavernijverleden,0.8413,250
Historical Slavery,slavernijsysteem,0.8334,17
Historical Slavery,slavenhandelaar,0.8306,11
Historical Slavery,slaaf-gemaakte,0.8286,13
Historical Slavery,dwangarbeiders,0.827,6
Historical Slavery,slavernijdebat,0.8225,6
Historical Slavery,verkocht,0.8194,52
Historical Slavery,slavernijgeschiedenis,0.8136,33
Historical Slavery,slavernijperiode,0.8135,5
Historical Slavery,plantagesector,0.8064,7
Historical Slavery,verkoop,0.8103,28
Historical Slavery,atlantisch,0.7669,25
Historical Slavery,slavenarbeid,0.7495,18
Historical Slavery,plantages,0.7358,139
Historical Slavery,plantage,0.726,97
Historical Slavery,slaaf-gemaakten,0.7208,38
Historical Slavery,planters,0.7135,40
Historical Slavery,slaafgemaakte,0.704,130
Historical Slavery,plantagehouders,0.6977,14
Historical Slavery,plantage-eigenaren,0.6965,23
Historical Slavery,eigendomsslavernij,0.7025,5
Historical Slavery,plantageslavernij,0.672,5
Historical Slavery,slaafmakers,0.6329,6
Historical Slavery,slavernijmuseum,0.6163,19
Historical Slavery,slaaf,0.6106,219
Historical Slavery,slaven,0.6074,206
Historical Slavery,slavengeld,0.6052,6
Historical Slavery,suikerplantages,0.6036,11
Historical Slavery,verzet,0.5777,96
Historical Slavery,slavenhoudende,0.5699,6
Modern Racism & Inequality,stereotypering,1.0,6
Modern Racism & Inequality,uitsluiting,1.0,48
Modern Racism & Inequality,segregatie,1.0,13
Modern Racism & Inequality,anti-racisme,0.9206,7
Modern Racism & Inequality,stereotyperingen,0.881,7
Modern Racism & Inequality,antiracisme,0.8655,9
Modern Racism & Inequality,racisme,0.8567,317
Modern Racism & Inequality,racistische,0.8418,52
Modern Racism & Inequality,vooroordelen,0.8325,36
Modern Racism & Inequality,racistisch,0.8154,28
Modern Racism & Inequality,insluiting,0.8129,8
Modern Racism & Inequality,uitsluiten,0.7657,12
Modern Racism & Inequality,anti-zwart,0.7632,21
Modern Racism & Inequality,postkoloniale,0.7402,18
Modern Racism & Inequality,stereotypen,0.7362,8
Modern Racism & Inequality,agressie,0.7087,10
Modern Racism & Inequality,postkoloniaal,0.7075,9
Modern Racism & Inequality,uitbuiting,0.707,22
Modern Racism & Inequality,achterstand,0.701,8
Modern Racism & Inequality,stereotype,0.6995,6
Modern Racism & Inequality,raciale,0.6992,23
Modern Racism & Inequality,etnisch,0.69,27
Modern Racism & Inequality,raciaal,0.6886,7
Modern Racism & Inequality,afkeer,0.6793,11
Modern Racism & Inequality,arbeidsmarkt,0.6737,28
Modern Racism & Inequality,racism,0.6735,21
Modern Racism & Inequality,generaties,0.6639,35
Modern Racism & Inequality,discriminatie,0.6601,141
Modern Racism & Inequality,gelijkheid,0.6543,25
Modern Racism & Inequality,discrimineren,0.6482,9
Modern Racism & Inequality,vooringenomenheid,0.6384,7
Modern Racism & Inequality,ongelijkheid,0.6373,42
Modern Racism & Inequality,discriminerende,0.6362,6
Modern Racism & Inequality,etnische,0.6133,64
Modern Racism & Inequality,menselijkheid,0.6108,43
Modern Racism & Inequality,discriminatietoets,0.604,37
Modern Racism & Inequality,non-discriminatie,0.5936,13
Modern Racism & Inequality,ongelijke,0.5906,27
Modern Racism & Inequality,fascisme,0.5922,5
Modern Racism & Inequality,kolonisatie,0.586,22
Modern Racism & Inequality,armoede,0.5558,19
