filename,chunk_id,sentence_count,raw_text,text_for_scoring,cos_Colonialism,cos_Historical Slavery,cos_Modern Racism & Inequality,max_score,primary_topic,score_margin,text,predicted_label_id,predicted_label,confidence,prob_Colonialism,prob_Historical Slavery,prob_Modern Racism & Inequality,prediction_margin,bert_confidence_tier,uncertainty
C:\Users\Home\policy-analysis\Slavery_text\ketenen van het verleden.166.txt,3c97dd45:00002,4,"In Pedagogy, Culture and Society, 27(1), 39-64, 
Carla van Boxtel, Maria Grever & Stephan Klein (eds.) (2016) , Sensitive pasts; questioning heritage 
education(New York/Oxford: Berghahn); Margalith Kleiwegt, 2werelden \ 2werkelijkheden; hoe ga je daar als 
docent mee om? Rapport i.o.v. het Ministerie van OC&W (2016) 
[https://www.rijksoverheid.nl/documenten/rapporten/2016/02/01/twee-werelden-twee-werkelijkheden-een-
verslag-over-gevoelige-maatschappelijke-kwesties-in-de-school] 
68 [https://www.historischnieuwsblad.nl/slavernij-en-kolonialisme-prominent-in-schoolboeken/].Kritiek op het 
onderzoek kwam onder meer van de Black Archives [https://www.theblackarchives.nl/blog/slavernij-en-
kolonialisme-prominent-in-schoolboeken-nee-focus-op-inclusie-en-verder-onderzoek-nodig]. 69 [https://www.historischnieuwsblad.nl/veel-trots-weinig-kennis/] 
bijlage 4c",pedagogy culture society carla boxtel maria grever stephan klein eds sensitive pasts questioning heritage education new york oxford berghahn margalith kleiwegt 2werelden 2werkelijkheden ga docent mee v ministerie oc w https www rijksoverheid nl documenten rapporten twee werelden twee werkelijkheden verslag gevoelige maatschappelijke kwesties school https www historischnieuwsblad nl slavernij kolonialisme prominent schoolboeken kritiek kwam black archives https www theblackarchives nl blog slavernij kolonialisme prominent schoolboeken nee focus inclusie verder nodig https www historischnieuwsblad nl trots kennis 4c,0.5013892123346427,0.3990904573933482,0.43316003028561784,0.5013892123346427,Colonialism,0.0682291820490249,pedagogy culture society carla boxtel maria grever stephan klein eds sensitive pasts questioning heritage education new york oxford berghahn margalith kleiwegt 2werelden 2werkelijkheden ga docent mee v ministerie oc w https www rijksoverheid nl documenten rapporten twee werelden twee werkelijkheden verslag gevoelige maatschappelijke kwesties school https www historischnieuwsblad nl slavernij kolonialisme prominent schoolboeken kritiek kwam black archives https www theblackarchives nl blog slavernij kolonialisme prominent schoolboeken nee focus inclusie verder nodig https www historischnieuwsblad nl trots kennis 4c,0,Colonialism,0.5012169,0.5012169,0.0030218253,0.49576125,0.005455643,very_low,0.9975662
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.176.txt,2f5dd161:00001,6,"De koloniale 
overheid stelde echter paal en perk aan landvlucht door boeren met straf­
maatregelen te verbieden hun woonplaats te verlaten. Omdat er vaak te 
weinig bouwgrond en tijd overbleef om in het eigen levensonderhoud te 
voorzien, probeerden velen toch te vluchten. ◼ ◼◼  Het cultuurstelsel (1830-1870)
Het cultuurstelsel zoals dit door Van den Bosch werd ingevoerd was dus 
de uitkomst van ontwikkelingen die al waren ingezet onder voc-bewind 
en op grotere schaal uitgebreid waren onder de vroeg-koloniale staat van 
Daendels. Onder Van den Bosch werd het dwangstelsel nu nog verder 
­aangedreven. Boeren op Java moesten twintig procent van hun grond 
gebruiken om gouvernementsproducten te produceren. Dit werd gerecht­",koloniale overheid stelde echter paal perk landvlucht boeren straf maatregelen verbieden woonplaats verlaten vaak bouwgrond tijd overbleef eigen levensonderhoud voorzien probeerden velen vluchten cultuurstelsel cultuurstelsel den bosch ingevoerd uitkomst ontwikkelingen ingezet voc bewind grotere schaal uitgebreid vroeg koloniale staat daendels den bosch dwangstelsel verder aangedreven boeren java moesten twintig procent grond gebruiken gouvernementsproducten produceren gerecht,0.5392556178540217,0.5361070270935265,0.37190764807327603,0.5392556178540217,Colonialism,0.003148590760495118,koloniale overheid stelde echter paal perk landvlucht boeren straf maatregelen verbieden woonplaats verlaten vaak bouwgrond tijd overbleef eigen levensonderhoud voorzien probeerden velen vluchten cultuurstelsel cultuurstelsel den bosch ingevoerd uitkomst ontwikkelingen ingezet voc bewind grotere schaal uitgebreid vroeg koloniale staat daendels den bosch dwangstelsel verder aangedreven boeren java moesten twintig procent grond gebruiken gouvernementsproducten produceren gerecht,1,Historical Slavery,0.5014911,0.48682836,0.5014911,0.0116804885,0.014662772,very_low,0.99701774
C:\Users\Home\policy-analysis\Slavery_text\Amsterdam en het slavernijverleden.91.txt,412e7dfb:00001,3,"91
Lange tijd 
werd het  
koloniale en 
slavernij- 
verleden van 
Nederland 
weggemoffeld. Herdenking van Keti Koti met twee 
Surinaamse matrozen, op 1 juli 1948 
op het Frederiksplein. KERKHOFF EN SCHERER, 1948 | 
RIJKSMUSEUM",lange tijd koloniale slavernij verleden nederland weggemoffeld herdenking keti koti twee surinaamse matrozen juli frederiksplein kerkhoff scherer rijksmuseum,0.5470474457307922,0.5544430587837638,0.4025687502470323,0.5544430587837638,Historical Slavery,0.007395613052971539,lange tijd koloniale slavernij verleden nederland weggemoffeld herdenking keti koti twee surinaamse matrozen juli frederiksplein kerkhoff scherer rijksmuseum,1,Historical Slavery,0.49780244,0.49447158,0.49780244,0.0077260607,0.0033308566,very_low,0.9956049
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.472.txt,f36b9966:00000,10,"— 472 —
— STAAT EN SLAVERNIJ —
World History 14, nr. 2 (2003). Vollenhoven, Cornelis van, De Indonesiër en zijn grond 
(Leiden 1932). Voorhoeve, Jan en Ursy M. Lichtveld (red.), Suriname. Spiegel der vaderlandse kooplieden (Den Haag 1980). Vries, Jan de, The Price of Bread. Regulating the Market in 
the Dutch Republic (Cambridge 2019). Vyent, Urwin, Gekocht & betaald. Wi bay, wi pay 
(Amsterdam 2017).",staat slavernij world history nr vollenhoven cornelis indonesiër grond leiden voorhoeve jan ursy lichtveld red suriname spiegel vaderlandse kooplieden den haag vries jan price bread vyent urwin gekocht betaald wi bay wi pay amsterdam,0.4768308174492824,0.4945735859041064,0.345477362119913,0.4945735859041064,Historical Slavery,0.017742768454823976,staat slavernij world history nr vollenhoven cornelis indonesiër grond leiden voorhoeve jan ursy lichtveld red suriname spiegel vaderlandse kooplieden den haag vries jan price bread vyent urwin gekocht betaald wi bay wi pay amsterdam,1,Historical Slavery,0.5026855,0.47263315,0.5026855,0.024681332,0.030052334,very_low,0.994629
C:\Users\Home\policy-analysis\Slavery_text\Jouwe e.a. - Slavernij en de stad Utrecht.281.txt,8be5dd05:00004,5,"3. Gelderblom en Jonker, ‘Mirroring Different Follies’, 125. 4. Ibidem, 126; Abe de Jong, Joost Jonker en Ailsa Röell, ‘De ontwikkeling 
van de naamloze vennootschap in Nederland tot 1850. Een bedrĳfseco-
nomisch perspectief’, Maandblad voor Accountacy en Bedrĳfseconomie 
87 (2013), 217-232, aldaar 225.",gelderblom jonker mirroring different follies ibidem abe jong joost jonker ailsa röell ontwikkeling naamloze vennootschap nederland bedrĳfseco nomisch perspectief maandblad accountacy bedrĳfseconomie aldaar,0.5268868200041061,0.5124114575401841,0.3928873567883043,0.5268868200041061,Colonialism,0.014475362463922004,gelderblom jonker mirroring different follies ibidem abe jong joost jonker ailsa röell ontwikkeling naamloze vennootschap nederland bedrĳfseco nomisch perspectief maandblad accountacy bedrĳfseconomie aldaar,1,Historical Slavery,0.49585527,0.48228776,0.49585527,0.021856982,0.013567507,very_low,0.99171054
C:\Users\Home\policy-analysis\Slavery_text\Nimako et al_2020_Een rapport met betrekking tot het onderzoeksproject over de periode voor de.28.txt,4f81af44:00001,8,"De positie en status van onderdanen uit de koloniën of van zwarte mensen 
speelden nauwelijks een rol in deze ontwikkelingen. Net als de afschaffing van de slavenhandel (oftewel de handel in slaaf-gemaakten) in Brits 
West-Indië in 1807/08, had ook de afschaffing van de slavernij in Brits West-Indië in 1833 
impact op Nederland. Zo vroeg de overheid in 1833 bepaalde delen van, en groepen en 
personen uit de bevolking om voorstellen te doen over de manier waarop de Nederlandse 
slavernij in Suriname en de Antillen afgeschaft kon worden. Ook ongevraagd boden 
personen en groepen een ontwerp aan. Wij identificeren drie fases waarin ontwerpen werden ingediend. In de eerste fase, 
tussen 1833 en 1842, waren dat er elf; in de tweede fase, tussen 1848 en 1851, ook elf 
en in de derde fase, van 1853 tot 1856, waren dat vijf ontwerpen. De eerste fase vond plaats binnen de kaders van de grondwettelijke regelingen van 
1815. Eerste fase van ontwerpen, 1833-1842 
 
Jaar 
 
Aantal 
 
Achtergrond van de Ontwerpers 
1833  
2 
Curator en weesmeester  
1838 
1 
Jurist 
1839 
1 
Onbekend/Burger 
1840  
2 
Koloniale bewindvoerders 
1841  
2 
Onbekend/Burger 
1842 
3 
Onbekend/Burger",positie status onderdanen koloniën zwarte mensen speelden nauwelijks rol ontwikkelingen net afschaffing slavenhandel oftewel handel slaaf gemaakten brits west indië afschaffing slavernij brits west indië impact nederland vroeg overheid bepaalde groepen personen bevolking voorstellen manier waarop nederlandse slavernij suriname antillen afgeschaft ongevraagd boden personen groepen ontwerp identificeren drie fases waarin ontwerpen werden ingediend eerste fase elf tweede fase elf derde fase vijf ontwerpen eerste fase vond plaats kaders grondwettelijke regelingen eerste fase ontwerpen achtergrond ontwerpers curator weesmeester jurist onbekend burger koloniale bewindvoerders onbekend burger onbekend burger,0.5223387461465635,0.49622234297799256,0.4281476430256954,0.5223387461465635,Colonialism,0.026116403168570945,positie status onderdanen koloniën zwarte mensen speelden nauwelijks rol ontwikkelingen net afschaffing slavenhandel oftewel handel slaaf gemaakten brits west indië afschaffing slavernij brits west indië impact nederland vroeg overheid bepaalde groepen personen bevolking voorstellen manier waarop nederlandse slavernij suriname antillen afgeschaft ongevraagd boden personen groepen ontwerp identificeren drie fases waarin ontwerpen werden ingediend eerste fase elf tweede fase elf derde fase vijf ontwerpen eerste fase vond plaats kaders grondwettelijke regelingen eerste fase ontwerpen achtergrond ontwerpers curator weesmeester jurist onbekend burger koloniale bewindvoerders onbekend burger onbekend burger,0,Colonialism,0.50453323,0.50453323,0.4190484,0.07641835,0.08548483,low,0.99093354
C:\Users\Home\policy-analysis\Slavery_text\ketenen van het verleden.82.txt,b771a3c9:00000,10,"11 
Amerikaanse democratie vastgelegd: ‘equal protection of the laws’ – vlak na de Amerikaanse 
Burgeroorlog met als inzet precies de strijd tegen het gebrek aan die equal protection, in de 
slavernij in de Zuidelijke staten. Dat kunnen we erkennen, terwijl we tegelijkertijd óók 
kunnen constateren dat diezelfde ‘framers’ in hun toepassing van datzelfde principe faalden, 
zoals bij het in standhouden van ‘racial segregation’ op scholen. Aan de principes die de 
‘framers’ in de constitutie vastlegden, zoals ‘equal protection’ zijn we gebonden (en die 
kunnen we prijzen); we zitten niet vast aan hun (foutieve) toepassingen van die principes, 
betoogt Dworkin.37 
 
2.4  
Mogelijke staatsrechtelijke bezwaren: ministeriële verantwoordelijkheid 
 
Een aanpassing van het kabinetsstandpunt in de richting van excuses voor het 
slavernijverleden zou echter wellicht nog wel kunnen afstuiten op staatsrechtelijke 
bezwaren. Het staat de regering uiteraard vrij om – in abstracte zin – excuses aan te bieden 
voor alle zaken waar zij excuses voor wil aanbieden (zeg, de kap van regenwouden in Brazilië 
onder het regime van Bolsonaro),38 uiteindelijk gesanctioneerd door het parlement via de 
vertrouwensregel. Maar de staatsrechtelijke vraag rijst of zij als huidig kabinet op een 
betekenisvolle manier verantwoordelijkheid voor onrecht uit een (verder) verleden kan 
nemen – dat wil zeggen: als de formele (late) vertegenwoordiger van de destijds handelende 
entiteit/staat. Een vereiste voor een volwaardig officieel excuus lijkt te zijn dat ‘the 
apologiser must have standing to make the apology: (…), in official apologies the apologiser 
must be the legitimate representative of the entity responsible for the wrongdoing.’39 Of 
staat de ministeriële verantwoordelijkheid daaraan in de weg? Op basis van de ministeriële verantwoordelijkheid zijn ministers (art. 42 lid 2 Gw) en 
staatsecretarissen (art. 46 lid 2 Gw) verantwoordelijk voor hun handelen en nalaten in brede 
zin. Daar vallen bijvoorbeeld ook zaken onder die, buiten enig verwijt aan hun adres om, 
plaatsvinden op hun ministerie.40 De bewerkte Van der Pot vergelijkt het met de positie van 
                                                        
37 Ronald Dworkin, ‘The Moral Reading of the Constitution’, The New York Review of Books, 21 maart 1996.",amerikaanse democratie vastgelegd equal protection laws vlak amerikaanse burgeroorlog inzet precies strijd gebrek equal protection slavernij zuidelijke staten erkennen terwijl tegelijkertijd óók constateren diezelfde framers toepassing datzelfde principe faalden standhouden racial segregation scholen principes framers constitutie vastlegden equal protection gebonden prijzen zitten vast foutieve toepassingen principes betoogt dworkin mogelijke staatsrechtelijke bezwaren ministeriële verantwoordelijkheid aanpassing kabinetsstandpunt richting excuses slavernijverleden echter wellicht afstuiten staatsrechtelijke bezwaren staat regering uiteraard vrij abstracte zin excuses bieden zaken waar excuses aanbieden zeg kap regenwouden brazilië regime bolsonaro uiteindelijk gesanctioneerd parlement via vertrouwensregel staatsrechtelijke rijst huidig kabinet betekenisvolle manier verantwoordelijkheid onrecht verder verleden nemen zeggen formele late vertegenwoordiger destijds handelende entiteit staat basis ministeriële verantwoordelijkheid ministers art lid gw staatsecretarissen art lid gw verantwoordelijk handelen nalaten brede zin vallen bijvoorbeeld zaken enig verwijt adres plaatsvinden ministerie bewerkte pot vergelijkt positie ronald dworkin moral reading constitution new york review books maart,0.45878585351611934,0.39503970032513075,0.48582710780874944,0.48582710780874944,Modern Racism & Inequality,0.0270412542926301,amerikaanse democratie vastgelegd equal protection laws vlak amerikaanse burgeroorlog inzet precies strijd gebrek equal protection slavernij zuidelijke staten erkennen terwijl tegelijkertijd óók constateren diezelfde framers toepassing datzelfde principe faalden standhouden racial segregation scholen principes framers constitutie vastlegden equal protection gebonden prijzen zitten vast foutieve toepassingen principes betoogt dworkin mogelijke staatsrechtelijke bezwaren ministeriële verantwoordelijkheid aanpassing kabinetsstandpunt richting excuses slavernijverleden echter wellicht afstuiten staatsrechtelijke bezwaren staat regering uiteraard vrij abstracte zin excuses bieden zaken waar excuses aanbieden zeg kap regenwouden brazilië regime bolsonaro uiteindelijk gesanctioneerd parlement via vertrouwensregel staatsrechtelijke rijst huidig kabinet betekenisvolle manier verantwoordelijkheid onrecht verder verleden nemen zeggen formele late vertegenwoordiger destijds handelende entiteit staat basis ministeriële verantwoordelijkheid ministers art lid gw staatsecretarissen art lid gw verantwoordelijk handelen nalaten brede zin vallen bijvoorbeeld zaken enig verwijt adres plaatsvinden ministerie bewerkte pot vergelijkt positie ronald dworkin moral reading constitution new york review books maart,0,Colonialism,0.50509346,0.50509346,0.0046870247,0.49021956,0.014873892,very_low,0.9898131
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.304.txt,9a5d1dbb:00001,4,"Zo kwam in meerdere onderzoeken naar opstanden in 
Suriname, Berbice en Demerara-Essequibo de rol van seksueel geweld, jaloezie 
en inmengingen in relaties van slaafgemaakte mannen en vrouwen door 
directeuren centraal te staan, terwijl zulke intimiteiten normaal gesproken zelden 
expliciet besproken werden. Er is voorzichtigheid geboden bij het gebruik van verslagen van rechtszaken 
als bron. De processtukken die bewaard zijn in de archieven van koloniale 
rechtbanken hadden een eenduidig doel: het vergaren van bewijs dat de 
openbare aanklager tegen de verdachten kon gebruiken. Beklaagden met",kwam meerdere onderzoeken opstanden suriname berbice demerara essequibo rol seksueel geweld jaloezie inmengingen relaties slaafgemaakte mannen vrouwen directeuren centraal staan terwijl zulke intimiteiten normaal gesproken zelden expliciet besproken werden voorzichtigheid geboden verslagen rechtszaken bron processtukken bewaard archieven koloniale rechtbanken hadden eenduidig doel vergaren bewijs openbare aanklager verdachten gebruiken beklaagden,0.4700183599450271,0.5477011323736011,0.5159288488924421,0.5477011323736011,Historical Slavery,0.031772283481159014,kwam meerdere onderzoeken opstanden suriname berbice demerara essequibo rol seksueel geweld jaloezie inmengingen relaties slaafgemaakte mannen vrouwen directeuren centraal staan terwijl zulke intimiteiten normaal gesproken zelden expliciet besproken werden voorzichtigheid geboden verslagen rechtszaken bron processtukken bewaard archieven koloniale rechtbanken hadden eenduidig doel vergaren bewijs openbare aanklager verdachten gebruiken beklaagden,2,Modern Racism & Inequality,0.5052323,0.0067177797,0.48804998,0.5052323,0.01718229,very_low,0.98953545
C:\Users\Home\policy-analysis\Slavery_text\Voortgangsrapportage+-+Ervaringen+en+lessen+om+discriminatie+in+publieke+dienstverlening+te+voorkomen+en+te+bestrijden.50.txt,da419e58:00001,10,"(Sennay) Ghebreab
Prof. dr. H (Halleh) Ghorashi
Prof. dr. P.L.H. (Peer) Scheepers
Drs. E.F. (Errol) Stoové 
Prof. dr. L.",sennay ghebreab prof dr h halleh ghorashi prof dr p l h peer scheepers drs e f errol stoové prof dr l,0.5034049412718299,0.43241661047308994,0.5135788161852255,0.5135788161852255,Modern Racism & Inequality,0.010173874913395609,sennay ghebreab prof dr h halleh ghorashi prof dr p l h peer scheepers drs e f errol stoové prof dr l,2,Modern Racism & Inequality,0.505677,0.39018163,0.10414143,0.505677,0.115495354,low,0.98864603
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.451.txt,c0aee7eb:00006,10,"4. Oscar Gelderblom, Abe de Jong, en Joost 
Jonker, ‘The Formative Years of the Modern 
Corporation. The Dutch East India 
Company voc, 1602-1623,’ The Journal of 
Economic History 73:4 (2013) 1050-1076. 5. Henk den Heijer, De geschiedenis van de wic 
(Zutphen 1994) 33. 6. Cátia Antunes, ‘From binary narratives to 
diversified tales. Changing the paradigm in 
the study of Dutch colonial participation,’ 
Tijdschrift voor Geschiedenis 131:3 (2018) 393-407. 7. Ottho Keye, Het waere onderscheyt tusschen 
koude en warme landen (Den Haag 1659)  
148-149.",oscar gelderblom abe jong joost jonker formative years modern corporation henk den heijer geschiedenis wic zutphen cátia antunes binary narratives diversified tales ottho keye waere onderscheyt tusschen koude warme landen den haag,0.499962523426338,0.4150381871276602,0.4868929193643663,0.499962523426338,Colonialism,0.013069604061971718,oscar gelderblom abe jong joost jonker formative years modern corporation henk den heijer geschiedenis wic zutphen cátia antunes binary narratives diversified tales ottho keye waere onderscheyt tusschen koude warme landen den haag,2,Modern Racism & Inequality,0.50731486,0.46776643,0.02491871,0.50731486,0.039548427,very_low,0.9853703
