filename,chunk_id,sentence_count,raw_text,text_for_scoring,cos_Colonialism,cos_Historical Slavery,cos_Modern Racism & Inequality,max_score,primary_topic,score_margin,text,predicted_label_id,predicted_label,confidence,prob_Colonialism,prob_Historical Slavery,prob_Modern Racism & Inequality,prediction_margin,bert_confidence_tier,uncertainty
C:\Users\Home\policy-analysis\Slavery_text\Nimako et al_2020_Een rapport met betrekking tot het onderzoeksproject over de periode voor de.28.txt,4f81af44:00001,8,"De positie en status van onderdanen uit de koloniën of van zwarte mensen 
speelden nauwelijks een rol in deze ontwikkelingen. Net als de afschaffing van de slavenhandel (oftewel de handel in slaaf-gemaakten) in Brits 
West-Indië in 1807/08, had ook de afschaffing van de slavernij in Brits West-Indië in 1833 
impact op Nederland. Zo vroeg de overheid in 1833 bepaalde delen van, en groepen en 
personen uit de bevolking om voorstellen te doen over de manier waarop de Nederlandse 
slavernij in Suriname en de Antillen afgeschaft kon worden. Ook ongevraagd boden 
personen en groepen een ontwerp aan. Wij identificeren drie fases waarin ontwerpen werden ingediend. In de eerste fase, 
tussen 1833 en 1842, waren dat er elf; in de tweede fase, tussen 1848 en 1851, ook elf 
en in de derde fase, van 1853 tot 1856, waren dat vijf ontwerpen. De eerste fase vond plaats binnen de kaders van de grondwettelijke regelingen van 
1815. Eerste fase van ontwerpen, 1833-1842 
 
Jaar 
 
Aantal 
 
Achtergrond van de Ontwerpers 
1833  
2 
Curator en weesmeester  
1838 
1 
Jurist 
1839 
1 
Onbekend/Burger 
1840  
2 
Koloniale bewindvoerders 
1841  
2 
Onbekend/Burger 
1842 
3 
Onbekend/Burger",positie status onderdanen koloniën zwarte mensen speelden nauwelijks rol ontwikkelingen net afschaffing slavenhandel oftewel handel slaaf gemaakten brits west indië afschaffing slavernij brits west indië impact nederland vroeg overheid bepaalde groepen personen bevolking voorstellen manier waarop nederlandse slavernij suriname antillen afgeschaft ongevraagd boden personen groepen ontwerp identificeren drie fases waarin ontwerpen werden ingediend eerste fase elf tweede fase elf derde fase vijf ontwerpen eerste fase vond plaats kaders grondwettelijke regelingen eerste fase ontwerpen achtergrond ontwerpers curator weesmeester jurist onbekend burger koloniale bewindvoerders onbekend burger onbekend burger,0.5223387461465635,0.49622234297799256,0.4281476430256954,0.5223387461465635,Colonialism,0.026116403168570945,positie status onderdanen koloniën zwarte mensen speelden nauwelijks rol ontwikkelingen net afschaffing slavenhandel oftewel handel slaaf gemaakten brits west indië afschaffing slavernij brits west indië impact nederland vroeg overheid bepaalde groepen personen bevolking voorstellen manier waarop nederlandse slavernij suriname antillen afgeschaft ongevraagd boden personen groepen ontwerp identificeren drie fases waarin ontwerpen werden ingediend eerste fase elf tweede fase elf derde fase vijf ontwerpen eerste fase vond plaats kaders grondwettelijke regelingen eerste fase ontwerpen achtergrond ontwerpers curator weesmeester jurist onbekend burger koloniale bewindvoerders onbekend burger onbekend burger,0,Colonialism,0.50453323,0.50453323,0.4190484,0.07641835,0.08548483,low,0.99093354
C:\Users\Home\policy-analysis\Slavery_text\Voortgangsrapportage+-+Ervaringen+en+lessen+om+discriminatie+in+publieke+dienstverlening+te+voorkomen+en+te+bestrijden.50.txt,da419e58:00001,10,"(Sennay) Ghebreab
Prof. dr. H (Halleh) Ghorashi
Prof. dr. P.L.H. (Peer) Scheepers
Drs. E.F. (Errol) Stoové 
Prof. dr. L.",sennay ghebreab prof dr h halleh ghorashi prof dr p l h peer scheepers drs e f errol stoové prof dr l,0.5034049412718299,0.43241661047308994,0.5135788161852255,0.5135788161852255,Modern Racism & Inequality,0.010173874913395609,sennay ghebreab prof dr h halleh ghorashi prof dr p l h peer scheepers drs e f errol stoové prof dr l,2,Modern Racism & Inequality,0.505677,0.39018163,0.10414143,0.505677,0.115495354,low,0.98864603
C:\Users\Home\policy-analysis\Slavery_text\Nimako et al_2020_Een rapport met betrekking tot het onderzoeksproject over de periode voor de.53.txt,e60e1744:00001,10,"De  blanke,  zegt 
men  in  Suriname,  arbeidt  niet  op  het  veld ,  adqui  ergo  is  zulks 
eene schande. Een  vrij  man ,   zegt de  slaaf,  draagt  schoenen  en een 
blaauwen of gelen hoed , maar een vrij man werkt niet; vrij is ge- 
lijk:  ik  mag  alles  doen  en  behoef  niet  te  arbeidenǳ. 56 
 
Hij probeerde aan bovenstaande gedachtegang meer context te geven met de 
woorden: 
 
ǲDit is geene definitie  van  mij ,  maar  van  een  der  Gouverneurs-Generaal  van West-
Indië. En dat dit geene theorie is , heeft de ondervinding in  Britsch Guyana  bewezen. Ik  
zal  thans, kortheidshalve,  slechts op de rapporten en  brochures verwijzenǳ. 57 
 
2) De tweede persoon die een openingsstatement maakte was Peter Marius Tutein 
Nolthenius, een Conservatief uit Hoorn. Tutein Nolthenius bevestigde niet alleen de 
positie waarin de regering zich bevond, maar maakte ook een samenvatting van de 
doelstellingen van het afschaffingsplan in de volgende woorden: 
 
ǲ)k kan mij met dit wets-ontwerp vereenigen, omdat het eenvoudig en in hoofdtrekken 
den tijd en de wijze van emancipatie bepaalt, zonder angstvallig in kleine détails te 
treden, die men zeker zeer goed op het papier kan regelen, maar waarvan niets in de 
praktijk de uitvoering kan verzekeren. Alle utopieën om- 
trent de phalanstères en andere maatschappelijke droombeelden zijn thans geheel uit 
dit wets-ontwerp gelaten, en er is niets in behouden dan hetgeen het behoort te 
bevatten om tot het hoofddoel te leiden. De hoofdbeginselen omtrent tijd en wijze van 
emancipatie, schadevergoeding of tegemoetkoming, staatstoezigt en immigratie van 
vreemde arbeiders zijn in generale trekken geregeld en dit is mij voldoendeǳ. 58 
 
55 De Nederlandsche Staats-Courant 1861-1862 (bijblad).",blanke zegt suriname arbeidt veld adqui ergo zulks eene schande vrij man zegt slaaf draagt schoenen blaauwen gelen hoed vrij man werkt vrij lijk mag behoef arbeidenǳ probeerde bovenstaande gedachtegang context geven woorden ǳdit geene definitie gouverneurs generaal west indië geene theorie ondervinding britsch guyana bewezen thans kortheidshalve slechts rapporten brochures verwijzenǳ tweede persoon openingsstatement maakte peter marius tutein nolthenius conservatief hoorn tutein nolthenius bevestigde alleen positie waarin regering bevond maakte doelstellingen afschaffingsplan volgende woorden ǳ k wets ontwerp vereenigen eenvoudig hoofdtrekken den tijd wijze emancipatie bepaalt angstvallig kleine détails treden zeker zeer goed papier regelen waarvan praktijk uitvoering verzekeren utopieën trent phalanstères maatschappelijke droombeelden thans geheel wets ontwerp gelaten behouden hetgeen behoort bevatten hoofddoel leiden hoofdbeginselen omtrent tijd wijze emancipatie schadevergoeding tegemoetkoming staatstoezigt immigratie vreemde arbeiders generale trekken geregeld voldoendeǳ nederlandsche staats courant bijblad,0.527343908349865,0.47084719967276534,0.5334488653060727,0.5334488653060727,Modern Racism & Inequality,0.006104956956207719,blanke zegt suriname arbeidt veld adqui ergo zulks eene schande vrij man zegt slaaf draagt schoenen blaauwen gelen hoed vrij man werkt vrij lijk mag behoef arbeidenǳ probeerde bovenstaande gedachtegang context geven woorden ǳdit geene definitie gouverneurs generaal west indië geene theorie ondervinding britsch guyana bewezen thans kortheidshalve slechts rapporten brochures verwijzenǳ tweede persoon openingsstatement maakte peter marius tutein nolthenius conservatief hoorn tutein nolthenius bevestigde alleen positie waarin regering bevond maakte doelstellingen afschaffingsplan volgende woorden ǳ k wets ontwerp vereenigen eenvoudig hoofdtrekken den tijd wijze emancipatie bepaalt angstvallig kleine détails treden zeker zeer goed papier regelen waarvan praktijk uitvoering verzekeren utopieën trent phalanstères maatschappelijke droombeelden thans geheel wets ontwerp gelaten behouden hetgeen behoort bevatten hoofddoel leiden hoofdbeginselen omtrent tijd wijze emancipatie schadevergoeding tegemoetkoming staatstoezigt immigratie vreemde arbeiders generale trekken geregeld voldoendeǳ nederlandsche staats courant bijblad,2,Modern Racism & Inequality,0.48994264,0.42421356,0.08584377,0.48994264,0.06572908,low,0.9798853
C:\Users\Home\policy-analysis\Slavery_text\Jouwe e.a. - Slavernij en de stad Utrecht.302.txt,1738da88:00002,10,"Moens, ‘Nog eenige gedachten over de waare gelĳkheid’, De Men-
schenvriend 7 (1794), 393-400, aldaar 400. 5. Petronella Moens, Vruchten der eenzaamheid (Amsterdam: A.B. Saakes 
en J. Tiel, 1798), 24. 6. Albert Soboul, De Franse Revolutie I (Amsterdam: Van Gennep, 1979), 
146. 7. Petronella Moens, Eerkrans voor Aardenburg (Amsterdam: A. Fokke, 
Sim.z., 1788).",moens eenige gedachten waare gelĳkheid schenvriend aldaar petronella moens vruchten eenzaamheid amsterdam b saakes j tiel albert soboul franse revolutie amsterdam gennep petronella moens eerkrans aardenburg amsterdam fokke sim z,0.4707132705766452,0.41125285577921966,0.35985549926900634,0.4707132705766452,Colonialism,0.05946041479742553,moens eenige gedachten waare gelĳkheid schenvriend aldaar petronella moens vruchten eenzaamheid amsterdam b saakes j tiel albert soboul franse revolutie amsterdam gennep petronella moens eerkrans aardenburg amsterdam fokke sim z,1,Historical Slavery,0.4889208,0.41417906,0.4889208,0.09690005,0.07474175,low,0.9778416
C:\Users\Home\policy-analysis\Slavery_text\Jouwe e.a. - Slavernij en de stad Utrecht.291.txt,e1752de7:00001,10,"13. Dat is de plek waar in 1897 het USC zĳn studentensociëteit bouwde. 14. Zie de website www.huizenaanhetjanskerkhof.nl/stamboom/nepveu 
(geraadpleegd 21-01-2021). 15. iisg-neha, arch03522, Nepveu, inv.nr. 42, Brief aan directeur Martini, 
30 september 1785. 16. Dat lag toen op 1,87 procent. Zie Alex van Stipriaan, Surinaams con-
trast.",plek waar usc zĳn studentensociëteit bouwde zie website www huizenaanhetjanskerkhof nl stamboom nepveu geraadpleegd iisg neha arch03522 nepveu inv nr brief directeur martini september lag procent zie alex stipriaan surinaams con trast,0.49406763488126115,0.4603600429352303,0.43742547414033983,0.49406763488126115,Colonialism,0.033707591946030846,plek waar usc zĳn studentensociëteit bouwde zie website www huizenaanhetjanskerkhof nl stamboom nepveu geraadpleegd iisg neha arch03522 nepveu inv nr brief directeur martini september lag procent zie alex stipriaan surinaams con trast,0,Colonialism,0.5114821,0.5114821,0.21736962,0.27114823,0.24033388,low,0.97703576
C:\Users\Home\policy-analysis\Slavery_text\Jouwe e.a. - Slavernij en de stad Utrecht.90.txt,cab5ce3c:00000,10,"90 
REMCO RABEN
Hendrik Swellengrebel
Het octrooigebied van de voc – het deel van de wereld waar de voc 
handel mocht drĳven en een monopolie bezat – strekte zich uit van Japan 
tot Kaap de Goede Hoop, de zuidelĳke punt van huidig Zuid-Afrika. De 
Kaap was een beetje een buitenbeentje in het voc-imperium, omdat de 
vestiging niet belangrĳk was voor de exploitatie van producten op de 
Europese markt, maar zich van een verversingsstation ontwikkelde tot 
een vestigingskolonie, een plek waar veel Europeanen zich vestigden. Onder hen natuurlĳk ook Utrechters. Een van hen was Hendrik Swel-
lengrebel. Zĳn leven begon in Kaap de Goede Hoop, maar zou wel in 
Utrecht eindigen. De voorouders van Hendrik kwamen uit Stettin, in 
het huidige Polen, en waren handelaars. Zĳn vader, Johannes Balthasar, 
was geboren in Moskou en was naar de Republiek getrokken om dienst 
te nemen bĳ de voc. Hĳ kwam in Kaap de Goede Hoop terecht en klom 
op tot lid van de politieke raad. In 1716 nam hĳ ontslag en werd een 
zogenoemde vrĳburger. Hĳ concentreerde zich op het beheer van zĳn 
grote landgoederen bĳ de Tĳgerberg en de Liesbeekrivier.",remco raben hendrik swellengrebel octrooigebied voc wereld waar voc handel mocht drĳven monopolie bezat strekte japan kaap goede hoop zuidelĳke punt huidig zuid afrika kaap beetje buitenbeentje voc imperium vestiging belangrĳk exploitatie producten europese markt verversingsstation ontwikkelde vestigingskolonie plek waar europeanen vestigden hen natuurlĳk utrechters hen hendrik swel lengrebel zĳn leven begon kaap goede hoop utrecht eindigen voorouders hendrik kwamen stettin huidige polen handelaars zĳn vader johannes balthasar geboren moskou republiek getrokken dienst nemen bĳ voc hĳ kwam kaap goede hoop terecht klom lid politieke raad nam hĳ ontslag zogenoemde vrĳburger hĳ concentreerde beheer zĳn grote landgoederen bĳ tĳgerberg liesbeekrivier,0.4904021301263432,0.48658846342549983,0.36510653976720703,0.4904021301263432,Colonialism,0.0038136667008433767,remco raben hendrik swellengrebel octrooigebied voc wereld waar voc handel mocht drĳven monopolie bezat strekte japan kaap goede hoop zuidelĳke punt huidig zuid afrika kaap beetje buitenbeentje voc imperium vestiging belangrĳk exploitatie producten europese markt verversingsstation ontwikkelde vestigingskolonie plek waar europeanen vestigden hen natuurlĳk utrechters hen hendrik swel lengrebel zĳn leven begon kaap goede hoop utrecht eindigen voorouders hendrik kwamen stettin huidige polen handelaars zĳn vader johannes balthasar geboren moskou republiek getrokken dienst nemen bĳ voc hĳ kwam kaap goede hoop terecht klom lid politieke raad nam hĳ ontslag zogenoemde vrĳburger hĳ concentreerde beheer zĳn grote landgoederen bĳ tĳgerberg liesbeekrivier,0,Colonialism,0.51186234,0.51186234,0.44237015,0.045767535,0.06949219,low,0.9762753
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.143.txt,16ab4620:00000,6,"— 143 —
— SLAVERNIJ, AFSCHAFFINGEN EN DOORWERKINGEN —
­Onderzoekers die de arbeidsgeschiedenis van het Britse rijk hebben 
­bestudeerd stellen bijvoorbeeld dat de afschaffing van slavernij leidde 
tot een intensivering van kolonisatie en het overstappen op een productie­
systeem gebaseerd op onvrije contractarbeid. In haar studie over de 
arbeidsmigratie vanuit Brits-Indië en Java naar Suriname heeft Rose­
marijn HÖfte al aangetoond dat het juridisch instrumentarium om de 
goedkope arbeid te controleren bepalender was dan de economische 
motieven van de migranten en het op papier waarborgen van hun welzijn. Ook historicus Ulbe Bosma heeft gewezen op de overeenkomsten in de 
behandeling van arbeiders door koloniale mogendheden in de tweede 
helft van de negentiende eeuw. Maar in tegenstelling tot andere landen 
beschouwde Nederland de voormalig slaafgemaakten na hun emancipatie 
niet als Nederlands staatsburger. Ook de politieke besluitvorming die ten 
grondslag lag aan deze keuze en de alternatieve vormen van burgerschap 
die er later voor in de plaats kwamen, vragen om meer duiding. Pas daarna 
zullen we de doorwerking van het slavernijverleden op de lange termijn 
beter kunnen begrijpen.",slavernij afschaffingen doorwerkingen onderzoekers arbeidsgeschiedenis britse rijk bestudeerd stellen bijvoorbeeld afschaffing slavernij leidde intensivering kolonisatie overstappen productie systeem gebaseerd onvrije contractarbeid studie arbeidsmigratie vanuit brits indië java suriname rose marijn höfte aangetoond juridisch instrumentarium goedkope arbeid controleren bepalender economische motieven migranten papier waarborgen welzijn historicus ulbe bosma gewezen overeenkomsten behandeling arbeiders koloniale mogendheden tweede helft negentiende eeuw tegenstelling landen beschouwde nederland voormalig slaafgemaakten emancipatie nederlands staatsburger politieke besluitvorming ten grondslag lag keuze alternatieve vormen burgerschap later plaats kwamen duiding pas daarna zullen doorwerking slavernijverleden lange termijn beter begrijpen,0.49975951537405056,0.5043337344640316,0.49285713340120246,0.5043337344640316,Historical Slavery,0.004574219089981069,slavernij afschaffingen doorwerkingen onderzoekers arbeidsgeschiedenis britse rijk bestudeerd stellen bijvoorbeeld afschaffing slavernij leidde intensivering kolonisatie overstappen productie systeem gebaseerd onvrije contractarbeid studie arbeidsmigratie vanuit brits indië java suriname rose marijn höfte aangetoond juridisch instrumentarium goedkope arbeid controleren bepalender economische motieven migranten papier waarborgen welzijn historicus ulbe bosma gewezen overeenkomsten behandeling arbeiders koloniale mogendheden tweede helft negentiende eeuw tegenstelling landen beschouwde nederland voormalig slaafgemaakten emancipatie nederlands staatsburger politieke besluitvorming ten grondslag lag keuze alternatieve vormen burgerschap later plaats kwamen duiding pas daarna zullen doorwerking slavernijverleden lange termijn beter begrijpen,1,Historical Slavery,0.5126691,0.079358086,0.5126691,0.40797284,0.104696244,low,0.9746618
C:\Users\Home\policy-analysis\Slavery_text\Jouwe e.a. - Slavernij en de stad Utrecht.284.txt,eec614a7:00004,10,"55. nl-uthua, catalogusnummer 32422, vervaardiger: P.J. Muller, tekenaar/
graficus. 56. nl-uthua, Notarissen, 34-4, inv.nr. U270a011, aktenr. 63. 57. Ibidem, inv.nr. U270a011, aktenr.",nl uthua catalogusnummer vervaardiger p j muller tekenaar graficus nl uthua notarissen inv nr u270a011 aktenr ibidem inv nr u270a011 aktenr,0.4977203022401743,0.49111732512428413,0.3967287489217604,0.4977203022401743,Colonialism,0.006602977115890141,nl uthua catalogusnummer vervaardiger p j muller tekenaar graficus nl uthua notarissen inv nr u270a011 aktenr ibidem inv nr u270a011 aktenr,0,Colonialism,0.5135703,0.5135703,0.44409004,0.04233967,0.06948027,low,0.9728594
C:\Users\Home\policy-analysis\Slavery_text\Jouwe e.a. - Slavernij en de stad Utrecht.296.txt,ffefcb8a:00002,10,"18. ‘Histoire de Constance (suite)’, Genootschap Belle van Zuylen, http://
www.belle-van-zuylen.eu/site-charriere/articles/3fem-17.htm (geraad-
pleegd 02-02-2021). 19. Solte-Gresser, ‘Sklavengeschichte’, 74-75. 20. Belle van Zuylen, ‘Drie vrouwen’, 144. 21. ‘Histoire de Constance’, Genootschap Belle van Zuylen, http://www. belle-van-zuylen.eu/site-charriere/articles/3fem-16.htm (geraadpleegd 
02-02-2021). 22.",histoire constance suite genootschap belle zuylen http www belle zuylen eu site charriere articles 3fem htm geraad pleegd solte gresser sklavengeschichte belle zuylen drie vrouwen histoire constance genootschap belle zuylen http www belle zuylen eu site charriere articles 3fem htm geraadpleegd,0.4184124814434671,0.41651019465398387,0.31476710276693187,0.4184124814434671,Colonialism,0.0019022867894832318,histoire constance suite genootschap belle zuylen http www belle zuylen eu site charriere articles 3fem htm geraad pleegd solte gresser sklavengeschichte belle zuylen drie vrouwen histoire constance genootschap belle zuylen http www belle zuylen eu site charriere articles 3fem htm geraadpleegd,0,Colonialism,0.5139114,0.5139114,0.09918857,0.38689995,0.12701148,low,0.97217715
C:\Users\Home\policy-analysis\Slavery_text\ketenen van het verleden.129.txt,d8154d0f:00000,10,"14 
Practices Similar to Slavery in 1956 which elaborated upon the 1926 laws through additional 
guidelines.64 Notably, Article 3 of the Supplementary Convention criminalised slave trafficking 
and Article 6 criminalised enslavement and selling individuals into slavery. This international 
agreement is still operative today and has 124 parties as of 2021, including the Netherlands 
which ratified the Convention in 1957. These historical conventions highlight the increasing international intolerance of and the 
movement of the international community towards the criminalisation of enslavement.65 
Culminating in the Rome Statute (1998, entering into force in 2002), this instrument established 
the International Criminal Court (ICC) in The Hague (the Netherlands) and provided for the 
ICC to have jurisdiction over war crimes, genocide and crimes against humanity.66 Most 
relevantly, Article 7 of the Rome Statute categorises acts that constitute a crime against 
humanity with the explicit addition of enslavement in 7 (1) (c). While enslavement is 
specifically mentioned, numerous acts categorised as crimes against humanity have also been 
committed by perpetrators of the slave trade.67 European individuals, including ones from the 
Netherlands, participating in the slave trade forcibly deported and transported African people 
to Western lands (that would have been considered these days in violation of 7 (1) (d) of the 
Rome Statute), forcibly imprisoned Africans on the coasts of Africa and severely deprived them 
of their physical liberty (in violation of 7 (1) (e) of the Rome Statute).68 Moreover, it can be 
argued that slavery and the slave trade constituted persecution against an identifiable group on 
racial and ethnic grounds (violation of 7 (1) (h)) as 17th century Europeans no longer deemed 
it morally acceptable to enslave fellow Europeans but intensively participated in the slave trade 
for people of African and Asian descent.69  
 
Moreover, while slavery has not been adjudicated upon in court proceedings, trafficking as part 
of enslavement has been tried in the already-mentioned Kunarac case before the ICTY.70 The 
Trial Chamber in that case considered the exercise of ownership of the persons and the duration 
of the suspected exercise of powers, both of which are extensively present in enslavement due 
to the long-term ownership of persons. 64 Patricia M. Muhammad Esq, The Trans-Atlantic Slave Trade: A Forgotten Crime Against Humanity as Defined 
by International Law, American University International Law Review 19, 2003. 883-947. 65 For the explanation of the terminological difference between slave trade and enslavement, see section 1.3. in the 
present study. 66 The Rome Statute of the International Criminal Court (1998), available at: 
https://legal.un.org/icc/statute/99_corr/cstatute.htm.",patricia present study,0.6423518984307481,0.5480845207292409,0.5719434620432793,0.6423518984307481,Colonialism,0.07040843638746885,patricia present study,0,Colonialism,0.51478684,0.51478684,0.14277491,0.34243828,0.17234856,low,0.9704263
