filename,chunk_id,sentence_count,raw_text,text_for_scoring,cos_Colonialism,cos_Historical Slavery,cos_Modern Racism & Inequality,max_score,primary_topic,score_margin,text,predicted_label_id,predicted_label,confidence,prob_Colonialism,prob_Historical Slavery,prob_Modern Racism & Inequality,prediction_margin,bert_confidence_tier
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.134.txt,eab9afc4:00000,10,"— 134 —
— STAAT EN SLAVERNIJ —
­‘vrijheid, gelijkheid en broederschap’ bleek niet van toepassing op de 
slaafgemaakten in de Bataafse overzeese gebiedsdelen. Met de overgang naar het Verenigd Koninkrijk der Nederlanden werd 
in de grondwet van 1815 bepaald dat niet meer de Staten-Generaal, maar 
koning Willem i het opperbestuur genoot over de koloniën. Hij had 
­grootse plannen met deze gebieden, daarbij gesteund door de macht die 
de grondwet hem toebedeelde en het snelle herstel van de Nederlandse 
­slavenkoloniën en slavernijgerelateerde industrieën na de napoleontische 
oorlogen. Na het verlies van een groot deel van het koloniale wereldrijk 
behoorde Nederland vanaf het begin van de negentiende eeuw niet 
meer tot de grootste slavenhoudende staten in de wereld, maar de slaven­
houdende plantages waren nog wel van economisch belang voor de staat 
en de ondernemers. Recent onderzoek naar de oprichting van De Neder­
landsche Bank wees bijvoorbeeld uit dat het startkapitaal waarmee de 
oprichting van dat instituut mogelijk werd gemaakt deels afkomstig was 
van ondernemers met directe belangen in de plantageslavernij. Verder 
steeg de ­consumptie van katoen, indigo, suiker en koffie, hoewel de 
publieke ­opinie zich tegen slavernij had gekeerd. Willem i wilde dat de 
staatskas daarvan profiteerde en stuurde wetsvoorstellen naar de Tweede 
Kamer voor verhoogde accijnzen op koffie en suiker. Ondanks pogingen 
van Amsterdamse handelshuizen om dat wetsvoorstel in de kiem te smo­
ren vanwege teruglopende winstgevendheid, stemden de Tweede en Eer­
ste Kamer in met de accijnsverhoging. Door Britse internationale druk was 
de afschaffing van de slavenhandel opgelegd. Slavenhouders beseften dat 
zij lippendienst konden bewijzen aan de abolitionistische zaak door de 
afschaffing van de slavenhandel stilzwijgend te accepteren: die stond 
immers het gebruik van slavernij als productiewijze niet in de weg.2
Als opperbestuurder van de koloniën vond Willem i een gelijk­
gestemde ziel en trouwe dienaar in de militair Johannes van den Bosch: 
beide mannen ontwikkelden een allesomvattende visie op koloniaal 
bestuur die het lot van vele slaafgemaakten en lokale boeren bezegelde.3 
Van den Bosch had gediend in Nederlands-Indië en werd in 1827 benoemd 
als ­commissaris-generaal van Suriname en de Antillen, met als opdracht 
het bestuur grondig te herzien.",staat slavernij vrijheid gelijkheid broederschap bleek toepassing slaafgemaakten bataafse overzeese gebiedsdelen overgang verenigd koninkrijk nederlanden grondwet bepaald staten generaal koning willem opperbestuur genoot koloniën grootse plannen gebieden daarbij gesteund macht grondwet toebedeelde snelle herstel nederlandse slavenkoloniën slavernijgerelateerde industrieën napoleontische oorlogen verlies groot koloniale wereldrijk behoorde nederland vanaf begin negentiende eeuw grootste slavenhoudende staten wereld slaven houdende plantages economisch belang staat ondernemers recent oprichting neder landsche bank wees bijvoorbeeld startkapitaal waarmee oprichting instituut mogelijk gemaakt deels afkomstig ondernemers directe belangen plantageslavernij verder steeg consumptie katoen indigo suiker koffie hoewel publieke opinie slavernij gekeerd willem wilde staatskas daarvan profiteerde stuurde wetsvoorstellen tweede kamer verhoogde accijnzen koffie suiker ondanks pogingen amsterdamse handelshuizen wetsvoorstel kiem smo ren vanwege teruglopende winstgevendheid stemden tweede eer ste kamer accijnsverhoging britse internationale druk afschaffing slavenhandel opgelegd slavenhouders beseften lippendienst konden bewijzen abolitionistische zaak afschaffing slavenhandel stilzwijgend accepteren stond immers slavernij productiewijze weg opperbestuurder koloniën vond willem gelijk gestemde ziel trouwe dienaar militair johannes den bosch beide mannen ontwikkelden allesomvattende visie koloniaal bestuur lot vele slaafgemaakten lokale boeren bezegelde den bosch gediend nederlands indië benoemd commissaris generaal suriname antillen opdracht bestuur grondig herzien,0.4870615124623273,0.4970785492070324,0.29742127627798454,0.4970785492070324,Historical Slavery,0.01001703674470511,staat slavernij vrijheid gelijkheid broederschap bleek toepassing slaafgemaakten bataafse overzeese gebiedsdelen overgang verenigd koninkrijk nederlanden grondwet bepaald staten generaal koning willem opperbestuur genoot koloniën grootse plannen gebieden daarbij gesteund macht grondwet toebedeelde snelle herstel nederlandse slavenkoloniën slavernijgerelateerde industrieën napoleontische oorlogen verlies groot koloniale wereldrijk behoorde nederland vanaf begin negentiende eeuw grootste slavenhoudende staten wereld slaven houdende plantages economisch belang staat ondernemers recent oprichting neder landsche bank wees bijvoorbeeld startkapitaal waarmee oprichting instituut mogelijk gemaakt deels afkomstig ondernemers directe belangen plantageslavernij verder steeg consumptie katoen indigo suiker koffie hoewel publieke opinie slavernij gekeerd willem wilde staatskas daarvan profiteerde stuurde wetsvoorstellen tweede kamer verhoogde accijnzen koffie suiker ondanks pogingen amsterdamse handelshuizen wetsvoorstel kiem smo ren vanwege teruglopende winstgevendheid stemden tweede eer ste kamer accijnsverhoging britse internationale druk afschaffing slavenhandel opgelegd slavenhouders beseften lippendienst konden bewijzen abolitionistische zaak afschaffing slavenhandel stilzwijgend accepteren stond immers slavernij productiewijze weg opperbestuurder koloniën vond willem gelijk gestemde ziel trouwe dienaar militair johannes den bosch beide mannen ontwikkelden allesomvattende visie koloniaal bestuur lot vele slaafgemaakten lokale boeren bezegelde den bosch gediend nederlands indië benoemd commissaris generaal suriname antillen opdracht bestuur grondig herzien,1,Historical Slavery,0.5161305,0.47698715,0.5161305,0.006882373,0.039143354,very_low
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.162.txt,b7de1f49:00000,10,"— 162 —
— STAAT EN SLAVERNIJ —
Europese koloniale ondernemingen. Zo vormden de opbrengsten uit de 
handel in (gedeeltelijk) via slavenarbeid verkregen Braziliaanse diamanten 
en tabak het onderpand voor grote leningen aan het begin van de negen­
tiende eeuw.2  
 
Hope & Co is exemplarisch voor de historische verwevenheid van de 
Nederlandse financiële en zakelijk dienstverlenende sector met slavernij 
en kolonialisme, al was de schaal van de betrokkenheid van deze firma wel 
uitzonderlijk. Recent onderzoek naar dnb toonde de voortzetting van 
deze verwevenheid in de negentiende eeuw, in de laatste decennia van de 
slavernij.3 Tussen het eind van de zestiende en de late negentiende eeuw 
nam de financiering van koloniale en slavernijondernemingen vele ver­
schillende vormen aan. Het is onmogelijk om die in een korte bijdrage 
allemaal te bespreken, laat staan om daarnaast ook nog aandacht te beste­
den aan de ideeënwereld en mentaliteit die schuilgingen achter het wijd­
vertakte systeem van investeren in handel in mensen of door dwangarbeid 
verkregen producten. Dit hoofdstuk concentreert zich op drie gezichts­
bepalende aspecten van de Nederlandse financiële betrokkenheid: de 
financiering van koloniale handelscompagnieën in de zeventiende eeuw, 
de expansie van de West-Indische plantagesector in de achttiende eeuw 
en de erfenissen in de negentiende eeuw en daarna. ◼ ◼◼  Financiering van de voc en de wic
De opkomst van de Nederlandse slavenhandel en de organisatie van 
­slavernij in door Nederlanders beheerste gebieden zijn onlosmakelijk 
­verbonden met de voc en wic. Maar deze compagnieën opereerden nooit 
alleen. Achter de door de Staten-Generaal goedgekeurde monopoliemaat­
schappijen stonden private investeerders, die niet zelden probeerden om 
ook buiten de compagnieën om een graantje mee te pikken van de groei­
ende koloniale handel. De voc was verantwoordelijk voor een van de 
belangrijkste financiële innovaties in de geschiedenis van het kapitalisme: 
ze werd het eerste bedrijf ter wereld met permanent kapitaal en verhan­
delbare aandelen. Compagnieën waren al voor de oprichting van de voc in 1602 een gang­
bare ondernemingsvorm.",staat slavernij europese koloniale ondernemingen vormden opbrengsten handel gedeeltelijk via slavenarbeid verkregen braziliaanse diamanten tabak onderpand grote leningen begin negen tiende eeuw hope co exemplarisch historische verwevenheid nederlandse financiële zakelijk dienstverlenende sector slavernij kolonialisme schaal betrokkenheid firma uitzonderlijk recent dnb toonde voortzetting verwevenheid negentiende eeuw laatste decennia slavernij eind zestiende late negentiende eeuw nam financiering koloniale slavernijondernemingen vele ver schillende vormen onmogelijk korte bijdrage allemaal bespreken laat staan daarnaast aandacht beste den ideeënwereld mentaliteit schuilgingen wijd vertakte systeem investeren handel mensen dwangarbeid verkregen producten hoofdstuk concentreert drie gezichts bepalende aspecten nederlandse financiële betrokkenheid financiering koloniale handelscompagnieën zeventiende eeuw expansie west indische plantagesector achttiende eeuw erfenissen negentiende eeuw daarna financiering voc wic opkomst nederlandse slavenhandel slavernij nederlanders beheerste gebieden onlosmakelijk verbonden voc wic compagnieën opereerden nooit alleen staten generaal goedgekeurde monopoliemaat schappijen stonden private investeerders zelden probeerden compagnieën graantje mee pikken groei ende koloniale handel voc verantwoordelijk belangrijkste financiële innovaties geschiedenis kapitalisme eerste bedrijf ter wereld permanent kapitaal verhan delbare aandelen compagnieën oprichting voc gang bare ondernemingsvorm,0.46614226366316835,0.5223501204685173,0.30678015761261246,0.5223501204685173,Historical Slavery,0.0562078568053489,staat slavernij europese koloniale ondernemingen vormden opbrengsten handel gedeeltelijk via slavenarbeid verkregen braziliaanse diamanten tabak onderpand grote leningen begin negen tiende eeuw hope co exemplarisch historische verwevenheid nederlandse financiële zakelijk dienstverlenende sector slavernij kolonialisme schaal betrokkenheid firma uitzonderlijk recent dnb toonde voortzetting verwevenheid negentiende eeuw laatste decennia slavernij eind zestiende late negentiende eeuw nam financiering koloniale slavernijondernemingen vele ver schillende vormen onmogelijk korte bijdrage allemaal bespreken laat staan daarnaast aandacht beste den ideeënwereld mentaliteit schuilgingen wijd vertakte systeem investeren handel mensen dwangarbeid verkregen producten hoofdstuk concentreert drie gezichts bepalende aspecten nederlandse financiële betrokkenheid financiering koloniale handelscompagnieën zeventiende eeuw expansie west indische plantagesector achttiende eeuw erfenissen negentiende eeuw daarna financiering voc wic opkomst nederlandse slavenhandel slavernij nederlanders beheerste gebieden onlosmakelijk verbonden voc wic compagnieën opereerden nooit alleen staten generaal goedgekeurde monopoliemaat schappijen stonden private investeerders zelden probeerden compagnieën graantje mee pikken groei ende koloniale handel voc verantwoordelijk belangrijkste financiële innovaties geschiedenis kapitalisme eerste bedrijf ter wereld permanent kapitaal verhan delbare aandelen compagnieën oprichting voc gang bare ondernemingsvorm,0,Colonialism,0.52253085,0.52253085,0.47330275,0.0041663446,0.049228102,very_low
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.176.txt,2f5dd161:00001,6,"De koloniale 
overheid stelde echter paal en perk aan landvlucht door boeren met straf­
maatregelen te verbieden hun woonplaats te verlaten. Omdat er vaak te 
weinig bouwgrond en tijd overbleef om in het eigen levensonderhoud te 
voorzien, probeerden velen toch te vluchten. ◼ ◼◼  Het cultuurstelsel (1830-1870)
Het cultuurstelsel zoals dit door Van den Bosch werd ingevoerd was dus 
de uitkomst van ontwikkelingen die al waren ingezet onder voc-bewind 
en op grotere schaal uitgebreid waren onder de vroeg-koloniale staat van 
Daendels. Onder Van den Bosch werd het dwangstelsel nu nog verder 
­aangedreven. Boeren op Java moesten twintig procent van hun grond 
gebruiken om gouvernementsproducten te produceren. Dit werd gerecht­",koloniale overheid stelde echter paal perk landvlucht boeren straf maatregelen verbieden woonplaats verlaten vaak bouwgrond tijd overbleef eigen levensonderhoud voorzien probeerden velen vluchten cultuurstelsel cultuurstelsel den bosch ingevoerd uitkomst ontwikkelingen ingezet voc bewind grotere schaal uitgebreid vroeg koloniale staat daendels den bosch dwangstelsel verder aangedreven boeren java moesten twintig procent grond gebruiken gouvernementsproducten produceren gerecht,0.5392556178540217,0.5361070270935265,0.37190764807327603,0.5392556178540217,Colonialism,0.003148590760495118,koloniale overheid stelde echter paal perk landvlucht boeren straf maatregelen verbieden woonplaats verlaten vaak bouwgrond tijd overbleef eigen levensonderhoud voorzien probeerden velen vluchten cultuurstelsel cultuurstelsel den bosch ingevoerd uitkomst ontwikkelingen ingezet voc bewind grotere schaal uitgebreid vroeg koloniale staat daendels den bosch dwangstelsel verder aangedreven boeren java moesten twintig procent grond gebruiken gouvernementsproducten produceren gerecht,1,Historical Slavery,0.5014911,0.48682836,0.5014911,0.0116804885,0.014662772,very_low
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.304.txt,9a5d1dbb:00001,4,"Zo kwam in meerdere onderzoeken naar opstanden in 
Suriname, Berbice en Demerara-Essequibo de rol van seksueel geweld, jaloezie 
en inmengingen in relaties van slaafgemaakte mannen en vrouwen door 
directeuren centraal te staan, terwijl zulke intimiteiten normaal gesproken zelden 
expliciet besproken werden. Er is voorzichtigheid geboden bij het gebruik van verslagen van rechtszaken 
als bron. De processtukken die bewaard zijn in de archieven van koloniale 
rechtbanken hadden een eenduidig doel: het vergaren van bewijs dat de 
openbare aanklager tegen de verdachten kon gebruiken. Beklaagden met",kwam meerdere onderzoeken opstanden suriname berbice demerara essequibo rol seksueel geweld jaloezie inmengingen relaties slaafgemaakte mannen vrouwen directeuren centraal staan terwijl zulke intimiteiten normaal gesproken zelden expliciet besproken werden voorzichtigheid geboden verslagen rechtszaken bron processtukken bewaard archieven koloniale rechtbanken hadden eenduidig doel vergaren bewijs openbare aanklager verdachten gebruiken beklaagden,0.4700183599450271,0.5477011323736011,0.5159288488924421,0.5477011323736011,Historical Slavery,0.031772283481159014,kwam meerdere onderzoeken opstanden suriname berbice demerara essequibo rol seksueel geweld jaloezie inmengingen relaties slaafgemaakte mannen vrouwen directeuren centraal staan terwijl zulke intimiteiten normaal gesproken zelden expliciet besproken werden voorzichtigheid geboden verslagen rechtszaken bron processtukken bewaard archieven koloniale rechtbanken hadden eenduidig doel vergaren bewijs openbare aanklager verdachten gebruiken beklaagden,2,Modern Racism & Inequality,0.5052323,0.0067177797,0.48804998,0.5052323,0.01718229,very_low
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.355.txt,9d7911ad:00000,10,"— 355 —
— VROEGE VORMING VAN SLAVERNIJ EN KOLONIALISME —
­Antwerpen herbevestigd en Jehan Maria werd vrijgelaten. Nadat Jehan 
Maria Wannemaquer vele jaren trouw gediend heeft, staat Wannemaquer 
hem toe om als vrij man naar zijn geboorteland terug te keren. Deze ver­
klaring werd allicht doelbewust in het Frans opgemaakt zodat Jehan 
Maria zijn vrije status kon aantonen tijdens zijn reis.11
De aanwezigheid van zwarte mensen in Antwerpen zorgde ook voor 
een verandering in de beeldcultuur. De zwarte koning, Balthasar, krijgt 
in het in de zestiende eeuw erg populaire tafereel van de Aanbidding der 
Wijzen een steeds individueler gezicht, bijvoorbeeld in het werk van 
Gerard David, Barend van Orley en Jan Gossaert. De beeldcultuur wijzigt 
vanaf het begin van de zestiende eeuw, op het moment dat Antwerpen 
erg aantrekkelijk wordt voor handelaars en ambachtslui uit Spanje en 
­Portugal. Ook de doop van moren werd een thema, zoals in het schilderij 
van Jan van der Elburcht, bestemd voor een altaar in de Antwerpse kathe­
draal. Dit dooptafereel weerspiegelt de incompatibiliteit van christen zijn 
en ­slavernij in de Antwerpse context. ◼ ◼◼  Continuïteiten met de Republiek
Na de politieke en religieuze strubbelingen van de tweede helft van de 
­zestiende eeuw en een Europese diaspora, vonden steeds meer Zuid-­
Nederlandse kooplieden, die meestal een sterke band met Antwerpen 
­hadden, een nieuwe basis in Amsterdam. De transitie van Antwerpen naar 
Amsterdam als metropool voor de wereldhandel is goed bestudeerd vanuit 
het perspectief van de kooplieden. De connecties van die kooplieden met 
de slavenhandel en slavernij zijn nog niet goed onderzocht.",vroege vorming slavernij kolonialisme antwerpen herbevestigd jehan maria vrijgelaten nadat jehan maria wannemaquer vele trouw gediend staat wannemaquer toe vrij man geboorteland terug keren ver klaring allicht doelbewust frans opgemaakt zodat jehan maria vrije status aantonen reis aanwezigheid zwarte mensen antwerpen zorgde verandering beeldcultuur zwarte koning balthasar krijgt zestiende eeuw erg populaire tafereel aanbidding wijzen steeds individueler gezicht bijvoorbeeld werk gerard david barend orley jan gossaert beeldcultuur wijzigt vanaf begin zestiende eeuw moment antwerpen erg aantrekkelijk handelaars ambachtslui spanje portugal doop moren thema schilderij jan elburcht bestemd altaar antwerpse kathe draal dooptafereel weerspiegelt incompatibiliteit christen slavernij antwerpse context continuïteiten republiek politieke religieuze strubbelingen tweede helft zestiende eeuw europese diaspora vonden steeds zuid nederlandse kooplieden meestal sterke band antwerpen hadden nieuwe basis amsterdam transitie antwerpen amsterdam metropool wereldhandel goed bestudeerd vanuit perspectief kooplieden connecties kooplieden slavenhandel slavernij goed onderzocht,0.4787183454515216,0.48961930308998125,0.4657066045642433,0.48961930308998125,Historical Slavery,0.010900957638459663,vroege vorming slavernij kolonialisme antwerpen herbevestigd jehan maria vrijgelaten nadat jehan maria wannemaquer vele trouw gediend staat wannemaquer toe vrij man geboorteland terug keren ver klaring allicht doelbewust frans opgemaakt zodat jehan maria vrije status aantonen reis aanwezigheid zwarte mensen antwerpen zorgde verandering beeldcultuur zwarte koning balthasar krijgt zestiende eeuw erg populaire tafereel aanbidding wijzen steeds individueler gezicht bijvoorbeeld werk gerard david barend orley jan gossaert beeldcultuur wijzigt vanaf begin zestiende eeuw moment antwerpen erg aantrekkelijk handelaars ambachtslui spanje portugal doop moren thema schilderij jan elburcht bestemd altaar antwerpse kathe draal dooptafereel weerspiegelt incompatibiliteit christen slavernij antwerpse context continuïteiten republiek politieke religieuze strubbelingen tweede helft zestiende eeuw europese diaspora vonden steeds zuid nederlandse kooplieden meestal sterke band antwerpen hadden nieuwe basis amsterdam transitie antwerpen amsterdam metropool wereldhandel goed bestudeerd vanuit perspectief kooplieden connecties kooplieden slavenhandel slavernij goed onderzocht,2,Modern Racism & Inequality,0.3769238,0.37291527,0.25016096,0.3769238,0.0040085316,very_low
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.390.txt,c8c5c0b3:00001,5,"Bronnen over regelgeving en afspraken over welke christelijke 
organisaties welke werkzaamheden, waar en voor welke groepen en tegen 
welke vergoedingen mochten uitvoeren, kunnen aantonen hoe diep koloniale 
overheid, missie en zending met elkaar waren verweven. Sommige archieven bevatten verslagen van reizen of expedities, notities over 
taal en cultuur of over concreet gedrag van lokale bevolkingsgroepen; soms 
vergezeld van antropologische foto’s. Ook kronieken, kerkboeken, officiële en 
persoonlijke correspondentie en zendings- en missietijdschriften, blijken vaak 
gedetailleerde informatie te bevatten over lokale bevolkingen en slaafgemaakten. Het gaat onder meer over specifieke gebruiken, taal, verwantschapsstructuren, 
werkzaamheden, kleding, haardracht, lichaamsversieringen, geloofs­
voorstellingen en opvattingen over leeftijd, seksualiteit en gender. De bronnen",bronnen regelgeving afspraken christelijke organisaties werkzaamheden waar groepen vergoedingen mochten uitvoeren aantonen diep koloniale overheid missie zending elkaar verweven sommige archieven bevatten verslagen reizen expedities notities taal cultuur concreet gedrag lokale bevolkingsgroepen soms vergezeld antropologische foto kronieken kerkboeken officiële persoonlijke correspondentie zendings missietijdschriften blijken vaak gedetailleerde informatie bevatten lokale bevolkingen slaafgemaakten gaat specifieke gebruiken taal verwantschapsstructuren werkzaamheden kleding haardracht lichaamsversieringen geloofs voorstellingen opvattingen leeftijd seksualiteit gender bronnen,0.4557173060624789,0.4504897312199463,0.3612839446339945,0.4557173060624789,Colonialism,0.005227574842532612,bronnen regelgeving afspraken christelijke organisaties werkzaamheden waar groepen vergoedingen mochten uitvoeren aantonen diep koloniale overheid missie zending elkaar verweven sommige archieven bevatten verslagen reizen expedities notities taal cultuur concreet gedrag lokale bevolkingsgroepen soms vergezeld antropologische foto kronieken kerkboeken officiële persoonlijke correspondentie zendings missietijdschriften blijken vaak gedetailleerde informatie bevatten lokale bevolkingen slaafgemaakten gaat specifieke gebruiken taal verwantschapsstructuren werkzaamheden kleding haardracht lichaamsversieringen geloofs voorstellingen opvattingen leeftijd seksualiteit gender bronnen,0,Colonialism,0.37698072,0.37698072,0.2704979,0.35252145,0.024459273,very_low
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.450.txt,3f46e62e:00005,10,"Joseph Siwpersad, De Nederlandse regering en de 
afschaffing van de Surinaamse slavernij, 1833-1863 
(Groningen 1979) 122. 5. M. Kuitenbrouwer, De Nederlandse afschaffing 
van de slavernij in vergelijkend perspectief (1978) 
96. 6. Collectie Baud, Nationaal Archief (na), inv. nr. 930, Brugmans aan Baud, 5 mei 1856. 7. Reggie Baay, ‘De stille afschaffing van de 
slavernij in Nederlands-Indië,’ De slavernij in 
Oost en West.",joseph siwpersad nederlandse regering afschaffing surinaamse slavernij groningen kuitenbrouwer nederlandse afschaffing slavernij vergelijkend perspectief collectie baud nationaal archief inv nr brugmans baud mei reggie baay stille afschaffing slavernij nederlands indië slavernij oost west,0.5215402106257213,0.5486534002358404,0.4161861506302867,0.5486534002358404,Historical Slavery,0.027113189610119104,joseph siwpersad nederlandse regering afschaffing surinaamse slavernij groningen kuitenbrouwer nederlandse afschaffing slavernij vergelijkend perspectief collectie baud nationaal archief inv nr brugmans baud mei reggie baay stille afschaffing slavernij nederlands indië slavernij oost west,1,Historical Slavery,0.50773525,0.4604268,0.50773525,0.031837896,0.047308445,very_low
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.451.txt,c0aee7eb:00006,10,"4. Oscar Gelderblom, Abe de Jong, en Joost 
Jonker, ‘The Formative Years of the Modern 
Corporation. The Dutch East India 
Company voc, 1602-1623,’ The Journal of 
Economic History 73:4 (2013) 1050-1076. 5. Henk den Heijer, De geschiedenis van de wic 
(Zutphen 1994) 33. 6. Cátia Antunes, ‘From binary narratives to 
diversified tales. Changing the paradigm in 
the study of Dutch colonial participation,’ 
Tijdschrift voor Geschiedenis 131:3 (2018) 393-407. 7. Ottho Keye, Het waere onderscheyt tusschen 
koude en warme landen (Den Haag 1659)  
148-149.",oscar gelderblom abe jong joost jonker formative years modern corporation henk den heijer geschiedenis wic zutphen cátia antunes binary narratives diversified tales ottho keye waere onderscheyt tusschen koude warme landen den haag,0.499962523426338,0.4150381871276602,0.4868929193643663,0.499962523426338,Colonialism,0.013069604061971718,oscar gelderblom abe jong joost jonker formative years modern corporation henk den heijer geschiedenis wic zutphen cátia antunes binary narratives diversified tales ottho keye waere onderscheyt tusschen koude warme landen den haag,2,Modern Racism & Inequality,0.50731486,0.46776643,0.02491871,0.50731486,0.039548427,very_low
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.464.txt,b59a53f0:00006,5,"Donnet, F., ‘Les Anversois aux Canaries, un 
voyage mouvementé au xvie siècle,’ Bulletin de 
la Société de Géographie d’Anvers 18-19 (1895-1896) 
276-311, 202-365. Dorsey, Joseph C., Slave Traffic in the Age of 
Abolition, Puerto Rico, West Africa and the Non-
Hispanic Caribbean, 1815-1859 (2003). Drossaers, S.W.A. en Th.H. Lunsingh Scheurleer, 
Inventarissen van de inboedels in de verblijven van",donnet f les anversois aux canaries un voyage mouvementé au xvie siècle bulletin la société géographie anvers drossaers w th h lunsingh scheurleer inventarissen inboedels verblijven,0.4700026955324216,0.47551231971674235,0.4005430016435739,0.47551231971674235,Historical Slavery,0.005509624184320772,donnet f les anversois aux canaries un voyage mouvementé au xvie siècle bulletin la société géographie anvers drossaers w th h lunsingh scheurleer inventarissen inboedels verblijven,0,Colonialism,0.44786403,0.44786403,0.14094807,0.41118786,0.03667617,very_low
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.466.txt,e5b440f0:00000,10,"— 466 —
— STAAT EN SLAVERNIJ —
hedendaagse uiting van de permanente 
revolutie. Een standpunt,’ Bijdragen en 
Mededelingen betreffende de Geschiedenis der 
Nederlanden 129(4) (2014) 106-117. ◼ ◼◼  H
Hägerdal, Hans, ‘Warfare, Bestowal, Purchase. Dutch Acquisition of Slaves in the World of 
Easter Indonesia, 1650-1800,’ Slavery & Abolition 
43, nr. 3 (2022) 553-573. Harris, Leslie M., In the Shadow of Slavery. African 
Americans in New York City, 1626-1863 (Chicago 
2003). Hart, M.C. ’t, The Making of a Bourgeois State. War, 
Politics, and Finance during the Dutch Revolution 
(Manchester 1993).",staat slavernij hedendaagse uiting permanente revolutie standpunt bijdragen mededelingen betreffende geschiedenis nederlanden h hägerdal hans warfare bestowal purchase african americans new york city chicago hart c making bourgeois state war politics finance dutch revolution manchester,0.5624263953570219,0.42583490106091954,0.5050411300496047,0.5624263953570219,Colonialism,0.057385265307417166,staat slavernij hedendaagse uiting permanente revolutie standpunt bijdragen mededelingen betreffende geschiedenis nederlanden h hägerdal hans warfare bestowal purchase african americans new york city chicago hart c making bourgeois state war politics finance dutch revolution manchester,0,Colonialism,0.5137277,0.5137277,0.0023603127,0.483912,0.029815733,very_low
