topic,term,cosine,df
Historical slavery,slavernij,1.0,690
Historical slavery,dwangarbeid,1.0,34
Historical slavery,zweep,1.0,6
Historical slavery,slaaf-gemaakte,0.8462,13
Historical slavery,dwangarbeiders,0.8377,6
Historical slavery,slavernijsysteem,0.8248,17
Historical slavery,arbeid,0.8118,95
Historical slavery,slavernij-,0.8043,15
Historical slavery,slaaf-gemaakten,0.8038,38
Historical slavery,uitbetaald,0.8004,8
Historical slavery,betaling,0.7985,9
Historical slavery,holocaust,0.7958,28
Historical slavery,slaven,0.7878,206
Historical slavery,revolutie,0.7862,28
Historical slavery,hengst,0.7813,10
Historical slavery,compensatie,0.7795,37
Historical slavery,loopbaan,0.7776,8
Historical slavery,aflossing,0.7748,6
Historical slavery,burgeroorlog,0.7732,8
Historical slavery,ladder,0.7728,5
Historical slavery,betalingen,0.7716,5
Historical slavery,cacao,0.7709,6
Historical slavery,roep,0.7707,10
Historical slavery,ruil,0.7706,12
Historical slavery,afgevoerd,0.7702,5
Historical slavery,slavernijperiode,0.7688,5
Historical slavery,uitvinding,0.766,6
Historical slavery,levering,0.7659,8
Historical slavery,beurt,0.7641,13
Historical slavery,onderdrukking,0.763,23
Historical slavery,tabak,0.762,14
Historical slavery,tol,0.7616,14
Historical slavery,gestraft,0.7615,11
Historical slavery,plantage,0.7615,97
Historical slavery,vervoerd,0.7615,19
Historical slavery,slaaf,0.7612,219
Historical slavery,methode,0.7597,19
Historical slavery,genocide,0.7596,24
Historical slavery,onderhouden,0.7587,17
Historical slavery,inkomsten,0.7583,30
Historical slavery,werkten,0.7579,42
Historical slavery,hoewel,0.7573,98
Historical slavery,ontvangst,0.7572,5
Historical slavery,kapitalisme,0.7558,7
Historical slavery,ingezet,0.7558,53
Historical slavery,gevangenen,0.7557,18
Historical slavery,genot,0.7552,9
Historical slavery,verbond,0.7548,8
Historical slavery,aanvoer,0.7539,20
Historical slavery,geheugen,0.7534,8
Historical slavery,schrift,0.753,9
Historical slavery,vloek,0.753,13
Historical slavery,georganiseerde,0.7529,6
Historical slavery,opstand,0.7527,64
Historical slavery,omgerekend,0.7527,7
Historical slavery,schaduw,0.7521,5
Historical slavery,kapitaal,0.7517,44
Historical slavery,slavenarbeid,0.7515,18
Historical slavery,huishouden,0.7513,15
Historical slavery,tegemoetkoming,0.7511,30
Historical slavery,bewind,0.7502,30
Historical slavery,kralen,0.7501,6
Historical slavery,begrip,0.7499,50
Historical slavery,noten,0.7498,51
Historical slavery,berouw,0.7497,10
Historical slavery,verbouwd,0.7496,12
Historical slavery,omgang,0.7492,28
Historical slavery,neger,0.749,27
Historical slavery,vergezeld,0.7488,7
Historical slavery,meegenomen,0.7483,33
Historical slavery,vervullen,0.748,11
Historical slavery,wrede,0.7477,8
Historical slavery,offer,0.747,6
Historical slavery,opheffing,0.747,33
Historical slavery,prak,0.7469,6
Historical slavery,verbeeld,0.7468,7
Historical slavery,academic,0.7461,12
Historical slavery,schulden,0.7456,14
Historical slavery,arbeidskrachten,0.7451,7
Historical slavery,aangezien,0.7449,49
Historical slavery,sla,0.7445,16
Historical slavery,privilege,0.7445,9
Historical slavery,slavenmarkten,0.7442,6
Historical slavery,spiegel,0.7441,8
Historical slavery,bestudeerd,0.7432,10
Historical slavery,veroverd,0.7426,8
Historical slavery,toevoeging,0.7423,5
Historical slavery,grondslag,0.7422,26
Historical slavery,drang,0.7419,6
Historical slavery,luider,0.7418,5
Historical slavery,paradox,0.7416,11
Historical slavery,noot,0.7407,9
Historical slavery,mensch,0.7406,12
Historical slavery,wederzijds,0.74,5
Historical slavery,geciteerd,0.7396,6
Historical slavery,gruwel,0.7385,7
Historical slavery,knaap,0.7383,7
Historical slavery,que,0.7375,9
Historical slavery,privileges,0.7374,10
Historical slavery,bevrijding,0.7363,5
Historical slavery,misbruik,0.7362,16
Historical slavery,different,0.736,11
Historical slavery,held,0.7358,12
Historical slavery,page,0.7357,13
Historical slavery,list,0.7345,9
Historical slavery,illegaal,0.7344,5
Historical slavery,slavenmakers,0.7328,7
Historical slavery,oorlog,0.7306,68
Historical slavery,slavernijgeschiedenis,0.7305,33
Historical slavery,armoede,0.7278,19
Historical slavery,ivoor,0.7271,7
Historical slavery,contractarbeid,0.7235,12
Historical slavery,slavernijverleden,0.7234,250
Historical slavery,arbeider,0.72,6
Historical slavery,slavenopstand,0.7191,24
Historical slavery,slavengeld,0.7175,6
Historical slavery,slaafge,0.7159,21
Historical slavery,welvaart,0.713,24
Historical slavery,ondergang,0.7122,6
Historical slavery,verworven,0.7086,9
Historical slavery,vernietiging,0.7068,6
Historical slavery,slavernijgerelateerde,0.7068,6
Historical slavery,slavenregisters,0.7068,10
Historical slavery,erfenis,0.7054,55
Historical slavery,slaafgemaakten,0.6918,295
Historical slavery,slaafgemaakte,0.6913,130
Historical slavery,slaafgemaakt,0.6253,13
Historical slavery,plantage-eigenaar,0.6066,10
Historical slavery,geproduceerde,0.5924,10
Historical slavery,bezaten,0.59,15
Historical slavery,plantage-eigenaren,0.5797,23
Historical slavery,gemaakten,0.5673,114
Historical slavery,slavenhandelaren,0.5614,15
Historical slavery,slavenhandelaar,0.5576,11
Historical slavery,slavenhalers,0.5576,9
Historical slavery,bezittingen,0.5571,24
Historical slavery,vrijgekocht,0.5565,6
Historical slavery,gemaakte,0.5556,58
Historical slavery,slaaf-,0.5538,12
Historical slavery,koopmans-,0.5514,5
Historical slavery,vormgegeven,0.5503,7
Colonialism,kolonie,1.0,150
Colonialism,koloniaal,1.0,91
Colonialism,voc,1.0,202
Colonialism,wic,1.0,129
Colonialism,economisch,1.0,38
Colonialism,exploitatie,1.0,18
Colonialism,contractarbeid,1.0,12
Colonialism,kolonien,0.9059,30
Colonialism,voc-,0.8849,19
Colonialism,kolonia,0.8772,9
Colonialism,economische,0.8748,104
Colonialism,antikoloniale,0.8632,6
Colonialism,colonialism,0.8605,23
Colonialism,colonial,0.8381,54
Colonialism,postkoloniaal,0.8338,9
Colonialism,kolonialisme,0.8318,162
Colonialism,uitbuiting,0.8315,22
Colonialism,handels,0.8244,10
Colonialism,uitbreiding,0.8053,11
Colonialism,slavenarbeid,0.8035,18
Colonialism,contractarbeiders,0.8019,15
Colonialism,capaciteit,0.8017,6
Colonialism,postkoloniale,0.8013,18
Colonialism,industrie,0.7989,12
Colonialism,expansie,0.7964,27
Colonialism,oprichting,0.7946,57
Colonialism,luc,0.7907,8
Colonialism,admiraal,0.7889,7
Colonialism,ambtelijke,0.7886,6
Colonialism,handelswaar,0.7879,15
Colonialism,commerciële,0.7875,8
Colonialism,wim,0.7853,31
Colonialism,bestuurlijk,0.7853,13
Colonialism,inkomsten,0.7848,30
Colonialism,investeringen,0.7842,36
Colonialism,koloniën,0.7841,273
Colonialism,georganiseerde,0.7837,6
Colonialism,ontwikkeling,0.7825,106
Colonialism,dienstverlening,0.7824,32
Colonialism,zekere,0.7797,21
Colonialism,particuliere,0.7795,34
Colonialism,republiek,0.7788,142
Colonialism,rendabel,0.7755,7
Colonialism,since,0.7727,8
Colonialism,geografisch,0.7716,5
Colonialism,gouverneur,0.7708,44
Colonialism,ingang,0.7696,6
Colonialism,behouden,0.7695,37
Colonialism,ec,0.7687,5
Colonialism,overnemen,0.7685,8
Colonialism,obligaties,0.7683,12
Colonialism,netwerk,0.767,25
Colonialism,nrc,0.7658,13
Colonialism,koloniale,0.7655,446
Colonialism,aanleg,0.765,10
Colonialism,grondslag,0.7634,26
Colonialism,onderneming,0.7628,14
Colonialism,reguliere,0.762,8
Colonialism,beschouwing,0.7617,9
Colonialism,indicatie,0.7609,7
Colonialism,bijbehorende,0.7605,8
Colonialism,stadhouder,0.7597,26
Colonialism,landbouwkolonie,0.7596,10
Colonialism,instantie,0.758,20
Colonialism,kolonisator,0.7578,12
Colonialism,organisatie,0.7574,99
Colonialism,future,0.7572,9
Colonialism,infrastructuur,0.7571,18
Colonialism,gewest,0.7569,6
Colonialism,kaart,0.7563,34
Colonialism,onderliggende,0.7563,5
Colonialism,variant,0.7562,11
Colonialism,overname,0.7562,5
Colonialism,nederzetting,0.7561,7
Colonialism,overkoepelende,0.756,10
Colonialism,samenhang,0.7559,10
Colonialism,besluitvorming,0.7559,19
Colonialism,directe,0.7556,50
Colonialism,feitelijk,0.7554,9
Colonialism,rijks,0.755,8
Colonialism,archeologie,0.7544,7
Colonialism,landbouw,0.7542,22
Colonialism,voortzetting,0.7536,10
Colonialism,goederen,0.7533,35
Colonialism,financiering,0.7531,17
Colonialism,reparatie,0.7518,5
Colonialism,geuit,0.7518,10
Colonialism,zodanig,0.7517,15
Colonialism,uitvoerig,0.7516,6
Colonialism,voortgang,0.7516,8
Colonialism,uitgaan,0.7515,8
Colonialism,welvaart,0.7509,24
Colonialism,force,0.7501,9
Colonialism,ontwikkelingen,0.7497,48
Colonialism,veen,0.7482,5
Colonialism,provincie,0.7476,29
Colonialism,generaal,0.7474,28
Colonialism,tropen,0.7464,8
Colonialism,now,0.7455,7
Colonialism,katoen,0.7438,9
Colonialism,schulden,0.7432,14
Colonialism,financieel,0.7416,32
Colonialism,verhandeld,0.741,19
Colonialism,handels-,0.7405,6
Colonialism,economie,0.7401,54
Colonialism,slaven,0.7376,206
Colonialism,vloot,0.7373,6
Colonialism,relatief,0.7371,39
Colonialism,handelsgoederen,0.737,6
Colonialism,kolonisatie,0.7369,22
Colonialism,aandelen,0.7368,25
Colonialism,postcolonial,0.7364,10
Colonialism,textiel,0.7354,9
Colonialism,bevoegd,0.7346,8
Colonialism,lage,0.732,26
