filename,chunk_id,raw_start_word,raw_end_word,raw_chunk_len_words,raw_text,text_for_match,Reg_topic_all,Reg_topic_thresholded,Reg_best_topic,Reg_best_score,Reg_topic_Scores_json,Reg_matched_summary,Reg_topic_match_counts,Reg_uncategorised,Reg_uncategorised_reason
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.1.txt,ad915cfa:00000,0,3,3,STAAT EN SLAVERNIJ,stat slavernij,"Colonial Exploitation, Slavery & Economic Inequality",,Uncategorised,0.830384,"{""Colonial Exploitation, Slavery & Economic Inequality"": 0.16961584492335274}","Colonial Exploitation, Slavery & Economic Inequality: slavernij","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=1(w=2.00); cov=0.67; prox=0.00; grp=1(w=2.00); score=0.170",True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.10.txt,e57e05c2:00000,0,86,86,"— 10 — Rose Mary Allen (1950) is cultureel antropoloog. Ze is buitengewoon hoogleraar Cultuur, gemeenschap en geschiedenis aan de Universiteit van Curaçao. Esther Captain (1969) is historicus en als senior onderzoeker werkzaam bij het Koninklijk Instituut voor Taal-, Land- en Volkenkunde (kitlv) in Leiden. Haar expertise is laatkoloniaal Indonesië en de ­Indonesische revolutie, postkoloniaal Nederland in relatie tot de Nederlands-Caribische eilanden, ­Indonesië en Suriname. Matthias van Rossum (1984) is historicus en als senior onderzoeker verbonden aan het Internationaal Instituut voor Sociale Geschiedenis (iisg) in Amsterdam.",ros mary all culturel antropolog buitengewon hooglerar cultur gemeenschap geschiedenis universiteit curaçao esther captain historicus senior onderzoeker werkzam konink institut tal land volkenkund kitlv leid expertis laatkoloniaal indonesie indonesisch revolutie postkoloniaal nederland relatie nederland caribisch eiland indonesie surinam matthias rossum historicus senior onderzoeker verbond international institut social geschiedenis iisg amsterdam,Modern & Everyday Racism|Reparations and Remembrance,,Uncategorised,0.936531,"{""Reparations and Remembrance"": 0.008694194103432229, ""Modern & Everyday Racism"": 0.06346861117899945}",Modern & Everyday Racism: culturel; Reparations and Remembrance: geschiedenis,Modern & Everyday Racism: kw=1(w=1.50); hits=1(w=1.50); cov=0.03; prox=0.00; grp=1(w=1.50); score=0.063; Reparations and Remembrance: kw=1(w=0.30); hits=2(w=0.60); cov=0.07; prox=0.22; grp=1(w=0.30); score=0.009,True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.10.txt,e57e05c2:00001,23,117,94,"Esther Captain (1969) is historicus en als senior onderzoeker werkzaam bij het Koninklijk Instituut voor Taal-, Land- en Volkenkunde (kitlv) in Leiden. Haar expertise is laatkoloniaal Indonesië en de ­Indonesische revolutie, postkoloniaal Nederland in relatie tot de Nederlands-Caribische eilanden, ­Indonesië en Suriname. Matthias van Rossum (1984) is historicus en als senior onderzoeker verbonden aan het Internationaal Instituut voor Sociale Geschiedenis (iisg) in Amsterdam. Hij is gespecialiseerd in de geschiedenis van slavernij in Azië en de verbindingen met het Atlantische slavernijverleden. Urwin Vyent (1958) is directeur van het Nationaal ­Instituut Nederlands slavernijverleden en erfenis ­(NiNsee).",esther captain historicus senior onderzoeker werkzam konink institut tal land volkenkund kitlv leid expertis laatkoloniaal indonesie indonesisch revolutie postkoloniaal nederland relatie nederland caribisch eiland indonesie surinam matthias rossum historicus senior onderzoeker verbond international institut social geschiedenis iisg amsterdam gespecialiseerd geschiedenis slavernij azie verbind atlantisch slavernijverled urwin vyent directeur national institut nederland slavernijverled erfenis ninsee,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance",,Uncategorised,0.847245,"{""Reparations and Remembrance"": 0.15275541570149107, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.14288008340863181}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Reparations and Remembrance: geschiedenis, slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=1(w=2.00); cov=0.03; prox=0.00; grp=1(w=2.00); score=0.143; Reparations and Remembrance: kw=2(w=1.80); hits=4(w=3.60); cov=0.13; prox=0.90; grp=1(w=1.50); score=0.153",True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.10.txt,e57e05c2:00002,65,134,69,Matthias van Rossum (1984) is historicus en als senior onderzoeker verbonden aan het Internationaal Instituut voor Sociale Geschiedenis (iisg) in Amsterdam. Hij is gespecialiseerd in de geschiedenis van slavernij in Azië en de verbindingen met het Atlantische slavernijverleden. Urwin Vyent (1958) is directeur van het Nationaal ­Instituut Nederlands slavernijverleden en erfenis ­(NiNsee). Naast zijn werk voor NiNsee houdt hij zich bezig met de ontwikkeling van een slavernijmuseum in Amsterdam.,matthias rossum historicus senior onderzoeker verbond international institut social geschiedenis iisg amsterdam gespecialiseerd geschiedenis slavernij azie verbind atlantisch slavernijverled urwin vyent directeur national institut nederland slavernijverled erfenis ninsee werk ninsee houdt bezig ontwikkel slavernijmuseum amsterdam,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance",,Uncategorised,0.845367,"{""Reparations and Remembrance"": 0.15463320651913076, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.143352781733199}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Reparations and Remembrance: geschiedenis, slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=1(w=2.00); cov=0.04; prox=0.00; grp=1(w=2.00); score=0.143; Reparations and Remembrance: kw=2(w=1.80); hits=4(w=3.60); cov=0.20; prox=0.84; grp=1(w=1.50); score=0.155",True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.10.txt,e57e05c2:00003,103,134,31,Urwin Vyent (1958) is directeur van het Nationaal ­Instituut Nederlands slavernijverleden en erfenis ­(NiNsee). Naast zijn werk voor NiNsee houdt hij zich bezig met de ontwikkeling van een slavernijmuseum in Amsterdam.,urwin vyent directeur national institut nederland slavernijverled erfenis ninsee werk ninsee houdt bezig ontwikkel slavernijmuseum amsterdam,Reparations and Remembrance,,Uncategorised,0.93449,"{""Reparations and Remembrance"": 0.06550967693754321}",Reparations and Remembrance: slavernijverled,Reparations and Remembrance: kw=1(w=1.50); hits=1(w=1.50); cov=0.13; prox=0.00; grp=1(w=1.50); score=0.066,True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.100.txt,2b4f1cb6:00000,0,162,162,"— 100 — — STAAT EN SLAVERNIJ — overgang naar nieuwe termen die zich richten op het claimen van rechten ook in Nederland zichtbaarder werd in de publieke ruimte. Daarnaast werd de focus op een ander soort narratief gelegd. In de woorden van cultureel antropoloog Francio Guadeloupe: in plaats van trauma, slachtofferschap en slavernij (het ‘cultureel traumanarratief’) wordt – zoals in het Caribisch gebied al gebruikelijk was – de strijd voor vrijheid en gelijkheid en tegen een systeem van onderdrukking centraal gesteld.12 ◼◼ ◼◼ Erkenning slavernijverleden: het familieperspectief In de afgelopen decennia hebben belangenorganisaties en activisten opge­ roepen om meer plek te maken voor dialoog rondom het slavernijverleden en te streven naar gelijkwaardig burgerschap. De persoonlijke ervaringen van zwarte mensen in Nederland zijn de leidraad geweest in de oproep tot deze manieren van transformative justice. Om het belang hiervan beter te begrijpen is het belangrijk om stil te staan bij de ervaringen van nazaten in Nederland: wat leeft er binnen families zelf?",stat slavernij overgang nieuw term richt claim recht nederland zichtbaarder publiek ruimt daarnaast focus ander soort narratief gelegd woord culturel antropolog francio guadeloup plat trauma slachtofferschap slavernij culturel traumanarratief caribisch gebied gebruik strijd vrijheid gelijk system onderdruk central gesteld erkenn slavernijverled familieperspectief afgelop decennia belangenorganisaties activist opg roep plek mak dialog rondom slavernijverled strev gelijkwaard burgerschap person ervar zwart mens nederland leidrad oproep manier transformativ justic belang hiervan beter begrijp belangrijk stil stan ervar nazat nederland leeft families,"Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism|Reparations and Remembrance",Reparations and Remembrance,Reparations and Remembrance,0.998974,"{""Reparations and Remembrance"": 0.998973706000309, ""Modern & Everyday Racism"": 0.09935358113416444, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.23406145442727014}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Modern & Everyday Racism: culturel; Reparations and Remembrance: claim, erkenn, nazat, publiek ruimt, slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=2(w=4.00); cov=0.04; prox=0.69; grp=1(w=2.00); score=0.234; Modern & Everyday Racism: kw=1(w=1.50); hits=2(w=3.00); cov=0.04; prox=0.88; grp=1(w=1.50); score=0.099; Reparations and Remembrance: kw=5(w=7.60); hits=7(w=10.60); cov=0.11; prox=0.85; grp=2(w=3.30); score=0.999",False,
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.100.txt,2b4f1cb6:00001,39,182,143,"In de woorden van cultureel antropoloog Francio Guadeloupe: in plaats van trauma, slachtofferschap en slavernij (het ‘cultureel traumanarratief’) wordt – zoals in het Caribisch gebied al gebruikelijk was – de strijd voor vrijheid en gelijkheid en tegen een systeem van onderdrukking centraal gesteld.12 ◼◼ ◼◼ Erkenning slavernijverleden: het familieperspectief In de afgelopen decennia hebben belangenorganisaties en activisten opge­ roepen om meer plek te maken voor dialoog rondom het slavernijverleden en te streven naar gelijkwaardig burgerschap. De persoonlijke ervaringen van zwarte mensen in Nederland zijn de leidraad geweest in de oproep tot deze manieren van transformative justice. Om het belang hiervan beter te begrijpen is het belangrijk om stil te staan bij de ervaringen van nazaten in Nederland: wat leeft er binnen families zelf? Wat speelt er privé en wordt niet publiek gemaakt? Links een sjabloon ‘Zwarte Piet is Racisme’, gemaakt door Quincy Gario.",woord culturel antropolog francio guadeloup plat trauma slachtofferschap slavernij culturel traumanarratief caribisch gebied gebruik strijd vrijheid gelijk system onderdruk central gesteld erkenn slavernijverled familieperspectief afgelop decennia belangenorganisaties activist opg roep plek mak dialog rondom slavernijverled strev gelijkwaard burgerschap person ervar zwart mens nederland leidrad oproep manier transformativ justic belang hiervan beter begrijp belangrijk stil stan ervar nazat nederland leeft families speelt priv publiek gemaakt link sjablon zwart piet racism gemaakt quincy gario,"Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism|Reparations and Remembrance",Reparations and Remembrance,Reparations and Remembrance,0.969909,"{""Reparations and Remembrance"": 0.9699085634315047, ""Modern & Everyday Racism"": 0.8331060176938726, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.14273000584920506}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Modern & Everyday Racism: culturel, racism; Reparations and Remembrance: erkenn, nazat, slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=1(w=2.00); cov=0.02; prox=0.00; grp=1(w=2.00); score=0.143; Modern & Everyday Racism: kw=2(w=3.40); hits=4(w=6.40); cov=0.05; prox=0.69; grp=2(w=3.40); score=0.833; Reparations and Remembrance: kw=3(w=4.90); hits=5(w=7.90); cov=0.09; prox=0.88; grp=2(w=3.30); score=0.970",False,
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.100.txt,2b4f1cb6:00002,135,200,65,"Om het belang hiervan beter te begrijpen is het belangrijk om stil te staan bij de ervaringen van nazaten in Nederland: wat leeft er binnen families zelf? Wat speelt er privé en wordt niet publiek gemaakt? Links een sjabloon ‘Zwarte Piet is Racisme’, gemaakt door Quincy Gario. Rechts een foto van het protest ‘Zwarte Piet is Zwart Verdriet’ in de Bijlmer, Amsterdam eind jaren negentig.",belang hiervan beter begrijp belangrijk stil stan ervar nazat nederland leeft families speelt priv publiek gemaakt link sjablon zwart piet racism gemaakt quincy gario recht foto protest zwart piet zwart verdriet bijlmer amsterdam eind jar negent,Modern & Everyday Racism|Reparations and Remembrance,,Uncategorised,0.660118,"{""Reparations and Remembrance"": 0.30037497821514525, ""Modern & Everyday Racism"": 0.33988176672782605}",Modern & Everyday Racism: racism; Reparations and Remembrance: nazat,Modern & Everyday Racism: kw=1(w=1.90); hits=2(w=3.40); cov=0.04; prox=1.00; grp=2(w=3.40); score=0.340; Reparations and Remembrance: kw=1(w=1.80); hits=2(w=3.30); cov=0.03; prox=1.00; grp=2(w=3.30); score=0.300,True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.100.txt,2b4f1cb6:00003,171,200,29,"Links een sjabloon ‘Zwarte Piet is Racisme’, gemaakt door Quincy Gario. Rechts een foto van het protest ‘Zwarte Piet is Zwart Verdriet’ in de Bijlmer, Amsterdam eind jaren negentig.",link sjablon zwart piet racism gemaakt quincy gario recht foto protest zwart piet zwart verdriet bijlmer amsterdam eind jar negent,Modern & Everyday Racism,,Uncategorised,0.658187,"{""Modern & Everyday Racism"": 0.34181287045784414}",Modern & Everyday Racism: racism,Modern & Everyday Racism: kw=1(w=1.90); hits=2(w=3.40); cov=0.06; prox=1.00; grp=2(w=3.40); score=0.342,True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.101.txt,8ef5b622:00000,0,118,118,"— 101 — — ACTUELE VRAAGSTUKKEN — De nasleep van de koloniale hiërarchieën heeft ook binnen verschillende gemeenschappen van nazaten van slavernij een koloniale mindset achter­ gelaten, die tot racisme en discriminatie binnen de groepen zelf leidt. Naast extern racisme is er dus ook sprake van intern racisme tussen en binnen de gemeenschappen en zelfs binnen families. Om te voldoen aan de witte westerse norm worden haren bijvoorbeeld gestraight en wordt de huid gebleekt en wordt de afkomst ontkend door de taal van de ouders niet te spreken of het verleden te verzwijgen. Dat kan resulteren in een gevoel van ontheemd-zijn of andere interne conflicten. Een onderdeel van dit interne racisme is het lange zwijgen over het slavernij­verleden.",actuel vraagstuk naslep kolonial hierarchieen verschill gemeenschapp nazat slavernij kolonial mindset gelat racism discriminatie groep leidt extern racism sprak intern racism gemeenschapp zelf families voldoen wit wester norm har bijvoorbeeld gestraight huid gebleekt afkomst ontkend tal ouder sprek verled verzwijg resulter gevoel ontheemd intern conflict onderdel intern racism lang zwijg slavernij verled,"Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism|Reparations and Remembrance",Modern & Everyday Racism,Modern & Everyday Racism,0.999859,"{""Reparations and Remembrance"": 0.2996444054598076, ""Modern & Everyday Racism"": 0.9998592923886953, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.22778726395662197}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Modern & Everyday Racism: (?<!\w)discriminatie(?:\W+\w+){0,11}?\W+racism(?!\w), (?<!\w)racism(?:\W+\w+){0,11}?\W+discriminatie(?!\w), discriminatie, racism; Reparations and Remembrance: nazat","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=2(w=4.00); cov=0.06; prox=0.22; grp=1(w=2.00); score=0.228; Modern & Everyday Racism: kw=4(w=6.50); hits=11(w=18.20); cov=0.17; prox=0.93; grp=3(w=5.15); score=1.000; Reparations and Remembrance: kw=1(w=1.80); hits=2(w=3.30); cov=0.02; prox=1.00; grp=2(w=3.30); score=0.300",False,
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.101.txt,8ef5b622:00001,57,166,109,"Om te voldoen aan de witte westerse norm worden haren bijvoorbeeld gestraight en wordt de huid gebleekt en wordt de afkomst ontkend door de taal van de ouders niet te spreken of het verleden te verzwijgen. Dat kan resulteren in een gevoel van ontheemd-zijn of andere interne conflicten. Een onderdeel van dit interne racisme is het lange zwijgen over het slavernij­verleden. In families met wortels in de Nederlandse koloniën werd in eerste instantie weinig over het verleden gesproken. Geïnternali­ seerde schaamte over het koloniale verleden heeft een zwijgcultuur in de hand gewerkt, zoals Marcel van Kanten, auteur van het boek Wortelzucht (2020) vertelt: ‘Ik kom uit een Surinaamse onderwijzersfamilie.",voldoen wit wester norm har bijvoorbeeld gestraight huid gebleekt afkomst ontkend tal ouder sprek verled verzwijg resulter gevoel ontheemd intern conflict onderdel intern racism lang zwijg slavernij verled families wortel nederland kolonien eerst instantie verled gesprok geinternali seerd schaamt kolonial verled zwijgcultur hand gewerkt marcel kant auteur boek wortelzucht vertelt kom surinam onderwijzersfamilie,"Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism",,Uncategorised,0.661061,"{""Modern & Everyday Racism"": 0.33893850553169075, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.14307789637708423}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Modern & Everyday Racism: racism","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=1(w=2.00); cov=0.03; prox=0.00; grp=1(w=2.00); score=0.143; Modern & Everyday Racism: kw=1(w=1.90); hits=2(w=3.40); cov=0.02; prox=1.00; grp=2(w=3.40); score=0.339",True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.101.txt,8ef5b622:00002,105,183,78,"Een onderdeel van dit interne racisme is het lange zwijgen over het slavernij­verleden. In families met wortels in de Nederlandse koloniën werd in eerste instantie weinig over het verleden gesproken. Geïnternali­ seerde schaamte over het koloniale verleden heeft een zwijgcultuur in de hand gewerkt, zoals Marcel van Kanten, auteur van het boek Wortelzucht (2020) vertelt: ‘Ik kom uit een Surinaamse onderwijzersfamilie. Daarin werd vroeger niet gesproken over slavernij. Pas later ben ik dit “Surinaam­ se zwijgen” gaan begrijpen.",onderdel intern racism lang zwijg slavernij verled families wortel nederland kolonien eerst instantie verled gesprok geinternali seerd schaamt kolonial verled zwijgcultur hand gewerkt marcel kant auteur boek wortelzucht vertelt kom surinam onderwijzersfamilie daarin vroeger gesprok slavernij pas later surinam se zwijg gan begrijp,"Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism",,Uncategorised,0.660713,"{""Modern & Everyday Racism"": 0.3392870673833748, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.22885564760184776}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Modern & Everyday Racism: racism","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=2(w=4.00); cov=0.07; prox=0.25; grp=1(w=2.00); score=0.229; Modern & Everyday Racism: kw=1(w=1.90); hits=2(w=3.40); cov=0.03; prox=1.00; grp=2(w=3.40); score=0.339",True,"max≤0.75,sum≤0.85"
