keyword,count
slavernij,3682
slaafgemaakt,1928
racism,1799
geschiedenis,1376
slavernijverled,1182
voc,1128
slavenhandel,1027
handel,1018
emancipatie,836
discriminatie,828
culturel,819
excuses,682
11}?\W+racism(?!\w),590
wic,588
erkenn,568
(?<!\w)racism(?:\W+\w+){0,546
plantag,528
kolonie,524
plantages,514
verhal,477
ongelijk,442
onderwijs,423
(?<!\w)discriminatie(?:\W+\w+){0,417
arbeid,408
archief,384
11}?\W+discriminatie(?!\w),340
etnisch,318
opstand,315
structurel,300
koloniaal,296
nazat,293
bezit,291
herdenk,252
uitsluit,248
juridisch,219
staatstoezicht,218
museum,214
institutionel racism,210
suiker,207
adviescolleg,202
bronn,196
(?<!\w)structurel(?:\W+\w+){0,190
monument,181
meester,169
(?<!\w)slavernij(?:\W+\w+){0,167
11}?\W+culturel(?!\w),163
11}?\W+ongelijk(?!\w),162
herinner,160
keti koti,153
verkop,152
11}?\W+slavernij(?!\w),150
wetgev,150
kapital,148
eigendom,142
(?<!\w)culturel(?:\W+\w+){0,140
(?<!\w)emancipatie(?:\W+\w+){0,140
winst,140
vooroordel,140
inclusie,136
11}?\W+structurel(?!\w),129
migrant,116
compensatie,114
vlucht,109
tentoonstell,108
dwangarbeid,105
oral,96
(?<!\w)handel(?:\W+\w+){0,95
erfgoed,92
11}?\W+emancipatie(?!\w),87
beeldvorm,87
west indisch compagnie,86
(?<!\w)ongelijk(?:\W+\w+){0,85
11}?\W+geschiedenis(?!\w),81
(?<!\w)racism(?:e)?(?:\W+\w+){0,78
12}?\W+(arbeidsmarkt|woningmarkt|onderwijs|zorg|toezicht)(?!\w),78
(?<!\w)etnisch(?:\W+\w+){0,77
(?<!\w)kolonie(?:\W+\w+){0,76
11}?\W+kolonie(?!\w),76
opbrengst,74
dialooggroep,74
schadevergoed,72
11}?\W+etnisch(?!\w),71
(?<!\w)onderwijs(?:\W+\w+){0,69
integratie,68
uitbuit,67
(?<!\w)oral(?:\W+\w+){0,66
stereotyper,65
(?<!\w)vooroordel(?:\W+\w+){0,61
11}?\W+vooroordel(?!\w),60
diaspora,59
12}?\W+(slavernijverled|koloniaal verleden)(?!\w),58
straff,58
herstelbetal,57
reparation,56
apart,56
migratie,55
11}?\W+slaafgemaakt(?!\w),54
curriculum,53
(?<!\w)geschiedenis(?:\W+\w+){0,51
meerstemm,49
etnisch profiler,48
ongelijk behandel,45
stereotyp,45
tabak,45
12}?\W+(slaaf|slaven|slavenhandel)(?!\w),44
11}?\W+handel(?!\w),43
11}?\W+suiker(?!\w),42
monopolie,42
(?<!\w)slavernijverled(?:\W+\w+){0,41
11}?\W+inclusie(?!\w),40
(?<!\w)inclusie(?:\W+\w+){0,39
antiracism,38
segregatie,38
(?<!\w)bronn(?:\W+\w+){0,38
educatie,37
11}?\W+bronn(?!\w),37
(?<!\w)slaafgemaakt(?:\W+\w+){0,37
toeslagenaffair,35
imperialism,35
(?<!\w)suiker(?:\W+\w+){0,35
claim,35
allochton,35
katoen,34
11}?\W+slavernijverled(?!\w),34
witheid,33
publiek ruimt,32
olie,32
erk,32
systemisch,31
11}?\W+eigendom(?!\w),30
rijkdom,30
11}?\W+verhal(?!\w),29
nhm,29
politiegeweld,28
achterstell,27
11}?\W+uitsluit(?!\w),26
11}?\W+oral(?!\w),25
(?<!\w)arbeid(?:\W+\w+){0,23
zwep,23
(?<!\w)verkop(?:\W+\w+){0,22
(?<!\w)archief(?:\W+\w+){0,22
11}?\W+archief(?!\w),22
rechtsherstel,21
export,21
(?<!\w)eigendom(?:\W+\w+){0,21
11}?\W+plantag(?!\w),21
achtergesteld,19
reparatie,18
autochton,18
manumissie,18
(?<!\w)uitsluit(?:\W+\w+){0,17
(?<!\w)herinner(?:\W+\w+){0,16
11}?\W+verkop(?!\w),16
herinneringscultur,15
11}?\W+politiegeweld(?!\w),15
11}?\W+koloniaal(?!\w),15
11}?\W+erfgoed(?!\w),15
(?<!\w)stereotyper(?:\W+\w+){0,14
(?<!\w)erfgoed(?:\W+\w+){0,14
11}?\W+nazat(?!\w),13
gelijk kans,13
11}?\W+herinner(?!\w),13
12}?\W+(gedwongen|dwangarbeid|slaaf)(?!\w),13
(?<!\w)tentoonstell(?:\W+\w+){0,13
11}?\W+stereotyper(?!\w),13
(?<!\w)koloniaal(?:\W+\w+){0,12
slavernijherdenk,12
(?<!\w)nazat(?:\W+\w+){0,12
11}?\W+kapital(?!\w),12
microagressie,11
12}?\W+(geweld|profileren|bias)(?!\w),11
(?<!\w)politie(?:\W+\w+){0,11
ketting,11
11}?\W+winst(?!\w),11
(?<!\w)opbrengst(?:\W+\w+){0,10
(?<!\w)winst(?:\W+\w+){0,10
(?<!\w)plantag(?:\W+\w+){0,10
11}?\W+onderwijs(?!\w),10
(?<!\w)juridisch(?:\W+\w+){0,9
(?<!\w)migrant(?:\W+\w+){0,9
11}?\W+juridisch(?!\w),9
12}?\W+(slaaf|slaven|staatstoezicht|manumissie)(?!\w),9
(?<!\w)excuses(?:\W+\w+){0,8
11}?\W+excuses(?!\w),8
11}?\W+herdenk(?!\w),7
11}?\W+migrant(?!\w),7
11}?\W+arbeid(?!\w),6
11}?\W+staatstoezicht(?!\w),6
11}?\W+diaspora(?!\w),5
(?<!\w)herdenk(?:\W+\w+){0,5
11}?\W+tentoonstell(?!\w),5
(?<!\w)microagressie(?:\W+\w+){0,5
11}?\W+reparation(?!\w),5
symbolisch datum,5
(?<!\w)verhal(?:\W+\w+){0,5
(?<!\w)kapital(?:\W+\w+){0,4
11}?\W+opstand(?!\w),4
11}?\W+wic(?!\w),4
12}?\W+(herdenking|excuses|erkenning|adviescollege)(?!\w),4
11}?\W+opbrengst(?!\w),3
11}?\W+dialooggroep(?!\w),3
(?<!\w)katoen(?:\W+\w+){0,3
(?<!\w)wic(?:\W+\w+){0,3
gedenktek,3
11}?\W+microagressie(?!\w),3
(?<!\w)politiegeweld(?:\W+\w+){0,3
(?<!\w)meester(?:\W+\w+){0,3
11}?\W+meester(?!\w),3
