topic,keyword,count
"Colonial Exploitation, Slavery & Economic Inequality",slavernij,3682
"Colonial Exploitation, Slavery & Economic Inequality",slaafgemaakt,1928
"Colonial Exploitation, Slavery & Economic Inequality",voc,1128
"Colonial Exploitation, Slavery & Economic Inequality",slavenhandel,1027
"Colonial Exploitation, Slavery & Economic Inequality",handel,1018
"Colonial Exploitation, Slavery & Economic Inequality",wic,588
"Colonial Exploitation, Slavery & Economic Inequality",plantag,528
"Colonial Exploitation, Slavery & Economic Inequality",kolonie,524
"Colonial Exploitation, Slavery & Economic Inequality",plantages,514
"Colonial Exploitation, Slavery & Economic Inequality",emancipatie,418
"Colonial Exploitation, Slavery & Economic Inequality",arbeid,408
"Colonial Exploitation, Slavery & Economic Inequality",opstand,315
"Colonial Exploitation, Slavery & Economic Inequality",koloniaal,296
"Colonial Exploitation, Slavery & Economic Inequality",bezit,291
"Colonial Exploitation, Slavery & Economic Inequality",ongelijk,221
"Colonial Exploitation, Slavery & Economic Inequality",staatstoezicht,218
"Colonial Exploitation, Slavery & Economic Inequality",suiker,207
"Colonial Exploitation, Slavery & Economic Inequality",meester,169
"Colonial Exploitation, Slavery & Economic Inequality",(?<!\w)slavernij(?:\W+\w+){0,167
"Colonial Exploitation, Slavery & Economic Inequality",verkop,152
"Colonial Exploitation, Slavery & Economic Inequality",11}?\W+slavernij(?!\w),150
"Colonial Exploitation, Slavery & Economic Inequality",kapital,148
"Colonial Exploitation, Slavery & Economic Inequality",eigendom,142
"Colonial Exploitation, Slavery & Economic Inequality",winst,140
"Colonial Exploitation, Slavery & Economic Inequality",(?<!\w)emancipatie(?:\W+\w+){0,111
"Colonial Exploitation, Slavery & Economic Inequality",vlucht,109
"Colonial Exploitation, Slavery & Economic Inequality",dwangarbeid,105
"Colonial Exploitation, Slavery & Economic Inequality",(?<!\w)handel(?:\W+\w+){0,95
"Colonial Exploitation, Slavery & Economic Inequality",west indisch compagnie,86
"Colonial Exploitation, Slavery & Economic Inequality",11}?\W+kolonie(?!\w),76
"Colonial Exploitation, Slavery & Economic Inequality",(?<!\w)kolonie(?:\W+\w+){0,76
"Colonial Exploitation, Slavery & Economic Inequality",opbrengst,74
"Colonial Exploitation, Slavery & Economic Inequality",11}?\W+emancipatie(?!\w),69
"Colonial Exploitation, Slavery & Economic Inequality",uitbuit,67
"Colonial Exploitation, Slavery & Economic Inequality",straff,58
"Colonial Exploitation, Slavery & Economic Inequality",11}?\W+slaafgemaakt(?!\w),54
"Colonial Exploitation, Slavery & Economic Inequality",tabak,45
"Colonial Exploitation, Slavery & Economic Inequality",12}?\W+(slaaf|slaven|slavenhandel)(?!\w),44
"Colonial Exploitation, Slavery & Economic Inequality",11}?\W+handel(?!\w),43
"Colonial Exploitation, Slavery & Economic Inequality",monopolie,42
"Colonial Exploitation, Slavery & Economic Inequality",11}?\W+suiker(?!\w),42
"Colonial Exploitation, Slavery & Economic Inequality",(?<!\w)slaafgemaakt(?:\W+\w+){0,37
"Colonial Exploitation, Slavery & Economic Inequality",11}?\W+ongelijk(?!\w),37
"Colonial Exploitation, Slavery & Economic Inequality",(?<!\w)suiker(?:\W+\w+){0,35
"Colonial Exploitation, Slavery & Economic Inequality",imperialism,35
"Colonial Exploitation, Slavery & Economic Inequality",katoen,34
"Colonial Exploitation, Slavery & Economic Inequality",olie,32
"Colonial Exploitation, Slavery & Economic Inequality",11}?\W+eigendom(?!\w),30
"Colonial Exploitation, Slavery & Economic Inequality",rijkdom,30
"Colonial Exploitation, Slavery & Economic Inequality",nhm,29
"Colonial Exploitation, Slavery & Economic Inequality",(?<!\w)arbeid(?:\W+\w+){0,23
"Colonial Exploitation, Slavery & Economic Inequality",zwep,23
"Colonial Exploitation, Slavery & Economic Inequality",(?<!\w)verkop(?:\W+\w+){0,22
"Colonial Exploitation, Slavery & Economic Inequality",(?<!\w)eigendom(?:\W+\w+){0,21
