filename,chunk_id,raw_start_word,raw_end_word,raw_chunk_len_words,raw_text,text_for_match,Reg_topic_all,Reg_topic_thresholded,Reg_best_topic,Reg_best_score,Reg_topic_Scores_json,Reg_matched_summary,Reg_topic_match_counts,Reg_uncategorised,Reg_uncategorised_reason
C:\Users\Home\policy-analysis\slaverytest\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_01.txt,f534549f:00000,0,41,41,"STAAT EN SLAVERNIJ STAAT& SLAVER NIJ Het Nederlandse koloniale slavernij­­ verleden en zijn doorwerkingen Onder redactie van Rose Mary Allen, Esther Captain, Matthias van Rossum, Urwin Vyent Met medewerking van Myrthe Kraaijenoord, Eva Thielen Athenaeum–Polak & Van Gennep | Amsterdam 2023",stat slavernij stat slaver nij nederland kolonial slavernij verled doorwerk redactie ros mary all esther captain matthias rossum urwin vyent medewerk myrth kraaijenoord eva thiel athenaeum polak gennep amsterdam,"Colonial Exploitation, Slavery & Economic Inequality",,Uncategorised,0.760391,"{""Colonial Exploitation, Slavery & Economic Inequality"": 0.23960932433075008}","Colonial Exploitation, Slavery & Economic Inequality: slavernij","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=2(w=4.00); cov=0.11; prox=0.79; grp=1(w=2.00); score=0.240",True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slaverytest\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_02.txt,4272931a:00000,0,277,277,"Dit boek is mogelijk gemaakt door een subsidie van het ministerie van Binnenlandse Zaken en Koninkrijksrelaties. Copyright © 2023 de respectievelijke auteurs / Athenaeum—Polak & Van Gennep, Weteringschans 259, 1017 xj Amsterdam De teksten van Kwame Nimako, Kate Ekama, Titas Chakraborty, Felicia Fricke en Filipa Ribeiro da Silva zijn vertaald door Mischa Hoyinck. Beeldredactie: Gaia Cerpac, Myrthe Kraaijenoord, Eva Thielen en Merve Tosun Boekverzorging studio frederik de wal isbn 978 90 253 1661 7 nur 320 / 680 www.uitgeverijathenaeum.nl www.staatenslavernij.nl Zenzy Blindeling ontwierp het logo op pagina 2. ‘Omdat in Staat en slavernij de wic en voc uitvoerig aan bod komen, heb ik het logo de vorm van een kompas gegeven. De vrouw kijkt naar het westen en de man naar het oosten; allebei naar gebieden waar de Nederlandse staat slavernij heeft bedreven. De kijk­richtingen – naar achteren en naar voren – staan voor het kijken naar het verleden en de toekomst. Het patroon in het midden is een samenkomst van de Afrikaanse wax prints die populair zijn in (West-)Afrika en zijn diaspora, en de Indonesische batikprints. Het golvende patroon is opnieuw een verwijzing naar de (gedwongen) verplaatsing over zee en het golvende water. Het is gebaseerd op de Javaanse Batik Parang, een S-vormig patroon dat onder andere staat voor kracht en door­ zettingsvermogen in moeilijke tijden.’ Inhoudsopgave Het koloniale slavernijverleden en doorwerkingen: inleiding – Rose Mary Allen, Esther Captain, Matthias van Rossum en Urwin Vyent Deel 1 Actuele vraagstukken 1. De Nederlandse wetenschap en overheid over het slavernijverleden en zijn doorwerkingen – Alex van Stipriaan 2. Een misdaad tegen de menselijkheid: Nederlandse lokale politici en burgemeesters – Nancy Jouwe Methode: Digital Humanities — Margo Groenewoud 3.",boek mogelijk gemaakt subsidie ministerie binnenland zak koninkrijksrelaties copyright respectiev auteur athenaeum polak gennep weteringschan xj amsterdam tekst kwam nimako kat ekama titas chakraborty felicia frick filipa ribeiro da silva vertaald mischa hoyinck beeldredactie gaia cerpac myrth kraaijenoord eva thiel merv tosun boekverzorg studio frederik wal isbn nur www uitgeverijathenaeum nl www staatenslavernij nl zenzy blindel ontwierp logo stat slavernij wic voc uitvoer bod kom logo vorm kompas gegev vrouw kijkt west man oost allebei gebied war nederland stat slavernij bedrev kijk richting achter vor stan kijk verled toekomst patron mid samenkomst afrikan wax print populair west afrika diaspora indonesisch batikprint golvend patron opnieuw verwijz gedwong verplaats zee golvend water gebaseerd javan batik parang vormig patron stat kracht zettingsvermog moeilijk tijd inhoudsopgav kolonial slavernijverled doorwerk ros mary all esther captain matthias rossum urwin vyent del actuel vraagstuk nederland wetenschap over slavernijverled doorwerk alex stipriaan misdad menselijk nederland lokal politici burgemeester nancy jouw method digital humanities margo groenewoud,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance",,"Colonial Exploitation, Slavery & Economic Inequality",0.87937,"{""Reparations and Remembrance"": 0.42225802954844355, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.8793701237389533}","Colonial Exploitation, Slavery & Economic Inequality: slavernij, voc, wic; Reparations and Remembrance: diaspora, slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: kw=3(w=4.50); hits=4(w=6.50); cov=0.03; prox=0.97; grp=1(w=2.00); score=0.879; Reparations and Remembrance: kw=2(w=3.00); hits=3(w=4.50); cov=0.05; prox=0.86; grp=1(w=1.50); score=0.422",False,
C:\Users\Home\policy-analysis\slaverytest\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_02.txt,4272931a:00001,177,401,224,"Het golvende patroon is opnieuw een verwijzing naar de (gedwongen) verplaatsing over zee en het golvende water. Het is gebaseerd op de Javaanse Batik Parang, een S-vormig patroon dat onder andere staat voor kracht en door­ zettingsvermogen in moeilijke tijden.’ Inhoudsopgave Het koloniale slavernijverleden en doorwerkingen: inleiding – Rose Mary Allen, Esther Captain, Matthias van Rossum en Urwin Vyent Deel 1 Actuele vraagstukken 1. De Nederlandse wetenschap en overheid over het slavernijverleden en zijn doorwerkingen – Alex van Stipriaan 2. Een misdaad tegen de menselijkheid: Nederlandse lokale politici en burgemeesters – Nancy Jouwe Methode: Digital Humanities — Margo Groenewoud 3. Het slavernijverleden in het Nederlandse onderwijs – Tom van der Geugten 4. Kolonialisme en slavernij in het onderwijs: de Nederlandse Cariben en Indonesië – Luc Alofs, Edu Dumasy, Kenny Meyers en Elviera Sandie Interviews: multiperspectiviteit in het publieke slavernijdebat — Myrthe Kraaijenoord en Eva Thielen 5. Herdenkingen en doorwerkingen van de slavernij in Nederland – Markus Balkenhol De Gouden Koets — Annemarie de Wildt 6. Een perspectief op herstel en transformative justice – Nicole Immler Methode: orale geschiedenis — Rose Mary Allen 11 25 39 50 53 65 72 83 92 95 106 Deel 2 Slavernij, afschaffingen en doorwerkingen 7. Het kronkelige pad van slavernij naar ‘vrije’ arbeid – Ellen Klinkers Methode: archeologie — Felicia Fricke 8. Afschaffing zonder emancipatie – Kwame Nimako 9.",golvend patron opnieuw verwijz gedwong verplaats zee golvend water gebaseerd javan batik parang vormig patron stat kracht zettingsvermog moeilijk tijd inhoudsopgav kolonial slavernijverled doorwerk ros mary all esther captain matthias rossum urwin vyent del actuel vraagstuk nederland wetenschap over slavernijverled doorwerk alex stipriaan misdad menselijk nederland lokal politici burgemeester nancy jouw method digital humanities margo groenewoud slavernijverled nederland onderwijs tom geugt kolonialism slavernij onderwijs nederland carib indonesie luc alof edu dumasy kenny meyer elviera sandie interview multiperspectiviteit publiek slavernijdebat myrth kraaijenoord eva thiel herdenk doorwerk slavernij nederland markus balkenhol goud koet annemarie wildt perspectief herstel transformativ justic nicol immler method oral geschiedenis ros mary all del slavernij afschaff doorwerk kronkel pad slavernij vrij arbeid ell klinker method archeologie felicia frick afschaff emancipatie kwam nimako,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance",Reparations and Remembrance,0.999814,"{""Reparations and Remembrance"": 0.9998143416090196, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.9991785549109747}","Colonial Exploitation, Slavery & Economic Inequality: (?<!\w)arbeid(?:\W+\w+){0,11}?\W+emancipatie(?!\w), (?<!\w)slavernij(?:\W+\w+){0,11}?\W+emancipatie(?!\w), arbeid, emancipatie, slavernij; Reparations and Remembrance: (?<!\w)oral(?:\W+\w+){0,11}?\W+geschiedenis(?!\w), emancipatie, geschiedenis, herdenk, onderwijs, oral, slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: kw=5(w=7.10); hits=8(w=13.10); cov=0.14; prox=0.93; grp=2(w=3.35); score=0.999; Reparations and Remembrance: kw=7(w=7.60); hits=12(w=14.20); cov=0.12; prox=0.93; grp=3(w=4.65); score=1.000",False,
C:\Users\Home\policy-analysis\slaverytest\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_02.txt,4272931a:00002,323,516,193,"Herdenkingen en doorwerkingen van de slavernij in Nederland – Markus Balkenhol De Gouden Koets — Annemarie de Wildt 6. Een perspectief op herstel en transformative justice – Nicole Immler Methode: orale geschiedenis — Rose Mary Allen 11 25 39 50 53 65 72 83 92 95 106 Deel 2 Slavernij, afschaffingen en doorwerkingen 7. Het kronkelige pad van slavernij naar ‘vrije’ arbeid – Ellen Klinkers Methode: archeologie — Felicia Fricke 8. Afschaffing zonder emancipatie – Kwame Nimako 9. De Nederlandse politiek en slavernij in de negentiende eeuw – Lauren Lauret 10. Gedwongen verplaatsing en illegale slavenhandel na de afschaffing – Ulbe Bosma Methode: slavenregisters en onderzoek — Coen van Galen 11. Slavernij, kolonialisme en de financiële sector – Pepijn Brandon 12. Koloniale onvrije arbeid in negentiende-eeuws Nederlands-Indië – Jan Breman Belast koloniaal verleden — Anne-Marieke van Schaik 13. Talen en literaturen van de voormalige Nederlandse koloniën – Michiel van Kempen Methode: slavernij en visuele bronnen — Caroline Drieënhuizen 14. ‘Somtijts een Moor by maegdekens’: de koloniale wereldorde in de Nederlandse kunst – Valika Smeulders Slavernij in Nederland? — Mark Ponte 111 122 125 133 145 156 161 173 184 187 198 203 218",herdenk doorwerk slavernij nederland markus balkenhol goud koet annemarie wildt perspectief herstel transformativ justic nicol immler method oral geschiedenis ros mary all del slavernij afschaff doorwerk kronkel pad slavernij vrij arbeid ell klinker method archeologie felicia frick afschaff emancipatie kwam nimako nederland politiek slavernij negenti eeuw laur lauret gedwong verplaats illegal slavenhandel afschaff ulb bosma method slavenregister onderzoek coen gal slavernij kolonialism financiel sector pepijn brandon kolonial onvrij arbeid negenti eeuw nederland indie jan breman belast koloniaal verled ann mariek schaik tal literatur voormal nederland kolonien michiel kemp method slavernij visuel bronn carolin drieenhuiz somtijt mor maegdeken kolonial wereldord nederland kunst valika smeulder slavernij nederland mark pont,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality",1.0,"{""Reparations and Remembrance"": 0.9993246544444763, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.999999876021141}","Colonial Exploitation, Slavery & Economic Inequality: (?<!\w)arbeid(?:\W+\w+){0,11}?\W+emancipatie(?!\w), (?<!\w)emancipatie(?:\W+\w+){0,11}?\W+slavernij(?!\w), (?<!\w)slavernij(?:\W+\w+){0,11}?\W+emancipatie(?!\w), arbeid, emancipatie, koloniaal, slavenhandel, slavernij; Reparations and Remembrance: (?<!\w)oral(?:\W+\w+){0,11}?\W+geschiedenis(?!\w), bronn, emancipatie, geschiedenis, herdenk, oral","Colonial Exploitation, Slavery & Economic Inequality: kw=8(w=11.65); hits=15(w=24.85); cov=0.28; prox=0.93; grp=3(w=5.35); score=1.000; Reparations and Remembrance: kw=6(w=7.30); hits=8(w=10.60); cov=0.07; prox=0.88; grp=3(w=4.65); score=0.999",False,
C:\Users\Home\policy-analysis\slaverytest\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_02.txt,4272931a:00003,434,516,82,"Slavernij, kolonialisme en de financiële sector – Pepijn Brandon 12. Koloniale onvrije arbeid in negentiende-eeuws Nederlands-Indië – Jan Breman Belast koloniaal verleden — Anne-Marieke van Schaik 13. Talen en literaturen van de voormalige Nederlandse koloniën – Michiel van Kempen Methode: slavernij en visuele bronnen — Caroline Drieënhuizen 14. ‘Somtijts een Moor by maegdekens’: de koloniale wereldorde in de Nederlandse kunst – Valika Smeulders Slavernij in Nederland? — Mark Ponte 111 122 125 133 145 156 161 173 184 187 198 203 218",slavernij kolonialism financiel sector pepijn brandon kolonial onvrij arbeid negenti eeuw nederland indie jan breman belast koloniaal verled ann mariek schaik tal literatur voormal nederland kolonien michiel kemp method slavernij visuel bronn carolin drieenhuiz somtijt mor maegdeken kolonial wereldord nederland kunst valika smeulder slavernij nederland mark pont,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality","Colonial Exploitation, Slavery & Economic Inequality",0.91822,"{""Reparations and Remembrance"": 0.06336650963703463, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.9182196437311789}","Colonial Exploitation, Slavery & Economic Inequality: arbeid, koloniaal, slavernij; Reparations and Remembrance: bronn","Colonial Exploitation, Slavery & Economic Inequality: kw=3(w=4.40); hits=5(w=8.40); cov=0.14; prox=0.77; grp=1(w=2.00); score=0.918; Reparations and Remembrance: kw=1(w=1.50); hits=1(w=1.50); cov=0.02; prox=0.00; grp=1(w=1.50); score=0.063",False,
C:\Users\Home\policy-analysis\slaverytest\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_03.txt,63f8de7c:00000,0,183,183,"Deel 3 Nederlandse koloniale slavernij wereldwijd 15. Koopwaar, dwangarbeid en opstandigheid: over slavernij en daarna op de Nederlands-Caribische eilanden – Charles do Rego 16. Van leed en verzet naar veerkracht: slavernij in Suriname – Helmut Gezius Sporen van de slavernijgeschiedenis in buitenlandse archieven — Ramona Negrón 17. Kolonialisme, slavernij en slavenhandel in Berbice, Demerara en Essequibo – Marjoleine Kars 18. Slavernij in Nederlands Noord-Amerika – Andrea Mosterman 19. Nederlands-Brazilië tussen 1630 en 1654 – Erik Odegard Nederlanders in Atlantisch Afrika voor 1800 — Filipa Ribeiro da Silva Zwarte Hollanders — Martin Bossenbroek Kanteljaar 1873 — Martin Bossenbroek 20. ‘Ik wil niet zwijgen’: slavernij en kolonialisme in en rondom Zuid-Afrika – Kate Ekama Rechtszaken als bron — Sophie Rose 21. Nederlandse slavernij in Zuid-Azië – Titas Chakraborty 22. Slavernij in koloniaal Indonesië – Alicia Schrikker 225 237 248 251 263 275 286 289 291 295 304 307 319 Deel 4 Vroege vorming van slavernij en kolonialisme 23. Slavernij van overheidswege: de Staten-Generaal tussen 1581 en 1796 – Arthur Weststeijn Het koloniale verleden van provincies en Admiraliteiten — Gerhard de Kok 24. Een vergeten bladzijde?",del nederland kolonial slavernij wereldwijd koopwar dwangarbeid opstand slavernij daarna nederland caribisch eiland charles rego led verzet veerkracht slavernij surinam helmut gezius spor slavernijgeschiedenis buitenland archiev ramona negron kolonialism slavernij slavenhandel berbic demerara essequibo marjolein kar slavernij nederland noord amerika andrea mosterman nederland brazilie erik odegard nederlander atlantisch afrika filipa ribeiro da silva zwart hollander martin bossenbroek kanteljar martin bossenbroek zwijg slavernij kolonialism rondom zuid afrika kat ekama rechtszak bron sophie ros nederland slavernij zuid azie titas chakraborty slavernij koloniaal indonesie alicia schrikker del vroeg vorming slavernij kolonialism slavernij overheidsweg stat general arthur weststeijn kolonial verled provincies admiraliteit gerhard kok verget bladzijd,"Colonial Exploitation, Slavery & Economic Inequality","Colonial Exploitation, Slavery & Economic Inequality","Colonial Exploitation, Slavery & Economic Inequality",0.999988,"{""Colonial Exploitation, Slavery & Economic Inequality"": 0.9999880823631349}","Colonial Exploitation, Slavery & Economic Inequality: dwangarbeid, koloniaal, opstand, slavenhandel, slavernij","Colonial Exploitation, Slavery & Economic Inequality: kw=5(w=7.60); hits=14(w=25.60); cov=0.18; prox=0.94; grp=2(w=4.00); score=1.000",False,
C:\Users\Home\policy-analysis\slaverytest\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_03.txt,63f8de7c:00001,119,352,233,"Nederlandse slavernij in Zuid-Azië – Titas Chakraborty 22. Slavernij in koloniaal Indonesië – Alicia Schrikker 225 237 248 251 263 275 286 289 291 295 304 307 319 Deel 4 Vroege vorming van slavernij en kolonialisme 23. Slavernij van overheidswege: de Staten-Generaal tussen 1581 en 1796 – Arthur Weststeijn Het koloniale verleden van provincies en Admiraliteiten — Gerhard de Kok 24. Een vergeten bladzijde? De vroege participatie van de Zuidelijke Nederlanden aan slavernij – Jeroen Puttevils 25. Particuliere belangen bij slavernijpolitiek en koloniale expansiepolitiek – Joris van den Tol Koloniale expansie en de Nederlandse staat — Myrthe Kraaijenoord 26. De verstrengeling van kolonialisme en lokale samenleving: de Sefarden op Curaçao – Jeanne Henriquez 27. ‘In openlijken strijd met den geest des Christendoms’? De kerk in het Nederlandse slavernijverleden – Martijn Stoutjesdijk Missie en zending in de Nederlandse koloniën: meer dan bekering en ‘beschaving’ — Geertje Mak en Marit Monteiro 28. De economische en sociale impact van het Nederlandse koloniale slavernijverleden – Matthias van Rossum De koloniale collecties van de stadhouders Willem IV en Willem V — Marie Christine van der Sman 29. De koloniale winsten van de prinsen van Oranje – Raymund Schütz 333 344 347 359 366 371 381 390 393 404 407 Het koloniale slavernijverleden en doorwerkingen: bevindingen – Rose Mary Allen, Esther Captain, Matthias van Rossum en Urwin Vyent Dankwoord Noten Literatuurlijst Illustratieverantwoording Register 421 445 447 463 473 475",nederland slavernij zuid azie titas chakraborty slavernij koloniaal indonesie alicia schrikker del vroeg vorming slavernij kolonialism slavernij overheidsweg stat general arthur weststeijn kolonial verled provincies admiraliteit gerhard kok verget bladzijd vroeg participatie zuidelijk nederland slavernij jeroen puttevil particulier belang slavernijpolitiek kolonial expansiepolitiek joris den tol kolonial expansie nederland stat myrth kraaijenoord verstrengel kolonialism lokal samenlev sefard curaçao jeann henriquez open strijd den geest des christendom kerk nederland slavernijverled martijn stoutjesdijk missie zending nederland kolonien beker beschav geertj mak marit monteiro economisch social impact nederland kolonial slavernijverled matthias rossum kolonial collecties stadhouder willem iv willem v marie christin sman kolonial winst prins oranj raymund schutz kolonial slavernijverled doorwerk bevind ros mary all esther captain matthias rossum urwin vyent dankwoord not literatuurlijst illustratieverantwoord register,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality","Colonial Exploitation, Slavery & Economic Inequality",0.970285,"{""Reparations and Remembrance"": 0.14250497742591647, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.9702853426643814}","Colonial Exploitation, Slavery & Economic Inequality: koloniaal, slavernij, winst; Reparations and Remembrance: slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: kw=3(w=4.40); hits=7(w=12.40); cov=0.08; prox=0.87; grp=1(w=2.00); score=0.970; Reparations and Remembrance: kw=1(w=1.50); hits=3(w=4.50); cov=0.06; prox=0.85; grp=1(w=1.50); score=0.143",False,
C:\Users\Home\policy-analysis\slaverytest\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_03.txt,63f8de7c:00002,218,352,134,"De verstrengeling van kolonialisme en lokale samenleving: de Sefarden op Curaçao – Jeanne Henriquez 27. ‘In openlijken strijd met den geest des Christendoms’? De kerk in het Nederlandse slavernijverleden – Martijn Stoutjesdijk Missie en zending in de Nederlandse koloniën: meer dan bekering en ‘beschaving’ — Geertje Mak en Marit Monteiro 28. De economische en sociale impact van het Nederlandse koloniale slavernijverleden – Matthias van Rossum De koloniale collecties van de stadhouders Willem IV en Willem V — Marie Christine van der Sman 29. De koloniale winsten van de prinsen van Oranje – Raymund Schütz 333 344 347 359 366 371 381 390 393 404 407 Het koloniale slavernijverleden en doorwerkingen: bevindingen – Rose Mary Allen, Esther Captain, Matthias van Rossum en Urwin Vyent Dankwoord Noten Literatuurlijst Illustratieverantwoording Register 421 445 447 463 473 475",verstrengel kolonialism lokal samenlev sefard curaçao jeann henriquez open strijd den geest des christendom kerk nederland slavernijverled martijn stoutjesdijk missie zending nederland kolonien beker beschav geertj mak marit monteiro economisch social impact nederland kolonial slavernijverled matthias rossum kolonial collecties stadhouder willem iv willem v marie christin sman kolonial winst prins oranj raymund schutz kolonial slavernijverled doorwerk bevind ros mary all esther captain matthias rossum urwin vyent dankwoord not literatuurlijst illustratieverantwoord register,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance",,Uncategorised,0.857214,"{""Reparations and Remembrance"": 0.1427863130546611, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.037846633067130486}","Colonial Exploitation, Slavery & Economic Inequality: winst; Reparations and Remembrance: slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=1.20); hits=1(w=1.20); cov=0.01; prox=0.00; grp=1(w=1.20); score=0.038; Reparations and Remembrance: kw=1(w=1.50); hits=3(w=4.50); cov=0.10; prox=0.73; grp=1(w=1.50); score=0.143",True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slaverytest\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_04.txt,09dfd644:00000,0,229,229,"— 10 — Rose Mary Allen (1950) is cultureel antropoloog. Ze is buitengewoon hoogleraar Cultuur, gemeenschap en geschiedenis aan de Universiteit van Curaçao. Esther Captain (1969) is historicus en als senior onderzoeker werkzaam bij het Koninklijk Instituut voor Taal-, Land- en Volkenkunde (kitlv) in Leiden. Haar expertise is laatkoloniaal Indonesië en de ­Indonesische revolutie, postkoloniaal Nederland in relatie tot de Nederlands-Caribische eilanden, ­Indonesië en Suriname. Matthias van Rossum (1984) is historicus en als senior onderzoeker verbonden aan het Internationaal Instituut voor Sociale Geschiedenis (iisg) in Amsterdam. Hij is gespecialiseerd in de geschiedenis van slavernij in Azië en de verbindingen met het Atlantische slavernijverleden. Urwin Vyent (1958) is directeur van het Nationaal ­Instituut Nederlands slavernijverleden en erfenis ­(NiNsee). Naast zijn werk voor NiNsee houdt hij zich bezig met de ontwikkeling van een slavernijmuseum in Amsterdam. — 11 — Rose Mary Allen, Esther Captain, Matthias van Rossum en Urwin Vyent Het koloniale slavernijverleden en doorwerkingen: inleiding Glimmend van trots liet premier Rutte de Amerikaanse president Barack Obama, die in 2014 een bezoek aan Nederland bracht, het Plakkaat van Verlatinghe zien. Normaal wordt dat zorgvuldig bewaard in het ­Nationaal Archief in Den Haag, maar voor deze bijzondere gelegenheid lag het document voor Obama klaar op een kussentje in de pronkzaal van het Rijksmuseum. Hoewel het er volgens een journalist op televisie ‘niet erg aantrekkelijk uitzag’, is het van onschatbare waarde voor Nederland.",ros mary all culturel antropolog buitengewon hooglerar cultur gemeenschap geschiedenis universiteit curaçao esther captain historicus senior onderzoeker werkzam konink institut tal land volkenkund kitlv leid expertis laatkoloniaal indonesie indonesisch revolutie postkoloniaal nederland relatie nederland caribisch eiland indonesie surinam matthias rossum historicus senior onderzoeker verbond international institut social geschiedenis iisg amsterdam gespecialiseerd geschiedenis slavernij azie verbind atlantisch slavernijverled urwin vyent directeur national institut nederland slavernijverled erfenis ninsee werk ninsee houdt bezig ontwikkel slavernijmuseum amsterdam ros mary all esther captain matthias rossum urwin vyent kolonial slavernijverled doorwerk glimmend trot liet premier rut amerikan president barack obama bezoek nederland bracht plakkat verlatingh zien normal zorgvuld bewaard national archief den hag bijzonder geleg lag document obama klar kussentj pronkzal rijksmuseum hoewel volgen journalist televisie erg aantrek uitzag onschat waard nederland,"Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism|Reparations and Remembrance",,Uncategorised,0.702733,"{""Reparations and Remembrance"": 0.2972670394859175, ""Modern & Everyday Racism"": 0.06320068274901315, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.14237239056824347}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Modern & Everyday Racism: culturel; Reparations and Remembrance: archief, geschiedenis, slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=1(w=2.00); cov=0.01; prox=0.00; grp=1(w=2.00); score=0.142; Modern & Everyday Racism: kw=1(w=1.50); hits=1(w=1.50); cov=0.01; prox=0.00; grp=1(w=1.50); score=0.063; Reparations and Remembrance: kw=3(w=2.10); hits=7(w=5.70); cov=0.11; prox=0.87; grp=1(w=1.50); score=0.297",True,"max≤0.75,sum≤0.85"
C:\Users\Home\policy-analysis\slaverytest\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_04.txt,09dfd644:00001,103,367,264,"Urwin Vyent (1958) is directeur van het Nationaal ­Instituut Nederlands slavernijverleden en erfenis ­(NiNsee). Naast zijn werk voor NiNsee houdt hij zich bezig met de ontwikkeling van een slavernijmuseum in Amsterdam. — 11 — Rose Mary Allen, Esther Captain, Matthias van Rossum en Urwin Vyent Het koloniale slavernijverleden en doorwerkingen: inleiding Glimmend van trots liet premier Rutte de Amerikaanse president Barack Obama, die in 2014 een bezoek aan Nederland bracht, het Plakkaat van Verlatinghe zien. Normaal wordt dat zorgvuldig bewaard in het ­Nationaal Archief in Den Haag, maar voor deze bijzondere gelegenheid lag het document voor Obama klaar op een kussentje in de pronkzaal van het Rijksmuseum. Hoewel het er volgens een journalist op televisie ‘niet erg aantrekkelijk uitzag’, is het van onschatbare waarde voor Nederland. Het Plakkaat van Verlatinghe is de officiële verklaring van een aantal Nederlandse provincies waarin zij in 1581 de Spaanse koning Filips ii afzetten als hun heerser en kan als zodanig worden beschouwd als de Nederlandse onafhankelijkheidsverklaring. Twee eeuwen later gold het document als inspiratiebron voor de Amerikaanse onafhankelijkheids­ verklaring van 1776. Dat is de reden waarom het bij het bezoek van de Amerikaanse wereldleider zo prominent werd getoond. Waarschijnlijk is tussen Rutte en Obama niet ter sprake gekomen dat het Plakkaat van Verlatinghe een paradox behelst die tot de dag van van­ daag doorwerkt. De Republiek der Verenigde Nederlanden ontstond zoals gezegd uit verzet tegen politieke overheersing door een vreemde mogendheid, die door tijdgenoten, en ook in het Plakkaat, met ‘slavernij’ werd vergeleken. Na de onafhankelijkheidsverklaring groeide Nederland echter zelf uit tot een van de grootste koloniale machten.",urwin vyent directeur national institut nederland slavernijverled erfenis ninsee werk ninsee houdt bezig ontwikkel slavernijmuseum amsterdam ros mary all esther captain matthias rossum urwin vyent kolonial slavernijverled doorwerk glimmend trot liet premier rut amerikan president barack obama bezoek nederland bracht plakkat verlatingh zien normal zorgvuld bewaard national archief den hag bijzonder geleg lag document obama klar kussentj pronkzal rijksmuseum hoewel volgen journalist televisie erg aantrek uitzag onschat waard nederland plakkat verlatingh officiel verklar aantal nederland provincies waarin span koning filip ii afzet heerser zodan beschouwd nederland onafhankelijkheidsverklar twee eeuw later gold document inspiratiebron amerikan onafhank verklar red waarom bezoek amerikan wereldleider prominent getoond waarschijn rut obama ter sprak gekom plakkat verlatingh paradox behelst dag dag doorwerkt republiek verenigd nederland ontstond gezegd verzet politiek overheers vreemd mogend tijdgenot plakkat slavernij vergelek onafhankelijkheidsverklar groeid nederland echter grootst kolonial macht,"Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance",,Uncategorised,0.857645,"{""Reparations and Remembrance"": 0.13880393513431655, ""Colonial Exploitation, Slavery & Economic Inequality"": 0.14235500187004943}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Reparations and Remembrance: archief, slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: kw=1(w=2.00); hits=1(w=2.00); cov=0.01; prox=0.00; grp=1(w=2.00); score=0.142; Reparations and Remembrance: kw=2(w=1.80); hits=3(w=3.30); cov=0.05; prox=0.86; grp=1(w=1.50); score=0.139",True,"max≤0.75,sum≤0.85"
