filename,filepath,document_type,year,chunk_num,chunk_text,topic,confidence,cosine
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_08.txt,sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_08.txt,,,1,"+ Deel 1
Actuele 
vraag­stukken
Iris Kensmil
‘ Ik heb gekozen om een beeld te geven van 
de Black Lives Matter-manifestatie, omdat 
door deze manifestaties en de voorafgaande 
pietprotesten er ruimte en begrip is ontstaan 
voor mijn werk over “Blackness”, terwijl 
mijn werk daarvoor juist stilzwijgend werd 
afgewezen. Er is recent een meer actieve en 
geïnstitutionaliseerde gemeenschapsvorming 
ontstaan, waar ik mij bij thuis voel. ’","Remembrance, Heritage & Education",1.0,0.08219949365267865
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_08.txt,sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_08.txt,,,2,"Op de Dam 1 juni 2020 (2023) 
gouache, aquarel, 35,5 x 29,7 cm, 
foto: Gert-Jan van Rooij

— 24 —
Alex van Stipriaan (1954) is emeritus hoogleraar 
Caribische geschiedenis, initiator en adviseur van 
interculturele en erfgoed-projecten. Hij houdt 
zich vooral bezig met de geschiedenis, culturen 
en kunst van/in het Caribisch gebied. Zijn meest 
recente publicatie is Van de hoed en de rand. Curaçaose 
vlechtcultuur sinds de slavernij (2023).","Remembrance, Heritage & Education",1.0,0.1044465935734187
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_03.txt,sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_03.txt,,,10,"— Geertje Mak en Marit Monteiro 
28. De economische en sociale impact van het Nederlandse koloniale 
slavernijverleden – Matthias van Rossum De koloniale collecties van de stadhouders Willem IV en Willem V  
— Marie Christine van der Sman
29. De koloniale winsten van de prinsen van Oranje  
– Raymund Schütz
333
344
347
359
366
371
381
390
393
404
407","Remembrance, Heritage & Education",1.0,0.07833494518006402
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,,,0,"— 19 —
— INLEIDING —
de Banda-eilanden in de Molukken in 1621 door auteurs als genocide 
benoemd. ◼◼ ◼◼  Leeswijzer
De reikwijdte en in het bijzonder ook de veelzijdigheid van het slavernij­
verleden en zijn doorwerkingen vragen om een benadering die rekening 
houdt met meerstemmigheid en meervoudige perspectieven. De vorm­
geving, uitwerking en doorwerking van slavernij in gekoloniseerde 
samen­levingen en Nederland waren niet alleen politiek, bestuurlijk of 
economisch van aard, maar bijvoorbeeld ook juridisch, religieus, sociaal, 
cultureel, psychologisch en zelfs fysiek. De auteurs van de bijdragen in 
Staat en slavernij proberen deze verschillende aspecten in kaart te brengen 
en waar mogelijk met elkaar te verbinden. De teksten voegen dus niet 
alleen historisch-wetenschappelijke kennis over het slavernijverleden 
samen, maar juist ook relevante kennis uit andere wetenschappelijke 
­disciplines en van buiten-wetenschappelijke kenners.","Remembrance, Heritage & Education",1.0,0.12375966910186263
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,,,1,"Voor Staat en slavernij hebben wij auteurs van uiteenlopende disciplines 
en expertise bij elkaar gebracht op basis van hun kennis en vernieuwende 
ideeën en inzichten. Hun achtergrond varieert van gevestigde weten­
schappers tot jonge onderzoekers en kenners die op andere vlakken werk­
zaam en actief zijn. Zij komen zowel van binnen als van buiten Nederland. We hebben geprobeerd auteurs bij dit boek te betrekken die afkomstig, 
woonachtig of werkzaam zijn (of waren) in de Caribische delen van het 
Koninkrijk der Nederlanden en in Suriname en Indonesië. Dat is vaak wel, 
maar helaas niet altijd gelukt.","Remembrance, Heritage & Education",1.0,0.062469504755442426
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,,,2,"Er is in Staat en slavernij niet gekozen voor een ‘traditioneel’ chrono­
logisch-historische structuur. Het boek vertrekt vanuit actuele vraag­
Stukken (deel 1), brengt in kaart hoe de slavenhandel en slavernij tijdens 
en na de afschaffingen tot veranderingen en doorwerkingen hebben geleid 
(deel 2), hoe daarvoor wereldwijd de basis is gelegd door de impact die 
het Nederlandse koloniale slavernijverleden heeft gehad op samen­
levingen in Afrika, Azië en Noord- en Zuid-Amerika (deel 3) en door de 
vroege vorming van kolonialisme en slavernij (deel 4). Elk van deze vier 
delen wordt voorafgegaan door een kunstwerk van achtereenvolgens 
Iris  Kensmil, patricia kaersenhout, Theo Frids Hutabarat en Brian Elstak. De redactie heeft deze kunstenaars uitgenodigd om door middel van 
een vrij werk te reflecteren op het onderwerp van het boekdeel. Kensmil, 
Hutabarat en Elstak maakten nieuw werk;","Remembrance, Heritage & Education",1.0,0.08333333333333333
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,,,3,"van kaersenhout is een 

— 20 —
— STAAT EN SLAVERNIJ —
bestaand werk opgenomen. Het verzoek was ingegeven door het besef 
dat – zeker als het gaat om een sensitieve geschiedenis als het koloniale 
slavernijverleden – woorden van groot belang zijn, maar dat ze ook tekort 
­kunnen schieten. Waar tekst niet (meer) voldoet, kan het domein van de 
kunst andere perspectieven op het slavernijverleden presenteren. Een 
korte toelichting waarin de kunstenaars op hun creatie reflecteren is te 
vinden bij het betreffende kunstwerk. De negenentwintig hoofdstukken verkennen belangrijke deelterreinen 
van de doorwerking en het verleden van de Nederlandse koloniale slaver­
nij.",Everyday Racism & Modern Racial Inequality,1.0,0.08571428571428572
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,,,4,"De wetenschap is op al deze deelterreinen niet in gelijke mate ontwik­
keld. Waar veel onderzoek is gedaan is het van belang dat de stand van 
kennis kritisch wordt bevraagd op de mate van zekerheid, de gehanteerde 
perspectieven, mogelijke blinde vlekken of onderontwikkelde deel­
thema’s. Voor deelgebieden waar nog maar weinig onderzoek is gedaan 
is het soms belangrijker om te bespreken waarom deze kennis onder­
ontwikkeld is gebleven, welke veronderstellingen er rond bepaalde 
­thema’s bestaan, welke inzichten afgeleid kunnen worden uit onderzoeks­
resultaten die wel beschikbaar zijn, en wat belangrijke vragen, (nieuwe) 
bronnen en methoden kunnen zijn voor toekomstig onderzoek. De hoofdstukken zijn aangevuld met kortere teksten die aanvullende 
aspecten belichten. In deze informatieve kaderteksten wordt aandacht 
besteed aan thema’s en bronnen die nog onvoldoende onderzocht zijn en 
meer aandacht verdienen.","Remembrance, Heritage & Education",1.0,0.1125087900926024
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_07.txt,,,5,"Zo komen bijvoorbeeld de rol van belastingen 
in het slavernijverleden en koloniale verleden, de discussies rond de 
­Gouden Koets en de vroege aanwezigheid van slaafgemaakten in de 
­Republiek aan bod. In de kaderteksten worden tevens methoden bespro­
ken die nieuwe inzichten kunnen opleveren en een verbreding kunnen 
geven aan perspectieven op de Nederlandse koloniale geschiedenis, zoals 
oral history en digitale methoden. Een interviewserie met vooraanstaande 
kenners geeft daarnaast inzicht in de hedendaagse spanningsvelden en 
perspectieven. Dit geeft duiding aan het tijdsgewricht waarin dit boek tot 
stand is gekomen: midden in een snel veranderende maatschappelijke en 
politieke omgang met ons verleden en tussen de excuses van de regering 
en de ontwikkelingen ‘na de komma’","Remembrance, Heritage & Education",1.0,0.11274425752841605
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_02.txt,sources\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen__segment_02.txt,,,3,"Omdat in Staat en slavernij de wic 
en voc uitvoerig aan bod komen, heb ik het 
logo de vorm van een kompas gegeven. De 
vrouw kijkt naar het westen en de man naar 
het oosten; allebei naar gebieden waar de 
Nederlandse staat slavernij heeft bedreven. De kijk­richtingen – naar achteren en naar 
voren – staan voor het kijken naar het verleden 
en de toekomst. Het patroon in het midden is 
een samenkomst van de Afrikaanse wax prints 
die populair zijn in (West-)Afrika en zijn 
diaspora, en de Indonesische batikprints.",Everyday Racism & Modern Racial Inequality,1.0,0.07216878364870323
