keyword,count
kamer,10169
over,8963
mer,3503
minister,2486
ministerie,2321
werk,1878
kabinet,1758
duurzam,1400
verantwoord,1326
debat,1027
uitker,918
minder,852
rapport,833
overleg,815
regional,766
werking,727
onderwijs,711
departement,678
gezond,678
art,604
general,581
lon,555
impact,526
opleid,494
pensioen,478
zelfstand,418
student,410
partij,406
wetgev,377
milieu,361
mbo,356
vvd,345
woning,340
co2,327
verklar,318
huisvest,292
culturel,274
werkgeleg,255
integratie,250
leerling,250
arbeid,240
sp,227
mensenrecht,222
gelijk,216
stikstof,216
koninkrijk,211
vn,208
geweld,197
saner,196
slachtoffer,195
migratie,190
ziekt,187
ontwikkelingssamenwerk,166
oeso,166
toetsing,162
waterschapp,161
klimaatakkoord,160
armoed,153
hervorm,151
asielzoeker,147
uitstot,144
cao,144
afstand,138
gren,138
klimaatverander,137
hbo,137
social zeker,137
aow,129
klimaatbeleid,127
patient,125
vreemdel,125
vluchtel,124
ondernemerschap,122
dijk,118
ecologisch,114
ondermijn,113
ind,111
biodiversiteit,109
coa,104
werklos,102
wereldbank,101
arbeidsongeschikt,98
ontwikkelingsland,96
renovatie,92
racism,92
verkiez,92
open bestur,91
terrorism,91
uitbested,87
bisschop,87
grondwet,85
emissie,84
klimaatadaptatie,84
inburger,83
ruimtelijk orden,82
huurder,81
stemm,80
witwass,77
omroep,76
minimumlon,74
mensenhandel,73
hogeschol,72
illegal,71
drinkwater,68
boek,67
asiel,66
landschap,65
vmbo,65
waterbeleid,64
stembiljet,64
bibliothek,63
kiezer,62
imf,61
cultuurbeleid,61
culturel erfgoed,60
ngo,58
aanslag,58
sar,58
agressie,56
huurwon,56
verdacht,55
afval,54
diploma,54
president,52
journalist,50
corruptie,50
npo,50
extrem,49
loonkost,47
kadaster,47
extremism,46
verenigd naties,45
stem,45
schooljar,44
immigratie,44
vlam,44
bom,44
accountant,44
activer,42
virus,42
waterbeher,42
humanitair hulp,41
bos,41
terminal,40
noodhulp,40
surinam,39
rod kruis,39
aid,39
strafbar,39
besmet,39
grondrecht,38
diplomatie,38
hiv,38
stag,37
cybercrim,36
havo,36
statut,36
goed bestur,35
open ord,35
ouderdom,35
nieuwkomer,35
aardbev,35
paspoort,35
nederland tal,34
huisarts,34
wateroverlast,34
dader,34
asbest,34
unesco,33
straf,33
kindermisbruik,32
ovs,32
alcohol,31
politiek partij,31
natuurgebied,31
recht van de men,31
adoptie,30
overstrom,29
exam,29
dna,29
hrm,28
lesgeld,28
vervuil,28
ontslag,27
werkzoek,27
verontrein,27
arbeidskracht,27
bediend,27
nos,26
erasmus,26
daklos,26
ongeval,26
betal woning,25
vwo,25
recycl,25
arrest,25
bachelor,23
national park,23
bevolkingsonderzoek,23
film,23
nvao,22
anoniem,21
lag inkomen,20
gevangenis,20
paramedisch,20
oecd,20
organisatie vor economisch samenwerk en ontwikkel,19
strafmat,19
medic,19
cer,19
ambassad,18
oorlogsmisdad,18
ziekenhuis,18
venezuela,18
huisart,17
tandheelkund,17
leerkracht,17
kanker,17
gemeenterad,16
naturalisatie,16
wachtlijst,16
international monetair,15
leerjar,15
pabo,15
konink besluit,14
kinderbijslag,14
intensiev zorg,14
vakantie,14
verbrand,14
job,14
museum,14
voetbal,14
verkiezingsuitslag,14
schuldig,13
kinderarbeid,13
seksueel misbruik,13
boss,13
methan,13
praktijkgericht,13
orkan,13
herverdel,13
epidemie,12
ecologie,12
g20,12
moord,12
escalatie,12
kandidat lidstat,11
radioactief,11
smokkel,11
gemeentewet,11
vrijwilligerswerk,11
poging,11
volksvertegenwoordiger,11
broeikasgas,10
fbi,10
woningtekort,10
ontmijn,10
verblijfsvergunn,10
tribunal,10
azc,10
kerk,10
conventie,9
opwarm van de aard,9
kolonial,9
eindterm,9
social voorzien,9
collectiev arbeidsovereenkomst,9
invaliditeit,9
gebruik van grondstoff,9
cannabis,8
sociaal beleid,8
onwett,8
terrorist,8
diefstal,8
klimaattop,8
abortus,7
gezinsheren,7
nrc,7
echtscheid,7
georganiseerd misdad,7
interpol,7
volksvertegenwoord,7
malaria,7
woningnod,7
voedselket,6
vergrijz,6
huurmarkt,6
bse,6
dakloz,6
holocaust,6
regenval,6
cnv,6
werktijdverkort,6
ondervoed,6
werkplat,6
klimaatconferentie,5
bosbescherm,5
transplantatie,5
papiament,5
daderprofiel,5
antilliaan,5
injectie,5
herbeboss,5
voltijd,5
dierenbescherm,5
rioler,5
bagger,5
geluidsoverlast,5
huurprijz,5
bosbeher,5
zetel,4
leerplicht,4
tbc,4
persvrij,4
apotheker,4
doping,4
natuurdomein,4
rva,4
globaliser,4
cm,4
verkeersongeval,4
tsunami,4
koral,4
uitwijz,4
zandgrond,4
uitlever,4
eredienst,4
overvall,4
protest,4
emigrer,3
bedrijfsongeval,3
oppositie,3
huurprijs,3
kandidatur,3
