topic,keyword,count
Cultuur_en_sport,culturel,274
Cultuur_en_sport,omroep,76
Cultuur_en_sport,boek,67
Cultuur_en_sport,bibliothek,63
Cultuur_en_sport,cultuurbeleid,61
Cultuur_en_sport,culturel erfgoed,60
Cultuur_en_sport,npo,50
Cultuur_en_sport,nederland tal,34
Cultuur_en_sport,nos,26
Cultuur_en_sport,film,23
Cultuur_en_sport,vakantie,14
Cultuur_en_sport,museum,14
Cultuur_en_sport,voetbal,14
Cultuur_en_sport,papiament,5
Cultuur_en_sport,doping,4
Cultuur_en_sport,coach,2
Cultuur_en_sport,concert,2
Cultuur_en_sport,duit tal,2
Cultuur_en_sport,rtl,2
Cultuur_en_sport,fran tal,2
Cultuur_en_sport,bioscop,1
Cultuur_en_sport,artiest,1
Cultuur_en_sport,papiamentu,1
Cultuur_en_sport,olympisch spel,1
Cultuur_en_sport,de tour,1
Ramp_ongeval,aardbev,35
Ramp_ongeval,wateroverlast,34
Ramp_ongeval,overstrom,29
Ramp_ongeval,ongeval,26
Ramp_ongeval,orkan,13
Ramp_ongeval,regenval,6
Ramp_ongeval,tsunami,4
Ramp_ongeval,verkeersongeval,4
Ramp_ongeval,explosie,3
Ramp_ongeval,aanrijd,2
Ramp_ongeval,woningbrand,1
Ramp_ongeval,verongelukt,1
Ramp_ongeval,onwer,1
Ramp_ongeval,vulkan,1
Ramp_ongeval,onweersbui,1
Ramp_ongeval,sneeuw,1
arbeid,werk,1878
arbeid,lon,555
arbeid,zelfstand,418
arbeid,werkgeleg,255
arbeid,arbeid,240
arbeid,pensioen,239
arbeid,cao,144
arbeid,ondernemerschap,122
arbeid,werklos,102
arbeid,uitbested,87
arbeid,loonkost,47
arbeid,activer,42
arbeid,hrm,28
arbeid,arbeidskracht,27
arbeid,ontslag,27
arbeid,bediend,27
arbeid,werkzoek,27
arbeid,job,14
arbeid,kinderarbeid,13
arbeid,collectiev arbeidsovereenkomst,9
arbeid,vergrijz,6
arbeid,werkplat,6
arbeid,werktijdverkort,6
arbeid,voltijd,5
arbeid,sociaal plan,3
arbeid,tijdelijk contract,3
arbeid,bedrijfsongeval,3
arbeid,outplacement,2
arbeid,parttim,2
