keyword,count
mer,3503
werk,1878
duurzam,1400
uitker,918
minder,852
rapport,833
onderwijs,711
gezond,678
art,604
lon,555
opleid,494
pensioen,478
zelfstand,418
student,410
milieu,361
mbo,356
woning,340
co2,327
verklar,318
huisvest,292
culturel,274
werkgeleg,255
integratie,250
leerling,250
arbeid,240
mensenrecht,222
stikstof,216
gelijk,216
koninkrijk,211
vn,208
geweld,197
saner,196
slachtoffer,195
migratie,190
ziekt,187
oeso,166
ontwikkelingssamenwerk,166
waterschapp,161
klimaatakkoord,160
armoed,153
asielzoeker,147
cao,144
uitstot,144
afstand,138
gren,138
hbo,137
klimaatverander,137
social zeker,137
aow,129
klimaatbeleid,127
patient,125
vreemdel,125
vluchtel,124
ondernemerschap,122
dijk,118
ecologisch,114
ondermijn,113
ind,111
biodiversiteit,109
coa,104
werklos,102
wereldbank,101
arbeidsongeschikt,98
ontwikkelingsland,96
racism,92
renovatie,92
terrorism,91
uitbested,87
bisschop,87
grondwet,85
klimaatadaptatie,84
emissie,84
inburger,83
ruimtelijk orden,82
huurder,81
witwass,77
omroep,76
minimumlon,74
mensenhandel,73
hogeschol,72
illegal,71
drinkwater,68
boek,67
asiel,66
landschap,65
vmbo,65
waterbeleid,64
bibliothek,63
kiezer,62
cultuurbeleid,61
imf,61
culturel erfgoed,60
ngo,58
sar,58
aanslag,58
huurwon,56
agressie,56
verdacht,55
afval,54
diploma,54
corruptie,50
npo,50
extrem,49
loonkost,47
kadaster,47
extremism,46
verenigd naties,45
bom,44
schooljar,44
immigratie,44
virus,42
activer,42
waterbeher,42
bos,41
humanitair hulp,41
noodhulp,40
terminal,40
rod kruis,39
aid,39
surinam,39
besmet,39
strafbar,39
grondrecht,38
diplomatie,38
hiv,38
stag,37
cybercrim,36
statut,36
havo,36
nieuwkomer,35
ouderdom,35
goed bestur,35
aardbev,35
paspoort,35
wateroverlast,34
huisarts,34
dader,34
asbest,34
nederland tal,34
straf,33
unesco,33
kindermisbruik,32
ovs,32
alcohol,31
natuurgebied,31
recht van de men,31
politiek partij,31
adoptie,30
dna,29
overstrom,29
exam,29
lesgeld,28
hrm,28
vervuil,28
verontrein,27
bediend,27
arbeidskracht,27
werkzoek,27
ontslag,27
daklos,26
erasmus,26
ongeval,26
nos,26
vwo,25
arrest,25
betal woning,25
recycl,25
bevolkingsonderzoek,23
film,23
bachelor,23
national park,23
nvao,22
anoniem,21
paramedisch,20
gevangenis,20
oecd,20
lag inkomen,20
strafmat,19
medic,19
organisatie vor economisch samenwerk en ontwikkel,19
venezuela,18
ziekenhuis,18
oorlogsmisdad,18
ambassad,18
huisart,17
leerkracht,17
kanker,17
tandheelkund,17
wachtlijst,16
naturalisatie,16
pabo,15
international monetair,15
leerjar,15
intensiev zorg,14
job,14
verbrand,14
voetbal,14
vakantie,14
kinderbijslag,14
museum,14
herverdel,13
orkan,13
schuldig,13
kinderarbeid,13
methan,13
boss,13
praktijkgericht,13
seksueel misbruik,13
ecologie,12
escalatie,12
g20,12
epidemie,12
moord,12
radioactief,11
kandidat lidstat,11
smokkel,11
vrijwilligerswerk,11
poging,11
fbi,10
tribunal,10
verblijfsvergunn,10
ontmijn,10
kerk,10
woningtekort,10
azc,10
broeikasgas,10
invaliditeit,9
gebruik van grondstoff,9
opwarm van de aard,9
eindterm,9
collectiev arbeidsovereenkomst,9
social voorzien,9
onwett,8
cannabis,8
terrorist,8
diefstal,8
sociaal beleid,8
klimaattop,8
abortus,7
gezinsheren,7
malaria,7
woningnod,7
georganiseerd misdad,7
echtscheid,7
interpol,7
dakloz,6
huurmarkt,6
voedselket,6
ondervoed,6
vergrijz,6
holocaust,6
werkplat,6
cnv,6
bse,6
werktijdverkort,6
regenval,6
herbeboss,5
klimaatconferentie,5
huurprijz,5
bosbescherm,5
daderprofiel,5
papiament,5
dierenbescherm,5
bosbeher,5
injectie,5
voltijd,5
transplantatie,5
bagger,5
geluidsoverlast,5
rioler,5
antilliaan,5
uitlever,4
zandgrond,4
uitwijz,4
persvrij,4
cm,4
overvall,4
koral,4
globaliser,4
apotheker,4
tsunami,4
verkeersongeval,4
doping,4
tbc,4
leerplicht,4
natuurdomein,4
huurprijs,3
kandidatur,3
demonstrant,3
terroris,3
emigrer,3
waterbron,3
griep,3
oplicht,3
drugshandel,3
ozon,3
oppositie,3
bedrijfsongeval,3
terreur,3
bedreigd diersoort,3
trauma,3
vermist,3
international zak,3
kiesstelsel,3
sociaal plan,3
explosie,3
immigrant,3
gevang,3
tijdelijk contract,3
parttim,2
natur bronn,2
amnesty international,2
uitgeleverd,2
nederland nationaliteit,2
zedenmisdrijf,2
illegaliteit,2
concert,2
outplacement,2
katholiek,2
mangrov,2
ongelijk behandel,2
inkomensdrempel,2
appartement,2
dement,2
referendum,2
social woning,2
beschermd soort,2
duit tal,2
brandwond,2
wooncrisis,2
coach,2
aanrijd,2
voorwaard invrijheidstell,2
naturaliser,2
geestelijk gezond,2
huursubsidie,2
maffia,2
imam,2
brandsticht,2
rtl,2
fran tal,2
medisch ingrep,2
alumni,2
leermethod,2
fijn stof,1
verongelukt,1
ira,1
scheiding der macht,1
wereldbevolk,1
witwas,1
verdrag van scheng,1
overstromingsgebied,1
gijzel,1
speurhond,1
aml,1
onwer,1
sneeuw,1
vulkan,1
de tour,1
ontwikkelingsbeleid,1
overval,1
ontwikkelingshulp,1
papiamentu,1
organisatie vor veilig en samenwerk in europa,1
diplomatiek relaties,1
olympisch spel,1
onweersbui,1
verduister,1
ingeburgerd,1
bioscop,1
artiest,1
verkracht,1
flexibel arbeidsmarkt,1
bosbrand,1
inbrak,1
droger,1
beschermd diersoort,1
woningbrand,1
loonwerk,1
arbeider,1
kyoto,1
algemen ziekenhuiz,1
plattelandsbeleid,1
koolstof,1
uitsterv,1
ontbos,1
natuurpark,1
burgerrecht,1
wederrecht,1
criminaliser,1
ontslagvergoed,1
flat,1
niet gouvernementel organisatie,1
habitatrichtlijn,1
wrak,1
universit,1
homo,1
gezinsbijslag,1
pensioensystem,1
euthanasie,1
coup,1
islam,1
al qaida,1
