filename,chunk_id,chunk_text,Reg_topic_all,Reg_topic_thresholded,Reg_best_topic,Reg_best_score,Reg_topic_Scores_json,Reg_matched_summary,Reg_topic_match_counts,chunk_uid,chunk_words,per_topic_match_count,per_topic_density,labels
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.274.txt,0,"— 274 — Erik Odegard (1986) studeerde geschiedenis aan de Universiteit Leiden, waar hij in 2018 promoveerde op de carrières van Nederlandse koloniale gouverneurs in de zeventiende eeuw. Hij werkte onder andere als onderzoeker bij het Mauritshuis en is sinds 2021 bij het Internationaal Instituut voor Sociale Geschiedenis (iisg) werkzaam op een door de nwo gefinancierd onderzoek naar particuliere investeerders in Nederlands-Brazilië.",Reparations and Remembrance,Reparations and Remembrance,Reparations and Remembrance,0.908052,"{""Reparations and Remembrance"": 0.908052}",Reparations and Remembrance: geschiedenis,Reparations and Remembrance: distinct_kw=1 (w=1.30); hits=2 (w=2.60); cov=0.06; prox=0.37; groups=1 (w=1.30),C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.274.txt__0,62,"[0, 0, 1]","[0.0, 0.0, 0.016129032258064516]","[0, 0, 1]"
C:\Users\Home\policy-analysis\slavery_text\Nimako et al_2020_Een rapport met betrekking tot het onderzoeksproject over de periode voor de.4.txt,1,"dat nu kennen - het parlement bestond slechts uit mannen en het systeem was niet gebaseerd op politieke partijen - spreken de onderzoekers van het Ǯopkomende parlementaire systeemǯ. De regering presenteerde het project voor de afschaffing van de slavernij aan het parlement als een pakket met vier componenten: 1) opheffing der slavernij, 2) schadeloosstelling aan slavenhouders, 3) staatstoezicht gedurende tien jaar voor Suriname, en 4) immigratie van arbeiders gedurende tien jaar naar Suriname. De achtergrond en meningsvorming van de parlementariërs die voor afschaffing van de slavernij waren, worden diepgaand geanalyseerd. De discussie die voorafging aan de besluitvorming die leidde tot compensatie van slaveneigenaren, is in kaart gebracht. Het debat leidde ertoe dat de slaaf-gemaakten in 1863 geen vrijheid verkregen maar nog tien jaar aan het Staatstoezicht in Suriname onderworpen werden. Het doorgronden van de details met betrekking tot de aard van het Staatstoezicht vraagt om nader onderzoek. NiNsee. Velen hebben langdurig actiegevoerd, gelobbyd en bergen werk verzet om het trans-Atlantische slavernijverleden onder de aandacht te brengen van een breed publiek. Die inspanningen hebben geleid tot de onthulling door koningin Beatrix van het","Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality",0.993166,"{""Colonial Exploitation, Slavery & Economic Inequality"": 0.993166, ""Reparations and Remembrance"": 0.960736}","Colonial Exploitation, Slavery & Economic Inequality: slavernij, staatstoezicht; Reparations and Remembrance: compensatie, slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: distinct_kw=2 (w=2.60); hits=6 (w=7.80); cov=0.06; prox=0.88; groups=1 (w=1.30); Reparations and Remembrance: distinct_kw=2 (w=2.60); hits=2 (w=2.60); cov=0.02; prox=0.66; groups=1 (w=1.30)",C:\Users\Home\policy-analysis\slavery_text\Nimako et al_2020_Een rapport met betrekking tot het onderzoeksproject over de periode voor de.4.txt__1,182,"[1, 0, 1]","[0.005494505494505495, 0.0, 0.005494505494505495]","[1, 0, 1]"
C:\Users\Home\policy-analysis\slavery_text\Jouwe e.a. - Slavernij en de stad Utrecht.263.txt,0,"ZWART UTRECHT IN BEELD 263 Juni 2020 Gina Avans brengt een plengoﬀer tijdens de herdenking en viering van de afschaﬃng van de slavernij op 1 juli 1863 in de Nederlandse Caraïben (inclusief Suriname), tijdens Keti Koti Utrecht (Centraal Museum/Alessa Joseph)","Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance",Reparations and Remembrance,0.958101,"{""Colonial Exploitation, Slavery & Economic Inequality"": 0.828813, ""Reparations and Remembrance"": 0.958101}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Reparations and Remembrance: herdenk, museum","Colonial Exploitation, Slavery & Economic Inequality: distinct_kw=1 (w=1.30); hits=1 (w=1.30); cov=0.04; prox=0.00; groups=1 (w=1.30); Reparations and Remembrance: distinct_kw=2 (w=2.60); hits=2 (w=2.60); cov=0.05; prox=0.41; groups=1 (w=1.30)",C:\Users\Home\policy-analysis\slavery_text\Jouwe e.a. - Slavernij en de stad Utrecht.263.txt__0,40,"[1, 0, 1]","[0.025, 0.0, 0.025]","[1, 0, 1]"
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.261.txt,0,"— 261 — — NEDERLANDSE KOLONIALE SLAVERNIJ WERELDWIJD — van nieuwe geweren en strijders. Toch duurde het tot de zomer van 1764 voor de Nederlanders hun gehavende kolonie weer geheel in handen ­hadden. Tegen die tijd had een derde of mogelijk een vijfde van de slaaf­ gemaakten het leven verloren.10 Hoe de overlevenden het trauma van de oorlog verwerkten weten we nog niet. Hadden de rebellen gewonnen – wat bijna was gelukt – dan had de geschiedenis van het Atlantische gebied er heel anders uitgezien. In plaats daarvan besefte de Nederlandse regering steeds meer dat het veel geld kostte om opstanden en Marrons te bestrijden ten gunste van private ondernemingen zoals de Sociëteit van Suriname en de Sociëteit van ­Berbice. In 1795 nam de staat het directe beheer van de koloniën op de Wilde Kust, inclusief Suriname, op zich. Binnen enkele jaren gingen ­Berbice, Essequibo en Demerara over in Britse handen. Veel van de plan­ ters in die koloniën waren Brits of pro-Brits. Zij waren ontevreden over het onvermogen van het Nederlandse bedrijfsleven om hun voldoende kapitaal en slaafgemaakten te bezorgen. De Britten pompten veel geld in de koloniën en voerden grote aantallen slaafgemaakten aan. In de negen­ tiende eeuw behoorden de drie koloniën voor korte tijd tot de meest winstgevende Caribische eigendommen van Groot-Brittannië. De archieven van Essequibo, Demerara, en Berbice zijn nog maar weinig verkend. Historici zijn lang meer geïnteresseerd geweest in Suriname en de Nederlandse koloniën in Azië, en in de kleine Europese minderheid in plaats van de grote meerderheid van mensen van kleur, maar dat is aan het veranderen. Het Nationaal Archief in Den Haag heeft veel van de bronnen over de drie koloniën gedigitaliseerd, inclusief stukken uit het Archief van Guyana in Georgetown en The National Archives in Kew (vk). Dat zal zeker helpen om","Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality",0.9993,"{""Colonial Exploitation, Slavery & Economic Inequality"": 0.9993, ""Reparations and Remembrance"": 0.992082}","Colonial Exploitation, Slavery & Economic Inequality: kapital, kolonie, opstand, slaafgemaakt, slavernij; Reparations and Remembrance: archief, bronn, geschiedenis","Colonial Exploitation, Slavery & Economic Inequality: distinct_kw=5 (w=6.50); hits=6 (w=7.80); cov=0.03; prox=0.88; groups=1 (w=1.30); Reparations and Remembrance: distinct_kw=3 (w=3.90); hits=4 (w=5.20); cov=0.02; prox=0.76; groups=1 (w=1.30)",C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.261.txt__0,300,"[1, 0, 1]","[0.0033333333333333335, 0.0, 0.0033333333333333335]","[1, 0, 1]"
C:\Users\Home\policy-analysis\slavery_text\ketenen van het verleden.70.txt,1,van de Umeå University (2015). In 1984 introduceerde zij nationaal en internationaal het begrip Alledaags racisme in een gelijknamig boek. Haar meest recente boek in het Nederlands is Racismekennis (2020).,Modern & Everyday Racism,Modern & Everyday Racism,Modern & Everyday Racism,0.928936,"{""Modern & Everyday Racism"": 0.928936}",Modern & Everyday Racism: racism,Modern & Everyday Racism: distinct_kw=1 (w=1.30); hits=2 (w=2.60); cov=0.03; prox=1.00; groups=1 (w=1.30),C:\Users\Home\policy-analysis\slavery_text\ketenen van het verleden.70.txt__1,30,"[0, 1, 0]","[0.0, 0.03333333333333333, 0.0]","[0, 1, 0]"
C:\Users\Home\policy-analysis\slavery_text\Voortgangsrapportage+-+Ervaringen+en+lessen+om+discriminatie+in+publieke+dienstverlening+te+voorkomen+en+te+bestrijden.35.txt,0,"35 dat deze aanpak veel van de organisaties vergt, en bovendien slechts in beperkte mate helpt bij het identificeren van risico’s op discriminatie. Zij misten de capaciteit en expertise om de gevraagde informatie op te halen. De pilotorganisaties gaven aan dat de vragen in de Discriminatietoets vooral verdiepende gesprekken over werkprocessen, mensbeelden en discretionaire bevoegdheden faciliteerden. Deze gesprekken zijn als zeer nuttig ervaren omdat zij bijdroegen aan het vergroten van het bewustzijn en het identificeren van mogelijke risicogebieden binnen de organisatie. Bovendien kwam naar voren dat er tijdens deze gesprekken meer aandacht ontstond voor de informele regels en normen die mogelijk samenhangen met risico’s op discriminatie en racisme. Aangezien de pilotorganisaties de meeste meerwaarde zagen in de gesprekken die voortkwamen uit het gebruik van de Discriminatietoets, zouden zij de toets bruikbaarder vinden als deze wordt doorontwikkeld als leerinstrument. Het zou dan vooral gericht moeten zijn op het faciliteren van verdiepende gesprekken over dienstverleningsprocessen. Het is duidelijk dat de kracht van de Discriminatietoets ligt in het stimuleren van reflectie en verdiepende gesprekken. Bij de doorontwikkeling moeten wij daarom specifieke aandacht besteden aan de onderdelen die deze werking het beste ondersteunen. De toets kan zodanig aangepast worden dat het een waardevol hulpmiddel wordt voor het vergroten van bewustzijn en het bevorderen van reflectie en leerprocessen ten behoeve van structurele aanpak van discriminatie en racisme binnen overheidsorganisaties. 5.3 Ondersteunen van veranderprocessen In de huidige vorm van de Discriminatietoets ligt de nadruk vooral op inhoudelijke vragen die besproken en beantwoord moeten worden. Orga- nisaties geven echter aan ook behoefte te hebben aan ondersteuning bij het inzetten van de Discriminatietoets. Daarnaast is het nog onvoldoende duidelijk hoe de vragen in de Discriminatietoets organisaties kunnen hel- pen om niet alleen risico’s op discriminatie en racisme in kaart te brengen, maar deze ook daadwerkelijk aan te pakken.",Modern & Everyday Racism,Modern & Everyday Racism,Modern & Everyday Racism,0.999542,"{""Modern & Everyday Racism"": 0.999542}","Modern & Everyday Racism: discriminatie, racism, structurel",Modern & Everyday Racism: distinct_kw=3 (w=3.90); hits=11 (w=14.30); cov=0.04; prox=0.91; groups=1 (w=1.30),C:\Users\Home\policy-analysis\slavery_text\Voortgangsrapportage+-+Ervaringen+en+lessen+om+discriminatie+in+publieke+dienstverlening+te+voorkomen+en+te+bestrijden.35.txt__0,300,"[0, 1, 0]","[0.0, 0.0033333333333333335, 0.0]","[0, 1, 0]"
C:\Users\Home\policy-analysis\slavery_text\Nimako et al_2020_Een rapport met betrekking tot het onderzoeksproject over de periode voor de.29.txt,0,"WAAROM VRIJHEID NIET KON WACHTEN NIMAKO, DELEA & ESAJAS 20 Hieronder behandelen we de verschillende ontwerpen in chronologische volgorde. Doordat ze gericht waren aan het kabinet en het parlement, droegen ze bij aan het toenemende belang van het parlement. 1) Ontwerp van de heer W.H. Lans, 1833. De heer Lans was Curator en Weesmeester van het Departement der Onbeheerde Boedels der Weezen in Suriname. Hij is in ieder geval één keer op speciaal verlof in Nederland geweest.1 Op basis van observatie van de gang van zaken in de Britse koloniën wordt er in dit ontwerp vanuit gegaan dat de suiker-, koffie-, en katoenplantages na afschaffing van de slavernij ten gronde zullen gaan. Daarom stelde Lans voor de economie te richten op Ǯandere takken van nijverheidǯ, die beter aansloten bij de vrijgemaakte slaaf-gemaakten. Lans was er voorstander van dat de slaaf-gemaakten betaalden voor hun emancipatie op basis van een schatting van de regering. Dit voorstel lijkt op het dan in gebruik zijnde manumissiesysteem waarbinnen slaaf-gemaakten de afgenomen vrijheid konden terugkopen tegen een eenmalige betaling van minimaal f. 200. Degenen die niet konden betalen, dienden dit bedrag af te lossen met gedwongen arbeid. Dit ontwerp bestempelde de regering als onuitvoerbaar.2 Het lijkt erop dat de heer Lans meer geïnteresseerd was in de toekomst van de kolonie dan in het welzijn van de slaaf-gemaakten. Mogelijk stelde hij daarom voor om meer verscheidenheid te creëren in het aanbod verbouwde gewassen, en ook om de slaaf-gemaakten zelf te laten betalen voor hun eigen emancipatie. 2) Ontwerp van de heer T.J. Travers, 1833. Travers betoogde dat afschaffing zou leiden tot Ǯde vernieling der kolonieǯ met Ǯdiep rampzaligeǯ gevolgen voor de slaaf-gemaakten. (ij opperde daarom Ǯpalliatieve middelenǯ in te zetten voor de houder van de slaaf- gemaakten, om daarmee de slavernij niet abrupt te laten eindigen maar","Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality",0.999552,"{""Colonial Exploitation, Slavery & Economic Inequality"": 0.999552, ""Reparations and Remembrance"": 0.857901}","Colonial Exploitation, Slavery & Economic Inequality: arbeid, emancipatie, kolonie, slavernij, suiker; Reparations and Remembrance: emancipatie","Colonial Exploitation, Slavery & Economic Inequality: distinct_kw=5 (w=6.20); hits=8 (w=9.80); cov=0.04; prox=0.91; groups=1 (w=1.30); Reparations and Remembrance: distinct_kw=1 (w=1.00); hits=2 (w=2.00); cov=0.01; prox=0.65; groups=1 (w=1.00)",C:\Users\Home\policy-analysis\slavery_text\Nimako et al_2020_Een rapport met betrekking tot het onderzoeksproject over de periode voor de.29.txt__0,300,"[1, 0, 1]","[0.0033333333333333335, 0.0, 0.0033333333333333335]","[1, 0, 1]"
C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.339.txt,0,"— 339 — — VROEGE VORMING VAN SLAVERNIJ EN KOLONIALISME — ­legden de Staten-Generaal de grondslag voor de juridisering van Afrikaan­ se slaafgemaakten als een aparte categorie koloniale onderdanen waarvoor specifieke wetten golden. Portret door Jasper Beckx van Dom Miguel de Castro, een zwarte afgezant uit Angola, gemaakt tussen 1641 en 1645.","Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism","Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism","Colonial Exploitation, Slavery & Economic Inequality",0.96474,"{""Colonial Exploitation, Slavery & Economic Inequality"": 0.96474, ""Modern & Everyday Racism"": 0.82153}","Colonial Exploitation, Slavery & Economic Inequality: slaafgemaakt, slavernij; Modern & Everyday Racism: apart","Colonial Exploitation, Slavery & Economic Inequality: distinct_kw=2 (w=2.60); hits=2 (w=2.60); cov=0.07; prox=0.69; groups=1 (w=1.30); Modern & Everyday Racism: distinct_kw=1 (w=1.30); hits=1 (w=1.30); cov=0.02; prox=0.00; groups=1 (w=1.30)",C:\Users\Home\policy-analysis\slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.339.txt__0,52,"[1, 1, 0]","[0.019230769230769232, 0.019230769230769232, 0.0]","[1, 1, 0]"
C:\Users\Home\policy-analysis\slavery_text\ketenen van het verleden.201.txt,0,"dan de helft van de Afro-Antillianen en iets minder Afro-Surinamers hebben een partner van de andere etnische groep, veelal inheemse Nederlanders.19 Op de CAS- en BES-eilanden zien we ook eenzelfde dynamiek waarbij exogamie vaak voorkomt.20 De exogame cultuur van de Afro- Antillianen en Afro-Surinamers vereist dat er analytisch secuur te werk wordt gegaan. Hoe typeer je een Nederlandse jongen die actief is in de antiracismestrijd met een witte inheemse moeder en een vader die ook etnisch gemengd is?21 Zijn vader heeft een Curaçaose moeder en een vader die voorkomt uit een menging van een Afro- en Javaanse Surinamer. Zonder te vervallen in het idee van interracialiteit geeft dit voorbeeld aan dat de meeste statistieken in Nederland deze diversiteit niet opnemen omdat een zwart-wit raster domineert.22 Alleen door Afro-Antillianen en Afro-Surinamers te bestuderen in termen van ideaaltypen, kan men recht doen aan de dynamiek en diversiteit die schuilgaan achter de cijfers. Dit geldt ook op de CAS- en BES-eilanden.23 Complicering ontkracht natuurlijk niet het gegeven dat, of zij gemixt zijn of niet, velen vandaag de dag nog de erfenis van slavernij ervaren. Velen herkennen zich in het idee dat Afro-Antillianen en Afro-Surinamers mentaal nog moeten helen: Je kunt niet verwachten dat de voormalige slaven na de afschaffing van de slavernij op 1 juli 1863 ineens in een bruisende, ondernemende gemeenschap zijn veranderd. Dat kost wel een paar generaties. De zwarte bevolking is voor een groot deel nog steeds bezig d'jonge Hond en Forum. In Nederland zijn er ook organisaties en bewegingen ontstaan die erkenning vragen voor dit fenomeen. Een voorbeeld is de jaarlijkse terugkerende festival Lovingday: http://lovingday.nl/loving-day-2015/. Ook programmas in de Balie: https://debalie.nl/programma/liefde-in-tijden-van-racisme/. Ook in een tijd van sociale media wordt vele persoonlijke verhalen gedeeld. Zie als voorbeeld: https://charliemag.be/mensen/liefde-en-kleur1/. 19 “Tweede generatie Surinamers (35 procent) en vooral Antillianen (64 procent) trouwen","Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism|Reparations and Remembrance",Modern & Everyday Racism,0.98207,"{""Colonial Exploitation, Slavery & Economic Inequality"": 0.922304, ""Modern & Everyday Racism"": 0.98207, ""Reparations and Remembrance"": 0.816657}","Colonial Exploitation, Slavery & Economic Inequality: slavernij; Modern & Everyday Racism: etnisch, racism; Reparations and Remembrance: verhal","Colonial Exploitation, Slavery & Economic Inequality: distinct_kw=1 (w=1.30); hits=2 (w=2.60); cov=0.01; prox=0.91; groups=1 (w=1.30); Modern & Everyday Racism: distinct_kw=2 (w=2.60); hits=4 (w=5.20); cov=0.01; prox=0.72; groups=1 (w=1.30); Reparations and Remembrance: distinct_kw=1 (w=1.30); hits=1 (w=1.30); cov=0.00; prox=0.00; groups=1 (w=1.30)",C:\Users\Home\policy-analysis\slavery_text\ketenen van het verleden.201.txt__0,300,"[1, 1, 1]","[0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335]","[1, 1, 1]"
C:\Users\Home\policy-analysis\slavery_text\ketenen van het verleden.182.txt,0,"2 Gevolgen van het slavernijverleden Bij de Trans Atlantische slavenhandel ging het om Europeanen die naar Afrika voeren en daar mensen ontvoerden. Deze werden dan overgebracht naar het Caribisch gebied en Amerika, waar de slavernij activiteiten plaatsvonden. Dit slavernijverleden heeft grote gevolgen gehad voor de gekoloniseerde gemeenschappen. Tijdens de “UN World Conference against Racism, Racial Discrimination, Xenophobia, and Related Intolerance” in Durban in 2001, discussieerden de Europese politici over het feit dat de Europese slavenhandel die Afrikanen tot slaven hadden gemaakt een misdaad had begaan (Beckles, 2013). Juristen, theologen en filosofen hebben aangegeven dat slavenhandel en chattel slavery (slavernij waarbij een mens een volledig bezit wordt van een ander) allebei misdaden zijn. Aan de andere kant waren bepaalde groepen van mening dat deze misdaden in het nationaal belang waren gepleegd. Beckles (2013) gaf aan dat de pijn van de tot slaaf gemaakten en de wonden van dit onrecht, deze mensen bleven achtervolgen. Het verzwakte ook hun capaciteit om zich te voelen als gelijken met de nazaten van de slavenhandelaren. Tijdens de conferentie in Durban waren resoluties aangenomen die slavenhandel en slavernij veroordeelden. De aangenomen resoluties zijn bindend voor de landen die zich op een misdadige wijze hadden verrijkt middels deze activiteiten. Reparatie wordt dan ervaren als gerechtigdheid. Om de economische situatie in het Caribisch gebied te begrijpen is de relatie van de gekoloniseerde gemeenschappen met de kolonisator van grote betekenis. De economische geschiedenis laat dan ook zien dat deze gebieden zich ontwikkelden van mercantalisme, naar kapitalisme en neo liberale systeem (Emmer, 2000). De gemeenschap werd sociaal gestructureerd waarbij de kleur van de mensen een determinerende rol speelde. De lichtgekleurden vormde de toplaag in de sociale structuur zowel in de handelssector als in het bestuur van het land. De donkergekleurde personen vormden de onderste laag van de gemeenschap. De verandering van","Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism|Reparations and Remembrance","Colonial Exploitation, Slavery & Economic Inequality|Modern & Everyday Racism|Reparations and Remembrance",Reparations and Remembrance,0.997653,"{""Colonial Exploitation, Slavery & Economic Inequality"": 0.983313, ""Modern & Everyday Racism"": 0.924714, ""Reparations and Remembrance"": 0.997653}","Colonial Exploitation, Slavery & Economic Inequality: bezit, slavernij; Modern & Everyday Racism: racism; Reparations and Remembrance: geschiedenis, nazat, reparatie, slavernijverled","Colonial Exploitation, Slavery & Economic Inequality: distinct_kw=2 (w=2.60); hits=4 (w=5.20); cov=0.02; prox=0.84; groups=1 (w=1.30); Modern & Everyday Racism: distinct_kw=1 (w=1.30); hits=2 (w=2.60); cov=0.00; prox=1.00; groups=1 (w=1.30); Reparations and Remembrance: distinct_kw=4 (w=5.20); hits=5 (w=6.50); cov=0.03; prox=0.81; groups=1 (w=1.30)",C:\Users\Home\policy-analysis\slavery_text\ketenen van het verleden.182.txt__0,300,"[1, 1, 1]","[0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335]","[1, 1, 1]"
