topic,keyword,count
"Colonial Exploitation, Slavery & Economic Inequality",slavernij,892
"Colonial Exploitation, Slavery & Economic Inequality",slaafgemaakt,435
"Colonial Exploitation, Slavery & Economic Inequality",handel,312
"Colonial Exploitation, Slavery & Economic Inequality",voc,270
"Colonial Exploitation, Slavery & Economic Inequality",kolonie,162
"Colonial Exploitation, Slavery & Economic Inequality",plantag,159
"Colonial Exploitation, Slavery & Economic Inequality",wic,151
"Colonial Exploitation, Slavery & Economic Inequality",emancipatie,129
"Colonial Exploitation, Slavery & Economic Inequality",arbeid,123
"Colonial Exploitation, Slavery & Economic Inequality",bezit,96
"Colonial Exploitation, Slavery & Economic Inequality",opstand,95
"Colonial Exploitation, Slavery & Economic Inequality",koloniaal,94
"Colonial Exploitation, Slavery & Economic Inequality",ongelijk,76
"Colonial Exploitation, Slavery & Economic Inequality",staatstoezicht,72
"Colonial Exploitation, Slavery & Economic Inequality",suiker,60
"Colonial Exploitation, Slavery & Economic Inequality",meester,54
"Colonial Exploitation, Slavery & Economic Inequality",winst,49
"Colonial Exploitation, Slavery & Economic Inequality",kapital,48
"Colonial Exploitation, Slavery & Economic Inequality",verkop,46
"Colonial Exploitation, Slavery & Economic Inequality",eigendom,42
"Colonial Exploitation, Slavery & Economic Inequality",dwangarbeid,35
"Colonial Exploitation, Slavery & Economic Inequality",vlucht,32
"Colonial Exploitation, Slavery & Economic Inequality",uitbuit,24
"Colonial Exploitation, Slavery & Economic Inequality",opbrengst,24
"Colonial Exploitation, Slavery & Economic Inequality",straff,20
"Colonial Exploitation, Slavery & Economic Inequality",tabak,15
"Colonial Exploitation, Slavery & Economic Inequality",monopolie,15
"Colonial Exploitation, Slavery & Economic Inequality",katoen,11
"Colonial Exploitation, Slavery & Economic Inequality",rijkdom,11
"Colonial Exploitation, Slavery & Economic Inequality",imperialism,11
"Colonial Exploitation, Slavery & Economic Inequality",olie,8
"Colonial Exploitation, Slavery & Economic Inequality",export,7
"Colonial Exploitation, Slavery & Economic Inequality",zwep,7
"Colonial Exploitation, Slavery & Economic Inequality",manumissie,7
"Colonial Exploitation, Slavery & Economic Inequality",totslaafgemaakt,6
"Colonial Exploitation, Slavery & Economic Inequality",ketting,4
"Colonial Exploitation, Slavery & Economic Inequality",invest,3
"Colonial Exploitation, Slavery & Economic Inequality",martel,3
"Colonial Exploitation, Slavery & Economic Inequality",wereldhandel,2
"Colonial Exploitation, Slavery & Economic Inequality",tuchtig,1
"Colonial Exploitation, Slavery & Economic Inequality",boei,1
"Colonial Exploitation, Slavery & Economic Inequality",monocultur,1
Modern & Everyday Racism,racism,391
Modern & Everyday Racism,culturel,216
Modern & Everyday Racism,discriminatie,178
Modern & Everyday Racism,structurel,95
Modern & Everyday Racism,institutionel,95
Modern & Everyday Racism,etnisch,93
Modern & Everyday Racism,uitsluit,82
Modern & Everyday Racism,ongelijk,76
Modern & Everyday Racism,vooroordel,45
Modern & Everyday Racism,inclusie,43
Modern & Everyday Racism,migrant,38
Modern & Everyday Racism,integratie,20
Modern & Everyday Racism,apart,20
Modern & Everyday Racism,migratie,18
Modern & Everyday Racism,stereotyper,18
Modern & Everyday Racism,meerstemm,17
Modern & Everyday Racism,educatie,15
Modern & Everyday Racism,stereotyp,15
Modern & Everyday Racism,segregatie,14
Modern & Everyday Racism,antiracism,13
Modern & Everyday Racism,achterstell,11
Modern & Everyday Racism,systemisch,10
Modern & Everyday Racism,witheid,10
Modern & Everyday Racism,allochton,9
Modern & Everyday Racism,politiegeweld,9
Modern & Everyday Racism,achtergesteld,6
Modern & Everyday Racism,autochton,5
Modern & Everyday Racism,microagressie,4
Modern & Everyday Racism,intersectionel,4
Modern & Everyday Racism,afrofobie,2
Modern & Everyday Racism,racial ongelijk,1
Reparations and Remembrance,geschiedenis,383
Reparations and Remembrance,slavernijverled,297
Reparations and Remembrance,excuses,159
Reparations and Remembrance,verhal,142
Reparations and Remembrance,emancipatie,129
Reparations and Remembrance,onderwijs,125
Reparations and Remembrance,archief,117
Reparations and Remembrance,nazat,94
Reparations and Remembrance,beleid,94
Reparations and Remembrance,herdenk,75
Reparations and Remembrance,juridisch,74
Reparations and Remembrance,maatregel,72
Reparations and Remembrance,museum,67
Reparations and Remembrance,bronn,61
Reparations and Remembrance,monument,55
Reparations and Remembrance,commissie,54
Reparations and Remembrance,herinner,53
Reparations and Remembrance,wetgev,46
Reparations and Remembrance,adviescolleg,42
Reparations and Remembrance,compensatie,39
Reparations and Remembrance,tentoonstell,31
Reparations and Remembrance,oral,29
Reparations and Remembrance,erfgoed,28
Reparations and Remembrance,dialooggroep,26
Reparations and Remembrance,schadevergoed,23
Reparations and Remembrance,diaspora,21
Reparations and Remembrance,herstelbetal,21
Reparations and Remembrance,reparation,19
Reparations and Remembrance,curriculum,19
Reparations and Remembrance,claim,12
Reparations and Remembrance,erk,11
Reparations and Remembrance,lesmateriaal,6
Reparations and Remembrance,reparatie,5
Reparations and Remembrance,herinneringscultur,5
Reparations and Remembrance,restitutie,3
Reparations and Remembrance,gedenkdag,1
