keyword,count
slavernij,892
slaafgemaakt,435
racism,391
geschiedenis,383
handel,312
slavernijverled,297
voc,270
emancipatie,258
culturel,216
discriminatie,178
kolonie,162
excuses,159
plantag,159
ongelijk,152
wic,151
verhal,142
onderwijs,125
arbeid,123
archief,117
bezit,96
institutionel,95
opstand,95
structurel,95
beleid,94
koloniaal,94
nazat,94
etnisch,93
uitsluit,82
herdenk,75
juridisch,74
staatstoezicht,72
maatregel,72
museum,67
bronn,61
suiker,60
monument,55
meester,54
commissie,54
herinner,53
winst,49
kapital,48
verkop,46
wetgev,46
vooroordel,45
inclusie,43
adviescolleg,42
eigendom,42
compensatie,39
migrant,38
dwangarbeid,35
vlucht,32
tentoonstell,31
oral,29
erfgoed,28
dialooggroep,26
opbrengst,24
uitbuit,24
schadevergoed,23
diaspora,21
herstelbetal,21
straff,20
apart,20
integratie,20
reparation,19
curriculum,19
stereotyper,18
migratie,18
meerstemm,17
tabak,15
educatie,15
stereotyp,15
monopolie,15
segregatie,14
antiracism,13
claim,12
achterstell,11
erk,11
rijkdom,11
imperialism,11
katoen,11
systemisch,10
witheid,10
politiegeweld,9
allochton,9
olie,8
manumissie,7
export,7
zwep,7
totslaafgemaakt,6
lesmateriaal,6
achtergesteld,6
reparatie,5
herinneringscultur,5
autochton,5
ketting,4
microagressie,4
intersectionel,4
restitutie,3
invest,3
martel,3
wereldhandel,2
afrofobie,2
tuchtig,1
boei,1
monocultur,1
gedenkdag,1
racial ongelijk,1
