,topic,keyword,group,weight,is_regex
26,"Colonial Exploitation, Slavery & Economic Inequality",Staatstoezicht,,1.3,False
10,"Colonial Exploitation, Slavery & Economic Inequality",arbeid,,1.3,False
11,"Colonial Exploitation, Slavery & Economic Inequality",arbeidsdeling,,1.3,False
20,"Colonial Exploitation, Slavery & Economic Inequality",bezit,,1.3,False
40,"Colonial Exploitation, Slavery & Economic Inequality",boeien,,1.3,False
36,"Colonial Exploitation, Slavery & Economic Inequality",dwangarbeid,,1.3,False
21,"Colonial Exploitation, Slavery & Economic Inequality",eigendom,,1.3,False
46,"Colonial Exploitation, Slavery & Economic Inequality",emancipatie,,1,False
8,"Colonial Exploitation, Slavery & Economic Inequality",export,,1.3,False
7,"Colonial Exploitation, Slavery & Economic Inequality",handel,,1.3,False
23,"Colonial Exploitation, Slavery & Economic Inequality",imperialism,,1.3,False
22,"Colonial Exploitation, Slavery & Economic Inequality",invest,,1.3,False
19,"Colonial Exploitation, Slavery & Economic Inequality",kapital,,1.3,False
6,"Colonial Exploitation, Slavery & Economic Inequality",katoen,,1.3,False
31,"Colonial Exploitation, Slavery & Economic Inequality",ketting,,1.3,False
44,"Colonial Exploitation, Slavery & Economic Inequality",koloniaal,,1.3,False
0,"Colonial Exploitation, Slavery & Economic Inequality",kolonie,,1.3,False
13,"Colonial Exploitation, Slavery & Economic Inequality",landrof,,1.3,False
45,"Colonial Exploitation, Slavery & Economic Inequality",manumissie,,1.3,False
39,"Colonial Exploitation, Slavery & Economic Inequality",marteling,,1.3,False
33,"Colonial Exploitation, Slavery & Economic Inequality",meester,,1.3,False
27,"Colonial Exploitation, Slavery & Economic Inequality",monocultur,,1.3,False
12,"Colonial Exploitation, Slavery & Economic Inequality",monopolie,,1.3,False
25,"Colonial Exploitation, Slavery & Economic Inequality",olie,,1.3,False
16,"Colonial Exploitation, Slavery & Economic Inequality",ongelijk,,1,False
15,"Colonial Exploitation, Slavery & Economic Inequality",opbrengst,,1.3,False
37,"Colonial Exploitation, Slavery & Economic Inequality",opstand,,1.3,False
41,"Colonial Exploitation, Slavery & Economic Inequality",overseer,,1.3,False
3,"Colonial Exploitation, Slavery & Economic Inequality",plantag,,1.3,False
14,"Colonial Exploitation, Slavery & Economic Inequality",repartitie,,1.3,False
17,"Colonial Exploitation, Slavery & Economic Inequality",rijkdom,,1.3,False
29,"Colonial Exploitation, Slavery & Economic Inequality",slaafgemaakt,,1.3,False
35,"Colonial Exploitation, Slavery & Economic Inequality",slavencode,,1.3,False
28,"Colonial Exploitation, Slavery & Economic Inequality",slavernij,,1.3,False
34,"Colonial Exploitation, Slavery & Economic Inequality",straffen,,1.3,False
4,"Colonial Exploitation, Slavery & Economic Inequality",suiker,,1.3,False
5,"Colonial Exploitation, Slavery & Economic Inequality",tabak,,1.3,False
47,"Colonial Exploitation, Slavery & Economic Inequality",totslaafgemaakten,,1.3,False
30,"Colonial Exploitation, Slavery & Economic Inequality",tuchtiging,,1.3,False
18,"Colonial Exploitation, Slavery & Economic Inequality",uitbuit,,1.3,False
42,"Colonial Exploitation, Slavery & Economic Inequality",uitbuiting,,1.3,False
43,"Colonial Exploitation, Slavery & Economic Inequality",verkoop,,1.3,False
38,"Colonial Exploitation, Slavery & Economic Inequality",vlucht,,1.3,False
2,"Colonial Exploitation, Slavery & Economic Inequality",voc,,1.3,False
24,"Colonial Exploitation, Slavery & Economic Inequality",wereldhandel,,1.3,False
1,"Colonial Exploitation, Slavery & Economic Inequality",wic,,1.3,False
9,"Colonial Exploitation, Slavery & Economic Inequality",winst,,1.3,False
32,"Colonial Exploitation, Slavery & Economic Inequality",zweep,,1.3,False
113,Modern & Everyday Racism,Indentiteit,,1.3,False
121,Modern & Everyday Racism,achtergesteld,,1.3,False
92,Modern & Everyday Racism,achterstell,,1.3,False
98,Modern & Everyday Racism,afrofobie,,1.3,False
115,Modern & Everyday Racism,allochtoon,,1.3,False
112,Modern & Everyday Racism,antiracisme,,1.3,False
100,Modern & Everyday Racism,apartheid,,1.3,False
119,Modern & Everyday Racism,autochtoon,,1.3,False
114,Modern & Everyday Racism,culturel,,1.3,False
86,Modern & Everyday Racism,discriminatie,,1.3,False
102,Modern & Everyday Racism,educatie,,1.3,False
116,Modern & Everyday Racism,etnisch,,1.3,False
103,Modern & Everyday Racism,exclusie,,1.3,False
95,Modern & Everyday Racism,inclusie,,1.3,False
107,Modern & Everyday Racism,institutioneel,,1.3,False
122,Modern & Everyday Racism,integratie,,1.3,False
101,Modern & Everyday Racism,intersectionel,,1.3,False
120,Modern & Everyday Racism,meerstemmig,,1.3,False
94,Modern & Everyday Racism,microagressie,,1.3,False
117,Modern & Everyday Racism,migrant,,1.3,False
118,Modern & Everyday Racism,migratie,,1.3,False
89,Modern & Everyday Racism,ongelijk,,1,False
106,Modern & Everyday Racism,ongelijkheid,,1.3,False
88,Modern & Everyday Racism,politiegeweld,,1.3,False
111,Modern & Everyday Racism,raciale ongelijkheid,,1.3,False
87,Modern & Everyday Racism,racism,,1.3,False
104,Modern & Everyday Racism,racisme,,1.3,False
97,Modern & Everyday Racism,segregatie,,1.3,False
105,Modern & Everyday Racism,stereotypen,,1.3,False
91,Modern & Everyday Racism,stereotyper,,1.3,False
108,Modern & Everyday Racism,structureel,,1.3,False
109,Modern & Everyday Racism,systemisch,,1.3,False
96,Modern & Everyday Racism,uitsluit,,1.3,False
110,Modern & Everyday Racism,vooroordelen,,1.3,False
93,Modern & Everyday Racism,white-privilege,,1.3,False
99,Modern & Everyday Racism,witheid,,1.3,False
90,Modern & Everyday Racism,zwartepiet,,1.3,False
73,Reparations and Remembrance,adviescolleg,,1.3,False
60,Reparations and Remembrance,archief,,1.3,False
75,Reparations and Remembrance,beleid,,1.3,False
63,Reparations and Remembrance,bronn,,1.3,False
78,Reparations and Remembrance,claim,,1.3,False
71,Reparations and Remembrance,commissie,,1.3,False
69,Reparations and Remembrance,compensatie,,1.3,False
53,Reparations and Remembrance,curriculum,,1.3,False
72,Reparations and Remembrance,dialooggroep,,1.3,False
61,Reparations and Remembrance,diaspora,,1.3,False
85,Reparations and Remembrance,emancipatie,,1,False
55,Reparations and Remembrance,erfgoed,,1.3,False
80,Reparations and Remembrance,erken,,1.3,False
70,Reparations and Remembrance,excuses,,1.3,False
64,Reparations and Remembrance,gedenkboek,,1.3,False
56,Reparations and Remembrance,gedenkdag,,1.3,False
54,Reparations and Remembrance,geschiedenis,,1.3,False
48,Reparations and Remembrance,herdenk,,1.3,False
49,Reparations and Remembrance,herinner,,1.3,False
65,Reparations and Remembrance,herinneringscultur,,1.3,False
68,Reparations and Remembrance,herstelbetal,,1.3,False
79,Reparations and Remembrance,herstelrecht,,1.3,False
77,Reparations and Remembrance,juridisch,,1.3,False
57,Reparations and Remembrance,lesmateriaal,,1.3,False
83,Reparations and Remembrance,maatregel,,1.3,False
51,Reparations and Remembrance,monument,,1.3,False
50,Reparations and Remembrance,museum,,1.3,False
67,Reparations and Remembrance,nazat,,1.3,False
52,Reparations and Remembrance,onderwijs,,1.3,False
62,Reparations and Remembrance,oral,,1.3,False
74,Reparations and Remembrance,reparatie,,1.3,False
84,Reparations and Remembrance,reparation,,1.3,False
76,Reparations and Remembrance,restitutie,,1.3,False
81,Reparations and Remembrance,schadevergoed,,1.3,False
66,Reparations and Remembrance,slavernijverled,,1.3,False
58,Reparations and Remembrance,tentoonstell,,1.3,False
59,Reparations and Remembrance,verhal,,1.3,False
82,Reparations and Remembrance,wetgev,,1.3,False
