chunk_text,topic
"Onder hen waren 
veel burgemeesters en vroedschapsleden, maar ook inwoners uit de 
rĳkere koopmansklasse.
Slavernĳ in Azië
Wie in de voc belegde, investeerde in een imperium dat op de arbeid 
van slaafgemaakten dreef. Mensen in Nederland associëren de voc 
vooral met handel in specerĳen en luxeproducten uit Azië, niet met 
mensenhandel en gedwongen arbeid. Dat is een vergissing. De laatste 
jaren is er steeds meer aandacht gekomen voor de slavernĳ die er ook 
onder het bewind van de voc bestond.3 Onderzoek heeft uitgewezen dat 
de handel in slaafgemaakten in vestigingen van de voc vermoedelĳk 
groter was dan de Nederlandse slavenhandel over de Atlantische Oce-
aan.4 De aard van de slavenhandel onder de voc in Azië was enigszins 
anders dan in de Amerikaanse plantagekoloniën.",Colonial Exploitation & Economic Inequality
"Met de toenemende geloofsvervolging 
in het Spaans-Habsburgse rijk vestigden zij zich door heel Europa en in 
de koloniën die de Europese mogendheden stichtten. Velen legden zich toe 
op handelsactiviteiten en dienstverlenende beroepen in bijvoorbeeld het 
bank- en verzekeringswezen. Door hun contacten en kennis waren zij pio­
niers op het terrein van de interkoloniale handel. Op Curaçao hadden de Sefardische Joden goede startmogelijkheden: ze 
kregen religieuze vrijheid en kochten dieren en land. Ook beschikten ze 
over slaafgemaakten.",Colonial Exploitation & Economic Inequality
"Na dit tijdperk kregen de stadhouders er nog een andere verdienpost 
bij. Op voorstel van de hoofdparticipanten werd prins Willem iv in 1749 
namelijk tot Opperbewindhebber benoemd van de voc en wic. In die 
functie, waarmee hij het recht kreeg uit een voordracht van drie personen 
de Bewindhebbers en Hoofdparticipanten aan te stellen, beloofde hij 
de economie en de handel te bevorderen. De Hoofdparticipanten boden 
hem in ruil daarvoor een jouissance (winstaandeel) aan van vier procent.8 
­Vanwege de slechte financiën van de wic kon dit in 1749 nog niet worden 
uitgekeerd. Deze nieuwe functie van de stadhouder leidde tot chicanes 
van de bewindhebbers van de wic en van de Heren Zeventien die trachtten 
de bevoegdheden van de bestuurder te beperken.",Colonial Exploitation & Economic Inequality
"Toch had Utrecht grote belangen in de handel van de voc. Niet 
alleen investeerden veel Utrechters er hun geld in, maar ook namen veel 
stadsbewoners dienst bĳ de voc. Relatief veel Utrechters bekleedden 
hoge functies in het Aziatische imperium en streken met hun vergaarde 
koloniale rĳkdommen weer in Utrecht neer. Daar gaat dit hoofdstuk over.
Utrecht was in de zeventiende eeuw een vrĳ welvarende provinciestad, 
maar profiteerde niet van de komst van Zuid-Nederlandse migranten 
en de expansie van de zeehandel die daarmee gepaard ging, zoals de 
grote steden in Holland en Zeeland deden. Toch hebben de provincie 
en de stad Utrecht pogingen gedaan om een vinger in de pap te krĳgen.",Colonial Exploitation & Economic Inequality
"Dat wordt misschien nog wel het best geïllustreerd 
door de vergoedingen die in 1863, toen de slavernĳ in de Nederlandse 
Caraïben werd afgeschaft, wél werden uitgekeerd aan de voormalige 
slaveneigenaren, als vergoeding voor hun bezitsverlies, maar niet aan 
de voormalige tot slaaf gemaakten, die niets kregen ter vergoeding 
voor vrĳheidsberoving en dwangarbeid. Enkele tientallen Utrechtse 
eigenaren van plantages en tot slaaf gemaakten in Suriname zĳn in 
1863 voor de emancipatie van hun arbeiders gecompenseerd. Iemand 
als Christiaan Willem Weidner, die voor 100 procent eigenaar was 
van de Surinaamse plantage Goosen en op de Wittevrouwensingel 
woonde, ontving 24.600 gulden. Aangezien de schadevergoeding 300 
gulden per vrĳgelatene bedroeg, bezat hĳ dus minstens 82 tot slaaf 
gemaakten. Deze personen werden keurig geregistreerd.",Colonial Exploitation & Economic Inequality
"De 
Engelsen spanden zich immers in om voor de Republiek de Barrière 
veilig te stellen, een aantal steden in de Spaanse Nederlanden waarin 
de Nederlanders garnizoenen mochten legeren als verdediging tegen 
eventuele Franse agressie in de toekomst.13
Terwĳl de Engelsen de Nederlanders onder druk zetten om het asiento 
te laten schieten, werd er vanuit de Hollandse handelssteden juist gelob-
byd om het te verkrĳgen. De wic streefde ernaar om ten minste een 
deel van het asiento binnen te slepen en wilde bĳvoorbeeld het eiland 
Puerto Rico gebruiken voor ‘the security of the Curacao trade, and the 
furnishing of negroes to the north side of the Spanish West Indies’. De 
raadpensionaris eiste tevergeefs een tegemoetkoming van de Engelsen. Toen de Nederlanders voet bĳ stuk hielden, dreigden de Engelsen het 
op een akkoordje te gooien met Frankrĳk. Engelse politici konden niet 
begrĳpen ‘dat men alhier jalours was van soo cleyne saack",Colonial Exploitation & Economic Inequality
"In 1629 werd hĳ schepen van de 
stad Amsterdam en in 1634 bewindhebber van de voc. Maar als afstam-
meling van families uit de handelsklasse had hĳ niet het aanzien en de 
status die edelen wel hadden. In 1637 werd hĳ door de Zweedse koning 
benoemd tot ridder, een titel die hĳ in de Republiek wel mocht gebruiken 
maar die hem geen privileges verschafte.8 Daarom kocht hĳ in datzelfde 
Gezicht over de Vecht in Maarssen vanuit het noorden, met links het huis Goudestein. D. 
Stopendaal, 1718-1719 (Het Utrechts Archief)",Colonial Exploitation & Economic Inequality
"DE UTRECHTSE COMPAGNIE 
73
‘quantiteit’ was gebracht, dat het tot een betere cultivering van de 
plantage zou leiden, zoals volgt uit een rapport uit 1790.59 Dit moet de 
aandeelhouders hebben afgeschrokken, want er werd inderdaad tot 
verkoop overgegaan. In 1792 werd de plantage verkocht aan François 
de Mey, heer van Lekkerland, voor een bedrag van 15.300 gulden.60 Hoe 
het mannen als Phaeton, Cupido, Cesar en Schoonheid of vrouwen als 
Agatha, Europa en Luna daarna is vergaan, als slaafgemaakten onder 
deze nieuwe eigenaar, is vooralsnog onbekend. Conclusie",Colonial Exploitation & Economic Inequality
"De historicus 
Okke ten Hove heeft een belangrijk gedeelte van de informatie uit dit boek gebruikt om de 
489 namen van tot slaaf gemaakte personen en hun eigenaren op Aruba te verzamelen en te 
 
21 https://dialooginactie.nl/wp-content/uploads/2016/11/Meerstemmig-Verleden-Kit-Publishers-2011.pdf 
22 Luc Alofs, The Peasant and the Rebel: Indian Aruba in the historical age, in: L. Alofs & R. Dijkhoff (Eds, 
2003), Proceedings of the XIXth International Congress for Caribbean Archaeology, International Association 
for Caribbean Archaeology, Aruba, July, 22-28, 2001. Volume 2: 240-256. Publication of the Archaeological MuseumAruba, volume 9.",Colonial Exploitation & Economic Inequality
"Suriname was niet meer de ‘Wilde Kust,’ maar werd door toedoen van 
Europese kolonisten onderdeel van een economisch systeem dat de belan­
gen moest dienen van kapitaalkrachtige particulieren en staatslieden in 
zowel Engeland (voor een korte periode weliswaar) als Nederland (gedu­
rende drie eeuwen). De politiek-bestuurlijke regie van de kolonie was in 
handen van de Nederlandse Staten-Generaal. De gouverneur had het 
hoogste gezag in politieke en militaire zaken. Economische belangen 
­werden verdedigd door een politie- en militairapparaat; ook de juridische 
constellatie moest economische belangen waar nodig verdedigen, 
­beschermen of regelen.8
◼ ◼◼ Keti Koti (verbroken en gebroken schakels)",Colonial Exploitation & Economic Inequality
