topic,term,cosine,df,keep
Colonialism,kolonie,1.0,163,True
Colonialism,koloniaal,1.0,96,True
Colonialism,voc,1.0,277,True
Colonialism,wic,1.0,163,True
Colonialism,koloniale,0.9781,535,True
Colonialism,koloniën,0.8776,311,True
Colonialism,postkoloniale,0.8665,20,True
Colonialism,kolonien,0.8633,32,True
Colonialism,kolonisten,0.8612,34,True
Colonialism,postkoloniaal,0.8558,9,True
Colonialism,kaapkolonie,0.8093,15,True
Colonialism,kolonisatie,0.794,23,True
Colonialism,slavenkolonie,0.7626,5,True
Colonialism,kolonialisme,0.7395,170,True
Colonialism,kolonisatoren,0.7183,5,True
Colonialism,landbouwkolonie,0.7154,12,True
Colonialism,kolonisator,0.7128,13,True
Colonialism,gekoloniseerden,0.7042,8,True
Colonialism,slavenkoloniën,0.6993,6,True
Colonialism,plantagekolonie,0.6802,10,True
Colonialism,uitbuiting,0.6653,23,True
Colonialism,antikoloniale,0.6385,6,True
Colonialism,gekoloniseerde,0.6337,31,True
Colonialism,dekolonisatie,0.5848,18,True
Colonialism,plantagekoloniën,0.5566,7,True
