topic,term,cosine,df,keep
Historical slavery,slavernij,1.0,935,True
Historical slavery,plantage,1.0,145,True
Historical slavery,dwangarbeid,1.0,35,True
Historical slavery,plantages,0.9373,156,True
Historical slavery,slavernijgerelateerde,0.9017,6,True
Historical slavery,plantagesector,0.8531,8,True
Historical slavery,slavernijverleden,0.8413,312,True
Historical slavery,plantagehouder,0.8396,7,True
Historical slavery,plantagehouders,0.8344,15,True
Historical slavery,slavernijsysteem,0.8334,19,True
Historical slavery,dwangarbeiders,0.827,6,True
Historical slavery,slavernijdebat,0.8225,6,True
Historical slavery,slavernijgeschiedenis,0.8136,33,True
Historical slavery,slavernijperiode,0.8135,6,True
Historical slavery,planters,0.8038,43,True
Historical slavery,slavenarbeid,0.7495,18,True
Historical slavery,plantagekolonie,0.7197,10,True
Historical slavery,slaafgemaakt,0.717,13,True
Historical slavery,totslaafgemaakten,0.7105,5,True
Historical slavery,slaafgemaakte,0.704,144,True
Historical slavery,eigendomsslavernij,0.7025,5,True
Historical slavery,slavenplantages,0.6845,5,True
Historical slavery,plantagekoloniën,0.6833,7,True
Historical slavery,plantageslavernij,0.672,5,True
Historical slavery,arbeidsdwang,0.633,5,True
Historical slavery,koffieplantage,0.6314,11,True
Historical slavery,slavenhandel,0.6279,285,True
Historical slavery,slaafgemaak,0.6276,30,True
Historical slavery,slavernijmuseum,0.6163,18,True
Historical slavery,slaaf,0.6106,298,True
Historical slavery,slaven,0.6074,237,True
Historical slavery,slavenopstand,0.6043,26,True
Historical slavery,suikerplantages,0.6036,12,True
Historical slavery,slavenemancipatie,0.5584,9,True
