topic,term,cosine,df,keep
Remembrance,herdenking,1.0,46,True
Remembrance,monument,1.0,37,True
Remembrance,erfgoed,1.0,28,True
Remembrance,museum,1.0,65,True
Remembrance,rijksmuseum,0.8711,36,True
Remembrance,herdenkingen,0.859,13,True
Remembrance,musea,0.8418,38,True
Remembrance,monumenten,0.799,16,True
Remembrance,historische,0.7806,93,True
Remembrance,ksmuseum,0.7804,5,True
Remembrance,historisch,0.7787,83,True
Remembrance,tropenmuseum,0.7618,11,True
Remembrance,herdenkingsdag,0.7446,12,True
Remembrance,herdenkingsdagen,0.7108,12,True
Remembrance,slavernijmuseum,0.6902,18,True
Remembrance,heritage,0.6642,18,True
Remembrance,slavernijmonument,0.657,11,True
Remembrance,herinnering,0.625,24,True
Remembrance,herdenken,0.619,23,True
Remembrance,viering,0.6122,24,True
Remembrance,histories,0.6117,8,True
Remembrance,historie,0.6078,7,True
Remembrance,history,0.5804,72,True
Remembrance,archives,0.5757,24,True
Remembrance,herinneringen,0.5754,7,True
Remembrance,erfenis,0.5753,50,True
