topic,term,cosine,df,keep
Reparations,herstelbetalingen,1.0,18,True
Reparations,schadevergoeding,1.0,24,True
Reparations,excuses,1.0,164,True
Reparations,excuus,0.9211,35,True
Reparations,sorry,0.7798,11,True
Reparations,afschaffing,0.7028,265,True
Reparations,schade,0.701,32,True
Reparations,herstel,0.7003,76,True
Reparations,excuseswet,0.6943,6,True
Reparations,teruggave,0.6933,5,True
Reparations,aansprakelijkheid,0.666,14,True
Reparations,eerherstel,0.6494,7,True
Reparations,vergoeding,0.648,33,True
Reparations,herstelmaatregelen,0.6439,6,True
Reparations,rechtsherstel,0.5919,6,True
Reparations,herstellen,0.5845,14,True
Reparations,assimilatie,0.5831,7,True
