Annex I
2010 2011 2012 2013 2014
(voorlopig)
Lidstaat EUR % EUR % EUR % EUR % EUR %
Mln BNI Mln BNI Mln BNI Mln BNI Mln BNI
België 2.268 0,64 2.019 0,54 1.801 0,47 1.732 0,45 1.797 0,46
Bulgarije 31 0,09 35 0,09 31 0,08 37 0,10 32 0,08
Cyprus 39 0,23 28 0,16 20 0,12 15 0,10 15 0,10
Denemarken 2.168 0,91 2.108 0,85 2.095 0,83 2.205 0,85 2.258 0,85
Duitsland 9.804 0,39 10.136 0.39 10.067 0,37 10.717 0,38 12.247 0,41
Estland 14 0,1 18 0,11 18 0,11 23 0,13 28 0,15
Finland 1.006 0,55 1.011 0,53 1.027 0,53 1.081 0,54 1.232 0,60
Frankrijk 9.751 0,5 9.348 0,46 9.358 0,45 8.543 0,41 7.817 0,36
Griekenland 383 0,17 305 0,15 225 0,13 180 0,10 187 0,11
Hongarije 86 0,09 100 0,11 92 0,10 97 0,10 118 0,12
Ierland 676 0,52 657 0,51 629 0,47 637 0,46 610 0,38
Italië 2.262 0,15 3.111 0,20 2.129 0,14 2.584 0,17 2.519 0,16
Kroatië x X 15 0.03 15 0,03 32 0,07 49 0,11
Letland 12 0,06 14 0,07 16 0,08 18 0,08 19 0,08
Litouwen 28 0,10 38 0,13 40 0,13 38 0,11 30 0,09
Luxemburg 304 1,05 294 0,97 310 1,00 323 1,00 332 1,07
Malta 10 0,18 14 0,25 14 0,23 14 0,20 16 0,20
Nederland 4.800 0,81 4.563 0,75 4.297 0,71 4.094 0,67 4.200 0,64
Oostenrijk 912 0,32 799 0,27 860 0,28 882 0,27 863 0,26
Polen 285 0,08 300 0,08 328 0,09 355 0,10 329 0,08
Portugal 490 0,29 509 0,31 452 0,28 368 0,28 316 0,19
Roemenië 86 0,07 118 0,09 111 0,08 101 0,07 151 0,10
Slovenië 44 0,13 45 0,13 45 0,13 46 0,13 46 0,13
Slowakije 56 0,09 62 0,09 62 0,09 65 0,09 61 0,08
Spanje 4.492 0,43 3.001 0,29 1.585 0,16 1.789 0,18 1.427 0,14
Tsjechië 172 0,13 180 0,12 171 0,12 159 0,11 158 0,11
Verenigd 9.855 0,57 9.948 0,56 10.808 0,56 13.498 0,71 14.612 0,71
Koninkrijk
Zweden 3.423 0,97 4.030 1,02 4.077 0,97 4.389 1,01 4.690 1,10
Totaallijst feitelijke vragen Homogene Groep Internationale samenwerking 2016 (34301-0) 25/
