Onderwijs, Cultuur en Wetenschap
VIII ONDERWIJS, CULTUUR EN WETENSCHAP: UITGAVEN
In miljoenen euro (excl. HGIS) 2022
Stand Miljoenennota 2022 48.135,4
Mutaties t/m Voorjaarsnota 2022 5.301,5
Mutaties van Voorjaarsnota t/m Miljoenennota 2023 1.052,9
Mutaties van Miljoenennota t/m Najaarsnota 2022 ‒ 345,6
Stand Najaarsnota 2022 54.144,2
Beleidsmatig 0,0
Technisch ‒ 504,9
Meevaller uitgaven studiefinanciering R ‒ 30,9
Bijstelling KOT ‒ 16,1
Aansluiting realisaties slotwet ‒ 162,2
Overboekingen met andere begrotingen 1,1
Oekraïne ‒ 48,2
Corona ‒ 158,3
NGF ‒ 52,6
Desalderingen 38,9
Overige technische mutaties ‒ 76,5
Niet-plafondrelevant ‒ 547,7
Meevaller uitgaven studiefinanciering NR ‒ 185,2
Onderbesteding onderwijshuisvesting Oekraïne ‒ 362,5
Stand Financieel Jaarverslag Rijk 2022 53.091,7
VIII ONDERWIJS, CULTUUR EN WETENSCHAP: NIET-
BELASTINGONTVANGSTEN
In miljoenen euro (excl. HGIS) 2022
Stand Miljoenennota 2022 1.608,0
Mutaties t/m Voorjaarsnota 2022 32,2
Mutaties van Voorjaarsnota t/m Miljoenennota 2023 8,2
Mutaties van Miljoenennota t/m Najaarsnota 2022 ‒ 24,2
Stand Najaarsnota 2022 1.624,2
Beleidsmatig 0,0
Technisch 57,0
Meevaller studiefinanciering ontvangsten R 6,9
Mee-/tegenvaller: diversen 11,3
Desalderingen 38,9
Niet-plafondrelevant 109,3
Meevaller studiefinanciering ontvangsten NR 109,3
Stand Financieel Jaarverslag Rijk 2022 1.790,6
Tweede Kamer, vergaderjaar 2022–2023, 36 360, nr. 2
