404 VW / Rijksluchtvaartdienst 2.16.5240
4360 Australië,1968-1972
460 Australië,1972-1977
461 Australië,1978-1979
463 Bangladesh,1972-1979
2469 Bangladesh,1973
4361 Barbados,1968-1971
462 Barbados,1971-1974
3577 Belgisch Congo (Zaïre),1960-1966
12464 Belgisch Congo (Zaïre),1967-1971
5617 Birma,1947-1951
2430 Birma,1951
2380 Birma,1971-1973
466 Birma,1972-1979
2381 Bolivia,1968-1970
6281 Brazilië,1946-1950
2432 Brazilië,1950-1959
12547 Brazilië,1960-1963
4365 Brazilië,1964-1968
4366 Brazilië,1969-1971
468 Brazilië,1972-1976
2470 Brazilië,1973
505 Brazilië,1974-1979
2433 Bulgarije,1956-1958
3574 Bulgarije,1964-1971
467 Bulgarije,1972-1979
469 Burundi,1973
3575 Cambodja,1961-1970
7318 Canada,1947-1950
4454 Canada,1951-1959
2383 Canada,1960-1967
12310 Canada,1968
12311 Canada,1969-1971
470 Canada,1972-1974
471 Canada,1974-1979
4357 Centraal Afrikaanse Republiek,1969-1971
5616 Ceylon,1947-1950
4455 Ceylon,1951-1959
4368 Ceylon,1960-1971
4456 Chili,1952-1959
4369 Chili,1959-1971
472 Chili,1972-1979
5612 China,1939-1950
4457 China,1951-1958
4370 China,1960-1971
12118 China,1972-1976
475 China,1977-1979
1504 Colombia,1947-1950
3576 Colombia,1960-1970
473 Colombia,1972-1978
474 Cuba,1972-1977
4374 Cyprus,1961-1971
4375 Denemarken,1962-1966
4377 Dominicaanse Republiek,1967-1968
476 Dominicaanse Republiek,1972-1973
