406 VW / Rijksluchtvaartdienst 2.16.5240
12551 Indonesië,1968-1969
4393 Indonesië,1970-1971
4540 Indonesië,1972-1979
4488 Irak,1951-1959
4394 Irak,1960-1971
4541 Irak,1974-1979
4489 Iran,1950-1958
4395 Iran,1960-1971
4542 Iran,1976-1978
7325 Israël,1947-1950
4490 Israël,1951-1959
420 Israël,1960-1965
12115 Israël,1966-1971
4543 Israël,1972-1977
12558 Israël,1977-1979
1513 Italië,1946-1950
451 Italië,1951-1959
2396 Italië,1960-1967
12312 Italië,1968-1971
491 Italië,1972-1978
4396 Ivoorkust,1960-1968
495 Ivoorkust,1972-1975
4397 Jamaica,1962-1971
489 Jamaica,1972-1975
452 Japan,1951-1958
4398 Japan,1960-1963
2397 Japan,1964-1967
12468 Japan,1968-1970
3584 Japan,1968-1970
490 Japan,1972-1975
12120 Japan,1976-1979
4400 Jemen,1959-1971
494 Jemen,1972-1975
4491 Joegoslavië,1949-1959
4401 Joegoslavië,1960-1971
492 Joegoslavië,1972-1979
4402 Jordanië,1960-1971
498 Jordanië,1972-1976
12125 Jordanië,1977-1979
4404 Kameroen,1960-1971
493 Kameroen,1972-1979
4405 Kenya,1960-1963
4544 Kenya,1977-1979
2398 Kuweit,1960-1971
4546 Kuweit,1972-1979
4494 Libanon,1950-1957
2399 Libanon,1960-1971
496 Libanon,1972-1979
4496 Liberia,1954-1959
3585 Liberia,1959-1965
4497 Libië,1951-1959
3586 Libië,1960-1971
4498 Luxemburg,1948-1956
3588 Madagascar,1961-1963
