2.16.5240 VW / Rijksluchtvaartdienst 407
4499 Maleisië (Malakka),1957-1959
3589 Maleisië (Malakka),1960-1971
497 Maleisië (Malakka),1972-1979
2401 Malta,1964-1971
500 Malta,1972-1979
4500 Marokko,1952-1959
2400 Marokko,1960-1971
501 Marokko.
12127 Marokko.
2459 Mauritanië,1978
2460 Mauritius,1971-1974
1505 Mexico,1946-1950
4501 Mexico,1952-1959
3590 Mexico,1960-1967
12466 Mexico,1968-1971
4406 Mexico,1971
2461 Mexico,1972-1978
4407 Muskate en Oman,1966-1968
4549 Nepal,1973-1974
4502 Nicaragua,1954-1957
4414 Nieuw-Zeeland,1961-1971
4415 Niger,1962-1963
3591 Nigeria,1960-1965
4563 Nigeria,1961-1966
12467 Nigeria,1966-1971
4550 Nigeria,1971-1979
438 Noord-Vietnam,1975-1978
8257 Noorwegen,1931
4417 Noorwegen,1962-1966
4551 Oost-Afrika,1972-1978
4525 Oost-Duitsland,1972-1973
4526 Oost-Duitsland,1974-1975
4527 Oost-Duitsland,1975-1976
4529 Oost-Duitsland,1976
4528 Oost-Duitsland,1977-1979
1512 Oostenrijk,1927-1950
4507 Oostenrijk,1950-1959
4418 Oostenrijk,1960-1965
12552 Oostenrijk,1966-1968
3592 Oostenrijk,1969-1971
4552 Oostenrijk,1971-1979
4508 Pakistan,1951-1959
3593 Pakistan,1960-1971
504 Pakistan,1972-1979
3594 Panama,1964-1971
509 Panama,1972-1977
4510 Paraguay,1951-1959
506 Paraguay,1972-1977
1506 Peru,1947-1950
2443 Peru,1951-1956
2411 Peru,1960-1971
510 Peru,1972-1976
7340 Philippijnen,1947-1950
2444 Philippijnen,1951-1959
