408 VW / Rijksluchtvaartdienst 2.16.5240
2412 Philippijnen,1960-1968
508 Philippijnen,1972-1979
4419 Polen,1960-1961
507 Polen,1972-1979
1516 Portugal,1946-1950
2446 Portugal,1951-1958
4420 Portugal,1965-1971
4553 Portugal,1971-1979
4554 Quatar,1977-1978
4511 Roemenië,1956-1958
3595 Roemenië,1963-1971
4555 Roemenië,1972-1979
4512 Rusland,1953-1958
12469 Rusland,1960-1971
3596 Rusland,1969-1971
4556 Rusland,1972-1975
12116 Rusland,1974-1975
421 Rusland,1975-1979
12559 Rusland,1976-1978
2465 Rwanda,1979
4513 Saudi-Arabië,1950-1959
2467 Senegal,1972-1977
4557 Seychellen,1976-1979
4422 Sierra Leone,1962-1968
4514 Singapore,1950-1959
4423 Singapore,1960-1970
4558 Singapore,1972-1979
4515 Soedan,1954-1956
4424 Soedan,1960-1971
4559 Soedan,1978-1980
1517 Spanje,1927-1935
4516 Spanje,1948-1959
4425 Spanje,1960-1969
4560 Spanje,1974-1979
4561 Sri Lanka (voorheen Ceylon),1973-1979
7341 Syrië,1948-1950
4517 Syrië,1952-1957
422 Syrië,1977
4428 Tanzania,1965-1968
12553 Tanzania,1969-1971
423 Tanzania,1977-1979
2413 Thailand,1961-1971
424 Thailand,1972-1979
426 Togo,1978-1979
2414 Trinidad en Tobago,1962-1969
425 Trinidad en Tobago,1972-1973
1508 Tsjechoslowakije,1934-1950
2450 Tsjechoslowakije,1952-1959
4429 Tsjechoslowakije,1960-1971
427 Tsjechoslowakije,1972-1979
2451 Tunesië,1955-1959
4430 Tunesië,1960-1971
428 Tunesië,1972-1979
4431 Turkije,1962-1970
