topic,term,cosine,df,keep
Colonialism,kolonie,1.0,163,True
Colonialism,koloniaal,1.0,96,True
Colonialism,voc,1.0,277,True
Colonialism,wic,1.0,163,True
Colonialism,koloniale,0.9781,535,True
Colonialism,koloniën,0.8776,311,True
Colonialism,postkoloniale,0.8665,20,True
Colonialism,kolonien,0.8633,32,True
Colonialism,kolonisten,0.8612,34,True
Colonialism,postkoloniaal,0.8558,9,True
Colonialism,kaapkolonie,0.8093,15,True
Colonialism,kolonisatie,0.794,23,True
Colonialism,belasting,0.7629,17,True
Colonialism,slavenkolonie,0.7626,5,True
Colonialism,belastingheffing,0.7543,5,True
Colonialism,kolonia,0.7501,9,True
Colonialism,kolonialisme,0.7395,170,True
Colonialism,kolonisatoren,0.7183,5,True
Colonialism,landbouwkolonie,0.7154,12,True
Colonialism,kolonisator,0.7128,13,True
Colonialism,gekoloniseerden,0.7042,8,True
Colonialism,slavenkoloniën,0.6993,6,True
Colonialism,belastingdienst,0.696,9,True
Colonialism,plantagekolonie,0.6802,10,True
Colonialism,grond,0.6719,83,True
Colonialism,ketenen,0.6668,13,True
Colonialism,uitbuiting,0.6653,23,True
Colonialism,belastingen,0.6392,11,True
Colonialism,antikoloniale,0.6385,6,True
Colonialism,keten,0.6369,12,True
Colonialism,gekoloniseerde,0.6337,31,True
Colonialism,provinciale,0.6326,34,True
Colonialism,landbouw,0.6323,24,True
Colonialism,stof,0.6097,12,True
Colonialism,gronden,0.6089,24,True
Colonialism,coronie,0.5994,6,True
Colonialism,provinciaal,0.5953,7,True
Colonialism,grondslagen,0.5934,8,True
Colonialism,materiaal,0.5874,15,True
Colonialism,dekolonisatie,0.5848,18,True
Colonialism,nations,0.5771,7,True
Colonialism,belast,0.5722,12,True
Colonialism,mondelinge,0.5673,8,True
Colonialism,natie,0.5652,26,True
Colonialism,meerderheid,0.5632,47,True
Colonialism,creoolse,0.5567,10,True
Colonialism,plantagekoloniën,0.5566,7,True
Colonialism,westerse,0.5564,29,True
Colonialism,inheemse,0.5563,32,True
Colonialism,eeuws,0.5561,9,True
Colonialism,kolo,0.5557,23,True
Colonialism,volendam,0.5517,6,True
