topic,term,cosine,df,keep
Remembrance,herdenking,1.0,46,True
Remembrance,monument,1.0,37,True
Remembrance,erfgoed,1.0,28,True
Remembrance,museum,1.0,65,True
Remembrance,rijksmuseum,0.8711,36,True
Remembrance,herdenkingen,0.859,13,True
Remembrance,musea,0.8418,38,True
Remembrance,monumenten,0.799,16,True
Remembrance,historische,0.7806,93,True
Remembrance,ksmuseum,0.7804,5,True
Remembrance,historisch,0.7787,83,True
Remembrance,tropenmuseum,0.7618,11,True
Remembrance,herdenkingsdag,0.7446,12,True
Remembrance,herdenkingsdagen,0.7108,12,True
Remembrance,slavernijmuseum,0.6902,18,True
Remembrance,denkbeeld,0.6676,13,True
Remembrance,heritage,0.6642,18,True
Remembrance,slavernijmonument,0.657,11,True
Remembrance,schatten,0.649,6,True
Remembrance,beschuldiging,0.6383,14,True
Remembrance,gezag,0.6272,48,True
Remembrance,beschouwing,0.6271,10,True
Remembrance,rede,0.6255,18,True
Remembrance,herinnering,0.625,24,True
Remembrance,stiltes,0.6227,5,True
Remembrance,herdenken,0.619,23,True
Remembrance,viering,0.6122,24,True
Remembrance,histories,0.6117,8,True
Remembrance,historie,0.6078,7,True
Remembrance,kasteel,0.6055,8,True
Remembrance,fortuin,0.5912,14,True
Remembrance,stilte,0.5863,14,True
Remembrance,gebouw,0.583,17,True
Remembrance,history,0.5804,72,True
Remembrance,archives,0.5757,24,True
Remembrance,herinneringen,0.5754,7,True
Remembrance,erfenis,0.5753,50,True
Remembrance,eeuwse,0.5751,40,True
Remembrance,heuvel,0.575,7,True
Remembrance,bevrijding,0.5749,5,True
Remembrance,eeuws,0.5737,9,True
Remembrance,trouwen,0.5667,6,True
Remembrance,historiografie,0.5605,8,True
Remembrance,herhaling,0.5593,10,True
Remembrance,verbeelding,0.5573,16,True
Remembrance,koningshuis,0.5539,8,True
Remembrance,amendement,0.5524,32,True
Remembrance,fort,0.5516,26,True
