topic,term,cosine,df,keep
Reparations,herstelbetalingen,1.0,18,True
Reparations,schadevergoeding,1.0,24,True
Reparations,excuses,1.0,164,True
Reparations,excuus,0.9211,35,True
Reparations,sorry,0.7798,11,True
Reparations,afschaffing,0.7028,265,True
Reparations,schade,0.701,32,True
Reparations,herstel,0.7003,76,True
Reparations,excuseswet,0.6943,6,True
Reparations,teruggave,0.6933,5,True
Reparations,betalingen,0.6731,5,True
Reparations,aansprakelijkheid,0.666,14,True
Reparations,reconstructie,0.6657,5,True
Reparations,constitutie,0.6583,12,True
Reparations,eerherstel,0.6494,7,True
Reparations,verschaffen,0.6487,6,True
Reparations,vergoeding,0.648,33,True
Reparations,vervangen,0.6451,25,True
Reparations,herstelmaatregelen,0.6439,6,True
Reparations,onttrekken,0.6439,5,True
Reparations,omgekeerd,0.6352,7,True
Reparations,ontslag,0.6305,17,True
Reparations,verwerven,0.6247,8,True
Reparations,betaling,0.6238,9,True
Reparations,verplaatsing,0.6192,8,True
Reparations,afkeer,0.6169,11,True
Reparations,afwijzing,0.6142,8,True
Reparations,verzetten,0.6137,14,True
Reparations,verschuiving,0.6064,5,True
Reparations,claim,0.6003,5,True
Reparations,expeditie,0.5967,5,True
Reparations,onschuldig,0.5947,7,True
Reparations,ontvangen,0.5921,29,True
Reparations,rechtsherstel,0.5919,6,True
Reparations,aflossing,0.5889,6,True
Reparations,herstellen,0.5845,14,True
Reparations,assimilatie,0.5831,7,True
Reparations,reconnaissance,0.5823,6,True
Reparations,claims,0.5816,5,True
Reparations,uitdragen,0.5813,5,True
Reparations,schuldig,0.5813,25,True
Reparations,rest,0.5772,19,True
Reparations,betalen,0.5769,23,True
Reparations,afgevoerd,0.5762,5,True
Reparations,expansie,0.5675,27,True
Reparations,vernietiging,0.5655,6,True
Reparations,uitwerking,0.5648,16,True
Reparations,ontnemen,0.5647,5,True
Reparations,vergoedingen,0.5641,8,True
Reparations,segregatie,0.5631,12,True
Reparations,afschaffen,0.5603,10,True
Reparations,opleveren,0.5592,14,True
Reparations,geregeld,0.5576,36,True
Reparations,realiseren,0.5566,12,True
Reparations,bezetting,0.554,24,True
Reparations,afschaffingen,0.5515,43,True
