topic,term,cosine,df
Historical slavery,slavernij,1.0,935
Historical slavery,plantage,1.0,145
Historical slavery,dwangarbeid,1.0,35
Historical slavery,plantages,0.9373,156
Historical slavery,slavernijgerelateerde,0.9017,6
Historical slavery,plantagesector,0.8531,8
Historical slavery,slavernijverleden,0.8413,312
Historical slavery,plantagehouder,0.8396,7
Historical slavery,plantagehouders,0.8344,15
Historical slavery,slavernijsysteem,0.8334,19
Historical slavery,dwangarbeiders,0.827,6
Historical slavery,slavernijdebat,0.8225,6
Historical slavery,slavernijgeschiedenis,0.8136,33
Historical slavery,slavernijperiode,0.8135,6
Historical slavery,planters,0.8038,43
Historical slavery,planten,0.7997,9
Historical slavery,slavenarbeid,0.7495,18
Historical slavery,planter,0.725,7
Historical slavery,teelt,0.723,7
Historical slavery,plantagekolonie,0.7197,10
Historical slavery,slaafgemaakt,0.717,13
Historical slavery,arbeid,0.7161,111
Historical slavery,totslaafgemaakten,0.7105,5
Historical slavery,slaafgemaakte,0.704,144
Historical slavery,eigendomsslavernij,0.7025,5
Historical slavery,slavenplantages,0.6845,5
Historical slavery,plantagekoloniën,0.6833,7
Historical slavery,plantageslavernij,0.672,5
Historical slavery,oogst,0.6632,5
Historical slavery,landbouw,0.6589,24
Historical slavery,slavenverleden,0.6508,5
Historical slavery,dwang,0.6496,29
Historical slavery,wijntuin,0.6394,8
Historical slavery,arbeidsdwang,0.633,5
Historical slavery,slaafmakers,0.6329,8
Historical slavery,koffieplantage,0.6314,11
Historical slavery,slavenhandel,0.6279,285
Historical slavery,slaafgemaak,0.6276,30
Historical slavery,wortels,0.621,9
Historical slavery,gewassen,0.62,16
Historical slavery,beschaving,0.6182,19
Historical slavery,slavernijmuseum,0.6163,18
Historical slavery,landbouwende,0.6159,6
Historical slavery,slaaf,0.6106,298
Historical slavery,aanleg,0.61,10
Historical slavery,slaven,0.6074,237
Historical slavery,slavengeld,0.6052,5
Historical slavery,slavenopstand,0.6043,26
Historical slavery,suikerplantages,0.6036,12
Historical slavery,landgoed,0.5986,13
Historical slavery,regeringen,0.5958,10
Historical slavery,slaafge,0.5838,24
Historical slavery,overheersing,0.5818,15
Historical slavery,verzet,0.5777,92
Historical slavery,slavenkoloniën,0.5751,6
Historical slavery,landgoederen,0.5745,7
Historical slavery,arbeiders,0.5703,61
Historical slavery,slavenhoudende,0.5699,6
Historical slavery,arbeiden,0.5689,14
Historical slavery,bossen,0.5593,5
Historical slavery,slavenemancipatie,0.5584,9
Historical slavery,nederzettingen,0.5583,11
Historical slavery,nederzetting,0.5548,8
Historical slavery,roofbouw,0.554,7
Historical slavery,bos,0.5539,11
Historical slavery,bomen,0.5525,6
Historical slavery,groei,0.5524,14
Colonialism,kolonie,1.0,163
Colonialism,koloniaal,1.0,96
Colonialism,voc,1.0,277
Colonialism,wic,1.0,163
Colonialism,koloniale,0.9781,535
Colonialism,koloniën,0.8776,311
Colonialism,postkoloniale,0.8665,20
Colonialism,kolonien,0.8633,32
Colonialism,kolonisten,0.8612,34
Colonialism,postkoloniaal,0.8558,9
Colonialism,kaapkolonie,0.8093,15
Colonialism,kolonisatie,0.794,23
Colonialism,belasting,0.7629,17
Colonialism,slavenkolonie,0.7626,5
Colonialism,belastingheffing,0.7543,5
Colonialism,kolonia,0.7501,9
Colonialism,kolonialisme,0.7395,170
Colonialism,kolonisatoren,0.7183,5
Colonialism,landbouwkolonie,0.7154,12
Colonialism,kolonisator,0.7128,13
Colonialism,gekoloniseerden,0.7042,8
Colonialism,slavenkoloniën,0.6993,6
Colonialism,belastingdienst,0.696,9
Colonialism,plantagekolonie,0.6802,10
Colonialism,grond,0.6719,83
Colonialism,ketenen,0.6668,13
Colonialism,uitbuiting,0.6653,23
Colonialism,belastingen,0.6392,11
Colonialism,antikoloniale,0.6385,6
Colonialism,keten,0.6369,12
Colonialism,gekoloniseerde,0.6337,31
Colonialism,provinciale,0.6326,34
Colonialism,landbouw,0.6323,24
Colonialism,stof,0.6097,12
Colonialism,gronden,0.6089,24
Colonialism,coronie,0.5994,6
Colonialism,provinciaal,0.5953,7
Colonialism,grondslagen,0.5934,8
Colonialism,materiaal,0.5874,15
Colonialism,dekolonisatie,0.5848,18
Colonialism,nations,0.5771,7
Colonialism,belast,0.5722,12
Colonialism,mondelinge,0.5673,8
Colonialism,natie,0.5652,26
Colonialism,meerderheid,0.5632,47
Colonialism,creoolse,0.5567,10
Colonialism,plantagekoloniën,0.5566,7
Colonialism,westerse,0.5564,29
Colonialism,inheemse,0.5563,32
Colonialism,eeuws,0.5561,9
Colonialism,kolo,0.5557,23
Colonialism,volendam,0.5517,6
Modern racism& inequality,racisme,1.0,448
Modern racism& inequality,discriminatie,1.0,211
Modern racism& inequality,ongelijkheid,1.0,44
Modern racism& inequality,huisvesting,1.0,7
Modern racism& inequality,arbeidsmarkt,1.0,31
Modern racism& inequality,segregatie,1.0,12
Modern racism& inequality,discrimination,0.9832,5
Modern racism& inequality,discrimineren,0.9333,9
Modern racism& inequality,racistische,0.9234,54
Modern racism& inequality,racistisch,0.921,34
Modern racism& inequality,discriminerend,0.8909,10
Modern racism& inequality,discriminerende,0.87,6
Modern racism& inequality,antidiscriminatie,0.869,6
Modern racism& inequality,gediscrimineerd,0.8524,8
Modern racism& inequality,antiracisme,0.833,11
Modern racism& inequality,raciale,0.8328,26
Modern racism& inequality,racism,0.8113,17
Modern racism& inequality,verblijf,0.7869,6
Modern racism& inequality,woningen,0.784,8
Modern racism& inequality,raciaal,0.7771,9
Modern racism& inequality,ongelijkheden,0.7718,7
Modern racism& inequality,wonen,0.7584,43
Modern racism& inequality,ongelijke,0.7471,26
Modern racism& inequality,verblijven,0.7447,5
Modern racism& inequality,arbeids,0.7309,8
Modern racism& inequality,discriminatietoets,0.7127,52
Modern racism& inequality,antidiscriminatievoorzieningen,0.7094,7
Modern racism& inequality,buitenhuizen,0.7092,7
Modern racism& inequality,agressie,0.7087,12
Modern racism& inequality,huizen,0.7031,21
Modern racism& inequality,huishouden,0.69,17
