sentence,topic,document
"Geadviseerd besluit U wordt verzocht in te stemmen met bijgaande Kamerbrief, waarin het overzicht is opgenomen en deze te ondertekenen.",democratie_en_bestuur,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
Kern • Op grond van de Wet inBS kunnen de afzonderlijke verantwoordelijke ministers een financiële bijdrage aan de openbare lichamen verstrekken.,democratie_en_bestuur,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
"Voor bijzondere uitkeringen geldt, in tegenstelling tot de vrije uitkering, dat zij voor een bepaald doel worden verstrekt.",sociale_zaken,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
De Kamerbrief is in samenspraak met betrokken departementen opgesteld en afgestemd met Z en de IR. •,democratie_en_bestuur,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
Aan Staatssecretaris van Binnenlandse Zaken en Koninkrijksrelaties,buitenlandse_zaken,beslisnota-bij-kamerbrief-over-intrekking-voorstel-rijkswet-caribisch-orgaan-voor-hervorming-en-ontwikkeling.pdf
"De brieven met mededeling van intrekking van het voorstel van rijkswet COHO te ondertekenen en naar de Tweede Kamer en de erste Kamer en naar de Staten van Aruba, Sint Maarten en Curaçao te verzenden.",democratie_en_bestuur,beslisnota-bij-kamerbrief-over-intrekking-voorstel-rijkswet-caribisch-orgaan-voor-hervorming-en-ontwikkeling.pdf
Daarbij vindt de Raad het een goede zet dat er met subsidie van het ministerie per 1 januari jl. een coördinerend beleidsmedewerker jeugdstrafrecht op de BS is aangesteld voor een periode van twee jaar.,democratie_en_bestuur,tk-beslisnota-bij-kamerbrief-met-beleidsreactie-op-rapport-over-jeugdstrafrecht-bes.pdf
"· Per thema geeft u aan wat het rapport hierover zegt, wat u hier al op doet en wat u (naar aanleiding van het rapport en de gesprekken met het veld) hierop verder gaat doen.",criminaliteit,bijlage-4-beslisnota-bij-kamerbrief-beleidsreactie-op-beleidsdoorlichting-erfgoed.pdf
hoe we de meest bijzondere kerkelijke en niet-kerkelijke interieurs kunnen behouden,religie,bijlage-4-beslisnota-bij-kamerbrief-beleidsreactie-op-beleidsdoorlichting-erfgoed.pdf
o Samen met de ministeries van ZK en BZK te bezien,democratie_en_bestuur,bijlage-4-beslisnota-bij-kamerbrief-beleidsreactie-op-beleidsdoorlichting-erfgoed.pdf
