sentence,topic,document
actief openbaar ja onze referentie datum opgesteld samengewerkt,not-matched,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
ir dgvb zk ienw jenv,not-matched,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
vws bijzondere uitkeringen aanleiding grond wet,not-matched,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
verplicht uiterlijk derde woensdag bijzondere uitkeringen publiceren daarvoor lopende begroting beschikbare bedragen,not-matched,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
besluit verzocht stemmen bijgaande kamerbrief waarin opgenomen ondertekenen verstuurt brief mede namens inanciën kern grond wet,democratie_en_bestuur,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
afzonderlijke verantwoordelijke financiële openbare lichamen verstrekken voorwaarden vorm bijzondere uitkering ten behoeve bepaalde taak bijzondere uitkeringen geldt tegenstelling vrije uitkering bepaald verstrekt kamerbrief opgenomen bijzondere uitkeringen,not-matched,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
volgende opgenomen inclusief totaalbedragen per departement respectievelijk per openbaar lichaam kamerbrief samenspraak betrokken,democratie_en_bestuur,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
departementen opgesteld afgestemd ir brief parallel voorgelegd inanciën eventueel leiden beperkte redactionele aanpassingen informatie openbaar gemaakt,not-matched,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
openbaar gemaakte versie nota persoonsgegevens ambtenaren geanonimiseerd onze referentie datum volgnummer naam tk brief bijzondere uitkeringen,not-matched,beslisnota-bij-kamerbrief-overzicht-bijzondere-uitkeringen-caribisch-nederland-2023.pdf
staatssecretaris binnenlandse zaken koninkrijksrelaties czw tr ondrtkning nota actief openbaar ja onze referentie datum opgesteld samengewerkt mededeling intrekking,buitenlandse_zaken,beslisnota-bij-kamerbrief-over-intrekking-voorstel-rijkswet-caribisch-orgaan-voor-hervorming-en-ontwikkeling.pdf
