topic,keyword,count
Civil Rights,KAMER,4694
Civil Rights,MINISTER,1140
Civil Rights,MINISTERIE,1115
Civil Rights,KABINET,725
Civil Rights,RAPPORT,425
Civil Rights,OVERLEG,390
Civil Rights,OVERHEID,362
Civil Rights,WERKING,285
Civil Rights,IMPACT,203
Civil Rights,VVD,181
Civil Rights,WETGEVING,166
Civil Rights,DEPARTEMENT,125
Civil Rights,INTEGRATIE,116
Civil Rights,KONINKRIJK,83
Civil Rights,MIGRATIE,83
Civil Rights,GEWELD,71
Civil Rights,TOETSING,70
Civil Rights,ASIEL,51
Civil Rights,IND,50
Civil Rights,GRENS,49
Civil Rights,COA,45
Civil Rights,MENSENRECHTEN,44
Civil Rights,MENSENHANDEL,42
Civil Rights,WERELDBANK,41
Civil Rights,OESO,39
Civil Rights,PRESIDENT,35
Civil Rights,INBURGERING,34
Civil Rights,CORRUPTIE,28
Civil Rights,IMMIGRATIE,28
Civil Rights,HERVORMING,27
Civil Rights,GRONDWET,26
Civil Rights,NOODHULP,25
Civil Rights,NGO,24
Civil Rights,IMF,21
Civil Rights,PARTIJEN,18
Civil Rights,VERANTWOORDELIJK,17
Civil Rights,SLACHTOFFER,17
Civil Rights,UNESCO,16
Civil Rights,DNA,16
Civil Rights,AGRESSIE,15
Civil Rights,ACCOUNTANT,14
Civil Rights,DIPLOMATIE,13
Civil Rights,STRAF,13
Civil Rights,PASPOORT,12
Civil Rights,VENEZUELA,11
Civil Rights,ADOPTIE,11
Civil Rights,VERKIEZING,10
Civil Rights,CER,10
Civil Rights,ARREST,9
Civil Rights,SMOKKEL,9
Civil Rights,STEM,9
Civil Rights,ESCALATIE,9
Civil Rights,KINDERMISBRUIK,9
Civil Rights,OECD,8
Civil Rights,PARTIJ,7
Civil Rights,AANSLAG,7
Civil Rights,AMBASSADE,7
Civil Rights,BOM,7
Civil Rights,NATURALISATIE,7
Civil Rights,CANNABIS,7
Civil Rights,STRAFBAAR,6
Civil Rights,DRUGSHANDEL,5
Civil Rights,DIVISIE,5
Civil Rights,ANONIEM,5
Civil Rights,STEMBILJET,5
Civil Rights,ALCOHOL,5
Civil Rights,CONVENTIE,5
Civil Rights,DADER,5
Civil Rights,GEMEENTERAAD,4
Civil Rights,AZC,4
Civil Rights,MOORD,4
Civil Rights,ASIELZOEKER,4
Civil Rights,VREEMDELING,4
Civil Rights,GEVANGENIS,3
Civil Rights,KLIMAATTOP,3
Civil Rights,JOURNALIST,3
Civil Rights,GEMEENTEWET,3
Civil Rights,TERREUR,2
Civil Rights,KIEZER,2
Civil Rights,IRA,2
Civil Rights,ZETEL,2
Civil Rights,TERRORISM,2
Civil Rights,REFERENDUM,2
Civil Rights,POGING,2
Civil Rights,ABORTUS,2
Civil Rights,VLUCHTELING,2
Civil Rights,DVB,1
Civil Rights,KOLONIAAL,1
Civil Rights,ZEDENMISDRIJF,1
Civil Rights,COUP,1
Civil Rights,ONTWIKKELINGSLAND,1
Civil Rights,OPPOSITIE,1
Civil Rights,TERRORIST,1
Civil Rights,UITGELEVERD,1
Civil Rights,GLOBALISERING,1
Civil Rights,FBI,1
Civil Rights,WITWAS,1
Civil Rights,VERKIEZINGSUITSLAG,1
Civil Rights,TRAUMA,1
Civil Rights,TERRORIS,1
Civil Rights,DIEFSTAL,1
Civil Rights,PROTEST,1
Civil Rights,HOLOCAUST,1
Culture,CULTUURBELEID,29
Culture,OMROEP,26
Culture,BIBLIOTHEEK,19
Culture,BOEK,16
Culture,NPO,13
Culture,FILM,9
Culture,MUSEUM,8
Culture,NOS,6
Culture,VOETBAL,6
Culture,VAKANTIE,5
Culture,PAPIAMENTS,3
Culture,COACH,1
Culture,CULTUURSUBSIDIE,1
Education,MBO,146
Education,ONDERWIJS,107
Education,OPLEIDING,74
Education,HBO,63
Education,STUDENT,37
Education,LEERLING,25
Education,DIPLOMA,20
Education,VMBO,17
Education,ERASMUS,9
Education,BACHELOR,9
Education,LESGELD,9
Education,STAGE,8
Education,HAVO,7
Education,VWO,6
Education,EXAMEN,6
Education,PABO,4
Education,LEERPLICHT,3
Education,LEERKRACHT,2
Education,PRAKTIJKGERICHT,1
Education,UNIVERSIT,1
Healthcare,GEZONDHEID,123
Healthcare,ZIEKTE,62
Healthcare,MEDIC,15
Healthcare,HUISARTSEN,14
Healthcare,HIV,12
Healthcare,KANKER,12
Healthcare,BEVOLKINGSONDERZOEK,11
Healthcare,VIRUS,6
Healthcare,ARTS,6
Healthcare,HUISARTS,6
Healthcare,ZIEKENHUIS,5
Healthcare,RADIOACTIEF,4
Healthcare,MALARIA,3
Healthcare,BSE,3
Healthcare,EPIDEMIE,3
Healthcare,VOEDSELKETEN,2
Healthcare,VERBRANDING,1
Healthcare,EUTHANASIE,1
Healthcare,GRIEP,1
Poverty,WERK,284
Poverty,WONINGEN,110
Poverty,WERKGELEGENHEID,106
Poverty,HUISVESTING,99
Poverty,ZELFSTANDIGE,68
Poverty,CAO,65
Poverty,ARBEID,56
Poverty,ONDERNEMERSCHAP,50
Poverty,WERKLOOSHEID,38
Poverty,SANERING,37
Poverty,RENOVATIE,36
Poverty,HUURDERS,26
Poverty,PENSIOEN,24
Poverty,UITBESTEDING,20
Poverty,KADASTER,19
Poverty,ACTIVERING,9
Poverty,HRM,9
Poverty,ONTSLAG,4
Poverty,HUURMARKT,4
Poverty,JOB,4
Poverty,KINDERARBEID,2
Poverty,WOONCRISIS,2
Poverty,WONINGTEKORT,2
Poverty,ARBEIDSKRACHT,1
Poverty,FLAT,1
Poverty,WERKPLAATS,1
