keyword,count
KAMER,4694
MINISTER,1140
MINISTERIE,1115
KABINET,725
RAPPORT,425
OVERLEG,390
OVERHEID,362
WERKING,285
WERK,284
IMPACT,203
VVD,181
WETGEVING,166
MBO,146
DEPARTEMENT,125
GEZONDHEID,123
INTEGRATIE,116
WONINGEN,110
ONDERWIJS,107
WERKGELEGENHEID,106
HUISVESTING,99
MIGRATIE,83
KONINKRIJK,83
OPLEIDING,74
GEWELD,71
TOETSING,70
ZELFSTANDIGE,68
CAO,65
HBO,63
ZIEKTE,62
ARBEID,56
ASIEL,51
ONDERNEMERSCHAP,50
IND,50
GRENS,49
COA,45
MENSENRECHTEN,44
MENSENHANDEL,42
WERELDBANK,41
OESO,39
WERKLOOSHEID,38
SANERING,37
STUDENT,37
RENOVATIE,36
PRESIDENT,35
INBURGERING,34
CULTUURBELEID,29
CORRUPTIE,28
IMMIGRATIE,28
HERVORMING,27
HUURDERS,26
GRONDWET,26
OMROEP,26
LEERLING,25
NOODHULP,25
NGO,24
PENSIOEN,24
IMF,21
UITBESTEDING,20
DIPLOMA,20
BIBLIOTHEEK,19
KADASTER,19
PARTIJEN,18
VERANTWOORDELIJK,17
SLACHTOFFER,17
VMBO,17
BOEK,16
UNESCO,16
DNA,16
MEDIC,15
AGRESSIE,15
ACCOUNTANT,14
HUISARTSEN,14
STRAF,13
NPO,13
DIPLOMATIE,13
PASPOORT,12
HIV,12
KANKER,12
VENEZUELA,11
BEVOLKINGSONDERZOEK,11
ADOPTIE,11
CER,10
VERKIEZING,10
ARREST,9
HRM,9
BACHELOR,9
KINDERMISBRUIK,9
LESGELD,9
ACTIVERING,9
SMOKKEL,9
ESCALATIE,9
STEM,9
ERASMUS,9
FILM,9
STAGE,8
MUSEUM,8
OECD,8
PARTIJ,7
NATURALISATIE,7
HAVO,7
AANSLAG,7
AMBASSADE,7
CANNABIS,7
BOM,7
VOETBAL,6
EXAMEN,6
VWO,6
NOS,6
STRAFBAAR,6
ARTS,6
HUISARTS,6
VIRUS,6
CONVENTIE,5
ALCOHOL,5
DRUGSHANDEL,5
DIVISIE,5
ANONIEM,5
STEMBILJET,5
VAKANTIE,5
ZIEKENHUIS,5
DADER,5
VREEMDELING,4
GEMEENTERAAD,4
RADIOACTIEF,4
ONTSLAG,4
AZC,4
PABO,4
JOB,4
ASIELZOEKER,4
MOORD,4
HUURMARKT,4
GEVANGENIS,3
JOURNALIST,3
PAPIAMENTS,3
KLIMAATTOP,3
EPIDEMIE,3
LEERPLICHT,3
BSE,3
GEMEENTEWET,3
MALARIA,3
REFERENDUM,2
POGING,2
KIEZER,2
ZETEL,2
TERREUR,2
KINDERARBEID,2
VLUCHTELING,2
TERRORISM,2
IRA,2
WONINGTEKORT,2
LEERKRACHT,2
WOONCRISIS,2
VOEDSELKETEN,2
ABORTUS,2
PRAKTIJKGERICHT,1
DVB,1
KOLONIAAL,1
TERRORIST,1
OPPOSITIE,1
ONTWIKKELINGSLAND,1
COUP,1
ZEDENMISDRIJF,1
GLOBALISERING,1
COACH,1
UITGELEVERD,1
VERBRANDING,1
VERKIEZINGSUITSLAG,1
FBI,1
WITWAS,1
TRAUMA,1
TERRORIS,1
FLAT,1
ARBEIDSKRACHT,1
WERKPLAATS,1
DIEFSTAL,1
CULTUURSUBSIDIE,1
PROTEST,1
UNIVERSIT,1
HOLOCAUST,1
EUTHANASIE,1
GRIEP,1
