sentence,topic,document
staat slavernij staat slaver nij,not-matched,Staat_slavernij.txt
esther captain matthias rossum urwin vyent medewerking,not-matched,Staat_slavernij.txt
boek mogelijk gemaakt subsidie binnenlandse zaken,not-matched,Staat_slavernij.txt
da silva vertaald mischa hoyinck,not-matched,Staat_slavernij.txt
nl www staatenslavernij nl zenzy blindeling ontwierp logo,not-matched,Staat_slavernij.txt
slavernij wic voc uitvoerig bod komen,not-matched,Staat_slavernij.txt
kompas vrouw kijkt westen man oosten,not-matched,Staat_slavernij.txt
kijk richtingen achteren voren staan kijken verleden toekomst,not-matched,Staat_slavernij.txt
patroon midden samenkomst afrikaanse wax,not-matched,Staat_slavernij.txt
indonesische batikprints golvende patroon opnieuw verwijzing gedwongen verplaatsing zee golvende water gebaseerd javaanse batik parang,not-matched,Staat_slavernij.txt
vormig patroon andere staat kracht zettingsvermogen moeilijke tijden,not-matched,Staat_slavernij.txt
inhoudsopgave koloniale slavernijverleden doorwerkingen rose,not-matched,Staat_slavernij.txt
esther captain matthias rossum urwin vyent actuele vraagstukken wetenschap slavernijverleden doorwerkingen alex,not-matched,Staat_slavernij.txt
nancy jouwe methode digital humanities margo groenewoud slavernijverleden tom der geugten kolonialisme,not-matched,Staat_slavernij.txt
gouden koets annemarie wildt perspectief herstel transformative justice nicole,not-matched,Staat_slavernij.txt
slavernij afschaffingen doorwerkingen kronkelige pad,not-matched,Staat_slavernij.txt
nimako politiek slavernij negentiende eeuw lauren lauret gedwongen verplaatsing illegale slavenhandel,not-matched,Staat_slavernij.txt
anne marieke schaik talen literaturen voormalige koloniën michiel kempen methode,not-matched,Staat_slavernij.txt
koloniale wereldorde kunst valika smeulders,not-matched,Staat_slavernij.txt
opstandigheid slavernij daarna nederlands eilanden,not-matched,Staat_slavernij.txt
da silva zwarte hollanders martin bossenbroek,not-matched,Staat_slavernij.txt
kanteljaar martin bossenbroek wil zwijgen slavernij kolonialisme rondom zuid afrika,Historical_colonialism/Slavery,Staat_slavernij.txt
generaal arthur weststeijn koloniale verleden provincies,not-matched,Staat_slavernij.txt
admiraliteiten gerhard kok vergeten bladzijde vroege participatie,not-matched,Staat_slavernij.txt
slavernijpolitiek koloniale expansiepolitiek joris den tol,not-matched,Staat_slavernij.txt
koloniale expansie staat myrthe kraaijenoord verstrengeling,not-matched,Staat_slavernij.txt
kolonialisme lokale samenleving sefarden curaçao jeanne henriquez openlijken strijd den geest des christendoms kerk,not-matched,Staat_slavernij.txt
oranje raymund schütz koloniale slavernijverleden doorwerkingen bevindingen rose,not-matched,Staat_slavernij.txt
esther captain matthias rossum urwin vyent dankwoord,not-matched,Staat_slavernij.txt
mary allen cultureel antropoloog buitengewoon hoogleraar,not-matched,Staat_slavernij.txt
senior werkzaam koninklijk instituut taal land volkenkunde kitlv leiden expertise laatkoloniaal indonesië indonesische revolutie postkoloniaal relatie nederlands eilanden indonesië,not-matched,Staat_slavernij.txt
senior verbonden internationaal instituut sociale geschiedenis,not-matched,Staat_slavernij.txt
verbindingen atlantische slavernijverleden urwin vyent directeur nationaal instituut nederlands slavernijverleden erfenis ninsee werk,not-matched,Staat_slavernij.txt
ninsee houdt zich bezig ontwikkeling,not-matched,Staat_slavernij.txt
esther captain matthias rossum urwin vyent koloniale slavernijverleden doorwerkingen glimmend trots liet premier rutte amerikaanse president,not-matched,Staat_slavernij.txt
obama bezoek bracht plakkaat verlatinghe zien normaal zorgvuldig bewaard,not-matched,Staat_slavernij.txt
nationaal archief den haag bijzondere gelegenheid lag document,not-matched,Staat_slavernij.txt
klaar kussentje pronkzaal rijksmuseum hoewel er volgens journalist televisie erg aantrekkelijk uitzag onschatbare waarde plakkaat verlatinghe officiële verklaring provincies waarin spaanse koning filips ii afzetten,not-matched,Staat_slavernij.txt
heerser zodanig beschouwd onafhankelijkheidsverklaring twee eeuwen later gold document inspiratiebron amerikaanse onafhankelijkheids verklaring reden waarom bezoek amerikaanse wereldleider zo prominent werd getoond,not-matched,Staat_slavernij.txt
waarschijnlijk rutte obama ter sprake gekomen plakkaat verlatinghe paradox behelst dag daag doorwerkt republiek der verenigde nederlanden ontstond gezegd verzet politieke overheersing vreemde mogendheid tijdgenoten plakkaat,not-matched,Staat_slavernij.txt
slavernij werd vergeleken onafhankelijkheidsverklaring groeide echter zelf grootste koloniale machten zo werd land zichzelf vrijhaven bleef zien tegelijkertijd land,not-matched,Staat_slavernij.txt
exploiteerde staat inmiddels duidelijk slavernijverleden zeer pijnlijk belangrijk kort onderbelicht onze gedeelde geschiedenis aldus roepen herdenkingsjaar slavernijverleden vlak her denkingsjaar bood regering excuses staat slavernij aandeel praktijken,not-matched,Staat_slavernij.txt
bevorderd activisme herinneringsgemeenschappen voorafgegaan laatste stroomversnelling beland zo werden tweede kamer liefst zes moties ingediend betrekking hadden slavernij verleden betreffende moties werd opgeroepen excuses bieden slavernijverleden nationale herdenkingsdag feestdag erkennen,not-matched,Staat_slavernij.txt
aangenomen motie don ceder anderen werd verzocht onafhankelijk voeren slavernijverleden inzicht krijgen,not-matched,Staat_slavernij.txt
slavernijverleden doorwerkingen ervan wat vaststellen,not-matched,Staat_slavernij.txt
wie betrokkenen wie uiteenlopende effecten slavernij hoe zo komen,not-matched,Staat_slavernij.txt
maatschappelijke heid koninkrijk der nederlanden versterkt staat slavernij,not-matched,Staat_slavernij.txt
koloniale slavernijverleden doorwerkingen motie hier opgenomen teksten laten zien,not-matched,Staat_slavernij.txt
