topic,term,cosine,df,keep
Colonialism,gouverneur,1.0,28.0,True
Colonialism,gouverneurs,0.8512,30.0,True
Colonialism,koloniale,0.7827,5.0,True
Colonialism,autoriteit,0.8149,84.0,True
Colonialism,republiek,0.8116,9.0,True
Colonialism,koninkrijk,0.7854,213.0,True
Colonialism,grondstoffen,1.0,53.0,True
Colonialism,grondstof,0.8259,9.0,True
Colonialism,exploitatie,1.0,107.0,True
Colonialism,exploitatie1,0.7792,6.0,True
Colonialism,concessie,1.0,21.0,True
Colonialism,concessies,0.7633,6.0,True
Colonialism,militair,0.7928,42.0,True
Colonialism,leger,0.7864,16.0,True
Colonialism,strijdkrachten,0.7647,16.0,True
Colonialism,luchtmacht,0.7722,18.0,True
Colonialism,generaal,0.8363,318.0,True
Colonialism,bisschop,0.783,45.0,True
Colonialism,westerse,0.8349,25.0,True
Colonialism,hoogleraar,0.8116,5.0,True
Colonialism,rijkscultuur,0.8064,6.0,True
Colonialism,rijkscultuurfondsen,0.7649,24.0,True
Colonialism,grondgebied,0.7497,15.0,True
Colonialism,gebied,0.7789,760.0,True
Colonialism,gebieden,0.7519,112.0,True
Colonialism,dorpen,0.7836,6.0,True
Colonialism,onderwijsstelsel,0.8029,10.0,True
Colonialism,educatie,0.795,44.0,True
Colonialism,universiteiten,0.7825,37.0,True
Colonialism,eeuw,0.7677,9.0,True
