topic,term,cosine,df,keep
Historical_Slavery,slavernij,1.0,7.0,True
Historical_Slavery,atlantische,0.8634,7.0,True
Historical_Slavery,ketens,0.8267,36.0,True
Historical_Slavery,keten,0.7715,86.0,True
Historical_Slavery,afkoop,0.8569,7.0,True
Historical_Slavery,opkoop,0.8291,8.0,True
Historical_Slavery,arbeid,0.7698,60.0,True
Historical_Slavery,arbeids,0.7061,50.0,True
Historical_Slavery,arbeidskrachten,0.7329,9.0,True
Historical_Slavery,gedwongen,0.7092,19.0,True
Historical_Slavery,kinderarbeid,0.6927,5.0,True
Historical_Slavery,prostitutie,0.8006,5.0,True
Historical_Slavery,mensenhandel,0.7096,40.0,True
Historical_Slavery,inkoop,0.8333,114.0,True
Historical_Slavery,inkoopproces,0.7709,8.0,True
Historical_Slavery,inkoopstrategie,0.7566,10.0,True
Historical_Slavery,inkoopdomein,0.7148,5.0,True
Historical_Slavery,inkoopbeheer,0.7125,10.0,True
Historical_Slavery,betaling,0.7695,152.0,True
Historical_Slavery,betalings,0.7389,7.0,True
Historical_Slavery,betalingen,0.7122,105.0,True
Historical_Slavery,betaald,0.7021,194.0,True
Historical_Slavery,betaal,0.7085,8.0,True
Historical_Slavery,armoede,0.7452,73.0,True
Historical_Slavery,minimumloon,0.7456,28.0,True
Historical_Slavery,minima,0.7244,9.0,True
Historical_Slavery,werkten,0.717,12.0,True
Historical_Slavery,economie,0.7432,174.0,True
Historical_Slavery,smokkel,0.7389,7.0,True
Historical_Slavery,onrecht,0.7129,34.0,True
