topic,term,cosine,df
Colonialism,gouverneur,1.0,28
Colonialism,concessie,1.0,21
Colonialism,grondstoffen,1.0,53
Colonialism,exploitatie,1.0,107
Colonialism,codificatie,0.9156,8
Colonialism,gouverneurs,0.8512,30
Colonialism,generaal,0.8363,318
Colonialism,westerse,0.8349,25
Colonialism,identification,0.8269,5
Colonialism,grondstof,0.8259,9
Colonialism,ductie,0.8245,8
Colonialism,ambtenaar,0.8215,19
Colonialism,gemeenten,0.8214,581
Colonialism,detectie,0.821,12
Colonialism,extrapolatie,0.8168,6
Colonialism,aanbesteding,0.8166,49
Colonialism,ambt,0.8163,6
Colonialism,bestuurskern,0.8149,13
Colonialism,autoriteit,0.8149,84
Colonialism,communicatieadvisering,0.8138,13
Colonialism,privatisering,0.8123,29
Colonialism,incl,0.8122,90
Colonialism,republiek,0.8116,9
Colonialism,hoogleraar,0.8116,5
Colonialism,rijks,0.8078,131
Colonialism,rijkscultuur,0.8064,6
Colonialism,benoeming,0.8051,18
Colonialism,overeenkomt,0.804,6
Colonialism,onderwijsstelsel,0.8029,10
Colonialism,ontwikkeling,0.8025,770
Colonialism,paciteit,0.8024,7
Colonialism,minister,0.8022,1421
Colonialism,bestuursorganen,0.802,102
Colonialism,differentiatie,0.7994,12
Colonialism,woningbouw,0.7993,74
Colonialism,diagnostiek,0.799,6
Colonialism,burgemeesters,0.7989,16
Colonialism,harmonisatie,0.7988,15
Colonialism,traliseerd,0.7981,8
Colonialism,sportstelsel,0.7957,5
Colonialism,educatie,0.795,44
Colonialism,currency,0.7947,6
Colonialism,exercitie,0.7944,5
Colonialism,burgemeester,0.794,22
Colonialism,uitbreiding,0.7938,179
Colonialism,gecen,0.7929,8
Colonialism,bestuurscollege,0.7928,9
Colonialism,daadwerkelijk,0.7928,100
Colonialism,militair,0.7928,42
Colonialism,staten,0.7921,296
Colonialism,oprichting,0.7921,46
Colonialism,provincies,0.792,201
Colonialism,regeringen,0.7908,10
Colonialism,scala,0.7903,9
Colonialism,circulatie,0.7896,10
Colonialism,ict,0.7896,430
Colonialism,bestuurlijke,0.7892,212
Colonialism,km2,0.789,9
Colonialism,casuïstiek,0.7889,10
Colonialism,tussenevaluatie,0.7885,27
Colonialism,circa,0.7884,309
Colonialism,leger,0.7864,16
Colonialism,commerciële,0.7857,35
Colonialism,koninkrijk,0.7854,213
Colonialism,secretaris,0.7853,32
Colonialism,overdracht,0.7848,49
Colonialism,genereren,0.7848,16
Colonialism,catie,0.7839,6
Colonialism,detailhandel,0.7839,8
Colonialism,dorpen,0.7836,6
Colonialism,benodigd,0.7835,33
Colonialism,gebouwen,0.7835,96
Colonialism,functi,0.7834,8
Colonialism,beschrijving,0.7832,31
Colonialism,gespecificeerd,0.7831,43
Colonialism,bisschop,0.783,45
Colonialism,regionaal,0.7829,67
Colonialism,koloniale,0.7827,5
Colonialism,projectspecifieke,0.7826,5
Colonialism,universiteiten,0.7825,37
Colonialism,pact,0.782,15
Colonialism,archeologie,0.7819,9
Colonialism,centrale,0.781,252
Colonialism,wetten,0.781,81
Colonialism,inning,0.7809,23
Colonialism,verbreding,0.7803,23
Colonialism,benoemen,0.7795,16
Colonialism,exploitatie1,0.7792,6
Colonialism,departement,0.7792,138
Colonialism,achterliggende,0.7791,12
Colonialism,stedelijk,0.7791,7
Colonialism,fauna,0.7789,10
Colonialism,gebied,0.7789,760
Colonialism,bestuursorgaan,0.7787,94
Colonialism,specialties,0.7785,6
Colonialism,aanduiding,0.7785,10
Colonialism,aangelegd,0.7783,12
Colonialism,herinrichting,0.7779,7
Colonialism,ligging,0.7779,6
Colonialism,departementen,0.7772,265
Colonialism,landenspecifieke,0.7771,10
Colonialism,goedkeuring,0.777,99
Colonialism,vermelden,0.7766,20
Colonialism,industriële,0.7763,27
Colonialism,geadministreerd,0.7762,9
Colonialism,opvolgen,0.7762,9
Colonialism,daadwerkelijke,0.7759,55
Colonialism,statistiek,0.7756,31
Colonialism,concern,0.7754,19
Colonialism,gedeputeerde,0.7753,7
Colonialism,component,0.7753,26
Colonialism,basisonderwijs,0.7752,39
Colonialism,contributie,0.7749,29
Colonialism,voorzieningen,0.7748,276
Colonialism,provincie,0.7745,101
Colonialism,intermediaire,0.7745,8
Colonialism,rescue,0.7745,18
Colonialism,fiscaliteit,0.7743,16
Colonialism,functionaris,0.7742,10
Colonialism,validatie,0.7738,8
Colonialism,officieren,0.7735,6
Colonialism,toekenning,0.7733,55
Colonialism,ministers,0.7733,75
Colonialism,grondwet,0.7733,34
Colonialism,gerelateerd,0.773,106
Colonialism,unicef,0.7729,24
Colonialism,capaciteit,0.7722,268
Colonialism,luchtmacht,0.7722,18
Colonialism,business,0.7721,39
Colonialism,modaliteiten,0.7721,12
Colonialism,intravacc,0.7719,6
Colonialism,inkomsten,0.7717,89
Colonialism,ministerie,0.7715,1276
Colonialism,caties,0.7711,6
Colonialism,georganiseerde,0.7711,52
Colonialism,heroriëntatie,0.771,11
Colonialism,cultuuraanbod,0.7704,5
Colonialism,bevoegd,0.7703,41
Colonialism,lcm,0.7701,12
Colonialism,indicatieve,0.7701,11
Colonialism,overeenkomst,0.7698,73
Colonialism,ecm,0.7696,5
Colonialism,besluitvorming,0.7694,160
Colonialism,stoffen,0.7687,97
Colonialism,academische,0.7686,19
Colonialism,connectiviteit,0.7685,8
Colonialism,abdulaziz,0.7684,16
Colonialism,bovengenoemde,0.7683,34
Colonialism,aanpassingen,0.768,143
Colonialism,eeuw,0.7677,9
Colonialism,vermindering,0.7677,26
Colonialism,onderhevig,0.7676,7
Colonialism,ingeschatte,0.767,6
Colonialism,toerisme,0.767,7
Colonialism,indicatief,0.767,5
Colonialism,kwantiteit,0.7668,6
Colonialism,instituten,0.7668,16
Colonialism,substantiële,0.7668,24
Colonialism,aanvullend,0.7667,114
Colonialism,voorzitterschap,0.7667,32
Colonialism,geconcretiseerd,0.7667,6
Colonialism,techniek,0.7666,32
Colonialism,basiswaarde,0.7666,15
Colonialism,macro,0.7665,31
Colonialism,parlement,0.7664,173
Colonialism,staats,0.7663,27
Colonialism,vandaar,0.7663,9
Colonialism,beantwoording,0.7663,132
Colonialism,facultatief,0.7658,5
Colonialism,omzetting,0.7658,5
Colonialism,samenvoeging,0.7656,9
Colonialism,drinkwater,0.7656,61
Colonialism,route,0.7654,28
Colonialism,zekere,0.7654,16
Colonialism,president,0.7654,31
Colonialism,nadere,0.7654,211
Colonialism,aanvulling,0.7651,95
Colonialism,hergebruik,0.7651,16
Colonialism,vergunningen,0.7651,38
Colonialism,arts,0.765,10
Colonialism,staal,0.765,8
Colonialism,instantie,0.7649,48
Colonialism,rijkscultuurfondsen,0.7649,24
Colonialism,strijdkrachten,0.7647,16
Colonialism,directe,0.7647,127
Colonialism,rapporteringstolerantie,0.7646,13
Colonialism,geinformeerd,0.7646,32
Colonialism,telefonie,0.7646,5
Colonialism,hbo,0.7643,84
Colonialism,kamerlid,0.7639,73
Colonialism,rapporteur,0.7635,11
Colonialism,concessies,0.7633,6
Colonialism,verplaatst,0.7631,14
Colonialism,gecoördineerde,0.7631,10
Colonialism,genaamd,0.763,7
Colonialism,civiel,0.7629,20
Colonialism,vervoer,0.7619,157
Colonialism,industrieel,0.7616,5
Colonialism,bevorderd,0.7615,22
Colonialism,behelst,0.7615,9
Colonialism,benoemde,0.7609,11
Colonialism,kaart,0.7605,228
Colonialism,overkoepelende,0.7605,34
Colonialism,rijkswegen,0.7604,10
Colonialism,menwerking,0.7603,11
Colonialism,desbetreffende,0.7602,36
Colonialism,capaciteitsfixus,0.76,5
Colonialism,tatie,0.76,15
Colonialism,uitgereikt,0.7598,6
Colonialism,commercieel,0.7597,18
Colonialism,instituut,0.7597,95
Colonialism,basisvoorziening,0.7596,5
Colonialism,rijksorganisatie,0.7596,6
Colonialism,comptabiliteitswet,0.7594,170
Colonialism,rapporteringstoleranties,0.7591,22
Colonialism,conference,0.7587,13
Colonialism,kasstelsel,0.7585,25
Colonialism,infrastructuur,0.7584,396
Colonialism,waterschap,0.7584,12
Colonialism,metingen,0.7584,17
Colonialism,vorming,0.7583,26
Colonialism,kwantitatieve,0.7582,52
Colonialism,bestuurlijk,0.7582,63
Colonialism,verhuur,0.7577,11
Colonialism,gerekend,0.7577,21
Colonialism,behouden,0.7576,71
Colonialism,gecombineerd,0.7576,20
Colonialism,havo,0.7576,23
Colonialism,force,0.7576,28
Colonialism,centra,0.7575,25
Colonialism,verwijzing,0.7574,74
Colonialism,bestemming,0.7573,9
Colonialism,interpellatie,0.7573,7
Colonialism,belastingstelsel,0.7572,11
Colonialism,landbouw,0.7569,231
Colonialism,modaliteit,0.7567,10
Colonialism,biociden,0.7567,16
Colonialism,getallen,0.7565,7
Colonialism,aftrek,0.7564,15
Colonialism,programmering,0.7564,45
Colonialism,beeldvorming,0.7564,10
Colonialism,reguliere,0.7564,267
Colonialism,omschrijving,0.7563,772
Colonialism,gepositioneerd,0.7563,5
Colonialism,toenmalige,0.7563,18
Colonialism,spreiding,0.7561,22
Colonialism,benadering,0.7561,43
Colonialism,dienstverlening,0.756,318
Colonialism,geopolitieke,0.7559,27
Colonialism,dekking,0.7559,105
Colonialism,departementaal,0.7559,27
Colonialism,bijbehorende,0.7558,109
Colonialism,indicatiestelling,0.7557,16
Colonialism,ceerd,0.7556,14
Colonialism,invulling,0.7555,303
Colonialism,toekennen,0.7555,10
Colonialism,rce,0.7553,9
Colonialism,bevolking,0.7551,71
Colonialism,benoemd,0.7551,56
Colonialism,cultuurbeleid,0.7548,33
Colonialism,verdere,0.7548,365
Colonialism,egalisatiereserve,0.7547,6
Colonialism,gekenmerkt,0.7545,12
Colonialism,omzetderving,0.7544,8
Colonialism,concessiehouder,0.7543,7
