chunk_uid,tokens
001f7135:00000,"['wijziging', 'ambtseed', 'rijksambtenaren', 'tekst', 'huidige', 'ambtseed', 'rijksambtenaren', 'zweer', 'beloof', 'trouw', 'koning', 'grondwet', 'overige', 'wetten', 'land', 'eerbiedigen', 'zweer', 'verklaar', 'noch', 'direct', 'noch', 'indirect', 'vorm', 'valse', 'informatie', 'verstrekt', 'verband', 'verkrijgen', 'aanstelling', 'zweer', 'verklaar', 'verkrijgen', 'aanstelling', 'niemand', 'geschonken', 'beloofd', 'gaan', 'zweer', 'verklaar', 'verkrijgen', 'aanstelling', 'niemand', 'giften', 'aanvaard', 'niemand', 'beloften', 'gedaan', 'gaan', 'zweer', 'beloof', 'plichtsgetrouw', 'nauwgezet', 'opgedragen', 'taken', 'vervullen', 'zaken', 'hoofde', 'functie', 'vertrouwelijk', 'ter', 'kennis', 'komen', 'waarvan', 'vertrouwelijke', 'karakter', 'inzien', 'geheim', 'houden', 'anderen', 'personen', 'ambtshalve', 'mededeling', 'verplicht', 'zweer', 'beloof', 'gedragen', 'goed', 'ambtenaar', 'betaamt', 'zorgvuldig', 'onkreukbaar', 'betrouwbaar', 'aanzien', 'ambt', 'schaden', 'tekst', 'nieuwe', 'ambtseed', 'rijksambtenaren', 'zweer', 'verklaar', 'ambt', 'eerlijke', 'manier', 'gekregen', 'betekent', 'ambt', 'gekozen', 'omgekocht', 'niemand', 'omgekocht', 'giften', 'beloftes', 'eerlijke', 'informatie', 'gegeven', 'verzwegen', 'ambt', 'belang', 'zweer', 'beloof', 'koning', 'grondwet', 'trouw', 'nederland', 'goed', 'ambtenaar', 'dienen', 'betekent', 'werk', 'algemeen', 'belang', 'onze', 'samenleving', 'zet', 'volledig', 'werk', 'integer', 'behandel', 'iedereen', 'rechtvaardig', 'gelijkwaardig', 'respect', 'ga', 'zorgvuldig', 'informatie']"
001f7135:00001,"['draag', 'open', 'overheid', 'weet', 'vertrouwelijke', 'informatie', 'geheim', 'houden', 'gedraag', 'volgens', 'onze', 'wetten', 'recht', 'gedragsregels', 'verder', 'gelden', 'toelichting', 'nieuwe', 'tekst', 'algemeen', 'ambtseed', 'hiermee', 'zowel', 'eed', 'belofte', 'bedoeld', 'plechtige', 'verklaring', 'traditioneel', 'bestaat', 'twee', 'delen', 'zuiveringseed', 'eed', 'trouw', 'genoemd', 'zuiveringseed', 'blikt', 'terug', 'nieuwe', 'ambtenaar', 'functie', 'gekomen']"
5d14f375:00000,"['eerlijke', 'manier', 'gebeurd', 'vanuit', 'historisch', 'perspectief', 'gedachte', 'hierachter', 'ambtenaar', 'ambt', 'mag', 'uitoefenen', 'eerlijke', 'manier', 'ambt', 'gekomen', 'logischerwijs', 'volgt', 'daarna', 'eed', 'trouw', 'vooruitblikt', 'toekomstige', 'functievervulling', 'nieuwe', 'ambtseed', 'twee', 'traditionele', 'onderdelen', 'tekst', 'duidelijker', 'elkaar', 'gescheiden', 'vervolgens', 'nader', 'ingevuld', 'zuiveringseed', 'eerste', 'deel', 'ofwel', 'zuiveringseed', 'terugblikt', 'zweert', 'verklaart', 'ambtenaar', 'verleden', 'plaatsgevonden', 'zweer', 'verklaar', 'ambt', 'eerlijke', 'manier', 'gekregen', 'gekozen', 'woord', 'ambt', 'plaats', 'functie', 'bijzondere', 'karakter', 'ambtenaarschap', 'benadrukken', 'invoering', 'wet', 'normalisering', 'rechtspositie', 'ambtenaren', 'wnra', 'rijksambtenaren', 'eenzijdige', 'aanstelling', 'tweezijdige', 'arbeidsovereenkomst', 'staat', 'nederlanden', 'woord', 'aanstelling', 'daarom', 'toepassing', 'ambtenaar', 'verklaart', 'uitdrukkelijk', 'ambt', 'gekozen', 'ambt', 'gekozen', 'omkoop', 'gekregen', 'passief', 'omgekocht', 'actief', 'niemand', 'omgekocht']"
5d14f375:00001,"['omkoping', 'vele', 'vormen', 'plaatsvinden', 'komt', 'erop', 'neer', 'omgekochte', 'krijgt', 'toekomst', 'beloofd', 'giften', 'beloftes', 'overigens', 'manieren', 'sprake', 'omkoping', 'ondermijning', 'bijvoorbeeld', 'druk', 'dreiging', 'vanuit', 'criminele', 'milieu', 'verklaren', 'ambt', 'gekozen', 'maakt', 'nieuwe', 'ambtenaar', 'krachtig', 'positief', 'statement', 'ambt', 'vrije', 'volle', 'overtuiging', 'aanvaard', 'daarnaast', 'verklaart', 'ambtenaar', 'indiensttreding', 'eerlijke', 'informatie', 'gegeven', 'zover', 'relevant', 'werk', 'rijksambtenaar', 'eerlijke', 'informatie', 'gegeven', 'verzwegen', 'ambt', 'belang', 'hiermee', 'bedoeld', 'gegeven', 'informatie', 'zichzelf', 'juist', 'volledig', 'én', 'relevante', 'informatie', 'ontbreekt', 'denk', 'hierbij', 'gevolgde', 'opleidingen', 'behaalde', 'diploma', 'eerdere', 'werkervaring', 'eventuele', 'nevenwerkzaamheden', 'dergelijke', 'eerlijk', 'antwoord', 'geven', 'vragen', 'indiensttreding', 'werkgever', 'gesteld', 'ambt', 'relevant', 'eed', 'trouw', 'tweede', 'deel', 'ofwel', 'eed', 'trouw', 'zweert', 'belooft', 'ambtenaar', 'toekomstige', 'functievervulling', 'rijksambtenaar', 'plaatsvinden', 'deel', 'vertrekpunt', 'ambtenaar', 'bewust', 'toekomstige', 'publieke', 'taak', 'dienstbaarheid', 'nederland', 'samenleving', 'verantwoordelijkheid', 'daarbij', 'hoort', 'zweer', 'beloof', 'koning', 'grondwet', 'trouw', 'nederland', 'goed', 'ambtenaar', 'dienen', 'rijksambtenaren', 'dienst', 'staat', 'nederlanden', 'werken', 'nederland']"
5d14f375:00002,"['nederland', 'context', 'staatsrechtelijk', 'land', 'nederland', 'bedoeld', 'artikel', 'statuut', 'koninkrijk', 'omvat', 'caribisch', 'nederland', 'bonaire', 'saba', 'sint', 'eustatius', 'níet', 'caribische', 'landen', 'aruba', 'curaçao', 'sint', 'maarten', 'nederland', 'staatsrechtelijk', 'juiste', 'term', 'caribische', 'landen', 'eigen', 'grondwet', 'staatsregeling', 'regering', 'ambtenaren', 'aangelegenheden', 'caribische', 'landen', 'regulier', 'onderdeel', 'werk', 'rijksambtenaren', 'ambtseed', 'rijksambtenaren', 'strekt', 'direct', 'landen', 'wanneer', 'rijksambtenaren', 'werk', 'mede', 'caribische', 'landen', 'betreft', 'werk', 'buitenlandse', 'zaken', 'rijkswetgeving', 'opdracht', 'nederland', 'gebruik', 'woord', 'nederland', 'benadrukt', 'autonomie', 'landen', 'koninkrijk']"
724b1dfb:00000,"['staat', 'weg', 'werk', 'rijksambtenaren', 'betrekking', 'vier', 'landen', 'spreken', 'nederland', 'staat', 'nederlanden', 'regering', 'rijksoverheid', 'uitdrukking', 'gegeven', 'verantwoordelijkheid', 'rijksambtenaren', 'jegens', 'land', 'brede', 'zin', 'enkel', 'jegens', 'overheid', 'overheid', 'én', 'ambtenaren', 'staan', 'ten', 'dienste', 'land', 'koning', 'vormt', 'samen', 'ministers', 'regering', 'tekent', 'uitoefening', 'regeringsfunctie', 'wetten', 'besluiten', 'reden', 'trouw', 'koning', 'traditioneel', 'onderdeel', 'ambtseed', 'rijksambtenaren', 'gaat', 'persoon', 'koning', 'grondwettelijk', 'verankerde', 'functie', 'instituut', 'vertegenwoordiger', 'gezag', 'daarom', 'trouw', 'koning', 'nieuwe', 'tekst', 'gekoppeld', 'trouw', 'grondwet', 'grondwet', 'hoogste', 'nationale', 'wet', 'nederland', 'grondwet', 'waarborgt', 'grondrechten', 'democratische', 'rechtsstaat', 'ingang', 'augustus', 'algemene', 'bepaling', 'grondwet', 'toegevoegd']"
724b1dfb:00001,"['trouw', 'koning', 'grondwet', 'beide', 'maken', 'dienen', 'nederland', 'democratische', 'rechtsstaat', 'democratisch', 'rechtsstatelijk', 'besef', 'kernonderdeel', 'ambtelijk', 'vakmanschap', 'tekst', 'gaat', 'betekent', 'goed', 'ambtenaar', 'anders', 'goed', 'slecht', 'functioneren', 'goed', 'ambtenaar', 'goed', 'ambtenaarschap', 'gaat', 'goed', 'ambtelijk', 'handelen', 'volgens', 'geldende', 'waarden', 'normen', 'regels', 'gids', 'ambtelijk', 'vakmanschap', 'gedragscode', 'integriteit', 'rijk', 'geven', 'nadere', 'invulling', 'rijksambtenaren', 'belangrijke', 'ambtelijke', 'waarden', 'hierin', 'benoemd', 'uitgelegd', 'waarden', 'overigens', 'evolueren', 'sommige', 'waarden', 'belang', 'toe', 'afnemen', 'nieuwe', 'waarden', 'benoemd', 'spanning', 'bestaan', 'verschillende', 'waarden', 'ambtseed', 'klinkt', 'aantal', 'waarden', 'expliciet', 'impliciet']"
724b1dfb:00002,"['neemt', 'weg', 'ambtelijke', 'waarden', 'belang', 'werk', 'ambtenaar', 'werkt', 'algemeen', 'belang', 'zet', 'eer', 'geweten', 'onze', 'samenleving', 'geheel', 'werk', 'algemeen', 'belang', 'onze', 'samenleving', 'zet', 'volledig', 'ambtenaar', 'dient', 'primair', 'algemeen', 'belang', 'gekozen', 'begrip', 'algemeen', 'belang', 'toegankelijker', 'abstractere', 'begrippen', 'publiek', 'belang', 'publieke', 'zaak', 'publieke', 'taak', 'waarvan', 'precieze', 'betekenis', 'helder', 'begrip', 'algemeen', 'belang', 'vergt', 'nadere', 'uitleg', 'ambtenaar', 'kijk', 'neutraal', 'overkoepelende', 'belang', 'effecten', 'samenleving', 'langere', 'termijn', 'zowel', 'effecten', 'nationaal', 'internationaal', 'ambtenaar', 'maakt', 'onafhankelijk', 'onpartijdig', 'zorgvuldige', 'afweging', 'deelbelangen', 'ambtenaar', 'laat', 'leiden', 'persoonlijke', 'voorkeuren', 'eigen', 'belang', 'belang', 'familie', 'vrienden', 'belang', 'personen', 'waar', 'werkgerelateerde', 'afhankelijkheids', 'relatie', 'mee']"
724b1dfb:00003,"['ambtenarenwet', 'concrete', 'normen', 'vastgelegd', 'belangenverstrengeling', 'gaan', 'nader', 'uitgewerkt', 'gedragscode', 'integriteit', 'rijk', 'ambtenaar', 'werkt', 'algemeen', 'belang', 'ofwel', 'ten', 'dienste', 'samenleving', 'begrip', 'samenleving', 'flexibel', 'ruim', 'opgevat', 'omvat', 'nederlanders', 'nederlanders', 'denk', 'hierbij', 'inwoners', 'onze', 'overzeese', 'gebieden', 'nederlanders', 'buitenland', 'werken', 'wonen', 'verblijven', 'nederlanders', 'nederland', 'werken', 'wonen', 'verblijven', 'daarom', 'aanhef', 'nederland', 'gekozen', 'bijvoorbeeld', 'toevoeging', 'nederlanders', 'inwoners', 'burgers', 'gaat', 'publieke', 'waarden', 'responsieve', 'overheid', 'leveren', 'maatschappelijke', 'meerwaarde', 'motivatie', 'ambtenaar', 'algemeen', 'belang', 'daarbinnen', 'samenleving', 'dienen', 'extra', 'benadrukt', 'ambtenaar', 'laten', 'beloven', 'volledig', 'inzet']"
3764be6a:00000,"['vervolgens', 'gaat', 'gewerkt', 'mensen', 'omgegaan', 'werk', 'integer', 'behandel', 'iedereen', 'rechtvaardig', 'gelijkwaardig', 'respect', 'integer', 'werken', 'omvat', 'valt', 'inclusief', 'bijbehorende', 'ambtelijke', 'waarden', 'normen', 'integriteit', 'gedragscode', 'integriteit', 'rijk', 'beschreven', 'waarden', 'onafhankelijkheid', 'onpartijdigheid', 'betrouwbaarheid', 'zorgvuldigheid', 'eigen', 'verantwoordelijkheid', 'omvat', 'norm', 'aanzien', 'ambt', 'schaden', 'omgangsvormen', 'maken', 'eveneens', 'onderdeel', 'integer', 'gedrag', 'mensen', 'recht', 'rechtvaardige', 'gelijkwaardige', 'behandeling', 'respectvolle', 'bejegening', 'hiermee', 'maatschappelijk', 'belang', 'benadrukt', 'rechtvaardig', 'inclusief', 'handelen', 'tegengaan', 'discriminatie', 'racisme', 'ander', 'grensoverschrijdend', 'gedrag', 'rijksoverheid', 'zowel', 'gids', 'ambtelijk', 'vakmanschap', 'gedragscode', 'integriteit', 'rijk', 'gaan', 'nader', 'aspect', 'ambtelijk', 'handelen', 'gedrag', 'gelijkwaardig', 'anders', 'gelijk', 'mensen', 'ongelijke', 'situaties', 'verkeren', 'gelijkwaardig', 'gaat', 'respecteren', 'ieders', 'menselijke', 'gelijk', 'waardigheid', 'uitgangspunt', 'gelijkwaardigheid', 'oog', 'individuele', 'verschillen']"
