term,term_freq,doc_freq
kamer,11233,5515
nr,10247,5380
tweede,8547,5200
miljoen,4916,1318
ii,4238,1766
kamerstukken,4172,1723
motie,3600,1200
begroting,3559,1848
vergaderjaar,3470,3418
brief,3459,1454
uitgaven,3395,1500
per,3004,1987
minister,2870,1421
realisatie,2831,1275
mln,2794,914
geïnformeerd,2768,1559
artikel,2679,1249
nederland,2634,1613
eerste,2488,1649
ten,2398,1790
agenda,2391,775
onderzoek,2258,1356
tabel,2204,1483
zaken,2180,1461
totaal,2108,1191
aantal,2068,1333
programma,2055,1235
uitvoering,2015,1456
stand,1984,1272
ministerie,1897,1276
onderwijs,1845,750
bijdrage,1833,931
middelen,1830,1216
toe,1826,1051
overige,1787,919
nieuwe,1783,1366
verzoekt,1746,568
regering,1742,677
wet,1711,1059
afgedaan,1650,853
parlementaire,1647,503
lid,1608,979
daarnaast,1562,1376
ontvangsten,1541,806
opgenomen,1467,1135
behandeling,1432,826
nederlandse,1413,993
december,1394,1010
zegt,1392,697
evaluatie,1384,719
kosten,1381,780
verplichtingen,1371,711
betreft,1369,1021
zorg,1357,571
jaarverslag,1325,790
financiële,1290,905
toelichting,1283,978
maken,1281,1080
mogelijk,1279,1087
afgerond,1272,599
toezegging,1260,652
kabinet,1258,872
rijk,1255,771
via,1233,996
basis,1215,1010
aanpak,1208,851
bedragen,1201,876
waarvan,1182,480
beleid,1166,880
maatregelen,1165,898
verder,1163,1018
debat,1138,592
regeling,1123,722
staat,1120,879
kamerbrief,1120,745
hoger,1073,703
informeren,1069,790
budget,1059,689
komen,1055,922
deel,1052,854
inzet,1052,791
veiligheid,1046,651
ontwikkeling,1041,770
kader,1037,832
saldo,1027,569
extra,1017,753
bedrag,1016,625
vanuit,1004,828
punt,998,305
gebruik,994,775
samenwerking,990,731
europese,988,628
gevolg,987,796
projecten,982,570
gebied,972,760
algemene,964,682
euro,957,408
waar,950,829
eigen,935,653
verschil,928,779
ter,919,772
onderdeel,916,759
samen,916,788
