topic,term,cosine,df,keep
Colonialism,koloniaal,1.0,91,True
Colonialism,kolonie,1.0,150,True
Colonialism,gouverneur,1.0,44,True
Colonialism,exploitatie,1.0,18,True
Colonialism,cultuurstelsel,1.0,26,True
Colonialism,handelsmonopolie,1.0,5,True
Colonialism,west-indische,0.9919,73,True
Colonialism,koloniale,0.9781,446,True
Colonialism,westindische,0.9584,11,True
Colonialism,gouverneur-,0.9558,6,True
Colonialism,oost-indische,0.9572,27,True
Colonialism,west-indië,0.943,19,True
Colonialism,gouverneur-generaal,0.9164,20,True
Colonialism,wic,0.9135,129,True
Colonialism,voc,1.0,202,True
Colonialism,koloniën,0.8776,273,True
Colonialism,postkoloniale,0.8665,18,True
Colonialism,kolonien,0.8633,30,True
Colonialism,kolonisten,0.8612,34,True
Colonialism,postkoloniaal,0.8558,9,True
Colonialism,plantage-,0.8537,13,True
Colonialism,plantage,0.7923,97,True
Colonialism,plantages,0.7917,139,True
Colonialism,kaapkolonie,0.8093,15,True
Colonialism,kolonisatie,0.794,22,True
Colonialism,oostindie,0.7693,30,True
Colonialism,slavenkolonie,0.7626,5,True
Colonialism,westerse,0.7609,19,True
Colonialism,voc-imperium,0.7619,6,True
Colonialism,voc-dienaren,0.7582,15,True
Colonialism,monopolie,0.7605,13,True
Colonialism,plantagesector,0.7741,7,True
Colonialism,kolonialisme,0.7395,162,True
Colonialism,kolonia,0.7501,9,True
Colonialism,kolonisatoren,0.7183,5,True
Colonialism,landbouwkolonie,0.7154,10,True
Colonialism,kolonisator,0.7128,12,True
Colonialism,voc-schip,0.7046,9,True
Colonialism,gekoloniseerden,0.7042,7,True
Colonialism,slavenkoloniën,0.6993,6,True
Colonialism,voc-schepen,0.6993,6,True
Colonialism,plantagekolonie,0.6802,9,True
Colonialism,ketenen,0.6668,15,True
Colonialism,uitbuiting,0.6653,22,True
Colonialism,keten,0.6369,12,True
Colonialism,antikoloniale,0.6385,6,True
Colonialism,gekoloniseerde,0.6337,30,True
Colonialism,provinciaal,0.5953,6,True
Colonialism,provinciale,0.6326,32,True
Colonialism,dekolonisatie,0.5848,17,True
Colonialism,plantagekoloniën,0.5566,7,True
Colonialism,creoolse,0.5567,10,True
Colonialism,landbouw,0.6323,22,True
Colonialism,handel,0.7327,10,True
Colonialism,handels,0.7327,10,True
Colonialism,gebied,0.6719,80,True
Colonialism,eiland,0.65,25,True
Colonialism,bezit,0.68,15,True
Colonialism,bezittingen,0.67,12,True
Colonialism,beleid,0.62,35,True
Colonialism,bestuur,0.69,28,True
Colonialism,bewind,0.66,18,True
Colonialism,macht,0.64,42,True
Colonialism,heerschappij,0.72,8,True
Colonialism,onderwerping,0.68,6,True
Colonialism,verovering,0.71,9,True
Colonialism,bezetting,0.67,11,True
Colonialism,administratie,0.65,14,True
Colonialism,ambtenaar,0.63,16,True
Colonialism,cultuur,0.769,119,True
Colonialism,beschaving,0.65,20,True
Colonialism,systeem,0.68,45,True
