topic,term,cosine,df,keep
Historical Slavery,slavernij,1.0,690,True
Historical Slavery,slavenhandel,1.0,256,True
Historical Slavery,slavenopstand,1.0,24,True
Historical Slavery,dwangarbeid,1.0,34,True
Historical Slavery,plantage-economie,1.0,10,True
Historical Slavery,trans-atlantisch,1.0,10,True
Historical Slavery,ketenen,1.0,15,True
Historical Slavery,zweep,1.0,6,True
Historical Slavery,marronage,1.0,5,True
Historical Slavery,slavernij-,0.9593,15,True
Historical Slavery,slavernijgerelateerde,0.9017,6,True
Historical Slavery,trans-atlantische,0.8985,86,True
Historical Slavery,slavenhandelaren,0.8924,15,True
Historical Slavery,slavenhandelaars,0.8459,5,True
Historical Slavery,slavernijverleden,0.8413,250,True
Historical Slavery,slavernijsysteem,0.8334,17,True
Historical Slavery,slavenhandelaar,0.8306,11,True
Historical Slavery,slaaf-gemaakte,0.8286,13,True
Historical Slavery,dwangarbeiders,0.827,6,True
Historical Slavery,slavernijdebat,0.8225,6,True
Historical Slavery,verkocht,0.8194,52,True
Historical Slavery,slavernijgeschiedenis,0.8136,33,True
Historical Slavery,slavernijperiode,0.8135,5,True
Historical Slavery,verkoop,0.8103,28,True
Historical Slavery,plantagesector,0.8064,7,True
Historical Slavery,planters,0.8038,40,True
Historical Slavery,keten,0.7992,12,True
Historical Slavery,verkopen,0.7816,19,True
Historical Slavery,koop,0.7802,14,True
Historical Slavery,kopen,0.7767,26,True
Historical Slavery,slavenmarkten,0.7727,6,True
Historical Slavery,atlantisch,0.7669,25,True
Historical Slavery,vrijkopen,0.762,5,True
Historical Slavery,plantage-,0.7586,13,True
Historical Slavery,midden,0.7515,45,True
Historical Slavery,slavenarbeid,0.7495,18,True
Historical Slavery,plantages,0.7358,139,True
Historical Slavery,handels,0.7327,10,True
Historical Slavery,aankoop,0.7261,15,True
Historical Slavery,plantage,0.726,97,True
Historical Slavery,planten,0.7997,8,True
Historical Slavery,slaaf-gemaakten,0.7208,38,True
Historical Slavery,plantagehouder,0.8396,8,True
Historical Slavery,plantagehouders,0.6977,14,True
Historical Slavery,plantage-eigenaren,0.6965,23,True
Historical Slavery,plantage-eigenaar,0.7061,10,True
Historical Slavery,planter,0.725,6,True
Historical Slavery,slaafgemaakte,0.704,130,True
Historical Slavery,slaafgemaakt,0.717,13,True
Historical Slavery,eigendomsslavernij,0.7025,5,True
Historical Slavery,plantageslavernij,0.672,5,True
Historical Slavery,slavenplantages,0.6845,5,True
Historical Slavery,koffieplantage,0.6314,11,True
Historical Slavery,suikerplantages,0.6036,11,True
Historical Slavery,dwang,0.6496,29,True
Historical Slavery,arbeidsdwang,0.633,5,True
Historical Slavery,arbeid,0.7161,95,True
Historical Slavery,arbeiders,0.5703,59,True
Historical Slavery,slaafmakers,0.6329,6,True
Historical Slavery,slavernijmuseum,0.6163,19,True
Historical Slavery,slaaf,0.6106,219,True
Historical Slavery,slaven,0.6074,206,True
Historical Slavery,slavengeld,0.6052,6,True
Historical Slavery,verzet,0.5777,96,True
Historical Slavery,slavenhoudende,0.5699,6,True
Historical Slavery,slavenkoloniën,0.5751,6,True
Historical Slavery,afschaffing,0.5738,219,True
Historical Slavery,slavenemancipatie,0.5584,8,True
Historical Slavery,vrijheid,0.68,45,True
Historical Slavery,bevrijding,0.66,22,True
Historical Slavery,emancipatie,0.71,35,True
