topic,term,cosine,df
Colonialism,koloniaal,1.0,91
Colonialism,kolonie,1.0,150
Colonialism,gouverneur,1.0,44
Colonialism,handelsmonopolie,1.0,5
Colonialism,exploitatie,1.0,18
Colonialism,cultuurstelsel,1.0,26
Colonialism,west-indische,0.9919,73
Colonialism,koloniale,0.9781,446
Colonialism,westindische,0.9584,11
Colonialism,oost-indische,0.9572,27
Colonialism,gouverneur-,0.9558,6
Colonialism,west-indië,0.943,19
Colonialism,gouverneur-generaal,0.9164,20
Colonialism,wic,0.9135,129
Colonialism,oost-indië,0.9024,9
Colonialism,antilliaans,0.8934,14
Colonialism,koloniën,0.8776,273
Colonialism,postkoloniale,0.8665,18
Colonialism,antilliaanse,0.8659,31
Colonialism,indische,0.8642,71
Colonialism,zuid-india,0.8641,6
Colonialism,kolonien,0.8633,30
Colonialism,kolonisten,0.8612,34
Colonialism,postkoloniaal,0.8558,9
Colonialism,plantage-,0.8537,13
Colonialism,indian,0.8183,20
Colonialism,indië,0.8131,28
Colonialism,kaapkolonie,0.8093,15
Colonialism,nederlands-indische,0.7991,7
Colonialism,export,0.7946,7
Colonialism,kolonisatie,0.794,22
Colonialism,plantage,0.7923,97
Colonialism,plantages,0.7917,139
Colonialism,nederlands-indië,0.7826,71
Colonialism,plantagesector,0.7741,7
Colonialism,antillen,0.7705,69
Colonialism,oostindie,0.7693,30
Colonialism,cultuur,0.769,119
Colonialism,slavenkolonie,0.7626,5
Colonialism,westerse,0.7609,19
Colonialism,monopolie,0.7605,13
Colonialism,india,0.7598,42
Colonialism,indianen,0.7537,6
Colonialism,antillianen,0.7502,10
Colonialism,kolonia,0.7501,9
Colonialism,brits-indië,0.7397,5
Colonialism,kolonialisme,0.7395,162
Colonialism,indonesische,0.7335,65
Colonialism,plantage-eigenaren,0.7263,23
Colonialism,plantagehouders,0.7251,14
Colonialism,staatssecretaris,0.7215,7
Colonialism,culturen,0.7185,21
Colonialism,kolonisatoren,0.7183,5
Colonialism,landbouwkolonie,0.7154,10
Colonialism,president,0.7143,6
Colonialism,noord-amerika,0.7129,30
Colonialism,kolonisator,0.7128,12
Colonialism,noord-amerikaanse,0.7126,6
Colonialism,organisatiecultuur,0.7074,23
Colonialism,betrekkingen,0.706,15
Colonialism,gekoloniseerden,0.7042,7
Colonialism,handels-,0.7039,6
Colonialism,west-afrika,0.7028,27
Colonialism,indiase,0.6999,12
Colonialism,slavenkoloniën,0.6993,6
Colonialism,plantation,0.6991,7
Colonialism,handelscompagnieën,0.6986,12
Colonialism,indonesië,0.6931,68
Colonialism,plantage-economie,0.6928,10
Colonialism,minister-president,0.6927,9
Colonialism,gouverneurs,0.6923,11
Colonialism,zuid-amerika,0.6913,31
Colonialism,burgemeester,0.6909,37
Colonialism,westelijk,0.6898,7
Colonialism,aanleg,0.6882,10
Colonialism,plantagehouder,0.6863,8
Colonialism,indonesia,0.6855,14
Colonialism,plantagekolonie,0.6802,9
Colonialism,niet-westerse,0.6772,13
Colonialism,apparaat,0.6758,5
Colonialism,indies,0.6746,14
Colonialism,gemeenteraadslid,0.674,6
Colonialism,west-afrikaanse,0.6735,11
Colonialism,anti-,0.6727,11
Colonialism,grond,0.6719,80
Colonialism,bouwde,0.6687,8
Colonialism,aanbieden,0.6628,37
Colonialism,zuid-afrika,0.6627,41
Colonialism,handelsgoederen,0.6614,6
Colonialism,culture,0.6569,21
Colonialism,indonesiërs,0.6557,8
Colonialism,antikoloniale,0.6543,6
Colonialism,culturele,0.6533,107
Colonialism,planters,0.6488,40
Colonialism,plantagekoloniën,0.6484,7
Colonialism,systeem,0.6479,112
Colonialism,bestuurs,0.6467,5
Colonialism,cultural,0.6461,13
Colonialism,verbieden,0.6442,6
Colonialism,wereldculturen,0.6435,5
Colonialism,bevestigd,0.6425,7
Colonialism,bezitten,0.6413,12
Colonialism,premier,0.6391,26
Colonialism,development,0.639,10
Colonialism,stichten,0.6372,6
Colonialism,oprichten,0.6367,9
Colonialism,voc,0.636,202
Colonialism,oprichting,0.6354,57
Colonialism,gekoloniseerde,0.6337,30
Colonialism,provinciale,0.6326,32
Colonialism,landbouw,0.6323,22
Colonialism,plantage-eigenaar,0.6313,10
Colonialism,west-,0.63,21
Colonialism,parlementslid,0.6276,7
Colonialism,handel,0.6275,189
Colonialism,systemen,0.6274,13
Colonialism,handels,0.6261,10
Colonialism,successieoorlog,0.6252,5
Colonialism,afro-antillianen,0.6252,9
Colonialism,voc-,0.6241,19
Colonialism,bestuur,0.6225,112
Colonialism,plantageslavernij,0.6206,5
Colonialism,werelden,0.6206,5
Colonialism,voorzitter,0.6194,54
Colonialism,zuid-,0.6193,13
Colonialism,noordelijke,0.6185,8
Colonialism,noord-,0.6184,21
Colonialism,planten,0.6182,8
Colonialism,dependency,0.6165,5
Colonialism,instrument,0.6165,25
Colonialism,convention,0.6159,7
Colonialism,bouwen,0.6153,33
Colonialism,markt,0.6148,20
Colonialism,creation,0.6144,9
Colonialism,vervoeren,0.613,7
Colonialism,handelswaar,0.6127,15
Colonialism,zuidelijke,0.612,19
Colonialism,bezit,0.6118,56
Colonialism,stof,0.6097,12
Colonialism,staten-generaal,0.6093,69
Colonialism,gronden,0.6089,22
Colonialism,cultuursensitief,0.6087,5
Colonialism,bouw,0.6047,14
Colonialism,zaak,0.6046,59
Colonialism,slavenplantages,0.6044,5
Colonialism,uitoefende,0.6042,5
Colonialism,oud-minister,0.6034,5
Colonialism,opbouwen,0.6032,7
Colonialism,belangen,0.6027,96
Colonialism,aankoop,0.6026,15
Colonialism,suikerplantages,0.6022,11
Colonialism,stelsel,0.6016,33
Colonialism,minister,0.6012,93
Colonialism,cultureel,0.6006,67
Colonialism,coronie,0.5994,6
Colonialism,productief,0.5988,6
Colonialism,gevestigd,0.5986,25
Colonialism,onderbouw,0.5977,5
Colonialism,kolo-,0.5974,7
Colonialism,generaal,0.5965,28
Colonialism,affairs,0.5964,5
Colonialism,provinciaal,0.5953,6
Colonialism,teelt,0.5944,7
Colonialism,commission,0.5941,7
Colonialism,grondslagen,0.5934,8
Colonialism,committee,0.592,14
Colonialism,onderneming,0.5907,14
Colonialism,stichting,0.5906,35
Colonialism,kol,0.5884,5
Colonialism,zaken,0.5879,215
Colonialism,zuidoost-azië,0.5875,12
Colonialism,materiaal,0.5874,16
Colonialism,genootschap,0.5864,12
Colonialism,onderpand,0.5861,7
Colonialism,overnemen,0.5856,8
Colonialism,considered,0.5852,13
Colonialism,afschaffing,0.585,219
Colonialism,dekolonisatie,0.5848,17
Colonialism,aandeelhouder,0.5837,7
Colonialism,voorzien,0.5832,34
Colonialism,landelijke,0.5832,25
Colonialism,huisvesting,0.5826,7
Colonialism,bestaand,0.5824,6
Colonialism,ondernemen,0.5817,14
Colonialism,kandidaat,0.5807,5
Colonialism,eigenaren,0.5802,55
Colonialism,expedities,0.5798,9
Colonialism,leidinggevende,0.5797,20
Colonialism,voorbereid,0.5792,6
Colonialism,uitmaakten,0.5792,5
Colonialism,company,0.5792,25
Colonialism,ondernemingen,0.579,37
Colonialism,westkust,0.5784,7
Colonialism,intimidatie,0.5782,8
Colonialism,creating,0.578,6
Colonialism,reproduceren,0.5778,5
Colonialism,vestigen,0.5775,14
Colonialism,beperken,0.5773,25
Colonialism,nations,0.5771,12
Colonialism,politicus,0.5768,11
Colonialism,zuid-azië,0.5763,13
Colonialism,compagnie,0.576,127
Colonialism,koloni,0.5759,5
Colonialism,heritage,0.5753,23
Colonialism,aanbiedt,0.5751,5
Colonialism,additional,0.575,5
Colonialism,investering,0.5749,9
Colonialism,antilles,0.5747,10
Colonialism,bevrijding,0.5745,5
Colonialism,instelling,0.5734,11
Colonialism,eigendom,0.5729,40
Colonialism,anthonie,0.5721,6
Colonialism,oost-,0.57,9
Colonialism,introduced,0.5695,8
Colonialism,verworven,0.5692,9
Colonialism,verdiensten,0.5691,6
Colonialism,creëerden,0.5682,6
Colonialism,afgevaardigde,0.5674,29
Colonialism,mondelinge,0.5673,6
Colonialism,landelijk,0.5672,18
Colonialism,planter,0.5669,6
Colonialism,west,0.5666,82
Colonialism,aanneming,0.566,8
Colonialism,verdiepen,0.5653,15
Colonialism,herinneringscultuur,0.5653,5
Colonialism,natie,0.5652,25
Colonialism,onttrekken,0.5651,5
Colonialism,handelaren,0.5647,48
Colonialism,burgemeesters,0.5645,28
Colonialism,amerikaanse,0.5644,34
Colonialism,meerderheid,0.5632,43
Colonialism,afrikaanse,0.5619,94
Colonialism,behartigen,0.5611,5
Colonialism,secretaris,0.5597,12
Colonialism,voc-gebied,0.5596,5
Colonialism,collective,0.5592,11
Colonialism,bestuursfuncties,0.5589,5
Colonialism,overeenkomsten,0.5581,16
Colonialism,stadhouder,0.558,26
Colonialism,obligaties,0.5579,12
Colonialism,historic,0.5575,7
Colonialism,beleggingen,0.557,7
Colonialism,government,0.5568,17
Colonialism,creoolse,0.5567,10
Colonialism,antislavery,0.5565,8
Colonialism,inheemse,0.5563,31
Colonialism,afspiegeling,0.556,13
Colonialism,kolo,0.5557,17
Colonialism,overwegingen,0.5556,11
Colonialism,overeenkomst,0.5555,9
Colonialism,raad,0.5554,45
Colonialism,expeditie,0.5549,5
Colonialism,amerika,0.5547,64
Colonialism,verscheept,0.5543,8
Colonialism,aandeelhouders,0.5542,21
Colonialism,nation,0.554,12
Colonialism,bezittingen,0.5536,24
Colonialism,samenwerking,0.5532,42
Colonialism,antislavern,0.5524,5
Colonialism,duitsland,0.5521,9
Colonialism,volendam,0.5517,6
Colonialism,conflicten,0.5515,15
Colonialism,leidinggevenden,0.5513,24
Colonialism,westen,0.551,9
Colonialism,bedrijven,0.5508,18
Colonialism,beheer,0.5506,21
Colonialism,bestuurders,0.5504,66
Colonialism,illegale,0.5501,14
Historical Slavery,slavernij,1.0,690
Historical Slavery,slavenhandel,1.0,256
Historical Slavery,slavenopstand,1.0,24
Historical Slavery,dwangarbeid,1.0,34
Historical Slavery,plantage-economie,1.0,10
Historical Slavery,trans-atlantisch,1.0,10
Historical Slavery,ketenen,1.0,15
Historical Slavery,zweep,1.0,6
Historical Slavery,marronage,1.0,5
Historical Slavery,slavernij-,0.9593,15
Historical Slavery,slavernijgerelateerde,0.9017,6
Historical Slavery,trans-atlantische,0.8985,86
Historical Slavery,slavenhandelaren,0.8924,15
Historical Slavery,slavenhandelaars,0.8459,5
Historical Slavery,slavernijverleden,0.8413,250
Historical Slavery,slavernijsysteem,0.8334,17
Historical Slavery,slavenhandelaar,0.8306,11
Historical Slavery,slaaf-gemaakte,0.8286,13
Historical Slavery,dwangarbeiders,0.827,6
Historical Slavery,slavernijdebat,0.8225,6
Historical Slavery,verkocht,0.8194,52
Historical Slavery,slavernijgeschiedenis,0.8136,33
Historical Slavery,slavernijperiode,0.8135,5
Historical Slavery,verkoop,0.8103,28
Historical Slavery,plantagesector,0.8064,7
Historical Slavery,keten,0.7992,12
Historical Slavery,verkopen,0.7816,19
Historical Slavery,koop,0.7802,14
Historical Slavery,kopen,0.7767,26
Historical Slavery,slavenmarkten,0.7727,6
Historical Slavery,atlantisch,0.7669,25
Historical Slavery,vrijkopen,0.762,5
Historical Slavery,plantage-,0.7586,13
Historical Slavery,midden,0.7515,45
Historical Slavery,slavenarbeid,0.7495,18
Historical Slavery,kleur,0.7391,88
Historical Slavery,kleurrijke,0.7382,7
Historical Slavery,plantages,0.7358,139
Historical Slavery,handels,0.7327,10
Historical Slavery,aankoop,0.7261,15
Historical Slavery,plantage,0.726,97
Historical Slavery,slaaf-gemaakten,0.7208,38
Historical Slavery,marrons,0.7199,22
Historical Slavery,midden-,0.7184,5
Historical Slavery,slaafgemaakt,0.717,13
Historical Slavery,arbeid,0.7161,95
Historical Slavery,afkeer,0.7149,11
Historical Slavery,slavenhalers,0.7141,9
Historical Slavery,koopwaar,0.7131,8
Historical Slavery,markt,0.7111,20
Historical Slavery,handelsgoederen,0.707,6
Historical Slavery,sloot,0.7069,11
Historical Slavery,smokkelhandel,0.7067,5
Historical Slavery,ruil,0.7067,12
