term,term_freq,doc_freq
de,28834,1405
van,18870,1397
en,14693,1393
in,13268,1383
het,12014,1327
een,8322,1277
dat,4858,1049
op,4582,1198
te,4570,1070
is,3804,1009
voor,3732,1149
die,3729,1082
of,3430,842
met,3094,1099
the,2870,224
aan,2863,1072
als,2631,1016
niet,2608,946
om,2415,891
ook,2399,993
zijn,2273,750
slavernij,2189,690
was,2119,798
door,2009,929
er,1990,800
tot,1932,868
over,1744,817
uit,1634,828
maar,1490,775
worden,1489,675
dit,1472,737
naar,1441,760
deze,1406,754
werd,1404,635
bij,1316,641
and,1291,191
nederlandse,1255,625
hun,1223,623
zich,1143,667
ze,1075,474
racisme,1032,317
koloniale,1025,446
nederland,951,472
wordt,947,479
waren,924,496
hebben,913,502
mensen,911,445
meer,907,585
utrecht,883,296
ik,876,213
andere,860,556
den,859,414
nog,841,525
amsterdam,831,352
dan,828,512
onderzoek,811,439
heeft,799,450
onder,785,557
zij,784,422
hij,771,268
slaafgemaakten,727,295
suriname,715,360
werden,712,415
der,705,349
tegen,665,404
veel,663,434
zo,650,457
staat,647,445
al,643,450
we,639,314
geschiedenis,613,349
kunnen,613,384
slavernijverleden,605,250
wat,601,403
na,600,411
kan,599,351
geen,589,403
tussen,585,408
to,576,112
haar,566,283
zou,564,354
medewerkers,564,112
zoals,559,409
wel,526,368
eeuw,513,333
zwarte,495,207
verschillende,495,340
tweede,495,276
waar,494,373
had,492,323
moet,488,254
jaar,468,317
voc,468,202
slavenhandel,461,256
excuses,452,126
ten,451,331
hoe,448,314
afschaffing,434,219
moeten,430,243
alleen,428,346
discriminatie,406,141
maken,404,305
koloniën,403,273
alle,398,298
nu,394,273
omdat,393,288
slavern,391,140
men,390,202
eerste,387,302
2020,383,189
kamer,377,165
zal,376,172
eigen,374,254
jaren,370,257
daar,368,286
deel,365,276
verleden,362,224
binnen,359,257
slaven,358,206
slaaf,346,219
je,335,126
curaçao,334,179
ke,333,176
dus,331,272
grote,331,254
on,327,99
zien,326,265
nieuwe,310,237
zie,309,175
waarin,305,253
zaken,303,215
ministerie,303,149
vrijheid,299,183
vaak,294,222
hadden,294,226
regering,293,161
utrechtse,293,134
vooral,291,241
2021,291,153
handel,290,189
slavery,290,118
law,290,45
kon,287,237
zelf,286,231
bijvoorbeeld,286,228
kwam,286,227
rol,286,223
doen,284,202
samenleving,280,194
steeds,274,214
wic,273,129
nederlandsche,271,106
aandacht,270,190
000,270,85
nederlanders,267,173
verder,266,225
toen,263,202
gaan,258,212
komen,257,222
twee,257,216
1862,256,98
compagnie,255,127
dutch,254,100
wet,251,114
as,251,69
10,250,190
werk,250,188
gebied,250,184
for,250,96
plaats,249,199
tijd,249,201
vanuit,248,212
hier,247,190
slaafgemaakte,245,130
hen,243,182
stad,242,147
willem,238,136
republiek,237,142
nl,236,133
zonder,232,184
sociale,231,169
zitting,231,78
zouden,230,171
julij,230,71
vraag,229,170
aantal,228,179
belang,225,173
goed,225,186
witte,224,151
leven,224,191
zelfs,223,181
overheid,223,146
basis,223,182
https,223,116
later,222,197
ons,222,150
1861-1862,220,70
vel,219,69
leiden,218,161
erkenning,218,111
staats-courant,218,68
bijblad,218,68
volgens,217,154
jan,217,139
that,217,62
gemaakt,216,179
history,216,100
ervaringen,215,116
gaat,215,166
wij,214,116
2019,214,113
plantage,211,97
kolonie,211,150
azië,210,130
vormen,210,167
kolonialisme,208,162
soms,207,142
nederlands,206,152
ging,206,179
geven,204,169
juli,204,149
lokale,203,131
plantages,203,139
werken,202,167
collega,202,78
11,201,155
vorm,197,160
zowel,197,172
www,197,111
respondenten,196,80
mee,195,162
publieke,194,104
mogelijk,194,166
weinig,193,161
politieke,193,154
bevolking,193,142
buitenlandse,193,140
onderwijs,192,112
europese,191,157
groot,189,160
echter,189,169
wil,188,145
memory,188,53
wereld,187,137
eene,187,81
debat,185,104
af,185,156
vanaf,185,159
organisatie,185,99
amsterdamse,185,106
ter,184,152
kennis,180,132
hem,180,120
12,177,146
laten,177,157
gezien,177,154
konden,177,151
onze,177,121
periode,177,151
new,177,88
2018,177,104
minder,176,147
eilanden,174,107
land,174,141
aangenomen,174,78
emancipatie,174,115
haag,173,134
gulden,173,93
groepen,172,118
waarom,172,147
kinderen,172,112
gevolgen,172,121
toe,171,155
wie,171,137
17,171,125
heel,170,130
daarvan,170,149
ander,168,130
belangrijk,168,130
terug,168,144
mij,168,78
bepaalde,168,113
daarnaast,167,152
tijdens,167,140
archief,166,111
minister,166,93
batavia,166,92
cultuur,164,119
15,164,128
voorbeeld,164,137
gemaakten,164,114
daarbij,163,126
via,163,135
toch,163,139
elkaar,162,125
daarom,162,147
geweest,161,136
manier,161,139
zeer,161,131
nationale,161,118
14,160,119
20,160,116
juist,159,135
samen,159,137
beeld,159,133
arbeid,159,95
kwamen,159,131
nationaal,158,113
staan,158,135
daarmee,158,148
drie,158,137
koninkrijk,157,84
groep,157,122
stellen,157,134
lang,156,138
culturele,156,107
achttiende,156,123
staten-generaal,156,69
bijlage,156,145
bovendien,155,144
lokaal,155,60
nemen,155,136
vinden,155,132
30,155,114
landen,154,111
by,154,62
et,154,91
zullen,152,99
be,152,59
ervaren,151,103
bestuur,150,112
25,150,114
universiteit,149,99
13,149,126
welke,149,112
or,149,45
boek,148,99
politiek,147,123
doorwerkingen,147,100
vrouwen,147,108
19,146,125
moest,146,113
heer,146,85
red,146,67
laatste,145,132
betrokken,145,128
kreeg,144,113
slave,144,71
geval,143,128
vragen,143,106
beter,142,125
onderdeel,142,121
gebieden,142,111
naast,141,132
systeem,141,112
duidelijk,141,127
wanneer,141,103
herstel,140,68
delen,140,117
vr,140,87
ninsee,139,114
krijgen,139,118
black,139,91
enkele,138,123
komt,138,122
hoofdstuk,138,87
vanwege,137,115
1863,137,106
this,137,49
afrika,136,99
huidige,136,113
waarop,136,121
net,135,119
betrekking,135,114
afrikaanse,135,94
belangen,135,96
18,135,107
medewerker,135,49
gedaan,134,117
verzet,133,96
organisaties,133,81
16,133,114
kerk,133,57
from,133,72
discriminatietoets,133,37
iets,132,104
verantwoordelijkheid,132,75
ontwikkeling,131,106
nodig,131,113
gebruik,131,106
ver,131,111
houden,131,116
vrij,131,102
university,130,88
atlantische,129,88
altijd,129,113
nederlanden,129,87
saba,129,49
belangrijke,129,115
handelen,129,75
slechts,128,120
waarbij,128,106
2017,128,79
anders,127,113
laat,127,116
positie,127,110
pieter,127,69
staten,127,94
dag,126,89
perspectief,126,91
rotterdam,125,86
genoemd,125,112
2013,124,91
with,124,53
zwart,123,79
aruba,123,72
stand,123,105
zeggen,123,97
nr,123,49
liberalen,123,34
2022,122,75
stelde,122,94
artikel,122,89
zoo,122,64
familie,121,95
maakte,121,118
kleur,121,88
kabinet,121,46
respondent,121,52
surinaamse,120,92
voormalige,120,98
sommige,120,108
anderen,120,107
invloed,120,105
diversiteit,120,73
thorbeckianen,120,24
economische,119,104
vele,119,113
begin,119,108
mannen,118,95
europa,118,92
volgende,118,106
per,117,95
terwijl,117,106
afrikanen,117,83
trade,117,54
zuylen,117,49
weer,116,105
leden,116,95
beleid,116,82
27,116,86
it,116,47
bekend,115,110
weten,115,99
context,115,100
netherlands,115,54
burgers,114,64
diverse,114,88
willen,114,101
26,114,89
261,114,41
verkennend,114,110
adviescollege,114,36
brengen,113,105
koloniaal,113,91
rond,113,104
nimako,113,97
museum,113,69
nazaten,112,82
eerder,112,101
press,112,69
2016,112,71
at,112,59
belle,112,32
slaaf-gemaakten,112,38
afkomst,111,77
woord,111,83
koning,111,76
maatschappelijke,111,86
betrokkenheid,111,89
achtergrond,111,86
sprake,110,91
pas,110,99
bestaan,110,97
geboren,110,83
goede,109,97
vervolgens,109,98
meeste,109,99
tien,109,84
conservatieven,109,29
actief,108,95
vrije,108,75
recht,108,87
zeker,108,100
wachten,108,99
want,106,91
caribische,106,87
gebruikt,106,89
trans-atlantische,106,86
procent,106,58
verhaal,106,75
west,106,82
naam,106,81
21,106,88
heden,105,90
één,105,93
hoewel,105,98
nooit,105,94
zeventiende,105,84
moesten,105,83
29,105,90
dr,105,40
international,105,45
sint,105,48
institutioneel,104,65
doorwerking,104,81
geeft,104,97
matthias,103,75
ruimte,103,94
hand,103,92
stond,103,92
financiële,103,84
28,103,78
macht,102,78
geheel,102,86
moment,102,96
algemeen,102,86
elite,102,82
bi-culturele,102,47
zichzelf,101,86
bleef,101,86
grond,101,80
nieuw,101,74
23,101,84
doel,100,82
york,100,56
colonial,100,54
weg,99,88
eiland,99,73
buiten,99,90
jouwe,99,81
meerdere,99,87
22,99,83
juni,99,71
piet,98,63
informatie,98,64
sinds,98,85
historische,98,83
nancy,98,81
etnische,98,64
instituut,97,69
kregen,97,90
huis,97,75
immigratie,97,49
gedwongen,97,74
24,97,81
esajas,97,89
bonaire,96,55
onderzoekers,96,56
nederlands-indië,96,71
1848,96,56
direct,96,82
opstand,96,64
namen,96,89
2015,96,65
wijze,95,81
gaf,95,90
la,95,44
40,95,63
laws,95,29
gemeenschap,94,64
niets,94,83
gegeven,94,84
mede,94,83
parlement,94,59
heb,94,72
antillen,93,69
personen,93,78
staatstoezicht,93,66
negentiende,93,74
snel,93,86
ontwerp,93,39
indonesië,92,68
proces,92,72
historisch,92,81
ervan,92,87
einde,92,78
leidde,92,79
hele,92,83
maarten,92,59
staatstoezigt,92,41
dialoog,91,47
term,91,55
onderwerp,91,81
gevolg,91,85
vier,91,84
bestaat,91,77
woorden,90,77
bestond,90,83
praktijk,90,74
steden,90,70
ruim,90,79
31,90,72
against,90,36
an,90,63
spreken,89,77
thema,89,67
genomen,89,80
maakt,89,79
45,89,65
78ste,89,30
risico,88,51
franse,88,61
vond,88,75
253,88,39
inv,88,21
relatie,87,73
blijkt,87,78
voorkomen,87,78
gedurende,87,66
aanpak,87,58
name,87,78
blijven,87,81
hendrik,87,53
cornelis,87,51
verbonden,86,85
caribisch,86,70
suiker,86,54
namelijk,86,78
internationale,86,67
berbice,86,48
past,86,47
cultureel,85,67
grondwet,85,51
50,85,57
probleem,85,56
st,85,43
not,85,43
maart,84,60
waarmee,84,81
bieden,84,70
indische,84,71
west-indische,84,73
brazilië,84,45
geloof,84,64
journal,84,52
gemeenschappen,83,58
verhalen,83,69
2011,83,66
geworden,83,79
studie,83,56
gebaseerd,83,76
dragen,83,75
staatscommissie,83,44
mag,83,73
processen,83,49
delea,83,82
geld,82,67
idee,82,74
historical,82,50
onderzoeken,82,70
oorlog,82,68
tula,82,40
daarna,82,77
wilde,82,67
impact,82,62
dienstverlening,82,32
european,82,44
strijd,81,66
enige,81,72
sterk,81,73
zuid-holland,81,24
manieren,80,72
historici,80,58
bronnen,80,56
verenigde,80,68
indonesische,79,65
rossum,79,49
discussie,79,68
ieder,79,69
gebracht,79,74
uiteindelijk,79,73
maatschappij,79,64
amerika,79,64
world,79,42
heid,78,67
ontstaan,78,71
ligt,78,70
eerst,78,69
33,78,63
aanzien,78,64
bestuurders,78,66
