topic,term,similarity,keep
Historical slavery,slavenarbeid,0.78240193961094,True
Historical slavery,plantageslavernij,0.7821447899542936,True
Historical slavery,plantage,0.734707361465533,True
Historical slavery,landbouw,0.7207697060238929,True
Historical slavery,slavenplantages,0.7190315051856875,True
Historical slavery,slavenhoudende,0.702621305521311,True
Historical slavery,plantages,0.69835705018207,True
Historical slavery,landbouwende,0.6950689818011034,True
Historical slavery,teelt,0.6937318857880052,True
Historical slavery,oogst,0.6742683947275104,True
Historical slavery,slavernij,0.67338052944997,True
Historical slavery,plantagehouder,0.6610287838691318,True
Historical slavery,planters,0.6600395535187273,True
Historical slavery,plantagesector,0.6572093280424668,True
Historical slavery,werelden,0.6546312776057255,True
Historical slavery,slavenmakers,0.6543460726519603,True
Historical slavery,aanleg,0.6501993285164671,True
Historical slavery,slavenhouders,0.64929318157207,True
Historical slavery,plantagehouders,0.6477787382844665,True
Historical slavery,gewassen,0.6471310430058493,True
Historical slavery,boeren,0.6462723929817137,True
Historical slavery,landgoed,0.6456884736412207,True
Historical slavery,regeringen,0.639076624797851,True
Historical slavery,slaven,0.6338396214478123,True
Historical slavery,beschaving,0.628449251992729,True
Historical slavery,planten,0.6258278229857491,True
Historical slavery,slavenopstand,0.6249052157468563,True
Historical slavery,roofbouw,0.6225245065173948,True
Historical slavery,dwangarbeid,0.6204333418422444,True
Historical slavery,slavenhouder,0.6166766258161641,True
Historical slavery,geschapen,0.6166503561461014,True
Historical slavery,vroedschap,0.613834753295998,True
Historical slavery,slavenhandelaar,0.6104266921820799,True
Historical slavery,slavernijgerelateerde,0.6067307711007902,True
Historical slavery,haag,0.6019479231312558,True
Historical slavery,landgoederen,0.601738673252681,True
Historical slavery,inheemsen,0.6008969083873192,True
Historical slavery,planter,0.598550726668514,True
Historical slavery,wijntuin,0.5976323887836653,True
Historical slavery,nederzetting,0.5973974208480128,True
Historical slavery,slavenhandel,0.5964452798113461,True
Historical slavery,arbeiders,0.5963858334722276,True
Historical slavery,bouw,0.5944252462112433,True
Historical slavery,besteedden,0.5939525559619648,True
Historical slavery,slavenhalers,0.5896216950103567,True
Historical slavery,dwangarbeiders,0.5883782108016405,True
Historical slavery,graven,0.5867525835604698,True
Historical slavery,bouwde,0.5866608025701853,True
Historical slavery,bezetting,0.584363109962103,True
Historical slavery,behulp,0.5843063034169179,True
