topic,term,cosine,df
Colonialism,gouverneur,1.0,28.0
Colonialism,gouverneurs,0.8512,30.0
Colonialism,koloniale,0.7827,5.0
Colonialism,autoriteit,0.8149,84.0
Colonialism,republiek,0.8116,9.0
Colonialism,koninkrijk,0.7854,213.0
Colonialism,grondstoffen,1.0,53.0
Colonialism,grondstof,0.8259,9.0
Colonialism,exploitatie,1.0,107.0
Colonialism,exploitatie1,0.7792,6.0
Colonialism,concessie,1.0,21.0
Colonialism,concessies,0.7633,6.0
Colonialism,militair,0.7928,42.0
Colonialism,leger,0.7864,16.0
Colonialism,strijdkrachten,0.7647,16.0
Colonialism,luchtmacht,0.7722,18.0
Colonialism,generaal,0.8363,318.0
Colonialism,bisschop,0.783,45.0
Colonialism,westerse,0.8349,25.0
Colonialism,hoogleraar,0.8116,5.0
Colonialism,rijkscultuur,0.8064,6.0
Colonialism,rijkscultuurfondsen,0.7649,24.0
Colonialism,grondgebied,0.7497,15.0
Colonialism,gebied,0.7789,760.0
Colonialism,gebieden,0.7519,112.0
Colonialism,dorpen,0.7836,6.0
Colonialism,onderwijsstelsel,0.8029,10.0
Colonialism,educatie,0.795,44.0
Colonialism,universiteiten,0.7825,37.0
Colonialism,eeuw,0.7677,9.0
Historical_Slavery,slavernij,1.0,7.0
Historical_Slavery,atlantische,0.8634,7.0
Historical_Slavery,ketens,0.8267,36.0
Historical_Slavery,keten,0.7715,86.0
Historical_Slavery,afkoop,0.8569,7.0
Historical_Slavery,opkoop,0.8291,8.0
Historical_Slavery,arbeid,0.7698,60.0
Historical_Slavery,arbeids,0.7061,50.0
Historical_Slavery,arbeidskrachten,0.7329,9.0
Historical_Slavery,gedwongen,0.7092,19.0
Historical_Slavery,kinderarbeid,0.6927,5.0
Historical_Slavery,prostitutie,0.8006,5.0
Historical_Slavery,mensenhandel,0.7096,40.0
Historical_Slavery,inkoop,0.8333,114.0
Historical_Slavery,inkoopproces,0.7709,8.0
Historical_Slavery,inkoopstrategie,0.7566,10.0
Historical_Slavery,inkoopdomein,0.7148,5.0
Historical_Slavery,inkoopbeheer,0.7125,10.0
Historical_Slavery,betaling,0.7695,152.0
Historical_Slavery,betalings,0.7389,7.0
Historical_Slavery,betalingen,0.7122,105.0
Historical_Slavery,betaald,0.7021,194.0
Historical_Slavery,betaal,0.7085,8.0
Historical_Slavery,armoede,0.7452,73.0
Historical_Slavery,minimumloon,0.7456,28.0
Historical_Slavery,minima,0.7244,9.0
Historical_Slavery,werkten,0.717,12.0
Historical_Slavery,economie,0.7432,174.0
Historical_Slavery,smokkel,0.7389,7.0
Historical_Slavery,onrecht,0.7129,34.0
Modern_Racism_Inequality,discriminatie,0.8607,80.0
Modern_Racism_Inequality,arbeidsmarktdiscriminatie,1.0,6.0
Modern_Racism_Inequality,stagediscriminatie,0.9276,9.0
Modern_Racism_Inequality,antidiscriminatie,0.9144,5.0
Modern_Racism_Inequality,racisme,0.7999,42.0
Modern_Racism_Inequality,uitsluiting,1.0,9.0
Modern_Racism_Inequality,vervreemding,0.7477,6.0
Modern_Racism_Inequality,gemarginaliseerde,0.6976,6.0
Modern_Racism_Inequality,kansenongelijkheid,1.0,5.0
Modern_Racism_Inequality,ongelijkheid,0.7572,15.0
Modern_Racism_Inequality,ongelijk,0.7124,8.0
Modern_Racism_Inequality,kansengelijkheid,0.7527,43.0
Modern_Racism_Inequality,achterstanden,0.7378,31.0
Modern_Racism_Inequality,achterstand,0.708,20.0
Modern_Racism_Inequality,onderwijsachterstanden,0.9501,6.0
Modern_Racism_Inequality,etnische,0.8191,5.0
Modern_Racism_Inequality,etnisch,0.7997,14.0
Modern_Racism_Inequality,migratieachtergrond,0.7587,19.0
Modern_Racism_Inequality,migratiebeleid,0.7202,14.0
Modern_Racism_Inequality,migratiesamenwerking,0.7,15.0
Modern_Racism_Inequality,suriname,0.7502,24.0
Modern_Racism_Inequality,surinaamse,0.7245,5.0
Modern_Racism_Inequality,syrische,0.7249,7.0
Modern_Racism_Inequality,chinese,0.7201,18.0
Modern_Racism_Inequality,indonesische,0.741,6.0
Modern_Racism_Inequality,arbeidsmarktpositie,0.7201,15.0
Modern_Racism_Inequality,arbeidsparticipatie,0.7245,31.0
Modern_Racism_Inequality,arbeidsongeschiktheid,0.7098,27.0
Modern_Racism_Inequality,arbeidsmigratie,0.7646,14.0
Modern_Racism_Inequality,lerarentekort,0.7838,15.0
Modern_Racism_Inequality,onderwijskwaliteit,0.7326,29.0
Modern_Racism_Inequality,onderwijstijd,0.7254,11.0
Modern_Racism_Inequality,onderwijsbijdrage,0.7114,10.0
Modern_Racism_Inequality,onderwijsprogramma,0.7072,6.0
Modern_Racism_Inequality,schoolkosten,0.6977,14.0
Modern_Racism_Inequality,extremisme,0.7726,23.0
Modern_Racism_Inequality,extreem,0.7497,7.0
Modern_Racism_Inequality,extreme,0.7514,26.0
Modern_Racism_Inequality,radicalisering,0.739,11.0
Modern_Racism_Inequality,contraterrorisme,0.8167,17.0
Modern_Racism_Inequality,polarisatie,0.7448,7.0
Modern_Racism_Inequality,diversiteit,0.752,69.0
Modern_Racism_Inequality,diversie,0.7267,6.0
Modern_Racism_Inequality,genderdiversiteit,0.7414,12.0
Modern_Racism_Inequality,emancipatie,0.7085,30.0
Modern_Racism_Inequality,emancipatiebeleid,0.7357,12.0
Modern_Racism_Inequality,onrecht,0.7022,34.0
Modern_Racism_Inequality,onrechte,0.6987,24.0
Modern_Racism_Inequality,rechtvaardigheid,0.7186,6.0
Modern_Racism_Inequality,herintegratie,0.7045,8.0
Modern_Racism_Inequality,cultuurparticipatie,0.7063,13.0
Modern_Racism_Inequality,onveiligheid,0.758,14.0
Modern_Racism_Inequality,intimidatie,,
Modern_Racism_Inequality,bejegening,0.7417,8.0
Modern_Racism_Inequality,jeugdcriminaliteit,0.6994,25.0
Modern_Racism_Inequality,criminaliteitspreventie,0.7088,6.0
Modern_Racism_Inequality,mensenhandel,,
Modern_Racism_Inequality,asielbeleid,0.7053,17.0
Modern_Racism_Inequality,remigratiewet,0.7029,5.0
Modern_Racism_Inequality,nadeel,0.7008,9.0
Modern_Racism_Inequality,problematisch,0.7102,8.0
Modern_Racism_Inequality,problematische,0.7538,12.0
Modern_Racism_Inequality,negatief,0.7551,52.0
Modern_Racism_Inequality,negatieve,0.7481,145.0
Modern_Racism_Inequality,slachtofferrechten,0.7123,5.0
Modern_Racism_Inequality,slachtofferbeleid,0.726,12.0
