filename,chunk_id,sentence_count,raw_text,text_for_scoring,cos_Colonialism,cos_Historical slavery,cos_Modern racism& inequality,max_score,primary_topic,score_margin,confidence_level,text,label,label_id,is_pseudo
,,,,,,,,,,,,"306 
NOTEN 
29. J. Wolbers, De slavernĳ in Suriname, of dezelfde gruwelen der slavernĳ, 
die in de ‘Negerhut’ geschetst zĳn, bestaan ook in onze West-Indische 
koloniën! (Amsterdam: H. de Hoogh, 1853); J. Wolbers, Ten voordeele van 
de emancipatie der slaven (Amsterdam: H. de Hoogh, 1853). 30. J. Wolbers, De Surinaamsche negerslaaf, verhaal van een bezoek op 
eenige plantaadjes in Suriname (Amsterdam: De Hoogh, 1854).",Historical slavery,1,True
,,,,,,,,,,,,"RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN 
Een verkennend onderzoek 
 
26 
 
de nadruk leggen op het migrant zijn. De term allochtoon betekent zelfs letterlijk “niet van 
deze bodem”. Het is nogal problematisch om grote groepen Nederlanders die hier zijn 
geboren en opgegroeid te blijven zien als een vreemde ander of als een migrant, zelfs als 
zij zelf nooit gemigreerd zijn (vgl. Schinkel, 2008). Het gebruik van dit soort categorieën 
draagt bij aan het overschatten van de verschillen tussen mensen en het onderschatten 
van overeenkomsten. Verder zit er ook een zekere overlap in de terminologie, omdat witte 
mensen ook bi-cultureel kunnen zijn, al is dat wel afhankelijk van de exacte definitie van 
dergelijke begrippen. Het is een ongebruikelijk begrippenpaar, omdat ze niet elkaars 
tegenpolen zijn. Lokaal aangenomen en uitgezonden medewerkers 
De medewerkers die op ambassades werken in een land waar zij zelf ook geboren en 
opgegroeid zijn duiden we aan als lokaal aangenomen medewerkers. Lokaal 
aangenomen personeel is een juridische categorie en daarmee van een andere orde 
dan de term ‘bi-culturele medewerker’. Belangrijk om te benadrukken is dat we in dit 
onderzoek lokaal aangenomen medewerkers van kleur hebben geïnterviewd.9 Omwille 
van de leesbaarheid zullen we de toevoeging “van kleur” niet steeds herhalen.",Modern racism& inequality,2,True
,,,,,,,,,,,,"— 143 —
— SLAVERNIJ, AFSCHAFFINGEN EN DOORWERKINGEN —
­Onderzoekers die de arbeidsgeschiedenis van het Britse rijk hebben 
­bestudeerd stellen bijvoorbeeld dat de afschaffing van slavernij leidde 
tot een intensivering van kolonisatie en het overstappen op een productie­
systeem gebaseerd op onvrije contractarbeid. In haar studie over de 
arbeidsmigratie vanuit Brits-Indië en Java naar Suriname heeft Rose­
marijn HÖfte al aangetoond dat het juridisch instrumentarium om de 
goedkope arbeid te controleren bepalender was dan de economische 
motieven van de migranten en het op papier waarborgen van hun welzijn. Ook historicus Ulbe Bosma heeft gewezen op de overeenkomsten in de 
behandeling van arbeiders door koloniale mogendheden in de tweede 
helft van de negentiende eeuw. Maar in tegenstelling tot andere landen 
beschouwde Nederland de voormalig slaafgemaakten na hun emancipatie 
niet als Nederlands staatsburger. Ook de politieke besluitvorming die ten 
grondslag lag aan deze keuze en de alternatieve vormen van burgerschap 
die er later voor in de plaats kwamen, vragen om meer duiding. Pas daarna 
zullen we de doorwerking van het slavernijverleden op de lange termijn 
beter kunnen begrijpen.",Historical slavery,1,True
,,,,,,,,,,,,"282 
NOTEN 
5. De Jong, Jonker en Röell, ‘De ontwikkeling van de naamloze vennoot-
schap in Nederland tot 1850’, 225. 6. Slechte, ‘De Firma List en Bedrog’, 181-183. 7. Van Rĳn, Het groote Tafereel der Dwaasheid en zĳn geschiedenis, i. 8. Faber en Rommes, ‘Op weg naar stabiliteit (1618-1747)’, 273. 9. Maarten Prak en Jan Luiten van Zanden, Nederland en het poldermodel.",Historical slavery,1,True
,,,,,,,,,,,,"26 
NANCY JOUWE, MATTHIJS KUIPERS EN REMCO RABEN
slaaf gemaakt’ te gebruiken in plaats van ‘slaaf’, naar analogie met het 
Engelstalige enslaved in plaats van slave. Dat is een keuze die snel aan 
terrein wint in de geschiedschrĳving, die vooral moet benadrukken 
dat slavernĳ geen natuurtoestand was, maar het gevolg van een actieve 
handeling: je werd niet als slaaf geboren, maar door anderen tot slaaf 
gemaakt. Daar waar een auteur zelf uitdrukkelĳk koos voor de term 
‘slaaf’, hebben wĳ deze keuze gerespecteerd. Dit onderzoek naar het 
slavernĳverleden hebben we meer willen laten zĳn dan het doen van 
onderzoek naar geldstromen en percentages – het moet oude verhalen 
bevragen en nieuwe verhalen vertellen. Opzet van het boek
De nieuwe verhalen die dit boek brengt, zĳn in vĳf thematische delen 
ondergebracht. De in totaal twintig artikelen diepen elk een aspect 
uit van de langdurige en intensieve relatie tussen de stad Utrecht en 
de slavernĳ, inclusief de erfenissen van die geschiedenis en de wĳze 
waarop zĳ tot op de dag van vandaag wordt herinnerd en herdacht. Vier van de vĳf onderdelen bevatten een longread, een langer artikel 
waarin nieuw onderzoek centraal staat. In het eerste onderdeel gaan 
de auteurs in op de wĳze waarop de bestuurlĳke en ondernemende 
elite in Utrecht was verbonden met koloniale ondernemingen en 
macht. Nancy Jouwe, Matthias Lukkes en Remco Raben hebben de 
koloniale belangen van de bestuurlĳke elite in de stad in kaart gebracht 
en laten zien dat in de zeventiende eeuw 21,5 procent en in de acht-
tiende eeuw 34 procent van de Utrechtse vroedschapsleden (inclusief 
burgemeesters) directe belangen had in de koloniën en in koloniale 
ondernemingen. Kĳken we ook naar hun naaste familieleden, dan 
stĳgen de percentages naar respectievelĳk 26 en 42 procent.",Historical slavery,1,True
Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.257.txt,11af219e:00000,10.0,"— 257 —
— NEDERLANDSE KOLONIALE SLAVERNIJ WERELDWIJD —
het huis, zwoegde het merendeel van de volwassen slaafgemaakten zes 
lange dagen per week onder de brandende zon in het veld. Het harde 
werk, zware straffen, en regelmatige honger eisten hun tol. Continu was 
een zesde van de volwassenen niet in staat te werken vanwege ziekte, ver­
wonding of blijvende invaliditeit. In Essequibo en Demerara werd veelal 
suiker verbouwd, in Berbice merendeels koffie. In Berbice begon men pas 
in het laatste kwart van de achttiende eeuw dicht bij de kust plantages aan 
te leggen. In Essequibo en Demerara was dat al voor het midden van de 
achttiende eeuw gebeurd. Om het getij onder controle te houden, zodat 
de velden niet onder zouden stromen, moesten slaafgemaakten kanalen 
en geulen graven en dijken bouwen, wat zwaar en afmattend werk was. Vrouwen zorgden ook, zo goed en zo kwaad als mogelijk naast hun veld­
werk, voor hun kinderen, conform West-Afrikaanse gendernormen die 
ook in de ‘Nieuwe Wereld’ gangbaar bleven. Zwangere vrouwen konden 
op weinig begrip van de planters rekenen. Sterfte onder kinderen was 
hoog, en ouders hadden weinig autonomie om hun kinderen op te voeden 
zoals ze dat wilden.",nederlandse koloniale slavernij wereldwijd huis zwoegde merendeel volwassen slaafgemaakten zes lange dagen per week brandende zon veld harde werk zware straffen regelmatige honger eisten tol continu zesde volwassenen staat werken vanwege ziekte ver wonding blijvende invaliditeit essequibo demerara veelal suiker verbouwd berbice merendeels koffie berbice begon pas laatste kwart achttiende eeuw dicht kust plantages leggen essequibo demerara midden achttiende eeuw gebeurd getij controle houden zodat velden zouden stromen moesten slaafgemaakten kanalen geulen graven dijken bouwen zwaar afmattend werk vrouwen zorgden goed kwaad mogelijk veld werk kinderen conform west afrikaanse gendernormen nieuwe wereld gangbaar bleven zwangere vrouwen konden begrip planters rekenen sterfte kinderen hoog ouders hadden autonomie kinderen voeden wilden,0.4248159116135162,0.5350084523425013,0.3947653826668213,0.5350084523425013,Historical slavery,0.1101925407289851,high,"— 257 —
— NEDERLANDSE KOLONIALE SLAVERNIJ WERELDWIJD —
het huis, zwoegde het merendeel van de volwassen slaafgemaakten zes 
lange dagen per week onder de brandende zon in het veld. Het harde 
werk, zware straffen, en regelmatige honger eisten hun tol. Continu was 
een zesde van de volwassenen niet in staat te werken vanwege ziekte, ver­
wonding of blijvende invaliditeit. In Essequibo en Demerara werd veelal 
suiker verbouwd, in Berbice merendeels koffie. In Berbice begon men pas 
in het laatste kwart van de achttiende eeuw dicht bij de kust plantages aan 
te leggen. In Essequibo en Demerara was dat al voor het midden van de 
achttiende eeuw gebeurd. Om het getij onder controle te houden, zodat 
de velden niet onder zouden stromen, moesten slaafgemaakten kanalen 
en geulen graven en dijken bouwen, wat zwaar en afmattend werk was. Vrouwen zorgden ook, zo goed en zo kwaad als mogelijk naast hun veld­
werk, voor hun kinderen, conform West-Afrikaanse gendernormen die 
ook in de ‘Nieuwe Wereld’ gangbaar bleven. Zwangere vrouwen konden 
op weinig begrip van de planters rekenen. Sterfte onder kinderen was 
hoog, en ouders hadden weinig autonomie om hun kinderen op te voeden 
zoals ze dat wilden.",Historical slavery,1,False
,,,,,,,,,,,,"RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN 
Een verkennend onderzoek 
 
74 
 
 
“Het is een oer-Hollandse organisatie. Je moet alle mores kennen. Ik 
heb op een gegeven ogenblik ook besloten: ik wil verder en 
doorgroeien. Dat kan niet hier. Dat hoor ik ook van anderen die zijn 
afgehaakt.” 
 
“Persoonlijk weet ik niet goed of ik zou willen solliciteren voor een vast 
contract bij BZ omdat conformisme en ook de vraag om te assimileren 
ontzettend hoog is, vind ik. Daarbij zou ik persoonlijk te veel moeten 
inleveren van wie ik ben. Ik merk dat heel veel andere collega’s met 
een niet-westerse achtergrond dat ook hebben.”  
 
Ervaringen van racisme en gebrek aan inclusie als vertrekmotief 
Anderen noemen dat medewerkers vertrekken door een opeenstapeling van ervaringen 
met racisme. Een gebrek aan een inclusieve werkomgeving speelt ook mee, omdat 
mensen zich hierdoor onvoldoende thuis kunnen voelen. Soms zijn er stagiaires die al 
tijdens hun stage om deze redenen vertrekken. Een respondent noemt dat er ook 
collega’s zijn die zich lang hebben ingezet voor diversiteit en inclusie, maar dat die na 
verloop van tijd vermoeid en gedemotiveerd raken, omdat ze merken dat er weinig 
verandert binnen de organisatie.",Modern racism& inequality,2,True
,,,,,,,,,,,,"NINSEE 
3 
 
Een ander woord waar moeilijk een equivalent voor kan worden gevonden in het 
Nederlands is het woord captivity. Soms wordt het woord gevangene of vastgezette 
persoon gebruikt als een synoniem voor captive. Maar captive betekent niet hetzelfde als gevangene (prisoner). Een gevangene is iemand 
die een misdaad heeft begaan, vervolgens is gearresteerd en een gevangenisstraf heeft 
gekregen. Een captive is iemand die niets heeft misdaan. Er is geen juist equivalent van 
het woord captive in het Nederlands dus behouden we het Engelse woord. Dus in dit report gebruiken wij de woorden captive (vastgezet) en slaaf-gemaakt omdat 
de Afrikaan pas tot slaaf-gemaakt werd op het moment dat hij of zij de maatschappij 
bereikte waar hij of zij te werk werd gesteld als slaaf-gemaakte. Voordat dit gebeurde, 
was hij of zij een vrij persoon en daarna een captive (vastgezet) persoon. Met andere 
woorden, er zijn drie fases te onderscheiden, namelijk een vrij persoon, een captive 
(vastgezet) persoon en een slaaf-gemaakt persoon. Het creëren en wettelijk bekrachtigen van slavernij door Europese staten ging 
onvermijdelijk gepaard met een maatschappelijke opsplitsing van de bevolking in Ǯvrije 
mensenǯ en Ǯonvrije mensenǯ.",Modern racism& inequality,2,True
,,,,,,,,,,,,"Ibidem, inv.nr. U270a013, aktenr. 66. Utrecht en de slavernĳ onder de voc
1. Mededeling en archiefaantekeningen van Renger de Bruin, 8 april 2021. Zie Het Utrechts Archief (hierna: nl-uthua), Archief Stadsbestuur van 
Utrecht 1577-1795, toegangsnummer 702, inv.nr. 1243, Rekeningen van 
den thesaurier, 1577/78-1795. Slechts een heel klein deel van de stadsin-
komsten kwam uit beleggingen. Van koloniale beleggingen is nog geen 
spoor gevonden. 2.",Colonialism,0,True
Slavery_text\ketenen van het verleden.186.txt,a563ea53:00000,10.0,"6 
 
Referentielijst 
Beckles, H., (2013). Britain’s Black Debt; Reparations for Caribbean Slavery and 
Native Genocide. University of the West Indies Press: Jamaica 
Brooks, R., (1999). When sorry isn’t enough; The controversy over apologies and 
reparations 
for human injustice. New York & London: New York University Press 
Cijntje, G., van Bergen, M., Quirindongo, F., (2000). Demokrasia of Minokrasia? 50 
ana derechi voto general i funshonamentu di e sistema demokrátiko na Kòrsou, Curacao: 
ICUC 
Cijntje, G., van Bergen, M., (2008). Ubi ben, ibi patria: Mi patria ta kaminda mi ta 
sintimi na kas. Curacao: Sentro di Doktor 
Gibney, M., Howard-Hassmann, R., Coicaud, J., & Niklaus Steiner, N., (2007). The age 
of apology: Facing Up to the past.",referentielijst beckles h britain black debt reparations caribbean slavery native genocide university west indies press jamaica brooks r new york london new york university press cijntje g bergen quirindongo f demokrasia minokrasia ana derechi voto general funshonamentu di e sistema demokrátiko kòrsou curacao icuc cijntje g bergen ubi ibi patria mi patria ta kaminda mi ta sintimi kas curacao sentro di doktor gibney howard hassmann r coicaud j niklaus steiner n,0.5199973892587478,0.4258355434736195,0.3993328767516528,0.5199973892587478,Colonialism,0.0941618457851283,high,"6 
 
Referentielijst 
Beckles, H., (2013). Britain’s Black Debt; Reparations for Caribbean Slavery and 
Native Genocide. University of the West Indies Press: Jamaica 
Brooks, R., (1999). When sorry isn’t enough; The controversy over apologies and 
reparations 
for human injustice. New York & London: New York University Press 
Cijntje, G., van Bergen, M., Quirindongo, F., (2000). Demokrasia of Minokrasia? 50 
ana derechi voto general i funshonamentu di e sistema demokrátiko na Kòrsou, Curacao: 
ICUC 
Cijntje, G., van Bergen, M., (2008). Ubi ben, ibi patria: Mi patria ta kaminda mi ta 
sintimi na kas. Curacao: Sentro di Doktor 
Gibney, M., Howard-Hassmann, R., Coicaud, J., & Niklaus Steiner, N., (2007). The age 
of apology: Facing Up to the past.",Colonialism,0,False
