chunk_uid,tokens
a9627433:00000,"['rose', 'mary', 'allen', 'cultureel', 'antropoloog', 'buitengewoon', 'hoogleraar', 'cultuur', 'gemeenschap', 'geschiedenis', 'universiteit', 'curaçao', 'esther', 'captain', 'historicus', 'senior', 'onderzoeker', 'werkzaam', 'koninklijk', 'instituut', 'taal', 'land', 'volkenkunde', 'kitlv', 'leiden', 'expertise', 'laatkoloniaal', 'indonesië', 'indonesische', 'revolutie', 'postkoloniaal', 'nederland', 'relatie', 'nederlands', 'caribische', 'eilanden', 'indonesië', 'suriname', 'matthias', 'rossum', 'historicus', 'senior', 'onderzoeker', 'verbonden', 'internationaal', 'instituut', 'sociale', 'geschiedenis', 'iisg', 'amsterdam', 'gespecialiseerd', 'geschiedenis', 'slavernij', 'azië', 'verbindingen', 'atlantische', 'slavernijverleden', 'urwin', 'vyent', 'directeur', 'nationaal', 'instituut', 'nederlands', 'slavernijverleden', 'erfenis', 'ninsee', 'werk', 'ninsee', 'houdt', 'bezig', 'ontwikkeling', 'slavernijmuseum', 'amsterdam']"
c758b83b:00000,"['staat', 'slavernij', 'overgang', 'nieuwe', 'termen', 'richten', 'claimen', 'rechten', 'nederland', 'zichtbaarder', 'publieke', 'ruimte', 'daarnaast', 'focus', 'ander', 'soort', 'narratief', 'gelegd', 'woorden', 'cultureel', 'antropoloog', 'francio', 'guadeloupe', 'plaats', 'trauma', 'slachtofferschap', 'slavernij', 'cultureel', 'traumanarratief', 'caribisch', 'gebied', 'gebruikelijk', 'strijd', 'vrijheid', 'gelijkheid', 'systeem', 'onderdrukking', 'centraal', 'gesteld', 'erkenning', 'slavernijverleden', 'familieperspectief', 'afgelopen', 'decennia', 'belangenorganisaties', 'activisten', 'opge', 'roepen', 'plek', 'maken', 'dialoog', 'rondom', 'slavernijverleden', 'streven', 'gelijkwaardig', 'burgerschap', 'persoonlijke', 'ervaringen', 'zwarte', 'mensen', 'nederland', 'leidraad', 'oproep', 'manieren', 'transformative', 'justice', 'belang', 'hiervan', 'beter', 'begrijpen', 'belangrijk', 'stil', 'staan', 'ervaringen', 'nazaten', 'nederland', 'leeft', 'families', 'speelt', 'privé', 'publiek', 'gemaakt', 'links', 'sjabloon', 'zwarte', 'piet', 'racisme', 'gemaakt', 'quincy', 'gario', 'rechts', 'foto', 'protest', 'zwarte', 'piet', 'zwart', 'verdriet', 'bijlmer', 'amsterdam', 'eind', 'negentig']"
d550c08f:00000,"['actuele', 'vraagstukken', 'nasleep', 'koloniale', 'hiërarchieën', 'verschillende', 'gemeenschappen', 'nazaten', 'slavernij', 'koloniale', 'mindset', 'gelaten', 'racisme', 'discriminatie', 'groepen', 'leidt', 'extern', 'racisme', 'sprake', 'intern', 'racisme', 'gemeenschappen', 'zelfs', 'families', 'voldoen', 'witte', 'westerse', 'norm', 'haren', 'bijvoorbeeld', 'gestraight', 'huid', 'gebleekt', 'afkomst', 'ontkend', 'taal', 'ouders', 'spreken', 'verleden', 'verzwijgen', 'resulteren', 'gevoel', 'ontheemd', 'interne', 'conflicten', 'onderdeel', 'interne', 'racisme', 'lange', 'zwijgen', 'slavernij', 'verleden', 'families', 'wortels', 'nederlandse', 'koloniën', 'eerste', 'instantie', 'verleden', 'gesproken', 'geïnternali', 'seerde', 'schaamte', 'koloniale', 'verleden', 'zwijgcultuur', 'hand', 'gewerkt', 'marcel', 'kanten', 'auteur', 'boek', 'wortelzucht', 'vertelt', 'kom', 'surinaamse', 'onderwijzersfamilie', 'daarin', 'vroeger', 'gesproken', 'slavernij', 'pas', 'later', 'surinaam', 'se', 'zwijgen', 'gaan', 'begrijpen', 'vraag', 'waarom', 'nou', 'taboe']"
c3a92680:00000,"['staat', 'slavernij', 'samenleving', 'elkaar', 'zat', 'bestond', 'sociale', 'hiërarchie', 'ten', 'eerste', 'blanke', 'bovenlaag', 'ten', 'tweede', 'creolen', 'ten', 'derde', 'chinezen', 'ten', 'vierde', 'contractarbeiders', 'hindostanen', 'javanen', 'vijfde', 'laatste', 'marrons', 'deed', 'hiërarchische', 'samenleving', 'ontzet', 'tend', 'gediscrimineerd', 'beneden', 'toe', 'familie', 'heerste', 'vijftig', 'koloniale', 'mentaliteit', 'waarin', 'gediscrimi', 'neerd', 'laagopgeleide', 'mensen', 'thuis', 'verplicht', 'nederlands', 'praten', 'taal', 'koloniale', 'heerser', 'goede', 'educatie', 'probeer', 'creoolse', 'familie', 'zoveel', 'mogelijk', 'lijken', 'blanke', 'bovenlaag', 'enkele', 'reden', 'verdiepen', 'slavernij', 'schaamde', 'ervoor', 'vooral', 'eerste', 'generatie', 'migranten', 'intern', 'racisme', 'zogenoemde', 'whitepassing', 'norm', 'zagen', 'enige', 'manier', 'succesvol', 'leven', 'leiden', 'nederland', 'emigratie', 'schaamte', 'meegebracht', 'tegenover', 'degenen', 'bleven', 'ervaringen', 'opgeleverd', 'dubbelbloed', 'betekent', 'vaak', 'beide', 'landen', 'herkomst', 'aankomst', 'gevoel', 'helemaal', 'horen', 'kinderen', 'eerste', 'generatie', 'migranten', 'daarentegen', 'vaker', 'verbinding', 'wortels', 'gaan', 'zoeken', 'eisen', 'zichtbaarheid', 'verleden', 'bijdragen', 'terugdringen', 'koloniale', 'amnesie', 'nederland', 'ruimte', 'geven', 'verhalen', 'verzwegen', 'familiegeschiedenis']"
c3a92680:00001,"['dankbaar', 'heid', 'tegenover', 'voorouders', 'trots', 'verzet', 'dominante', 'trots', 'vechtersmentaliteit', 'voorouders', 'dankbaar', 'heden', 'kracht', 'halen', 'blijkt', 'aandacht', 'slavernijverleden', 'publieke', 'debat', 'generationele', 'geografische', 'afstand', 'nodig', 'pijnlij', 'ke', 'aspecten', 'familiegeschiedenissen', 'praten', 'kaders', 'publieke', 'erkenningsdebat', 'slavernijverleden', 'domineren', 'simplistisch', 'persoonlijke', 'ervaringen', 'geciteerde', 'laten', 'zien', 'verleden', 'heden', 'elkaar', 'gekoppeld', 'slavernijverleden', 'stem', 'zwart', 'wit', 'slachtoffers', 'daders', 'minderheid', 'tegenover', 'meerderheid', 'diaspora', 'tegenover', 'overheid', 'persoonlijke', 'ervaringen', 'ingewikkelder', 'net', 'postkoloniale', 'gemeenschappen', 'hybride', 'veelvormig', 'verstrengeld', 'neder', 'landse', 'samenleving', 'woorden', 'urwin', 'vyent', 'directeur', 'ninsee', 'beseffen', 'onvoldoende', 'slavernijverleden', 'doorwerkt', 'hedendaagse', 'samenleving', 'wit', 'zwart']"
efda478e:00000,"['actuele', 'vraagstukken', 'onderlinge', 'relatie', 'relatie', 'zwart', 'zwart', 'per', 'soonlijke', 'familie', 'ervaringen', 'laten', 'zien', 'term', 'herstel', 'breder', 'opgevat', 'gaat', 'alleen', 'herstelbetalingen', 'vanwege', 'leed', 'verleden', 'herstel', 'sociale', 'relaties', 'heden', 'dialoog', 'gemeenschappen', 'persoonlijke', 'perspectie', 'ven', 'breken', 'denken', 'essentialismen', 'tegenstellingen', 'open', 'publieke', 'academische', 'debatten', 'rondom', 'politiek', 'erkenning', 'juist', 'domineren', 'reacties', 'excuses', 'vanuit', 'gemeenschappen', 'persoonlijke', 'verhalen', 'maken', 'duidelijk', 'discussie', 'erkenning', 'alleen', 'excuses', 'erkenning', 'scheefheid', 'economische', 'sociale', 'systeem', 'gaan', 'economisch', 'sys', 'teem', 'ontstaan', 'ten', 'tijde', 'slavernij', 'steeds', 'doorwerkt', 'gaat', 'grondstoffen', 'waar', 'nederland', 'slavernij', 'profiteerde', 'suiker', 'suriname', 'profiteert', 'nederland', 'woordig', 'goud', 'gelijksoortige', 'condities', 'geprodu', 'ceerd', 'kwam', 'interview', 'voren', 'excuses', 'aanvoeren', 'ervoor', 'gaan', 'zorgen', 'suriname', 'male', 'levensstandaard', 'krijgen', 'ooit', 'nederland', 'probeert', 'ieder', 'af', 'stoten', 'curac', 'ao', 'aruba', 'sint', 'maarten', 'bepaalt', 'geld', 'krijgen', 'macht']"
efda478e:00001,"['geld', 'jou', 'waar', 'komt', 'geld', 'eerste', 'instantie', 'vandaan', 'bewustwording', 'verandering', 'economische', 'systeem', 'manier', 'gezien', 'excuses', 'praktijk', 'brengen', 'anders', 'slechts', 'loos', 'gebaar', 'daarbij', 'belangrijk', 'excuses', 'gemaakt', 'partijen', 'bijvoorbeeld', 'organisaties', 'bedrijven', 'grootste', 'winsten', 'gehaald', 'gaat', 'individuele', 'burgers', 'verantwoordelijkheid', 'gedragen', 'degenen', 'structureel', 'verantwoordelijk', 'slavernij', 'herstelbetalingen', 'gezien', 'geld', 'ene', 'partij', 'gaat', 'manier', 'economie', 'suriname', 'antillen', 'bouwen', 'nederlandse', 'kolonisator', 'slecht', 'achtergelaten', 'vorm', 'structureel', 'rechtsherstel', 'belangrijk', 'surina', 'antillen', 'bepalen', 'waar', 'geld', 'precies', 'besteed', 'voormalige', 'kolonisator']"
0ce1278f:00000,"['staat', 'slavernij', 'gevoeligheid', 'betrekking', 'paternalistische', 'optreden', 'nederlandse', 'overheidsinstanties', 'alleen', 'terug', 'zien', 'weer', 'stand', 'frustratie', 'regeringen', 'sommige', 'caribische', 'eilanden', 'suriname', 'aanloop', 'excuses', 'kabinet', 'rutte', 'iv', 'december', 'diverse', 'surinaamse', 'antilliaanse', 'organisaties', 'nederland', 'weerstand', 'eerder', 'diverse', 'stadsdialogen', 'lang', 'excuses', 'december', 'rotterdam', 'steden', 'gevoerd', 'waar', 'opvattingen', 'horen', 'zoveelste', 'keer', 'surinaams', 'antilliaanse', 'gemeenschap', 'vertegenwoordigd', 'heerst', 'gevoel', 'gemeenschappen', 'betrokken', 'debat', 'stadsdialogen', 'voelden', 'velen', 'vooral', 'symbolisch', 'participatief', 'proces', 'uiterst', 'selectief', 'waar', 'telkens', 'dezelfde', 'personen', 'stem', 'konden', 'laten', 'horen', 'vervolgens', 'meestal', 'meegewogen', 'besluitvorming', 'slot', 'terwijl', 'activistische', 'kringen', 'gemeenschappen', 'breed', 'gesprek', 'reparation', 'gevoerd', 'blijft', 'nederlandse', 'poli', 'tieke', 'publieke', 'debat', 'onderwerp', 'steeds', 'beperkt', 'aard', 'gericht', 'symbolische', 'aspecten', 'excuses', 'juli', 'feestdag', 'komst', 'nationaal', 'slavernijmuseum', 'steeds', 'gaat', 'dacht', 'bijvoorbeeld', 'maatregelen', 'middelen', 'mis', 'representatie', 'discriminatie', 'racisme', 'institutioneel', 'niveau', 'gaan', 'excuses', 'nederlandsche', 'bank', 'juli', 'eigen', 'verantwoordelijkheid', 'verleden', 'vergezeld', 'werden', 'struc', 'turele', 'actiepunten', 'heden', 'veelbelovende', 'stap', 'net', 'kondiging', 'regering', 'koninkrijk', 'fonds', 'tweehonderd', 'miljoen', 'euro', 'komt', 'hoop', 'veranderd', 'bewustzijn', 'nieuwe', 'praktijken', 'creëert', 'gemeenschappen', 'zien', 'duidelijke', 'verbeelding', 'waar', 'herstel', 'eigenlijk', 'gaat', 'plaats', 'nauw', 'slachtoffer', 'dader', 'schuld', 'verwijt', 'kader', 'publiek', 'debat', 'geassocieerd', 'herstelbetalingen', 'ligt', 'nadruk', 'gezamenlijk', 'proces', 'besef', 'sociale', 'relationele', 'component', 'wezenlijk', 'herstel', 'zeggen', 'publiek', 'gangbare', 'term', 'herstelbetalingen', 'gemeenschappen', 'verbrede', 'idee', 'rechtsherstel', 'sociaal', 'herstel', 'zelfs', 'haaks', 'elkaar', 'staan', 'één', 'redeneert', 'vanuit', 'schade']"
3861bed2:00000,"['actuele', 'vraagstukken', 'ander', 'vanuit', 'rechtvaardigheid', 'één', 'gaat', 'individuen', 'groepen', 'ander', 'gehele', 'samenleving', 'behoeften', 'betreft', 'participatie', 'besluitvormingsproces', 'sen', 'rechtsherstel', 'beide', 'nauw', 'verweven', 'moeten', 'toekomst', 'aandacht', 'krijgen', 'zodat', 'breder', 'debat', 'herstel', 'gevoerd', 'dichter', 'idee', 'transformative', 'justice', 'komt', 'namelijk', 'vorm', 'radicale', 'participatie', 'slachtofferschap', 'adresseert', 'transformeert', 'zoektocht', 'erkenning', 'aandacht', 'komen', 'machtsvragen', 'bepaalt', 'erkenning', 'herstel', 'inhoudt', 'erkenningskwesties', 'diep', 'verstrengeld', 'machtskwesties', 'groot', 'risico', 'bestaande', 'machtshiërarchieën', 'bevestigen', 'plaats', 'veranderen', 'gevaar', 'politiek', 'erkenning', 'gelijktijdig', 'bewust', 'onbewust', 'raciaal', 'discours', 'hiërarchische', 'relaties', 'posities', 'superioriteit', 'inferioriteit', 'gereproduceerd', 'belangrijk', 'degenen', 'maatregelen', 'bedoeld', 'degenen', 'proces', 'inhoud', 'bepalen', 'excuses', 'nodig', 'waar', 'eigenlijk', 'gaat', 'koloniaal', 'verleden', 'schaduwkanten', 'onderdeel', 'nederlandse', 'geschiedenis', 'zien', 'doorwerking', 'onze', 'samen', 'leving', 'erkennen', 'nasleep', 'koloniale', 'verleden', 'vele', 'manieren', 'aanwezig', 'sommigen', 'zichtbaar', 'tastbaar', 'anderen']"
72ed8b88:00000,"['rose', 'mary', 'allen', 'methode', 'orale', 'geschiedenis', 'heel', 'lang', 'historici', 'uitgegaan', 'geschreven', 'bronnen', 'geschiedenis', 'reconstrueren', 'vanaf', 'tweede', 'helft', 'vorige', 'eeuw', 'breed', 'scala', 'academische', 'disciplines', 'betekenis', 'waarde', 'orale', 'geschiedenis', 'erkend', 'manier', 'stemmen', 'herinneringen', 'individuen', 'gemeen', 'schap', 'pen', 'achterhalen', 'weer', 'geven', 'inter', 'preteren', 'methode', 'geeft', 'letterlijk', 'figuurlijk', 'stem', 'degenen', 'ontbreken', 'dominante', 'geschied', 'schrij', 'ving', 'steeds', 'musea', 'bibliotheken', 'buurtgemeenschappen', 'kerken', 'vakbonden', 'groepen', 'maken', 'gebruik', 'bekend', 'mondeling', 'overgeleverde', 'geschiedenis', 'orale', 'geschiedenis', 'methode', 'orale', 'getuigenissen', 'orale', 'traditie', 'historisch', 'bewijs', 'vastlegt', 'stamt', 'culturele', 'traditie', 'informatie', 'belang', 'volk', 'mondeling', 'generatie', 'generatie', 'geven', 'voornamelijk', 'orale', 'culturen', 'waar', 'schrift', 'lang', 'onbekend', 'werden', 'genealogie', 'etiologische', 'verhalen', 'mythen', 'liederen', 'spreekwoorden', 'gebeden', 'gedichten', 'toneel', 'raadsels', 'verbaal', 'doorgegeven', 'denk', 'odo', 'spreekwoorden', 'gezegden', 'marrons', 'afro', 'surinamers', 'kern', 'achtige', 'wijze', 'eigen', 'geschiedenis', 'weergeven', 'guritan', 'volkspoëzie', 'zuid', 'sumatra', 'verhalen', 'wayang', 'kulit', 'poppenspel', 'java', 'bali', 'kantika', 'di', 'makamba', 'traditionele', 'werkliederen', 'curaçao', 'bonaire', 'soortgenoot', 'shanties', 'songs', 'bovenwindse', 'eilanden', 'daarom', 'beschouwd', 'oudste', 'vorm', 'historisch', 'onderzoek', 'geschreven', 'woord', 'gebaseerde', 'historio', 'grafie', 'bestond', 'unesco', 'bijzondere', 'aandacht', 'orale', 'bronnen', 'immaterieel', 'cultureel', 'erfgoed', 'waardoor', 'steeds', 'beschermd', 'kennis', 'bewustzijn', 'ervan', 'vergroot']"
