term,term_freq,doc_freq
slavernij,2180,935
nederlandse,1248,792
racisme,1036,448
koloniale,1004,535
nederland,970,600
mensen,901,569
den,838,514
utrecht,799,357
onderzoek,790,509
amsterdam,769,465
slaafgemaakten,709,381
werden,693,478
suriname,688,432
staat,630,485
voc,605,277
geschiedenis,600,423
slavernijverleden,590,312
medewerkers,558,204
slaaf,508,298
eeuw,500,369
tweede,494,353
waar,494,417
zwarte,487,250
verschillende,485,387
excuses,458,164
slavenhandel,454,285
ten,447,352
discriminatie,431,211
afschaffing,425,265
moeten,423,289
alleen,421,366
koloniën,403,311
maken,400,332
eerste,381,328
kamer,381,233
slavern,374,175
eigen,372,274
verleden,358,262
slaven,358,237
nederlands,354,267
deel,345,288
grote,328,277
ke,324,205
zien,318,276
nieuwe,307,257
curaçao,304,203
zaken,298,233
ministerie,298,189
waarin,294,258
hadden,293,239
handel,293,212
vaak,290,243
regering,290,190
vrijheid,289,204
wic,289,163
vooral,288,254
staten,288,161
west,283,238
bijvoorbeeld,282,248
kwam,281,249
rol,281,238
nl,279,185
utrechtse,279,148
gemaakten,278,170
samenleving,277,218
zie,277,214
nederlanders,276,201
steeds,272,235
aandacht,266,210
nederlandsche,266,146
wet,262,141
verder,258,234
plantage,255,145
twee,254,225
gaan,253,226
culturele,253,165
gebied,251,203
komen,251,231
werk,249,206
tijd,246,218
plaats,245,218
vanuit,245,220
compagnie,240,127
hen,239,191
courant,237,127
stad,234,158
azië,231,164
julij,231,121
zitting,231,126
atlantische,228,171
generaal,227,120
vraag,226,180
republiek,226,156
goed,225,200
witte,224,171
aantal,224,187
zouden,224,181
staats,224,114
leven,223,199
belang,222,184
sociale,221,178
zelfs,221,190
overheid,220,160
basis,218,189
bijblad,218,108
vel,218,115
groot,217,191
erkenning,216,127
gemaakt,215,185
kolonie,215,163
ervaringen,214,149
afrika,214,164
volgens,213,173
gaat,212,176
later,210,195
vormen,209,178
slaafgemaakte,206,144
kolonialisme,205,170
soms,203,161
ging,202,185
geven,201,176
lokale,201,145
werken,201,179
politieke,201,170
onderwijs,200,126
plantages,200,156
juli,198,155
collega,198,116
mee,195,168
zowel,195,176
europese,195,167
indische,195,167
vorm,194,170
publieke,193,120
mogelijk,193,170
respondenten,193,120
bevolking,192,152
eilanden,191,133
buitenlandse,191,151
zuid,189,139
echter,189,177
eene,187,103
af,185,168
wereld,184,144
debat,183,117
organisatie,182,121
vanaf,181,162
https,181,122
kennis,179,143
amsterdamse,179,124
minister,179,120
leiden,178,165
land,176,153
konden,176,155
indië,176,138
willem,176,129
toe,174,164
kinderen,174,122
gezien,174,159
emancipatie,174,127
periode,173,154
aangenomen,173,97
onze,172,133
laten,171,159
gevolgen,171,131
groepen,170,125
gulden,170,100
terug,169,151
ter,169,142
heel,168,137
daarvan,168,153
cultuur,167,132
sint,167,101
daarnaast,166,155
ander,165,140
belangrijk,165,142
achttiende,165,140
bepaalde,164,127
zwart,163,95
arbeid,163,111
voorbeeld,162,149
haag,162,146
waarom,161,143
elkaar,161,132
amerika,161,130
daarbij,160,132
zeer,160,141
nationale,160,127
daarom,159,154
drie,159,147
