topic,term,similarity,source,keep
Historical_Slavery_Colonialism,slavenrederij,0.7428766465610341,corpus,True
Historical_Slavery_Colonialism,slavenverzet,0.7330944744486583,seed,True
Historical_Slavery_Colonialism,slavenarbeid,0.7316985832205958,seed,True
Historical_Slavery_Colonialism,slavenrederijen,0.7186316605252877,corpus,True
Historical_Slavery_Colonialism,slavenhouders,0.7167804351890834,seed,True
Historical_Slavery_Colonialism,slavenhoudenden,0.7161177566303998,corpus,True
Historical_Slavery_Colonialism,slaven-,0.7114441743691883,corpus,True
Historical_Slavery_Colonialism,slavenhandelaars,0.7097667014344486,corpus,True
Historical_Slavery_Colonialism,slavenhoudende,0.7046897619582078,corpus,True
Historical_Slavery_Colonialism,ontheemden,0.6980343749109363,corpus,True
Historical_Slavery_Colonialism,werelden,0.6960538148237002,corpus,True
Historical_Slavery_Colonialism,slavenbezit,0.6887843977667942,corpus,True
Historical_Slavery_Colonialism,slavenmaatschappij,0.6857950431066814,corpus,True
Historical_Slavery_Colonialism,landerijen,0.68496444162396,corpus,True
Historical_Slavery_Colonialism,slavernij-,0.6848143936863311,corpus,True
Historical_Slavery_Colonialism,regeringen,0.6846211329736713,corpus,True
Historical_Slavery_Colonialism,verbouwden,0.6839946501300525,corpus,True
Historical_Slavery_Colonialism,vernederingen,0.6785120210273916,corpus,True
Historical_Slavery_Colonialism,landbouwende,0.6770520616659412,corpus,True
Historical_Slavery_Colonialism,koloniale-,0.6765532868548119,corpus,True
Historical_Slavery_Colonialism,gehuisvest,0.6754299737307756,corpus,True
Historical_Slavery_Colonialism,bebouwde,0.6752038593107961,corpus,True
Historical_Slavery_Colonialism,landbouw-,0.6742141875510027,corpus,True
Historical_Slavery_Colonialism,nederzetting,0.6727590301460253,corpus,True
Historical_Slavery_Colonialism,slavenhouder,0.6722064987799046,corpus,True
Historical_Slavery_Colonialism,slavengemeenschap,0.6692402831964859,corpus,True
Historical_Slavery_Colonialism,landbouw,0.6692094887763904,corpus,True
Historical_Slavery_Colonialism,slavenbezitters,0.6689776988291529,corpus,True
Historical_Slavery_Colonialism,slavenmakers,0.6684101534814452,corpus,True
Historical_Slavery_Colonialism,stoffelijken,0.6667452352044682,corpus,True
Historical_Slavery_Colonialism,koloniale,0.6656132166681655,seed,True
Historical_Slavery_Colonialism,slavenbestaan,0.6648120245894161,corpus,True
Historical_Slavery_Colonialism,landarbeiders,0.6645462163576564,corpus,True
Historical_Slavery_Colonialism,werft,0.6636149885028683,corpus,True
Historical_Slavery_Colonialism,slavenvaart,0.6618091627548495,corpus,True
Historical_Slavery_Colonialism,slaveneigenaars,0.661469257434149,corpus,True
Historical_Slavery_Colonialism,verplaatsten,0.6611837509884507,corpus,True
Historical_Slavery_Colonialism,beschaving,0.6607008632690207,seed,True
Historical_Slavery_Colonialism,koloniaal,0.6596925156677269,corpus,True
Historical_Slavery_Colonialism,kolonisatie-,0.6591504864500037,corpus,True
Historical_Slavery_Colonialism,pachters,0.6580582583871075,corpus,True
Historical_Slavery_Colonialism,slavenhandels-,0.6555351118607216,corpus,True
Historical_Slavery_Colonialism,plantageslavernij,0.6540120358508296,seed,True
Historical_Slavery_Colonialism,slavenkopers,0.6537161626827974,corpus,True
Historical_Slavery_Colonialism,akten,0.6527866087902885,corpus,True
Historical_Slavery_Colonialism,slavenhandelaar,0.6524940840214152,corpus,True
Historical_Slavery_Colonialism,platteland,0.652377958571576,corpus,True
Historical_Slavery_Colonialism,zeelieden,0.6502084999094315,corpus,True
Historical_Slavery_Colonialism,slavenleider,0.6500726816430982,corpus,True
Historical_Slavery_Colonialism,slavenhandelaren,0.6487774733804894,seed,True
